year,bula_h,sampreg,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Very concerned,0.18038,41,216,0.12899,0.23178
1984,Schleswig-Holstein,West,Somewhat concerned,0.31217,69,216,0.25023,0.37411
1984,Schleswig-Holstein,West,Not concerned at all,0.50745,106,216,0.44062,0.57427
1984,Hamburg,West,Very concerned,0.16945,36,167,0.11238,0.22652
1984,Hamburg,West,Somewhat concerned,0.24242,40,167,0.17723,0.30762
1984,Hamburg,West,Not concerned at all,0.58813,91,167,0.51326,0.66300
1984,Lower Saxony,West,Very concerned,0.20088,140,636,0.16971,0.23204
1984,Lower Saxony,West,Somewhat concerned,0.30846,193,636,0.27254,0.34439
1984,Lower Saxony,West,Not concerned at all,0.49066,303,636,0.45178,0.52954
1984,North Rhine-Westphalia,West,Very concerned,0.19352,377,1722,0.17485,0.21218
1984,North Rhine-Westphalia,West,Somewhat concerned,0.29502,532,1722,0.27348,0.31657
1984,North Rhine-Westphalia,West,Not concerned at all,0.51146,813,1722,0.48784,0.53508
1984,Hesse,West,Very concerned,0.14875,142,723,0.12279,0.17471
1984,Hesse,West,Somewhat concerned,0.27656,203,723,0.24394,0.30919
1984,Hesse,West,Not concerned at all,0.57468,378,723,0.53862,0.61075
1984,"Rhineland-Palatinate, Saarland",West,Very concerned,0.15789,78,429,0.12334,0.19244
1984,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.34564,150,429,0.30059,0.39070
1984,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.49647,201,429,0.44910,0.54384
1984,Baden-Wuerttemberg,West,Very concerned,0.12778,227,1377,0.11014,0.14542
1984,Baden-Wuerttemberg,West,Somewhat concerned,0.31969,458,1377,0.29505,0.34433
1984,Baden-Wuerttemberg,West,Not concerned at all,0.55253,692,1377,0.52626,0.57880
1984,Bavaria,West,Very concerned,0.15272,210,1176,0.13216,0.17329
1984,Bavaria,West,Somewhat concerned,0.32067,393,1176,0.29398,0.34736
1984,Bavaria,West,Not concerned at all,0.52660,573,1176,0.49806,0.55515
1984,Berlin,West,Very concerned,0.22037,77,252,0.16909,0.27165
1984,Berlin,West,Somewhat concerned,0.30961,75,252,0.25241,0.36680
1984,Berlin,West,Not concerned at all,0.47002,100,252,0.40828,0.53177
1985,Schleswig-Holstein,West,Somewhat concerned,0.25975,49,164,0.19243,0.32707
1985,Schleswig-Holstein,West,Not concerned at all,0.64123,115,164,0.56759,0.71486
1985,Hamburg,West,Somewhat concerned,0.30450,47,127,0.22415,0.38486
1985,Hamburg,West,Not concerned at all,0.58292,80,127,0.49682,0.66901
1985,Lower Saxony,West,Very concerned,0.14577,91,560,0.11652,0.17503
1985,Lower Saxony,West,Somewhat concerned,0.31831,179,560,0.27969,0.35693
1985,Lower Saxony,West,Not concerned at all,0.53592,290,560,0.49458,0.57726
1985,North Rhine-Westphalia,West,Very concerned,0.13732,244,1560,0.12023,0.15441
1985,North Rhine-Westphalia,West,Somewhat concerned,0.27258,462,1560,0.25047,0.29468
1985,North Rhine-Westphalia,West,Not concerned at all,0.59010,854,1560,0.56569,0.61452
1985,Hesse,West,Very concerned,0.10108,81,647,0.07784,0.12433
1985,Hesse,West,Somewhat concerned,0.25448,201,647,0.22089,0.28807
1985,Hesse,West,Not concerned at all,0.64444,365,647,0.60753,0.68135
1985,"Rhineland-Palatinate, Saarland",West,Very concerned,0.15875,67,382,0.12205,0.19544
1985,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.30884,123,382,0.26244,0.35523
1985,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.53242,192,382,0.48232,0.58252
1985,Baden-Wuerttemberg,West,Very concerned,0.09558,169,1261,0.07935,0.11182
1985,Baden-Wuerttemberg,West,Somewhat concerned,0.28545,380,1261,0.26052,0.31039
1985,Baden-Wuerttemberg,West,Not concerned at all,0.61896,712,1261,0.59215,0.64578
1985,Bavaria,West,Very concerned,0.09179,119,1082,0.07458,0.10900
1985,Bavaria,West,Somewhat concerned,0.31651,350,1082,0.28878,0.34423
1985,Bavaria,West,Not concerned at all,0.59170,613,1082,0.56240,0.62101
1985,Berlin,West,Very concerned,0.14979,35,216,0.10208,0.19749
1985,Berlin,West,Somewhat concerned,0.31860,71,216,0.25632,0.38089
1985,Berlin,West,Not concerned at all,0.53161,110,216,0.46491,0.59831
1986,Schleswig-Holstein,West,Somewhat concerned,0.28307,53,151,0.21097,0.35516
1986,Schleswig-Holstein,West,Not concerned at all,0.59077,98,151,0.51208,0.66946
1986,Hamburg,West,Somewhat concerned,0.33512,47,124,0.25169,0.41854
1986,Hamburg,West,Not concerned at all,0.56746,77,124,0.47990,0.65501
1986,Lower Saxony,West,Very concerned,0.14480,95,567,0.11581,0.17379
1986,Lower Saxony,West,Somewhat concerned,0.28797,164,567,0.25066,0.32527
1986,Lower Saxony,West,Not concerned at all,0.56724,308,567,0.52642,0.60806
1986,North Rhine-Westphalia,West,Very concerned,0.14436,246,1467,0.12637,0.16235
1986,North Rhine-Westphalia,West,Somewhat concerned,0.27518,429,1467,0.25232,0.29804
1986,North Rhine-Westphalia,West,Not concerned at all,0.58046,792,1467,0.55520,0.60572
1986,Hesse,West,Very concerned,0.10180,70,594,0.07746,0.12614
1986,Hesse,West,Somewhat concerned,0.24693,152,594,0.21222,0.28164
1986,Hesse,West,Not concerned at all,0.65127,372,594,0.61291,0.68963
1986,"Rhineland-Palatinate, Saarland",West,Very concerned,0.17406,75,388,0.13628,0.21183
1986,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.31491,127,388,0.26863,0.36118
1986,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.51104,186,388,0.46123,0.56084
1986,Baden-Wuerttemberg,West,Very concerned,0.07985,145,1249,0.06481,0.09489
1986,Baden-Wuerttemberg,West,Somewhat concerned,0.28824,401,1249,0.26311,0.31337
1986,Baden-Wuerttemberg,West,Not concerned at all,0.63191,703,1249,0.60515,0.65867
1986,Bavaria,West,Very concerned,0.10979,129,996,0.09037,0.12922
1986,Bavaria,West,Somewhat concerned,0.29836,310,996,0.26993,0.32679
1986,Bavaria,West,Not concerned at all,0.59184,557,996,0.56131,0.62238
1986,Berlin,West,Very concerned,0.12005,33,212,0.07619,0.16390
1986,Berlin,West,Somewhat concerned,0.27264,62,212,0.21256,0.33273
1986,Berlin,West,Not concerned at all,0.60731,117,212,0.54142,0.67320
1987,Schleswig-Holstein,West,Somewhat concerned,0.35076,62,160,0.27659,0.42494
1987,Schleswig-Holstein,West,Not concerned at all,0.53006,98,160,0.45248,0.60764
1987,Hamburg,West,Somewhat concerned,0.37887,46,104,0.28519,0.47256
1987,Hamburg,West,Not concerned at all,0.53397,58,104,0.43763,0.63031
1987,Lower Saxony,West,Very concerned,0.13081,79,595,0.10370,0.15793
1987,Lower Saxony,West,Somewhat concerned,0.33362,199,595,0.29570,0.37154
1987,Lower Saxony,West,Not concerned at all,0.53557,317,595,0.49546,0.57568
1987,North Rhine-Westphalia,West,Very concerned,0.11902,212,1516,0.10272,0.13533
1987,North Rhine-Westphalia,West,Somewhat concerned,0.31060,512,1516,0.28730,0.33390
1987,North Rhine-Westphalia,West,Not concerned at all,0.57038,792,1516,0.54546,0.59531
1987,Hesse,West,Very concerned,0.07499,54,609,0.05405,0.09592
1987,Hesse,West,Somewhat concerned,0.28498,185,609,0.24910,0.32086
1987,Hesse,West,Not concerned at all,0.64004,370,609,0.60188,0.67819
1987,"Rhineland-Palatinate, Saarland",West,Very concerned,0.12996,62,389,0.09650,0.16342
1987,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.29166,119,389,0.24643,0.33689
1987,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.57838,208,389,0.52924,0.62752
1987,Baden-Wuerttemberg,West,Very concerned,0.07519,130,1233,0.06046,0.08991
1987,Baden-Wuerttemberg,West,Somewhat concerned,0.33685,445,1233,0.31046,0.36324
1987,Baden-Wuerttemberg,West,Not concerned at all,0.58796,658,1233,0.56048,0.61545
1987,Bavaria,West,Very concerned,0.07422,91,1034,0.05824,0.09021
1987,Bavaria,West,Somewhat concerned,0.32677,343,1034,0.29817,0.35537
1987,Bavaria,West,Not concerned at all,0.59901,600,1034,0.56912,0.62889
1987,Berlin,West,Very concerned,0.10868,33,205,0.06597,0.15139
1987,Berlin,West,Somewhat concerned,0.21915,48,205,0.16239,0.27592
1987,Berlin,West,Not concerned at all,0.67216,124,205,0.60775,0.73658
1988,Schleswig-Holstein,West,Somewhat concerned,0.42330,73,164,0.34745,0.49915
1988,Schleswig-Holstein,West,Not concerned at all,0.50374,91,164,0.42698,0.58050
1988,Hamburg,West,Somewhat concerned,0.40864,37,92,0.30764,0.50964
1988,Hamburg,West,Not concerned at all,0.50388,55,92,0.40115,0.60661
1988,Lower Saxony,West,Very concerned,0.14765,90,560,0.11824,0.17706
1988,Lower Saxony,West,Somewhat concerned,0.34607,194,560,0.30663,0.38551
1988,Lower Saxony,West,Not concerned at all,0.50628,276,560,0.46483,0.54773
1988,North Rhine-Westphalia,West,Very concerned,0.14761,258,1423,0.12917,0.16604
1988,North Rhine-Westphalia,West,Somewhat concerned,0.31227,472,1423,0.28818,0.33635
1988,North Rhine-Westphalia,West,Not concerned at all,0.54013,693,1423,0.51422,0.56603
1988,Hesse,West,Very concerned,0.09491,55,564,0.07070,0.11912
1988,Hesse,West,Somewhat concerned,0.33113,183,564,0.29225,0.37000
1988,Hesse,West,Not concerned at all,0.57396,326,564,0.53311,0.61481
1988,"Rhineland-Palatinate, Saarland",West,Very concerned,0.16304,63,372,0.12545,0.20063
1988,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.33277,132,372,0.28482,0.38072
1988,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.50419,177,372,0.45332,0.55507
1988,Baden-Wuerttemberg,West,Very concerned,0.07807,139,1185,0.06279,0.09335
1988,Baden-Wuerttemberg,West,Somewhat concerned,0.33935,426,1185,0.31238,0.36632
1988,Baden-Wuerttemberg,West,Not concerned at all,0.58258,620,1185,0.55449,0.61067
1988,Bavaria,West,Very concerned,0.10913,131,977,0.08957,0.12869
1988,Bavaria,West,Somewhat concerned,0.33973,334,977,0.31001,0.36944
1988,Bavaria,West,Not concerned at all,0.55115,512,977,0.51994,0.58235
1988,Berlin,West,Very concerned,0.11757,35,209,0.07379,0.16134
1988,Berlin,West,Somewhat concerned,0.23861,60,209,0.18069,0.29654
1988,Berlin,West,Not concerned at all,0.64382,114,209,0.57874,0.70890
1989,Schleswig-Holstein,West,Somewhat concerned,0.34527,59,156,0.27042,0.42013
1989,Schleswig-Holstein,West,Not concerned at all,0.58689,97,156,0.50938,0.66441
1989,Hamburg,West,Somewhat concerned,0.31564,36,105,0.22631,0.40497
1989,Hamburg,West,Not concerned at all,0.62894,69,105,0.53610,0.72179
1989,Lower Saxony,West,Very concerned,0.09057,58,535,0.06623,0.11491
1989,Lower Saxony,West,Somewhat concerned,0.27299,154,535,0.23521,0.31078
1989,Lower Saxony,West,Not concerned at all,0.63643,323,535,0.59564,0.67723
1989,North Rhine-Westphalia,West,Very concerned,0.09391,151,1421,0.07874,0.10909
1989,North Rhine-Westphalia,West,Somewhat concerned,0.26576,421,1421,0.24278,0.28873
1989,North Rhine-Westphalia,West,Not concerned at all,0.64033,849,1421,0.61537,0.66529
1989,Hesse,West,Very concerned,0.05534,36,572,0.03659,0.07410
1989,Hesse,West,Somewhat concerned,0.28001,157,572,0.24318,0.31683
1989,Hesse,West,Not concerned at all,0.66465,379,572,0.62593,0.70337
1989,"Rhineland-Palatinate, Saarland",West,Very concerned,0.10009,41,383,0.07000,0.13019
1989,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.31899,121,383,0.27225,0.36573
1989,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.58092,221,383,0.53144,0.63040
1989,Baden-Wuerttemberg,West,Very concerned,0.04627,82,1132,0.03403,0.05852
1989,Baden-Wuerttemberg,West,Somewhat concerned,0.28509,369,1132,0.25878,0.31140
1989,Baden-Wuerttemberg,West,Not concerned at all,0.66864,681,1132,0.64121,0.69607
1989,Bavaria,West,Very concerned,0.06252,85,956,0.04717,0.07788
1989,Bavaria,West,Somewhat concerned,0.27572,294,956,0.24738,0.30407
1989,Bavaria,West,Not concerned at all,0.66175,577,956,0.63174,0.69176
1989,Berlin,West,Somewhat concerned,0.24815,50,189,0.18640,0.30989
1989,Berlin,West,Not concerned at all,0.67992,139,189,0.61323,0.74660
1990,Schleswig-Holstein,West,Somewhat concerned,0.28019,45,148,0.20759,0.35279
1990,Schleswig-Holstein,West,Not concerned at all,0.64066,103,148,0.56309,0.71822
1990,Hamburg,West,Not concerned at all,0.68415,53,53,0.55780,0.81050
1990,Lower Saxony,West,Very concerned,0.08682,54,527,0.06275,0.11088
1990,Lower Saxony,West,Somewhat concerned,0.32085,164,527,0.28095,0.36074
1990,Lower Saxony,West,Not concerned at all,0.59234,309,527,0.55034,0.63433
1990,North Rhine-Westphalia,West,Very concerned,0.07996,143,1406,0.06577,0.09414
1990,North Rhine-Westphalia,West,Somewhat concerned,0.26558,425,1406,0.24249,0.28867
1990,North Rhine-Westphalia,West,Not concerned at all,0.65446,838,1406,0.62960,0.67933
1990,Hesse,West,Very concerned,0.08016,43,567,0.05779,0.10253
1990,Hesse,West,Somewhat concerned,0.27850,157,567,0.24157,0.31544
1990,Hesse,West,Not concerned at all,0.64133,367,567,0.60182,0.68085
1990,"Rhineland-Palatinate, Saarland",West,Very concerned,0.09519,35,342,0.06404,0.12634
1990,"Rhineland-Palatinate, Saarland",West,Somewhat concerned,0.31921,113,342,0.26973,0.36869
1990,"Rhineland-Palatinate, Saarland",West,Not concerned at all,0.58560,194,342,0.53331,0.63789
1990,Baden-Wuerttemberg,West,Very concerned,0.07140,115,1137,0.05643,0.08638
1990,Baden-Wuerttemberg,West,Somewhat concerned,0.28661,370,1137,0.26032,0.31291
1990,Baden-Wuerttemberg,West,Not concerned at all,0.64198,652,1137,0.61411,0.66986
1990,Bavaria,West,Very concerned,0.07425,88,949,0.05756,0.09094
1990,Bavaria,West,Somewhat concerned,0.28403,293,949,0.25532,0.31273
1990,Bavaria,West,Not concerned at all,0.64172,568,949,0.61120,0.67224
1990,Berlin,West,Somewhat concerned,0.19713,38,165,0.13624,0.25802
