"plh0042","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","(noch) kein Abschluss","47","0.285667766376703","0.217155142732819","0.354180390020587"
"Grosse Sorgen","1984","16-34 Jahre alt","Hauptschulabschluss","371","0.212704496397645","0.192172648179332","0.233236344615957"
"Grosse Sorgen","1984","16-34 Jahre alt","Realschulabschluss","84","0.131481567292422","0.10575906095007","0.157204073634774"
"Grosse Sorgen","1984","16-34 Jahre alt","(Fach-)Abitur","44","0.157150148624989","0.110419411042823","0.203880886207155"
"Grosse Sorgen","1984","16-34 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","(noch) kein Abschluss","150","0.338102347337171","0.295560063616462","0.380644631057881"
"Grosse Sorgen","1984","35-65 Jahre alt","Hauptschulabschluss","518","0.194476951566412","0.178778807295475","0.21017509583735"
"Grosse Sorgen","1984","35-65 Jahre alt","Realschulabschluss","43","0.0989593461150314","0.0714614421018823","0.126457250128181"
"Grosse Sorgen","1984","35-65 Jahre alt","(Fach-)Abitur","31","0.104942768444093","0.0607792273792352","0.149106309508951"
"Grosse Sorgen","1984","35-65 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1984","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1984","66 und älter","Hauptschulabschluss","","","",""
"Grosse Sorgen","1984","66 und älter","Realschulabschluss","","","",""
"Grosse Sorgen","1984","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1984","66 und älter","AkademikerInnen","","","",""
"Einige Sorgen","1984","16-34 Jahre alt","(noch) kein Abschluss","65","0.425185620675414","0.350206049602332","0.500165191748496"
"Einige Sorgen","1984","16-34 Jahre alt","Hauptschulabschluss","538","0.357359858651654","0.333315808077408","0.381403909225899"
"Einige Sorgen","1984","16-34 Jahre alt","Realschulabschluss","206","0.315572084752625","0.2801964310808","0.350947738424451"
"Einige Sorgen","1984","16-34 Jahre alt","(Fach-)Abitur","75","0.282418393187358","0.22461514170658","0.340221644668135"
"Einige Sorgen","1984","16-34 Jahre alt","AkademikerInnen","37","0.18966406652293","0.134211384708104","0.245116748337757"
"Einige Sorgen","1984","35-65 Jahre alt","(noch) kein Abschluss","148","0.296819321938889","0.255734554319984","0.337904089557793"
"Einige Sorgen","1984","35-65 Jahre alt","Hauptschulabschluss","790","0.317278539556158","0.298819147773617","0.3357379313387"
"Einige Sorgen","1984","35-65 Jahre alt","Realschulabschluss","133","0.2871884680352","0.245523615690675","0.328853320379726"
"Einige Sorgen","1984","35-65 Jahre alt","(Fach-)Abitur","48","0.226517073250722","0.166200305081995","0.28683384141945"
"Einige Sorgen","1984","35-65 Jahre alt","AkademikerInnen","86","0.219591977128966","0.177914868374277","0.261269085883655"
"Einige Sorgen","1984","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1984","66 und älter","Hauptschulabschluss","","","",""
"Einige Sorgen","1984","66 und älter","Realschulabschluss","","","",""
"Einige Sorgen","1984","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1984","66 und älter","AkademikerInnen","","","",""
"Keine Sorgen","1984","16-34 Jahre alt","(noch) kein Abschluss","55","0.289146612947883","0.220386128366755","0.357907097529011"
"Keine Sorgen","1984","16-34 Jahre alt","Hauptschulabschluss","617","0.429935644950702","0.405096622853248","0.454774667048156"
"Keine Sorgen","1984","16-34 Jahre alt","Realschulabschluss","373","0.552946347954952","0.515100987381786","0.590791708528119"
"Keine Sorgen","1984","16-34 Jahre alt","(Fach-)Abitur","114","0.560431458187653","0.496701345684411","0.624161570690896"
"Keine Sorgen","1984","16-34 Jahre alt","AkademikerInnen","131","0.691577415972589","0.626250679348784","0.756904152596394"
"Keine Sorgen","1984","35-65 Jahre alt","(noch) kein Abschluss","177","0.36507833072394","0.321781671347665","0.408374990100215"
"Keine Sorgen","1984","35-65 Jahre alt","Hauptschulabschluss","1134","0.488244508877429","0.468418960870258","0.5080700568846"
"Keine Sorgen","1984","35-65 Jahre alt","Realschulabschluss","277","0.613852185849768","0.569018165589873","0.658686206109664"
"Keine Sorgen","1984","35-65 Jahre alt","(Fach-)Abitur","106","0.668540158305185","0.600707094057235","0.736373222553134"
"Keine Sorgen","1984","35-65 Jahre alt","AkademikerInnen","264","0.714495400561465","0.669024373972054","0.759966427150876"
"Keine Sorgen","1984","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1984","66 und älter","Hauptschulabschluss","","","",""
"Keine Sorgen","1984","66 und älter","Realschulabschluss","","","",""
"Keine Sorgen","1984","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1984","66 und älter","AkademikerInnen","","","",""
"Grosse Sorgen","1985","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1985","16-34 Jahre alt","Hauptschulabschluss","239","0.156025458360198","0.136397364109473","0.175653552610923"
"Grosse Sorgen","1985","16-34 Jahre alt","Realschulabschluss","56","0.0899542678111877","0.067752873676992","0.112155661945383"
"Grosse Sorgen","1985","16-34 Jahre alt","(Fach-)Abitur","33","0.0883308230258782","0.0522784059256542","0.124383240126102"
"Grosse Sorgen","1985","16-34 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1985","35-65 Jahre alt","(noch) kein Abschluss","69","0.175112255235893","0.13729518113346","0.212929329338326"
"Grosse Sorgen","1985","35-65 Jahre alt","Hauptschulabschluss","353","0.135551158314398","0.121260127329958","0.149842189298839"
"Grosse Sorgen","1985","35-65 Jahre alt","Realschulabschluss","34","0.0791355478684769","0.0537674956249494","0.104503600112004"
"Grosse Sorgen","1985","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Grosse Sorgen","1985","35-65 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1985","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1985","66 und älter","Hauptschulabschluss","","","",""
"Grosse Sorgen","1985","66 und älter","Realschulabschluss","","","",""
"Grosse Sorgen","1985","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1985","66 und älter","AkademikerInnen","","","",""
"Einige Sorgen","1985","16-34 Jahre alt","(noch) kein Abschluss","45","0.368394350648183","0.28023291482799","0.456555786468377"
"Einige Sorgen","1985","16-34 Jahre alt","Hauptschulabschluss","479","0.356947592683171","0.331033193707434","0.382861991658908"
"Einige Sorgen","1985","16-34 Jahre alt","Realschulabschluss","174","0.274661689756825","0.240027334802125","0.309296044711525"
"Einige Sorgen","1985","16-34 Jahre alt","(Fach-)Abitur","77","0.293067416892888","0.235240188124909","0.350894645660866"
"Einige Sorgen","1985","16-34 Jahre alt","AkademikerInnen","33","0.183273480042775","0.126115101643093","0.240431858442457"
"Einige Sorgen","1985","35-65 Jahre alt","(noch) kein Abschluss","148","0.381099731067148","0.332775841288677","0.42942362084562"
"Einige Sorgen","1985","35-65 Jahre alt","Hauptschulabschluss","673","0.297959420406602","0.278865198548328","0.317053642264875"
"Einige Sorgen","1985","35-65 Jahre alt","Realschulabschluss","126","0.28842106203397","0.245848627056087","0.330993497011852"
"Einige Sorgen","1985","35-65 Jahre alt","(Fach-)Abitur","38","0.218597745602951","0.152677352779422","0.28451813842648"
"Einige Sorgen","1985","35-65 Jahre alt","AkademikerInnen","67","0.173653319113115","0.135002598469959","0.21230403975627"
"Einige Sorgen","1985","66 und älter","(noch) kein Abschluss","","","",""
"Einige Sorgen","1985","66 und älter","Hauptschulabschluss","","","",""
"Einige Sorgen","1985","66 und älter","Realschulabschluss","","","",""
"Einige Sorgen","1985","66 und älter","(Fach-)Abitur","","","",""
"Einige Sorgen","1985","66 und älter","AkademikerInnen","","","",""
"Keine Sorgen","1985","16-34 Jahre alt","(noch) kein Abschluss","47","0.37974384986799","0.291042529429695","0.468445170306284"
"Keine Sorgen","1985","16-34 Jahre alt","Hauptschulabschluss","595","0.487026948956631","0.459991131870385","0.514062766042876"
"Keine Sorgen","1985","16-34 Jahre alt","Realschulabschluss","408","0.635384042431987","0.59803549298253","0.672732591881445"
"Keine Sorgen","1985","16-34 Jahre alt","(Fach-)Abitur","128","0.618601760081234","0.556891904444894","0.680311615717574"
"Keine Sorgen","1985","16-34 Jahre alt","AkademikerInnen","120","0.691784055003313","0.623565175447756","0.760002934558871"
"Keine Sorgen","1985","35-65 Jahre alt","(noch) kein Abschluss","171","0.443788013696959","0.394352371060993","0.493223656332925"
"Keine Sorgen","1985","35-65 Jahre alt","Hauptschulabschluss","1178","0.566489421279","0.54580049043474","0.587178352123259"
"Keine Sorgen","1985","35-65 Jahre alt","Realschulabschluss","275","0.632443390097553","0.587135231699895","0.677751548495212"
"Keine Sorgen","1985","35-65 Jahre alt","(Fach-)Abitur","93","0.709569637820271","0.637163040689965","0.781976234950577"
"Keine Sorgen","1985","35-65 Jahre alt","AkademikerInnen","280","0.772109139763807","0.729309737024652","0.814908542502961"
"Keine Sorgen","1985","66 und älter","(noch) kein Abschluss","","","",""
"Keine Sorgen","1985","66 und älter","Hauptschulabschluss","","","",""
"Keine Sorgen","1985","66 und älter","Realschulabschluss","","","",""
"Keine Sorgen","1985","66 und älter","(Fach-)Abitur","","","",""
"Keine Sorgen","1985","66 und älter","AkademikerInnen","","","",""
"Grosse Sorgen","1986","16-34 Jahre alt","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1986","16-34 Jahre alt","Hauptschulabschluss","212","0.154560847379015","0.134703336351706","0.174418358406324"
"Grosse Sorgen","1986","16-34 Jahre alt","Realschulabschluss","67","0.0984419898394943","0.0750861702264571","0.121797809452531"
"Grosse Sorgen","1986","16-34 Jahre alt","(Fach-)Abitur","40","0.122411438291813","0.0824947331092956","0.162328143474331"
"Grosse Sorgen","1986","16-34 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1986","35-65 Jahre alt","(noch) kein Abschluss","78","0.251300449488106","0.206678843463101","0.295922055513112"
"Grosse Sorgen","1986","35-65 Jahre alt","Hauptschulabschluss","313","0.130818980878424","0.116182725595114","0.145455236161733"
"Grosse Sorgen","1986","35-65 Jahre alt","Realschulabschluss","30","0.0797281618299079","0.0534768882075191","0.105979435452297"
"Grosse Sorgen","1986","35-65 Jahre alt","(Fach-)Abitur","","","",""
"Grosse Sorgen","1986","35-65 Jahre alt","AkademikerInnen","","","",""
"Grosse Sorgen","1986","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1986","66 und älter","Hauptschulabschluss","","","",""
"Grosse Sorgen","1986","66 und älter","Realschulabschluss","","","",""
"Grosse Sorgen","1986","66 und älter","(Fach-)Abitur","","","",""
"Grosse Sorgen","1986","66 und älter","AkademikerInnen","","","",""
"Einige Sorgen","1986","16-34 Jahre alt","(noch) kein Abschluss","46","0.411895342410434","0.321148897669946","0.502641787150922"
"Einige Sorgen","1986","16-34 Jahre alt","Hauptschulabschluss","436","0.340863308539181","0.314825060449107","0.366901556629255"
"Einige Sorgen","1986","16-34 Jahre alt","Realschulabschluss","153","0.235451758591235","0.202188752259845","0.268714764922625"
"Einige Sorgen","1986","16-34 Jahre alt","(Fach-)Abitur","81","0.315068758951859","0.25849378431093","0.371643733592788"
"Einige Sorgen","1986","16-34 Jahre alt","AkademikerInnen","49","0.27791029332169","0.21191554890937","0.343905037734009"
"Einige Sorgen","1986","35-65 Jahre alt","(noch) kein Abschluss","136","0.35745423720182","0.308153088848304","0.406755385555335"
"Einige Sorgen","1986","35-65 Jahre alt","Hauptschulabschluss","628","0.297470467134798","0.277628090048282","0.317312844221315"
