"plh0042","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1984","(Fach-)Abitur","121","","",""
"Einige Sorgen","1984","(noch) kein Abschluss","210","","",""
"Einige Sorgen","1984","AkademikerIn","123","","",""
"Einige Sorgen","1984","Hauptschule","1318","","",""
"Einige Sorgen","1984","Realschule","338","0.301254858516381","0.274408950795515","0.328100766237246"
"Grosse Sorgen","1984","(Fach-)Abitur","74","0.134294227720303","0.10160732430131","0.166981131139295"
"Grosse Sorgen","1984","(noch) kein Abschluss","190","","",""
"Grosse Sorgen","1984","AkademikerIn","53","0.0827131654390918","0.0601401292631385","0.105286201615045"
"Grosse Sorgen","1984","Hauptschule","887","0.199754619852465","0.18730829098555","0.21220094871938"
"Grosse Sorgen","1984","Realschule","128","","",""
"Keine Sorgen","1984","(Fach-)Abitur","223","","",""
"Keine Sorgen","1984","(noch) kein Abschluss","222","","",""
"Keine Sorgen","1984","AkademikerIn","396","0.707834218025311","0.67056669498343","0.745101741067192"
"Keine Sorgen","1984","Hauptschule","1759","","",""
"Keine Sorgen","1984","Realschule","656","0.580841335323504","0.551969815628109","0.609712855018899"
"Einige Sorgen","1985","(Fach-)Abitur","113","","",""
"Einige Sorgen","1985","(noch) kein Abschluss","188","","",""
"Einige Sorgen","1985","AkademikerIn","100","","",""
"Einige Sorgen","1985","Hauptschule","1147","","",""
"Einige Sorgen","1985","Realschule","300","0.279973036972813","0.253133418193741","0.306812655751886"
"Grosse Sorgen","1985","(Fach-)Abitur","52","0.0796416126557472","0.052771821095499","0.106511404215995"
"Grosse Sorgen","1985","(noch) kein Abschluss","91","0.21001658493231","0.173877765342663","0.246155404521957"
"Grosse Sorgen","1985","AkademikerIn","45","0.0761023391945065","0.0538609091966336","0.0983437691923794"
"Grosse Sorgen","1985","Hauptschule","584","0.140621262673796","0.129140487456968","0.152102037890623"
"Grosse Sorgen","1985","Realschule","90","0.0852384119011973","0.0685461383364959","0.101930685465899"
"Keine Sorgen","1985","(Fach-)Abitur","225","","",""
"Keine Sorgen","1985","(noch) kein Abschluss","209","","",""
"Keine Sorgen","1985","AkademikerIn","401","0.7483128421481","0.711910955149668","0.784714729146532"
"Keine Sorgen","1985","Hauptschule","1791","","",""
"Keine Sorgen","1985","Realschule","685","0.634788551125989","0.606005913273304","0.663571188978675"
"Einige Sorgen","1986","(Fach-)Abitur","117","","",""
"Einige Sorgen","1986","(noch) kein Abschluss","179","","",""
"Einige Sorgen","1986","AkademikerIn","126","","",""
"Einige Sorgen","1986","Hauptschule","1060","","",""
"Einige Sorgen","1986","Realschule","259","","",""
"Grosse Sorgen","1986","(Fach-)Abitur","61","0.112763381640654","0.081958158851737","0.143568604429571"
"Grosse Sorgen","1986","(noch) kein Abschluss","106","","",""
"Grosse Sorgen","1986","AkademikerIn","42","0.0689127691503691","0.0477624303893376","0.0900631079114005"
"Grosse Sorgen","1986","Hauptschule","524","0.138740843966015","0.126964697838379","0.150516990093652"
"Grosse Sorgen","1986","Realschule","97","0.0904950086018074","0.073025404238743","0.107964612964872"
"Keine Sorgen","1986","(Fach-)Abitur","227","","",""
"Keine Sorgen","1986","(noch) kein Abschluss","179","","",""
"Keine Sorgen","1986","AkademikerIn","383","0.70502367607908","0.666946237877424","0.743101114280737"
"Keine Sorgen","1986","Hauptschule","1726","","",""
"Keine Sorgen","1986","Realschule","680","0.664560751475683","0.635810443859385","0.693311059091981"
"Einige Sorgen","1987","(Fach-)Abitur","123","","",""
"Einige Sorgen","1987","(noch) kein Abschluss","177","","",""
"Einige Sorgen","1987","AkademikerIn","112","","",""
"Einige Sorgen","1987","Hauptschule","1205","","",""
"Einige Sorgen","1987","Realschule","314","0.284424075420998","0.25756788005052","0.311280270791477"
"Grosse Sorgen","1987","(Fach-)Abitur","42","0.0600791562946773","0.0365850262288864","0.0835732863604681"
"Grosse Sorgen","1987","(noch) kein Abschluss","78","0.194264805870543","0.157912193646248","0.230617418094838"
"Grosse Sorgen","1987","AkademikerIn","40","0.0619094068910461","0.0416396337353665","0.0821791800467256"
"Grosse Sorgen","1987","Hauptschule","444","0.117600703235857","0.106705250497955","0.128496155973759"
"Grosse Sorgen","1987","Realschule","92","0.075897519981193","0.0601320358989099","0.091663004063476"
"Keine Sorgen","1987","(Fach-)Abitur","228","","",""
"Keine Sorgen","1987","(noch) kein Abschluss","200","","",""
"Keine Sorgen","1987","AkademikerIn","391","0.734494060669281","0.697350850073794","0.771637271264768"
"Keine Sorgen","1987","Hauptschule","1709","","",""
"Keine Sorgen","1987","Realschule","678","0.639678404597809","0.611098587807036","0.668258221388582"
"Einige Sorgen","1988","(Fach-)Abitur","114","","",""
"Einige Sorgen","1988","(noch) kein Abschluss","157","","",""
"Einige Sorgen","1988","AkademikerIn","123","","",""
"Einige Sorgen","1988","Hauptschule","1185","","",""
"Einige Sorgen","1988","Realschule","311","0.298576519411989","0.27088298908265","0.326270049741327"
"Grosse Sorgen","1988","(Fach-)Abitur","49","0.0908802677308339","0.0619800154639111","0.119780519997757"
"Grosse Sorgen","1988","(noch) kein Abschluss","91","0.279815633726742","0.235878296118377","0.323752971335107"
"Grosse Sorgen","1988","AkademikerIn","38","0.0649118996239665","0.0437971628755438","0.0860266363723892"
"Grosse Sorgen","1988","Hauptschule","513","0.139501424095524","0.127425189065982","0.151577659125065"
"Grosse Sorgen","1988","Realschule","98","0.0853678754561952","0.0684583737812956","0.102277377131095"
"Keine Sorgen","1988","(Fach-)Abitur","217","","",""
"Keine Sorgen","1988","(noch) kein Abschluss","153","","",""
"Keine Sorgen","1988","AkademikerIn","362","0.708615157582258","0.669671571222028","0.747558743942488"
"Keine Sorgen","1988","Hauptschule","1464","","",""
"Keine Sorgen","1988","Realschule","640","0.616055605131816","0.586624642351977","0.645486567911656"
"Einige Sorgen","1989","(Fach-)Abitur","110","","",""
"Einige Sorgen","1989","(noch) kein Abschluss","129","","",""
"Einige Sorgen","1989","AkademikerIn","115","","",""
"Einige Sorgen","1989","Hauptschule","1002","","",""
"Einige Sorgen","1989","Realschule","286","","",""
"Grosse Sorgen","1989","(Fach-)Abitur","28","","",""
"Grosse Sorgen","1989","(noch) kein Abschluss","62","0.190844257348809","0.150857448677354","0.230831066020263"
"Grosse Sorgen","1989","AkademikerIn","18","","",""
"Grosse Sorgen","1989","Hauptschule","325","0.0908142162781062","0.0806679681297323","0.10096046442648"
"Grosse Sorgen","1989","Realschule","61","0.0554720632166942","0.0417182905861417","0.0692258358472468"
"Keine Sorgen","1989","(Fach-)Abitur","257","","",""
"Keine Sorgen","1989","(noch) kein Abschluss","180","","",""
"Keine Sorgen","1989","AkademikerIn","393","0.773338908186271","0.737559871981529","0.809117944391012"
"Keine Sorgen","1989","Hauptschule","1754","","",""
"Keine Sorgen","1989","Realschule","717","0.683112391586353","0.655156330086409","0.711068453086296"
"Einige Sorgen","1990","(Fach-)Abitur","148","","",""
"Einige Sorgen","1990","(noch) kein Abschluss","144","","",""
"Einige Sorgen","1990","AkademikerIn","547","0.343080301571824","0.317886428335757","0.368274174807891"
"Einige Sorgen","1990","Hauptschule","1410","","",""
"Einige Sorgen","1990","Realschule","824","0.297636170399959","0.279366773849826","0.315905566950091"
"Grosse Sorgen","1990","(Fach-)Abitur","49","0.0590452380444036","0.0377356048996358","0.0803548711891714"
"Grosse Sorgen","1990","(noch) kein Abschluss","82","0.253098204353141","0.209033732037945","0.297162676668337"
"Grosse Sorgen","1990","AkademikerIn","298","","",""
"Grosse Sorgen","1990","Hauptschule","826","0.159800756282819","0.148503207530557","0.171098305035081"
"Grosse Sorgen","1990","Realschule","568","0.163027085858328","0.148267102625434","0.177787069091223"
"Keine Sorgen","1990","(Fach-)Abitur","273","","",""
"Keine Sorgen","1990","(noch) kein Abschluss","148","","",""
"Keine Sorgen","1990","AkademikerIn","519","0.502634705331125","0.476100573615291","0.52916883704696"
"Keine Sorgen","1990","Hauptschule","1805","","",""
"Keine Sorgen","1990","Realschule","1014","","",""
"Einige Sorgen","1991","(Fach-)Abitur","132","","",""
"Einige Sorgen","1991","(noch) kein Abschluss","137","","",""
"Einige Sorgen","1991","AkademikerIn","415","0.262822491296517","0.238642775539666","0.287002207053367"
"Einige Sorgen","1991","Hauptschule","1091","","",""
"Einige Sorgen","1991","Realschule","630","0.244478790982399","0.226621029905365","0.262336552059433"
"Grosse Sorgen","1991","(Fach-)Abitur","48","0.0587416212106116","0.0382129795172224","0.0792702629040009"
