year,pgisced97,pli0081,proportion,n,lower_confidence,upper_confidence
1990,middle vocational,Min 1x pro Woche,0.18867509620670697,18165,0.18298534778813896,0.19436484462527498
1990,middle vocational,Min 1x pro Monat,0.1515118196811435,18165,0.1462976576147358,0.1567259817475512
1990,middle vocational,Seltener,0.10896096756459593,18165,0.10442967388561357,0.1134922612435783
1990,general elemantary,Min 1x pro Woche,0.10093457943925234,18165,0.09655377358989944,0.10531538528860523
1990,general elemantary,Min 1x pro Monat,0.06904892798240791,18165,0.06536186744230031,0.07273598852251552
1990,general elemantary,Seltener,0.05046728971962617,18165,0.04728383756944472,0.05365074186980762
1990,middle vocational,Taeglich,0.033534909290819134,18165,0.030916846706518515,0.03615297187511975
1990,inadequately,Min 1x pro Woche,0.02891698735568994,18165,0.02648005726088784,0.03135391745049204
1990,general elemantary,Taeglich,0.026388125343595383,18165,0.02405716132073973,0.028719089366451036
1990,higher education,Min 1x pro Monat,0.02495876855415063,18165,0.022690150219453958,0.027227386888847304
1990,higher education,Seltener,0.024299065420560748,18165,0.022059872481970073,0.026538258359151422
1990,higher education,Min 1x pro Woche,0.023749312809235843,18165,0.021534971457149395,0.02596365416132229
1990,higher vocational,Min 1x pro Monat,0.020560747663551402,18165,0.018497047615379132,0.022624447711723672
1990,higher vocational,Min 1x pro Woche,0.0177020340846619,18165,0.01578437421960184,0.01961969394972196
1990,general elemantary,Nie,0.01440351841671248,18165,0.012670822952099025,0.016136213881325932
1990,higher vocational,Seltener,0.014183617372182518,18165,0.012464007660123877,0.015903227084241158
1990,middle vocational,Nie,0.014073666849917538,18165,0.01236063973798597,0.015786693961849105
1990,inadequately,Min 1x pro Monat,0.012424409015942826,18165,0.010813535601851249,0.014035282430034404
1990,vocational + Abi,Min 1x pro Woche,0.01154480483782298,18165,0.009991308755892126,0.013098300919753834
1990,inadequately,Seltener,0.011105002748763056,18165,0.00958104546014486,0.012628960037381252
1990,vocational + Abi,Min 1x pro Monat,0.009895547003848268,18165,0.008456089724918797,0.01133500428277774
1990,inadequately,Taeglich,0.008466190214403518,18165,0.007133785548297693,0.009798594880509343
1990,vocational + Abi,Seltener,0.008026388125343595,18165,0.006728765204173795,0.009324011046513396
1990,inadequately,Nie,0.006706981858163826,18165,0.005520009439555716,0.007893954276771937
1990,higher vocational,Taeglich,0.003188565145684442,18165,0.002368699812727202,0.004008430478641681
1990,in school,Seltener,0.003188565145684442,18165,0.002368699812727202,0.004008430478641681
1990,in school,Min 1x pro Monat,0.0030786146234194614,18165,0.0022729644769378743,0.0038842647699010484
1990,in school,Min 1x pro Woche,0.002308960967564596,18165,0.0016109781980835122,0.0030069437370456795
1990,higher education,Taeglich,0.002308960967564596,18165,0.0016109781980835122,0.0030069437370456795
1990,vocational + Abi,Nie,0.00142935678944475,18165,0.0008799448514983937,0.0019787687273911062
1990,higher education,Nie,0.0012094557449147884,18165,0.0007040146234003295,0.0017148968664292474
1990,vocational + Abi,Taeglich,0.0009895547003848269,18165,0.0005323156776899153,0.0014467937230797385
1990,in school,Nie,0.0007696536558548653,18165,0.00036636236258214623,0.0011729449491275845
1990,higher vocational,Nie,0.0007696536558548653,18165,0.00036636236258214623,0.0011729449491275845
1990,in school,Taeglich,0.00021990104452996153,18165,4.273488650423e-06,0.0004355286004095
1995,middle vocational,Min 1x pro Woche,0.2151272384542884,17246,0.208994432686481,0.22126004422209583
1995,middle vocational,Min 1x pro Monat,0.15229343386742067,17246,0.1469308358462115,0.15765603188862984
1995,middle vocational,Seltener,0.10179076343072573,17246,0.09727787263317876,0.10630365422827269
1995,general elemantary,Min 1x pro Woche,0.08027018535972354,17246,0.07621492123203494,0.08432544948741214
1995,higher education,Min 1x pro Monat,0.04948162111215834,17246,0.04624483427322249,0.05271840795109419
1995,general elemantary,Min 1x pro Monat,0.047832233741753064,17246,0.044647090637219035,0.05101737684628709
1995,higher education,Min 1x pro Woche,0.04759660697455231,17246,0.04441892562838667,0.050774288320717946
1995,middle vocational,Taeglich,0.043512409676405905,17246,0.040467614255889454,0.046557205096922356
1995,general elemantary,Seltener,0.03361608545397424,17246,0.03092603580118312,0.03630613510676535
1995,higher education,Seltener,0.03110273327049953,17246,0.028511837012023054,0.033693629528976005
1995,higher vocational,Min 1x pro Woche,0.023641218975808984,17246,0.021373696860026298,0.02590874109159167
1995,general elemantary,Taeglich,0.019242852654728245,17246,0.0171925057423239,0.02129319956713259
1995,higher vocational,Min 1x pro Monat,0.01916431039899466,17246,0.017118070216658694,0.021210550581330628
1995,inadequately,Min 1x pro Woche,0.01885014137606032,17246,0.016820417973367734,0.020879864778752904
1995,vocational + Abi,Min 1x pro Woche,0.014608859566446749,17246,0.012818153255308998,0.0163995658775845
1995,higher vocational,Seltener,0.012488218661639962,17246,0.010830796008075079,0.014145641315204845
1995,middle vocational,Nie,0.012174049638705624,17246,0.01053734757479298,0.013810751702618269
1995,vocational + Abi,Min 1x pro Monat,0.010995915802701853,17246,0.009439496436963204,0.012552335168440502
1995,general elemantary,Nie,0.00840402136349356,17246,0.007041564275008842,0.009766478451978276
1995,vocational + Abi,Seltener,0.007932767829092052,17246,0.0066087470376811645,0.00925678862050294
1995,inadequately,Min 1x pro Monat,0.0073044297832233745,17246,0.00603352480247931,0.008575334763967438
1995,higher education,Taeglich,0.006440464970153943,17246,0.005246566379662856,0.00763436356064503
1995,inadequately,Taeglich,0.0059692114357524344,17246,0.0048195491631876025,0.007118873708317266
1995,inadequately,Seltener,0.005262331134150173,17246,0.0041825014822430995,0.0063421607860572465
1995,in school,Min 1x pro Monat,0.004005655042412818,17246,0.003062947265458225,0.004948362819367412
1995,inadequately,Nie,0.0036914860194784795,17246,0.002786359237999458,0.004596612800957502
1995,in school,Min 1x pro Woche,0.00353440150801131,17246,0.00264867227749062,0.004420130738532001
1995,higher vocational,Taeglich,0.0032202324850769716,17246,0.0023746517089404283,0.004065813261213515
1995,higher education,Nie,0.0027489789506754633,17246,0.0019675314032211962,0.0035304264981297303
1995,in school,Seltener,0.0025133521834747093,17246,0.0017660571427386834,0.0032606472242107352
1995,vocational + Abi,Taeglich,0.0022777254162739554,17246,0.0015662377130053718,0.002989213119542539
1995,vocational + Abi,Nie,0.0010995915802701854,17246,0.0006049522121626996,0.0015942309483776714
1995,higher vocational,Nie,0.000706880301602262,17246,0.0003102085546540011,0.001103552048550523
1995,in school,Taeglich,0.000706880301602262,17246,0.0003102085546540011,0.001103552048550523
1995,in school,Nie,0.00039271127866792333,17246,9.700314195554407e-05,0.0006884194153803026
1998,middle vocational,Min 1x pro Woche,0.22258936617602884,18147,0.21653691776192993,0.22864181459012775
1998,middle vocational,Min 1x pro Monat,0.15379993992189847,18147,0.14855104038443603,0.1590488394593609
