year,pgisced97,quintil_oecd,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Primary Level,1st Quintile,Daily,0.11069,32,212,0.06835,0.15302
1990,Primary Level,1st Quintile,At least once per week,0.34511,86,212,0.28096,0.40925
1990,Primary Level,1st Quintile,At least once per month,0.18552,48,212,0.13307,0.23797
1990,Primary Level,1st Quintile,Seldom,0.21929,46,212,0.16346,0.27513
1990,Primary Level,2nd Quintile,At least once per week,0.37031,63,63,0.25011,0.49051
1990,Primary Level,3rd Quintile,At least once per week,0.41952,65,65,0.29862,0.54043
1990,Primary Level,4th Quintile,At least once per week,0.35329,35,35,0.19262,0.51396
1990,Lower Secondary Level,1st Quintile,Daily,0.12127,83,726,0.09750,0.14503
1990,Lower Secondary Level,1st Quintile,At least once per week,0.36601,301,726,0.33094,0.40107
1990,Lower Secondary Level,1st Quintile,At least once per month,0.24066,151,726,0.20954,0.27178
1990,Lower Secondary Level,1st Quintile,Seldom,0.21137,141,726,0.18165,0.24109
1990,Lower Secondary Level,1st Quintile,Never,0.05687,50,726,0.04001,0.07373
1990,Lower Secondary Level,2nd Quintile,Daily,0.09481,55,554,0.07039,0.11922
1990,Lower Secondary Level,2nd Quintile,At least once per week,0.37917,234,554,0.33873,0.41961
1990,Lower Secondary Level,2nd Quintile,At least once per month,0.32614,167,554,0.28707,0.36521
1990,Lower Secondary Level,2nd Quintile,Seldom,0.18033,98,554,0.14829,0.21238
1990,Lower Secondary Level,3rd Quintile,Daily,0.10126,54,466,0.07384,0.12868
1990,Lower Secondary Level,3rd Quintile,At least once per week,0.35965,180,466,0.31603,0.40327
1990,Lower Secondary Level,3rd Quintile,At least once per month,0.29007,125,466,0.24882,0.33132
1990,Lower Secondary Level,3rd Quintile,Seldom,0.20565,107,466,0.16892,0.24239
1990,Lower Secondary Level,4th Quintile,At least once per week,0.36389,163,377,0.31526,0.41252
1990,Lower Secondary Level,4th Quintile,At least once per month,0.34125,139,377,0.29332,0.38917
1990,Lower Secondary Level,4th Quintile,Seldom,0.18165,75,377,0.14268,0.22063
1990,Lower Secondary Level,5th Quintile,At least once per week,0.31847,68,188,0.25169,0.38524
1990,Lower Secondary Level,5th Quintile,At least once per month,0.31188,62,188,0.24548,0.37827
1990,Lower Secondary Level,5th Quintile,Seldom,0.22206,58,188,0.16248,0.28163
1990,Upper Secondary Level,1st Quintile,Daily,0.08571,62,685,0.06473,0.10668
1990,Upper Secondary Level,1st Quintile,At least once per week,0.37119,269,685,0.33498,0.40740
1990,Upper Secondary Level,1st Quintile,At least once per month,0.28971,194,685,0.25572,0.32371
1990,Upper Secondary Level,1st Quintile,Seldom,0.21995,160,685,0.18891,0.25099
1990,Upper Secondary Level,2nd Quintile,Daily,0.05776,55,872,0.04226,0.07325
1990,Upper Secondary Level,2nd Quintile,At least once per week,0.41345,379,872,0.38075,0.44616
1990,Upper Secondary Level,2nd Quintile,At least once per month,0.30924,270,872,0.27855,0.33994
1990,Upper Secondary Level,2nd Quintile,Seldom,0.19700,168,872,0.17058,0.22341
1990,Upper Secondary Level,3rd Quintile,Daily,0.06909,68,962,0.05305,0.08512
1990,Upper Secondary Level,3rd Quintile,At least once per week,0.37017,370,962,0.33964,0.40069
1990,Upper Secondary Level,3rd Quintile,At least once per month,0.32040,286,962,0.29090,0.34990
1990,Upper Secondary Level,3rd Quintile,Seldom,0.22029,203,962,0.19408,0.24649
1990,Upper Secondary Level,3rd Quintile,Never,0.01731,35,962,0.00907,0.02556
1990,Upper Secondary Level,4th Quintile,Daily,0.05796,68,1023,0.04364,0.07229
1990,Upper Secondary Level,4th Quintile,At least once per week,0.35057,383,1023,0.32131,0.37982
1990,Upper Secondary Level,4th Quintile,At least once per month,0.33422,338,1023,0.30530,0.36314
1990,Upper Secondary Level,4th Quintile,Seldom,0.22764,234,1023,0.20193,0.25335
1990,Upper Secondary Level,5th Quintile,Daily,0.04178,53,890,0.02863,0.05494
1990,Upper Secondary Level,5th Quintile,At least once per week,0.33910,319,890,0.30798,0.37022
1990,Upper Secondary Level,5th Quintile,At least once per month,0.32494,290,890,0.29415,0.35573
1990,Upper Secondary Level,5th Quintile,Seldom,0.27091,228,890,0.24169,0.30012
1990,First Stage of Tertiary Education,3rd Quintile,At least once per month,0.40226,39,39,0.24635,0.55817
1990,First Stage of Tertiary Education,4th Quintile,At least once per week,0.31613,35,80,0.21360,0.41867
1990,First Stage of Tertiary Education,4th Quintile,At least once per month,0.40223,45,80,0.29410,0.51036
1990,First Stage of Tertiary Education,5th Quintile,At least once per week,0.33144,56,163,0.25895,0.40393
1990,First Stage of Tertiary Education,5th Quintile,At least once per month,0.31645,60,163,0.24483,0.38807
1990,First Stage of Tertiary Education,5th Quintile,Seldom,0.29185,47,163,0.22184,0.36185
1990,Second Stage of Tertiary Education,3rd Quintile,At least once per week,0.35089,31,65,0.23397,0.46782
1990,Second Stage of Tertiary Education,3rd Quintile,At least once per month,0.35490,34,65,0.23767,0.47212
1990,Second Stage of Tertiary Education,4th Quintile,At least once per week,0.38172,62,148,0.30319,0.46026
1990,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.28411,41,148,0.21120,0.35701
1990,Second Stage of Tertiary Education,4th Quintile,Seldom,0.28968,45,148,0.21635,0.36301
1990,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.29781,93,342,0.24927,0.34634
1990,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.33762,123,342,0.28743,0.38782
1990,Second Stage of Tertiary Education,5th Quintile,Seldom,0.32537,126,342,0.27564,0.37509
1995,Pre-primary Level,3rd Quintile,At least once per month,0.40426,31,31,0.22864,0.57987
1995,Primary Level,1st Quintile,At least once per week,0.33196,88,124,0.24874,0.41519
1995,Primary Level,1st Quintile,At least once per month,0.25950,36,124,0.18203,0.33697
1995,Primary Level,2nd Quintile,At least once per week,0.42845,72,72,0.31335,0.54356
1995,Primary Level,3rd Quintile,At least once per week,0.27752,40,40,0.13698,0.41805
1995,Lower Secondary Level,1st Quintile,Daily,0.14538,96,710,0.11944,0.17133
1995,Lower Secondary Level,1st Quintile,At least once per week,0.37046,292,710,0.33491,0.40600
1995,Lower Secondary Level,1st Quintile,At least once per month,0.20068,158,710,0.17120,0.23017
1995,Lower Secondary Level,1st Quintile,Seldom,0.22274,130,710,0.19212,0.25337
1995,Lower Secondary Level,1st Quintile,Never,0.05260,34,710,0.03616,0.06903
1995,Lower Secondary Level,2nd Quintile,Daily,0.10133,55,564,0.07640,0.12626
1995,Lower Secondary Level,2nd Quintile,At least once per week,0.44490,269,564,0.40385,0.48595
1995,Lower Secondary Level,2nd Quintile,At least once per month,0.21355,120,564,0.17970,0.24740
