"pli0081","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","1998","Hauptschule","115","","",""
"Nie","1998","Realschule","41","0.0161205366540274","0.0118697921347037","0.0203712811733511"
"Nie","1998","(Fach-)Abitur","19","","",""
"Nie","1998","AkademikerIn","31","0.0240812449516994","0.0173047887753564","0.0308577011280424"
"Taeglich","1999","(noch) kein Abschluss","","","",""
"Taeglich","1999","Hauptschule","","","",""
"Taeglich","1999","Realschule","","","",""
"Taeglich","1999","(Fach-)Abitur","","","",""
"Taeglich","1999","AkademikerIn","","","",""
"Min 1x pro Woche","1999","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1999","Hauptschule","","","",""
"Min 1x pro Woche","1999","Realschule","","","",""
"Min 1x pro Woche","1999","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1999","AkademikerIn","","","",""
"Min 1x pro Monat","1999","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1999","Hauptschule","","","",""
"Min 1x pro Monat","1999","Realschule","","","",""
"Min 1x pro Monat","1999","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1999","AkademikerIn","","","",""
"Seltener","1999","(noch) kein Abschluss","","","",""
"Seltener","1999","Hauptschule","","","",""
"Seltener","1999","Realschule","","","",""
"Seltener","1999","(Fach-)Abitur","","","",""
"Seltener","1999","AkademikerIn","","","",""
"Nie","1999","(noch) kein Abschluss","","","",""
"Nie","1999","Hauptschule","","","",""
"Nie","1999","Realschule","","","",""
"Nie","1999","(Fach-)Abitur","","","",""
"Nie","1999","AkademikerIn","","","",""
"Taeglich","2000","(noch) kein Abschluss","","","",""
"Taeglich","2000","Hauptschule","","","",""
"Taeglich","2000","Realschule","","","",""
"Taeglich","2000","(Fach-)Abitur","","","",""
"Taeglich","2000","AkademikerIn","","","",""
"Min 1x pro Woche","2000","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2000","Hauptschule","","","",""
"Min 1x pro Woche","2000","Realschule","","","",""
"Min 1x pro Woche","2000","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2000","AkademikerIn","","","",""
"Min 1x pro Monat","2000","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2000","Hauptschule","","","",""
"Min 1x pro Monat","2000","Realschule","","","",""
"Min 1x pro Monat","2000","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2000","AkademikerIn","","","",""
"Seltener","2000","(noch) kein Abschluss","","","",""
"Seltener","2000","Hauptschule","","","",""
"Seltener","2000","Realschule","","","",""
"Seltener","2000","(Fach-)Abitur","","","",""
"Seltener","2000","AkademikerIn","","","",""
"Nie","2000","(noch) kein Abschluss","","","",""
"Nie","2000","Hauptschule","","","",""
"Nie","2000","Realschule","","","",""
"Nie","2000","(Fach-)Abitur","","","",""
"Nie","2000","AkademikerIn","","","",""
"Taeglich","2001","(noch) kein Abschluss","","","",""
"Taeglich","2001","Hauptschule","","","",""
"Taeglich","2001","Realschule","","","",""
"Taeglich","2001","(Fach-)Abitur","","","",""
"Taeglich","2001","AkademikerIn","","","",""
"Min 1x pro Woche","2001","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2001","Hauptschule","","","",""
"Min 1x pro Woche","2001","Realschule","","","",""
"Min 1x pro Woche","2001","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2001","AkademikerIn","","","",""
"Min 1x pro Monat","2001","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2001","Hauptschule","","","",""
"Min 1x pro Monat","2001","Realschule","","","",""
"Min 1x pro Monat","2001","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2001","AkademikerIn","","","",""
"Seltener","2001","(noch) kein Abschluss","","","",""
"Seltener","2001","Hauptschule","","","",""
"Seltener","2001","Realschule","","","",""
"Seltener","2001","(Fach-)Abitur","","","",""
"Seltener","2001","AkademikerIn","","","",""
"Nie","2001","(noch) kein Abschluss","","","",""
"Nie","2001","Hauptschule","","","",""
"Nie","2001","Realschule","","","",""
"Nie","2001","(Fach-)Abitur","","","",""
"Nie","2001","AkademikerIn","","","",""
"Taeglich","2002","(noch) kein Abschluss","","","",""
"Taeglich","2002","Hauptschule","","","",""
"Taeglich","2002","Realschule","","","",""
"Taeglich","2002","(Fach-)Abitur","","","",""
"Taeglich","2002","AkademikerIn","","","",""
"Min 1x pro Woche","2002","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2002","Hauptschule","","","",""
"Min 1x pro Woche","2002","Realschule","","","",""
"Min 1x pro Woche","2002","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2002","AkademikerIn","","","",""
"Min 1x pro Monat","2002","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2002","Hauptschule","","","",""
"Min 1x pro Monat","2002","Realschule","","","",""
"Min 1x pro Monat","2002","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2002","AkademikerIn","","","",""
"Seltener","2002","(noch) kein Abschluss","","","",""
"Seltener","2002","Hauptschule","","","",""
"Seltener","2002","Realschule","","","",""
"Seltener","2002","(Fach-)Abitur","","","",""
"Seltener","2002","AkademikerIn","","","",""
"Nie","2002","(noch) kein Abschluss","","","",""
"Nie","2002","Hauptschule","","","",""
"Nie","2002","Realschule","","","",""
"Nie","2002","(Fach-)Abitur","","","",""
"Nie","2002","AkademikerIn","","","",""
"Taeglich","2003","(noch) kein Abschluss","83","0.0886199854712503","0.0699594188567436","0.107280552085757"
"Taeglich","2003","Hauptschule","792","0.0918766359209908","0.0857039607102586","0.098049311131723"
"Taeglich","2003","Realschule","378","0.0598454993541074","0.053709720761714","0.0659812779465009"
"Taeglich","2003","(Fach-)Abitur","121","","",""
"Taeglich","2003","AkademikerIn","196","","",""
"Min 1x pro Woche","2003","(noch) kein Abschluss","292","","",""
"Min 1x pro Woche","2003","Hauptschule","3548","0.411054220282707","0.400539791790153","0.421568648775261"
"Min 1x pro Woche","2003","Realschule","2335","","",""
"Min 1x pro Woche","2003","(Fach-)Abitur","963","0.396780108810822","0.377203126873944","0.4163570907477"
"Min 1x pro Woche","2003","AkademikerIn","1487","","",""
"Min 1x pro Monat","2003","(noch) kein Abschluss","258","","",""
"Min 1x pro Monat","2003","Hauptschule","2291","","",""
"Min 1x pro Monat","2003","Realschule","1860","","",""
"Min 1x pro Monat","2003","(Fach-)Abitur","775","0.31572957544544","0.2971299377539","0.33432921313698"
"Min 1x pro Monat","2003","AkademikerIn","1551","","",""
"Seltener","2003","(noch) kein Abschluss","222","","",""
"Seltener","2003","Hauptschule","1521","","",""
"Seltener","2003","Realschule","1075","","",""
"Seltener","2003","(Fach-)Abitur","486","0.198342049805017","0.182385649702221","0.214298449907813"
"Seltener","2003","AkademikerIn","1019","","",""
"Nie","2003","(noch) kein Abschluss","36","0.0581087811448635","0.0427473918264277","0.0734701704632993"
"Nie","2003","Hauptschule","260","","",""
"Nie","2003","Realschule","93","0.0230389881871376","0.0191581580444437","0.0269198183298316"
"Nie","2003","(Fach-)Abitur","54","0.032702813318535","0.0255856736767406","0.0398199529603293"
"Nie","2003","AkademikerIn","83","0.0321365117467549","0.0268871092323453","0.0373859142611645"
"Taeglich","2004","(noch) kein Abschluss","","","",""
"Taeglich","2004","Hauptschule","","","",""
"Taeglich","2004","Realschule","","","",""
"Taeglich","2004","(Fach-)Abitur","","","",""
"Taeglich","2004","AkademikerIn","","","",""
"Min 1x pro Woche","2004","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2004","Hauptschule","","","",""
"Min 1x pro Woche","2004","Realschule","","","",""
"Min 1x pro Woche","2004","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2004","AkademikerIn","","","",""
"Min 1x pro Monat","2004","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2004","Hauptschule","","","",""
"Min 1x pro Monat","2004","Realschule","","","",""
"Min 1x pro Monat","2004","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2004","AkademikerIn","","","",""
"Seltener","2004","(noch) kein Abschluss","","","",""
"Seltener","2004","Hauptschule","","","",""
"Seltener","2004","Realschule","","","",""
"Seltener","2004","(Fach-)Abitur","","","",""
"Seltener","2004","AkademikerIn","","","",""
"Nie","2004","(noch) kein Abschluss","","","",""
"Nie","2004","Hauptschule","","","",""
"Nie","2004","Realschule","","","",""
"Nie","2004","(Fach-)Abitur","","","",""
"Nie","2004","AkademikerIn","","","",""
"Taeglich","2005","(noch) kein Abschluss","","","",""
"Taeglich","2005","Hauptschule","","","",""
"Taeglich","2005","Realschule","","","",""
"Taeglich","2005","(Fach-)Abitur","","","",""
"Taeglich","2005","AkademikerIn","","","",""
"Min 1x pro Woche","2005","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2005","Hauptschule","","","",""
"Min 1x pro Woche","2005","Realschule","","","",""
"Min 1x pro Woche","2005","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2005","AkademikerIn","","","",""
"Min 1x pro Monat","2005","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2005","Hauptschule","","","",""
"Min 1x pro Monat","2005","Realschule","","","",""
"Min 1x pro Monat","2005","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2005","AkademikerIn","","","",""
"Seltener","2005","(noch) kein Abschluss","","","",""
"Seltener","2005","Hauptschule","","","",""
"Seltener","2005","Realschule","","","",""
"Seltener","2005","(Fach-)Abitur","","","",""
"Seltener","2005","AkademikerIn","","","",""
"Nie","2005","(noch) kein Abschluss","","","",""
"Nie","2005","Hauptschule","","","",""
"Nie","2005","Realschule","","","",""
"Nie","2005","(Fach-)Abitur","","","",""
"Nie","2005","AkademikerIn","","","",""
"Taeglich","2006","(noch) kein Abschluss","","","",""
"Taeglich","2006","Hauptschule","","","",""
"Taeglich","2006","Realschule","","","",""
"Taeglich","2006","(Fach-)Abitur","","","",""
"Taeglich","2006","AkademikerIn","","","",""
"Min 1x pro Woche","2006","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2006","Hauptschule","","","",""
"Min 1x pro Woche","2006","Realschule","","","",""
"Min 1x pro Woche","2006","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2006","AkademikerIn","","","",""
"Min 1x pro Monat","2006","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2006","Hauptschule","","","",""
"Min 1x pro Monat","2006","Realschule","","","",""
"Min 1x pro Monat","2006","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2006","AkademikerIn","","","",""
"Seltener","2006","(noch) kein Abschluss","","","",""
"Seltener","2006","Hauptschule","","","",""
"Seltener","2006","Realschule","","","",""
"Seltener","2006","(Fach-)Abitur","","","",""
"Seltener","2006","AkademikerIn","","","",""
"Nie","2006","(noch) kein Abschluss","","","",""
"Nie","2006","Hauptschule","","","",""
"Nie","2006","Realschule","","","",""
"Nie","2006","(Fach-)Abitur","","","",""
"Nie","2006","AkademikerIn","","","",""
"Taeglich","2007","(noch) kein Abschluss","","","",""
"Taeglich","2007","Hauptschule","","","",""
"Taeglich","2007","Realschule","","","",""
"Taeglich","2007","(Fach-)Abitur","","","",""
"Taeglich","2007","AkademikerIn","","","",""
"Min 1x pro Woche","2007","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2007","Hauptschule","","","",""
"Min 1x pro Woche","2007","Realschule","","","",""
"Min 1x pro Woche","2007","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2007","AkademikerIn","","","",""
"Min 1x pro Monat","2007","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2007","Hauptschule","","","",""
"Min 1x pro Monat","2007","Realschule","","","",""
"Min 1x pro Monat","2007","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2007","AkademikerIn","","","",""
"Seltener","2007","(noch) kein Abschluss","","","",""
"Seltener","2007","Hauptschule","","","",""
"Seltener","2007","Realschule","","","",""
"Seltener","2007","(Fach-)Abitur","","","",""
"Seltener","2007","AkademikerIn","","","",""
"Nie","2007","(noch) kein Abschluss","","","",""
"Nie","2007","Hauptschule","","","",""
"Nie","2007","Realschule","","","",""
"Nie","2007","(Fach-)Abitur","","","",""
"Nie","2007","AkademikerIn","","","",""
"Taeglich","2008","(noch) kein Abschluss","55","0.0926876389037256","0.0682511513285071","0.117124126478944"
"Taeglich","2008","Hauptschule","688","0.0991979785834144","0.092084676398938","0.106311280767891"
"Taeglich","2008","Realschule","405","0.0717787268594857","0.0646925104973652","0.0788649432216062"
"Taeglich","2008","(Fach-)Abitur","137","","",""
"Taeglich","2008","AkademikerIn","220","","",""
"Min 1x pro Woche","2008","(noch) kein Abschluss","168","","",""
"Min 1x pro Woche","2008","Hauptschule","2801","","",""
"Min 1x pro Woche","2008","Realschule","1990","","",""
"Min 1x pro Woche","2008","(Fach-)Abitur","790","0.352128491766342","0.331990519823307","0.372266463709378"
"Min 1x pro Woche","2008","AkademikerIn","1389","","",""
"Min 1x pro Monat","2008","(noch) kein Abschluss","170","","",""
"Min 1x pro Monat","2008","Hauptschule","1784","","",""
"Min 1x pro Monat","2008","Realschule","1581","","",""
"Min 1x pro Monat","2008","(Fach-)Abitur","707","0.330951037925815","0.311111500959962","0.350790574891667"
"Min 1x pro Monat","2008","AkademikerIn","1510","","",""
"Seltener","2008","(noch) kein Abschluss","129","","",""
"Seltener","2008","Hauptschule","1322","","",""
"Seltener","2008","Realschule","1033","","",""
"Seltener","2008","(Fach-)Abitur","484","0.227308219212556","0.209638427763373","0.244978010661739"
"Seltener","2008","AkademikerIn","999","0.256959347309504","0.24371451375138","0.270204180867628"
"Nie","2008","(noch) kein Abschluss","19","","",""
"Nie","2008","Hauptschule","189","","",""
"Nie","2008","Realschule","88","0.021451240408834","0.0174737584844436","0.0254287223332243"
"Nie","2008","(Fach-)Abitur","43","0.0270043355261656","0.0201700533230071","0.0338386177293242"
"Nie","2008","AkademikerIn","63","0.0237393472189441","0.0191248404595829","0.0283538539783054"
"Taeglich","2009","(noch) kein Abschluss","","","",""
"Taeglich","2009","Hauptschule","","","",""
"Taeglich","2009","Realschule","","","",""
"Taeglich","2009","(Fach-)Abitur","","","",""
"Taeglich","2009","AkademikerIn","","","",""
"Min 1x pro Woche","2009","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2009","Hauptschule","","","",""
"Min 1x pro Woche","2009","Realschule","","","",""
"Min 1x pro Woche","2009","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2009","AkademikerIn","","","",""
"Min 1x pro Monat","2009","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2009","Hauptschule","","","",""
"Min 1x pro Monat","2009","Realschule","","","",""
"Min 1x pro Monat","2009","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2009","AkademikerIn","","","",""
"Seltener","2009","(noch) kein Abschluss","","","",""
"Seltener","2009","Hauptschule","","","",""
"Seltener","2009","Realschule","","","",""
"Seltener","2009","(Fach-)Abitur","","","",""
"Seltener","2009","AkademikerIn","","","",""
"Nie","2009","(noch) kein Abschluss","","","",""
"Nie","2009","Hauptschule","","","",""
