year,sampreg,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,male,Daily,0.04918,271,4647,0.04296,0.05539
1990,West,male,At least once per week,0.34062,1676,4647,0.32699,0.35424
1990,West,male,At least once per month,0.32359,1368,4647,0.31014,0.33704
1990,West,male,Seldom,0.25651,1124,4647,0.24396,0.26907
1990,West,male,Never,0.03011,208,4647,0.02519,0.03502
1990,West,female,Daily,0.08559,442,4772,0.07765,0.09353
1990,West,female,At least once per week,0.37404,1845,4772,0.36031,0.38777
1990,West,female,At least once per month,0.30652,1358,4772,0.29343,0.31960
1990,West,female,Seldom,0.20775,957,4772,0.19624,0.21927
1990,West,female,Never,0.02610,170,4772,0.02157,0.03062
1995,West,male,Daily,0.06163,348,4630,0.05470,0.06856
1995,West,male,At least once per week,0.34842,1777,4630,0.33470,0.36215
1995,West,male,At least once per month,0.31517,1342,4630,0.30179,0.32856
1995,West,male,Seldom,0.23939,993,4630,0.22709,0.25168
1995,West,male,Never,0.03539,170,4630,0.03007,0.04071
1995,West,female,Daily,0.09081,482,4909,0.08278,0.09885
1995,West,female,At least once per week,0.39804,2074,4909,0.38435,0.41174
1995,West,female,At least once per month,0.27769,1291,4909,0.26516,0.29022
1995,West,female,Seldom,0.20583,904,4909,0.19452,0.21714
1995,West,female,Never,0.02762,158,4909,0.02304,0.03221
1995,East,male,Daily,0.06018,101,1716,0.04892,0.07143
1995,East,male,At least once per week,0.41128,690,1716,0.38799,0.43457
1995,East,male,At least once per month,0.31718,578,1716,0.29516,0.33921
1995,East,male,Seldom,0.19369,347,1716,0.17498,0.21239
1995,East,female,Daily,0.08543,152,1928,0.07295,0.09792
1995,East,female,At least once per week,0.43202,790,1928,0.40990,0.45414
1995,East,female,At least once per month,0.29370,620,1928,0.27336,0.31403
1995,East,female,Seldom,0.16373,325,1928,0.14721,0.18026
1995,East,female,Never,0.02511,41,1928,0.01812,0.03210
1998,West,male,Daily,0.07068,416,4991,0.06357,0.07779
1998,West,male,At least once per week,0.37408,2009,4991,0.36066,0.38751
1998,West,male,At least once per month,0.30564,1436,4991,0.29286,0.31842
1998,West,male,Seldom,0.22459,1017,4991,0.21302,0.23617
1998,West,male,Never,0.02501,113,4991,0.02067,0.02934
1998,West,female,Daily,0.09736,577,5306,0.08938,0.10534
1998,West,female,At least once per week,0.41853,2326,5306,0.40526,0.43181
1998,West,female,At least once per month,0.26188,1332,5306,0.25005,0.27371
1998,West,female,Seldom,0.20276,978,5306,0.19194,0.21358
1998,West,female,Never,0.01947,93,5306,0.01575,0.02319
1998,East,male,Daily,0.05877,114,1848,0.04805,0.06950
1998,East,male,At least once per week,0.38124,690,1848,0.35909,0.40339
1998,East,male,At least once per month,0.37851,713,1848,0.35639,0.40063
1998,East,male,Seldom,0.16813,331,1848,0.15108,0.18519
1998,East,female,Daily,0.08673,167,1968,0.07429,0.09917
1998,East,female,At least once per week,0.41020,806,1968,0.38846,0.43194
1998,East,female,At least once per month,0.32761,684,1968,0.30687,0.34835
1998,East,female,Seldom,0.15912,311,1968,0.14296,0.17529
2003,West,male,Daily,0.05895,468,8046,0.05380,0.06410
2003,West,male,At least once per week,0.37492,3045,8046,0.36434,0.38549
2003,West,male,At least once per month,0.30750,2545,8046,0.29742,0.31759
2003,West,male,Seldom,0.22111,1765,8046,0.21204,0.23018
2003,West,male,Never,0.03752,223,8046,0.03337,0.04167
2003,West,female,Daily,0.08423,747,8673,0.07839,0.09008
2003,West,female,At least once per week,0.41166,3609,8673,0.40130,0.42202
2003,West,female,At least once per month,0.27353,2429,8673,0.26414,0.28291
2003,West,female,Seldom,0.19818,1664,8673,0.18979,0.20657
2003,West,female,Never,0.03240,224,8673,0.02867,0.03612
2003,East,male,Daily,0.05848,146,2570,0.04940,0.06755
2003,East,male,At least once per week,0.37308,960,2570,0.35438,0.39178
2003,East,male,At least once per month,0.34116,908,2570,0.32282,0.35949
2003,East,male,Seldom,0.20032,504,2570,0.18485,0.21580
2003,East,male,Never,0.02697,52,2570,0.02070,0.03323
2003,East,female,Daily,0.08877,232,2749,0.07813,0.09940
2003,East,female,At least once per week,0.40029,1101,2749,0.38197,0.41861
2003,East,female,At least once per month,0.31991,925,2749,0.30247,0.33735
2003,East,female,Seldom,0.17311,457,2749,0.15897,0.18726
2003,East,female,Never,0.01792,34,2749,0.01296,0.02288
2008,West,male,Daily,0.06253,453,6871,0.05681,0.06826
2008,West,male,At least once per week,0.35401,2504,6871,0.34271,0.36532
2008,West,male,At least once per month,0.31083,2147,6871,0.29988,0.32177
2008,West,male,Seldom,0.23808,1584,6871,0.22801,0.24815
2008,West,male,Never,0.03455,183,6871,0.03023,0.03887
2008,West,female,Daily,0.09165,730,7609,0.08517,0.09814
2008,West,female,At least once per week,0.39804,3023,7609,0.38704,0.40904
2008,West,female,At least once per month,0.27135,2152,7609,0.26136,0.28134
2008,West,female,Seldom,0.21208,1550,7609,0.20290,0.22127
2008,West,female,Never,0.02688,154,7609,0.02324,0.03051
2008,East,male,Daily,0.06090,140,2296,0.05111,0.07068
2008,East,male,At least once per week,0.36549,830,2296,0.34579,0.38520
2008,East,male,At least once per month,0.33812,804,2296,0.31876,0.35747
2008,East,male,Seldom,0.21022,476,2296,0.19355,0.22690
2008,East,male,Never,0.02527,46,2296,0.01885,0.03169
2008,East,female,Daily,0.09615,232,2458,0.08449,0.10781
2008,East,female,At least once per week,0.38095,965,2458,0.36174,0.40015
2008,East,female,At least once per month,0.30860,781,2458,0.29034,0.32687
2008,East,female,Seldom,0.19332,444,2458,0.17771,0.20894
2008,East,female,Never,0.02098,36,2458,0.01531,0.02665
2013,West,male,Daily,0.06140,557,8905,0.05641,0.06639
2013,West,male,At least once per week,0.33414,3231,8905,0.32434,0.34393
2013,West,male,At least once per month,0.31950,2804,8905,0.30982,0.32919
2013,West,male,Seldom,0.24578,2041,8905,0.23683,0.25472
2013,West,male,Never,0.03918,272,8905,0.03515,0.04322
2013,West,female,Daily,0.08932,1008,10817,0.08394,0.09469
2013,West,female,At least once per week,0.38266,4300,10817,0.37350,0.39182
2013,West,female,At least once per month,0.27934,3030,10817,0.27089,0.28780
2013,West,female,Seldom,0.21853,2208,10817,0.21074,0.22632
2013,West,female,Never,0.03014,271,10817,0.02692,0.03337
2013,East,male,Daily,0.07379,184,2597,0.06374,0.08385
2013,East,male,At least once per week,0.32776,889,2597,0.30971,0.34582
2013,East,male,At least once per month,0.35375,918,2597,0.33536,0.37215
2013,East,male,Seldom,0.21723,543,2597,0.20137,0.23310
2013,East,male,Never,0.02746,63,2597,0.02117,0.03374
2013,East,female,Daily,0.08999,287,3102,0.07992,0.10007
2013,East,female,At least once per week,0.39138,1244,3102,0.37421,0.40856
2013,East,female,At least once per month,0.31083,969,3102,0.29454,0.32712
2013,East,female,Seldom,0.18581,538,3102,0.17212,0.19950
2013,East,female,Never,0.02198,64,3102,0.01682,0.02714
2019,West,male,Daily,0.05773,570,9576,0.05306,0.06240
2019,West,male,At least once per week,0.33251,3345,9576,0.32307,0.34195
2019,West,male,At least once per month,0.30980,2988,9576,0.30053,0.31906
2019,West,male,Seldom,0.26129,2308,9576,0.25249,0.27009
2019,West,male,Never,0.03867,365,9576,0.03481,0.04253
2019,West,female,Daily,0.07822,810,10476,0.07307,0.08336
2019,West,female,At least once per week,0.38553,4078,10476,0.37621,0.39485
2019,West,female,At least once per month,0.28963,3048,10476,0.28094,0.29832
2019,West,female,Seldom,0.20854,2173,10476,0.20076,0.21632
2019,West,female,Never,0.03809,367,10476,0.03442,0.04175
2019,East,male,Daily,0.07126,175,2629,0.06142,0.08109
2019,East,male,At least once per week,0.33259,899,2629,0.31457,0.35060
2019,East,male,At least once per month,0.29479,849,2629,0.27735,0.31222
2019,East,male,Seldom,0.25790,610,2629,0.24117,0.27462
