syear,regtyp,pli0081,proportion,n,lower_confidence,upper_confidence
1990,Urban regions,2.0,0.30406624907102664,13886,0.2964149434638261,0.3117175546782272
1990,Urban regions,3.0,0.22104257352160528,13886,0.21414077438059145,0.2279443726626191
1990,Urban regions,4.0,0.17050642318717485,13886,0.1642511774354195,0.1767616689389302
1990,Rural regions,2.0,0.06975262766748062,13886,0.06551573947818995,0.0739895158567713
1990,Rural regions,3.0,0.06837243868775879,13886,0.06417456670563913,0.07257031066987844
1990,Urban regions,1.0,0.062427009236649324,13886,0.05840302473452667,0.06645099373877197
1990,Rural regions,4.0,0.05042998195137488,13886,0.04679019977406427,0.05406976412868549
1990,Urban regions,5.0,0.033655377428601765,13886,0.03065579541556833,0.0366549594416352
1990,Rural regions,1.0,0.013271047881940758,13886,0.011367696224712506,0.01517439953916901
1990,Rural regions,5.0,0.0064762713663870895,13886,0.005142076909640896,0.007810465823133283
1995,Urban regions,2.0,0.2688668533797593,13284,0.2613270762797978,0.2764066304797208
1995,Urban regions,3.0,0.1825751267882825,13284,0.17600556551402016,0.18914468806254484
1995,Rural regions,2.0,0.13466051018090985,13284,0.12885547271191833,0.14046554764990138
1995,Urban regions,4.0,0.12709106047990312,13284,0.1214269252920653,0.13275519566774097
1995,Rural regions,3.0,0.10741049125728559,13284,0.10214497596596729,0.1126760065486039
1995,Rural regions,4.0,0.06736810233895996,13284,0.06310550874978484,0.07163069592813508
1995,Urban regions,1.0,0.055635455302399515,13284,0.051737496022710924,0.05953341458208811
1995,Rural regions,1.0,0.026341684959503443,13284,0.023618251918153213,0.029065118000853672
1995,Urban regions,5.0,0.022102793126939673,13284,0.019602667566691635,0.02460291868718771
1995,Rural regions,5.0,0.007947922186057074,13284,0.006437891834526234,0.009457952537587914
1998,Urban regions,2.0,0.27202713205680773,14238,0.2647175038960079,0.27933676021760756
1998,Urban regions,3.0,0.18285875786052427,14238,0.1765092798287719,0.18920823589227664
