year,pli0081,regtyp,sampreg,proportion,n,lower_confidence,upper_confidence
1990,Daily,Urban regions,West,0.8242074927953891,18165,0.8186719931212681,0.82974299246951
1990,Daily,Rural regions,West,0.17579250720461095,18165,0.17025700753048997,0.18132800687873193
1990,At least once per week,Urban regions,West,0.8142486299394289,18165,0.808592975042203,0.8199042848366549
1990,At least once per week,Rural regions,West,0.1857513700605711,18165,0.18009571516334516,0.19140702495779705
1990,At least once per month,Urban regions,West,0.7630597014925373,18165,0.7568761626236957,0.7692432403613789
1990,At least once per month,Rural regions,West,0.23694029850746268,18165,0.23075675963862113,0.24312383737630422
1990,Seldom,Urban regions,West,0.7720588235294118,18165,0.7659581897046372,0.7781594573541863
1990,Seldom,Rural regions,West,0.22794117647058823,18165,0.22184054264581365,0.2340418102953628
1990,Never,Urban regions,West,0.8428184281842819,18165,0.8375253757603328,0.8481114806082309
1990,Never,Rural regions,West,0.15718157181571815,18165,0.15188851939176914,0.16247462423966716
1995,Daily,Urban regions,West,0.6304957904583723,17246,0.6232919734662017,0.637699607450543
1995,Daily,Rural regions,East,0.186155285313377,17246,0.18034603166006424,0.19196453896668975
1995,Daily,Rural regions,West,0.13564078578110383,17246,0.13053039440011346,0.1407511771620942
1995,Daily,Urban regions,East,0.047708138447146865,17246,0.044526922489380734,0.050889354404913
1995,At least once per week,Urban regions,West,0.5699619771863118,17246,0.5625729332172015,0.5773510211554221
1995,At least once per week,Rural regions,East,0.18098859315589352,17246,0.17524237039804058,0.18673481591374647
1995,At least once per week,Rural regions,West,0.15285171102661596,17246,0.1474810622505682,0.15822235980266372
1995,At least once per week,Urban regions,East,0.09619771863117871,17246,0.0917969252026184,0.10059851205973902
1995,At least once per month,Urban regions,West,0.5252525252525253,17246,0.5177995910579019,0.5327054594471488
1995,At least once per month,Rural regions,East,0.20494417862838915,17246,0.19891957491980822,0.21096878233697008
1995,At least once per month,Rural regions,West,0.16454013822434876,17246,0.15900650201764038,0.17007377443105715
1995,At least once per month,Urban regions,East,0.10526315789473684,17246,0.1006828176729043,0.10984349811656938
1995,Seldom,Urban regions,West,0.5720541401273885,17246,0.564669576079005,0.579438704175772
1995,Seldom,Rural regions,East,0.1751592356687898,17246,0.16948622684340037,0.18083224449417923
1995,Seldom,Rural regions,West,0.1675955414012739,17246,0.16202098505277046,0.17317009774977732
