year,bula_h,pgisced97,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Upper Secondary Level,At least once per week,0.28054,44,150,0.20840,0.35268
1990,Schleswig-Holstein,Upper Secondary Level,At least once per month,0.45625,73,150,0.37627,0.53622
1990,Schleswig-Holstein,Upper Secondary Level,Seldom,0.21844,33,150,0.15210,0.28479
1990,Lower Saxony,Lower Secondary Level,At least once per week,0.31389,85,211,0.25112,0.37665
1990,Lower Saxony,Lower Secondary Level,At least once per month,0.32806,78,211,0.26456,0.39156
1990,Lower Saxony,Lower Secondary Level,Seldom,0.22576,48,211,0.16922,0.28231
1990,Lower Saxony,Upper Secondary Level,At least once per week,0.33830,174,459,0.29497,0.38164
1990,Lower Saxony,Upper Secondary Level,At least once per month,0.34919,169,459,0.30553,0.39285
1990,Lower Saxony,Upper Secondary Level,Seldom,0.23312,116,459,0.19439,0.27184
1990,North Rhine-Westphalia,Primary Level,At least once per week,0.36513,78,147,0.28703,0.44322
1990,North Rhine-Westphalia,Primary Level,At least once per month,0.20815,37,147,0.14230,0.27401
1990,North Rhine-Westphalia,Primary Level,Seldom,0.20480,32,147,0.13934,0.27026
1990,North Rhine-Westphalia,Lower Secondary Level,Daily,0.09448,56,615,0.07134,0.11762
1990,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.37560,234,615,0.33730,0.41391
1990,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.27387,148,615,0.23860,0.30915
1990,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.21599,132,615,0.18344,0.24854
1990,North Rhine-Westphalia,Lower Secondary Level,Never,0.03966,45,615,0.02422,0.05510
1990,North Rhine-Westphalia,Upper Secondary Level,Daily,0.05507,71,1215,0.04223,0.06790
1990,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.41488,516,1215,0.38716,0.44260
1990,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.31468,364,1215,0.28855,0.34080
1990,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.19689,233,1215,0.17452,0.21926
1990,North Rhine-Westphalia,Upper Secondary Level,Never,0.01713,31,1215,0.00983,0.02443
1990,North Rhine-Westphalia,Post-secondary Non-tertiary Level,At least once per week,0.41482,36,36,0.25159,0.57805
1990,North Rhine-Westphalia,First Stage of Tertiary Education,At least once per week,0.27973,38,104,0.19304,0.36641
1990,North Rhine-Westphalia,First Stage of Tertiary Education,At least once per month,0.47940,66,104,0.38292,0.57588
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.35166,64,189,0.28340,0.41992
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per month,0.32217,63,189,0.25537,0.38897
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.27605,62,189,0.21215,0.33996
1990,Hesse,Lower Secondary Level,At least once per week,0.36960,108,220,0.30567,0.43353
1990,Hesse,Lower Secondary Level,At least once per month,0.27385,64,220,0.21478,0.33291
1990,Hesse,Lower Secondary Level,Seldom,0.19805,48,220,0.14526,0.25083
1990,Hesse,Upper Secondary Level,Daily,0.06389,37,434,0.04085,0.08692
1990,Hesse,Upper Secondary Level,At least once per week,0.30977,143,434,0.26622,0.35333
1990,Hesse,Upper Secondary Level,At least once per month,0.31358,132,434,0.26988,0.35728
1990,Hesse,Upper Secondary Level,Seldom,0.27585,122,434,0.23375,0.31795
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per week,0.39651,89,183,0.32544,0.46758
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per month,0.28976,59,183,0.22385,0.35567
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.15436,35,183,0.10187,0.20685
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Daily,0.10556,34,313,0.07146,0.13965
