year,pgisced97,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Pre-primary Level,female,At least once per week,0.13245,34,34,0.01679,0.24810
2021,Primary Level,male,At least once per week,0.28690,32,66,0.17693,0.39686
2021,Primary Level,male,Seldom,0.19721,34,66,0.10048,0.29394
2021,Primary Level,female,At least once per week,0.27758,39,39,0.13520,0.41996
2021,Lower Secondary Level,male,Daily,0.09404,65,565,0.06995,0.11813
2021,Lower Secondary Level,male,At least once per week,0.31491,181,565,0.27658,0.35325
2021,Lower Secondary Level,male,At least once per month,0.24624,149,565,0.21069,0.28180
2021,Lower Secondary Level,male,Seldom,0.24422,135,565,0.20876,0.27967
2021,Lower Secondary Level,male,Never,0.03377,35,565,0.01886,0.04868
2021,Lower Secondary Level,female,Daily,0.14185,110,809,0.11779,0.16590
2021,Lower Secondary Level,female,At least once per week,0.35085,309,809,0.31794,0.38376
2021,Lower Secondary Level,female,At least once per month,0.25742,200,809,0.22727,0.28756
2021,Lower Secondary Level,female,Seldom,0.17660,156,809,0.15030,0.20289
2021,Lower Secondary Level,female,Never,0.03535,34,809,0.02262,0.04808
2021,Upper Secondary Level,male,Daily,0.07639,219,3117,0.06706,0.08572
2021,Upper Secondary Level,male,At least once per week,0.40055,1299,3117,0.38334,0.41775
2021,Upper Secondary Level,male,At least once per month,0.27634,844,3117,0.26064,0.29204
2021,Upper Secondary Level,male,Seldom,0.20532,638,3117,0.19114,0.21950
2021,Upper Secondary Level,male,Never,0.03210,117,3117,0.02591,0.03829
2021,Upper Secondary Level,female,Daily,0.11592,383,3838,0.10579,0.12605
2021,Upper Secondary Level,female,At least once per week,0.40625,1677,3838,0.39071,0.42179
2021,Upper Secondary Level,female,At least once per month,0.25569,957,3838,0.24188,0.26949
2021,Upper Secondary Level,female,Seldom,0.17736,689,3838,0.16527,0.18944
2021,Upper Secondary Level,female,Never,0.04038,132,3838,0.03415,0.04661
2021,Post-secondary Non-tertiary Level,male,Daily,0.05559,37,560,0.03660,0.07459
2021,Post-secondary Non-tertiary Level,male,At least once per week,0.41717,234,560,0.37629,0.45804
2021,Post-secondary Non-tertiary Level,male,At least once per month,0.29389,154,560,0.25612,0.33165
2021,Post-secondary Non-tertiary Level,male,Seldom,0.19999,135,560,0.16683,0.23315
2021,Post-secondary Non-tertiary Level,female,Daily,0.11935,83,926,0.09845,0.14024
2021,Post-secondary Non-tertiary Level,female,At least once per week,0.42547,433,926,0.39361,0.45733
2021,Post-secondary Non-tertiary Level,female,At least once per month,0.22482,212,926,0.19791,0.25172
2021,Post-secondary Non-tertiary Level,female,Seldom,0.20870,198,926,0.18251,0.23488
2021,First Stage of Tertiary Education,male,Daily,0.10610,51,597,0.08137,0.13082
2021,First Stage of Tertiary Education,male,At least once per week,0.45159,282,597,0.41164,0.49154
2021,First Stage of Tertiary Education,male,At least once per month,0.26935,167,597,0.23374,0.30497
2021,First Stage of Tertiary Education,male,Seldom,0.15629,97,597,0.12714,0.18545
2021,First Stage of Tertiary Education,female,At least once per week,0.43413,188,356,0.38257,0.48568
2021,First Stage of Tertiary Education,female,At least once per month,0.25952,98,356,0.21392,0.30512
2021,First Stage of Tertiary Education,female,Seldom,0.23301,70,356,0.18903,0.27699
2021,Second Stage of Tertiary Education,male,Daily,0.04246,124,2689,0.03484,0.05009
2021,Second Stage of Tertiary Education,male,At least once per week,0.36307,932,2689,0.34489,0.38125
2021,Second Stage of Tertiary Education,male,At least once per month,0.33726,907,2689,0.31939,0.35513
2021,Second Stage of Tertiary Education,male,Seldom,0.22072,641,2689,0.20504,0.23640
2021,Second Stage of Tertiary Education,male,Never,0.02614,85,2689,0.02011,0.03217
2021,Second Stage of Tertiary Education,female,Daily,0.06259,143,2611,0.05330,0.07188
2021,Second Stage of Tertiary Education,female,At least once per week,0.35576,936,2611,0.33739,0.37412
2021,Second Stage of Tertiary Education,female,At least once per month,0.30044,777,2611,0.28285,0.31803
2021,Second Stage of Tertiary Education,female,Seldom,0.25143,676,2611,0.23479,0.26808
2021,Second Stage of Tertiary Education,female,Never,0.02502,79,2611,0.01903,0.03102
