year,quintil_oecd,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,Very seldom,0.08946,345,3171,0.07953,0.09940
2007,1st Quintile,Seldom,0.17049,696,3171,0.15740,0.18358
2007,1st Quintile,Sometimes,0.30818,1188,3171,0.29211,0.32426
2007,1st Quintile,Often,0.18003,716,3171,0.16665,0.19340
2007,1st Quintile,Very often,0.05640,226,3171,0.04837,0.06443
2007,2nd Quintile,Very seldom,0.08867,366,3544,0.07931,0.09803
2007,2nd Quintile,Seldom,0.17447,772,3544,0.16197,0.18697
2007,2nd Quintile,Sometimes,0.31985,1470,3544,0.30449,0.33521
2007,2nd Quintile,Often,0.15798,741,3544,0.14597,0.16999
2007,2nd Quintile,Very often,0.04694,195,3544,0.03997,0.05390
2007,3rd Quintile,Very seldom,0.08981,413,3835,0.08076,0.09886
2007,3rd Quintile,Seldom,0.17729,848,3835,0.16521,0.18938
2007,3rd Quintile,Sometimes,0.34667,1584,3835,0.33161,0.36174
2007,3rd Quintile,Often,0.15944,758,3835,0.14785,0.17102
2007,3rd Quintile,Very often,0.05100,232,3835,0.04404,0.05796
2007,4th Quintile,Very seldom,0.08643,429,4311,0.07804,0.09482
2007,4th Quintile,Seldom,0.17455,888,4311,0.16321,0.18588
2007,4th Quintile,Sometimes,0.36812,1863,4311,0.35372,0.38252
2007,4th Quintile,Often,0.17739,891,4311,0.16599,0.18880
2007,4th Quintile,Very often,0.04327,240,4311,0.03719,0.04934
2007,5th Quintile,Very seldom,0.07864,522,5590,0.07158,0.08570
2007,5th Quintile,Seldom,0.20153,1296,5590,0.19102,0.21205
2007,5th Quintile,Sometimes,0.37936,2406,5590,0.36664,0.39208
2007,5th Quintile,Often,0.18968,1094,5590,0.17940,0.19996
2007,5th Quintile,Very often,0.04592,272,5590,0.04043,0.05141
2008,1st Quintile,Very seldom,0.08477,300,3008,0.07482,0.09473
2008,1st Quintile,Seldom,0.18819,732,3008,0.17422,0.20216
2008,1st Quintile,Sometimes,0.31829,1195,3008,0.30164,0.33494
2008,1st Quintile,Often,0.16540,626,3008,0.15212,0.17868
2008,1st Quintile,Very often,0.04080,155,3008,0.03373,0.04787
2008,2nd Quintile,Very seldom,0.08452,341,3352,0.07511,0.09394
2008,2nd Quintile,Seldom,0.19338,771,3352,0.18001,0.20675
2008,2nd Quintile,Sometimes,0.33414,1430,3352,0.31817,0.35011
2008,2nd Quintile,Often,0.15883,635,3352,0.14645,0.17120
2008,2nd Quintile,Very often,0.03811,175,3352,0.03163,0.04459
2008,3rd Quintile,Very seldom,0.08566,385,3759,0.07672,0.09461
2008,3rd Quintile,Seldom,0.20030,934,3759,0.18750,0.21309
2008,3rd Quintile,Sometimes,0.34953,1593,3759,0.33429,0.36478
2008,3rd Quintile,Often,0.16261,694,3759,0.15082,0.17441
2008,3rd Quintile,Very often,0.03021,153,3759,0.02474,0.03568
2008,4th Quintile,Very seldom,0.08413,377,3924,0.07544,0.09281
2008,4th Quintile,Seldom,0.19704,921,3924,0.18460,0.20949
2008,4th Quintile,Sometimes,0.38688,1734,3924,0.37164,0.40212
2008,4th Quintile,Often,0.15184,733,3924,0.14061,0.16307
2008,4th Quintile,Very often,0.03471,159,3924,0.02898,0.04043
2008,5th Quintile,Very seldom,0.08726,538,5221,0.07960,0.09491
2008,5th Quintile,Seldom,0.22481,1361,5221,0.21349,0.23614
2008,5th Quintile,Sometimes,0.39094,2271,5221,0.37770,0.40417
2008,5th Quintile,Often,0.14896,844,5221,0.13930,0.15862
2008,5th Quintile,Very often,0.04100,207,5221,0.03562,0.04638
2009,1st Quintile,Very seldom,0.09505,323,2859,0.08429,0.10580
2009,1st Quintile,Seldom,0.19286,687,2859,0.17840,0.20733
2009,1st Quintile,Sometimes,0.30902,1106,2859,0.29208,0.32596
2009,1st Quintile,Often,0.17451,606,2859,0.16060,0.18843
2009,1st Quintile,Very often,0.03673,137,2859,0.02983,0.04362
2009,2nd Quintile,Very seldom,0.09300,366,3152,0.08286,0.10314
2009,2nd Quintile,Seldom,0.20185,821,3152,0.18784,0.21587
2009,2nd Quintile,Sometimes,0.32792,1258,3152,0.31153,0.34431
2009,2nd Quintile,Often,0.14417,585,3152,0.13190,0.15643
2009,2nd Quintile,Very often,0.03527,122,3152,0.02883,0.04172
2009,3rd Quintile,Very seldom,0.07836,339,3424,0.06936,0.08736
2009,3rd Quintile,Seldom,0.20675,844,3424,0.19319,0.22032
2009,3rd Quintile,Sometimes,0.35488,1466,3424,0.33885,0.37091
2009,3rd Quintile,Often,0.16059,632,3424,0.14829,0.17289
2009,3rd Quintile,Very often,0.03437,143,3424,0.02827,0.04047
2009,4th Quintile,Very seldom,0.08910,365,3719,0.07994,0.09826
2009,4th Quintile,Seldom,0.21893,953,3719,0.20564,0.23222
2009,4th Quintile,Sometimes,0.35969,1559,3719,0.34427,0.37512
2009,4th Quintile,Often,0.15092,689,3719,0.13942,0.16243
2009,4th Quintile,Very often,0.03147,153,3719,0.02586,0.03708
2009,5th Quintile,Very seldom,0.08696,496,4792,0.07898,0.09494
2009,5th Quintile,Seldom,0.22252,1278,4792,0.21074,0.23430
2009,5th Quintile,Sometimes,0.38953,2031,4792,0.37572,0.40334
2009,5th Quintile,Often,0.16182,809,4792,0.15139,0.17224
2009,5th Quintile,Very often,0.03405,178,4792,0.02892,0.03919
2010,1st Quintile,Very seldom,0.11770,309,2636,0.10540,0.13001
2010,1st Quintile,Seldom,0.25731,712,2636,0.24062,0.27400
2010,1st Quintile,Sometimes,0.35885,1033,2636,0.34053,0.37716
2010,1st Quintile,Often,0.15611,474,2636,0.14225,0.16997
2010,1st Quintile,Very often,0.03060,108,2636,0.02402,0.03717
2010,2nd Quintile,Very seldom,0.11697,390,2982,0.10544,0.12851
2010,2nd Quintile,Seldom,0.23218,727,2982,0.21702,0.24733
2010,2nd Quintile,Sometimes,0.37746,1307,2982,0.36006,0.39486
2010,2nd Quintile,Often,0.14196,468,2982,0.12943,0.15449
2010,2nd Quintile,Very often,0.02676,90,2982,0.02096,0.03255
2010,3rd Quintile,Very seldom,0.09205,328,3169,0.08198,0.10212
2010,3rd Quintile,Seldom,0.22274,817,3169,0.20825,0.23723
2010,3rd Quintile,Sometimes,0.38659,1385,3169,0.36964,0.40355
2010,3rd Quintile,Often,0.15160,561,3169,0.13911,0.16409
2010,3rd Quintile,Very often,0.02593,78,3169,0.02040,0.03147
2010,4th Quintile,Very seldom,0.09161,337,3427,0.08195,0.10127
2010,4th Quintile,Seldom,0.22468,888,3427,0.21071,0.23866
