year,regtyp,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,Very seldom,0.08882,1430,13410,0.08400,0.09364
2007,Urban regions,Seldom,0.17993,2960,13410,0.17343,0.18644
2007,Urban regions,Sometimes,0.33953,5495,13410,0.33152,0.34755
2007,Urban regions,Often,0.17231,2754,13410,0.16592,0.17871
2007,Urban regions,Very often,0.04929,771,13410,0.04563,0.05296
2007,Rural regions,Very seldom,0.08190,645,7044,0.07549,0.08830
2007,Rural regions,Seldom,0.17914,1541,7044,0.17019,0.18810
2007,Rural regions,Sometimes,0.35485,3017,7044,0.34368,0.36603
2007,Rural regions,Often,0.17410,1447,7044,0.16524,0.18296
2007,Rural regions,Very often,0.04745,394,7044,0.04248,0.05242
2008,Urban regions,Very seldom,0.08776,1320,12633,0.08283,0.09270
2008,Urban regions,Seldom,0.20178,3133,12633,0.19478,0.20878
2008,Urban regions,Sometimes,0.34853,5304,12633,0.34022,0.35684
2008,Urban regions,Often,0.15842,2332,12633,0.15205,0.16479
2008,Urban regions,Very often,0.03725,544,12633,0.03395,0.04056
2008,Rural regions,Very seldom,0.07990,621,6633,0.07337,0.08642
2008,Rural regions,Seldom,0.19840,1586,6633,0.18881,0.20800
2008,Rural regions,Sometimes,0.37159,2919,6633,0.35996,0.38322
2008,Rural regions,Often,0.15559,1201,6633,0.14687,0.16432
2008,Rural regions,Very often,0.03680,306,6633,0.03227,0.04133
2009,Urban regions,Very seldom,0.09137,1278,11640,0.08613,0.09660
2009,Urban regions,Seldom,0.20894,2987,11640,0.20155,0.21633
2009,Urban regions,Sometimes,0.33831,4700,11640,0.32972,0.34691
2009,Urban regions,Often,0.16258,2181,11640,0.15587,0.16928
2009,Urban regions,Very often,0.03572,494,11640,0.03235,0.03909
2009,Rural regions,Very seldom,0.08223,611,6311,0.07546,0.08901
2009,Rural regions,Seldom,0.20797,1597,6311,0.19795,0.21798
2009,Rural regions,Sometimes,0.36872,2722,6311,0.35681,0.38062
2009,Rural regions,Often,0.15005,1142,6311,0.14124,0.15886
2009,Rural regions,Very often,0.03148,239,6311,0.02717,0.03579
2010,Urban regions,Very seldom,0.08618,1195,10858,0.08090,0.09146
2010,Urban regions,Seldom,0.19583,2801,10858,0.18836,0.20329
2010,Urban regions,Sometimes,0.32370,4680,10858,0.31490,0.33250
2010,Urban regions,Often,0.12924,1848,10858,0.12293,0.13555
2010,Urban regions,Very often,0.02256,334,10858,0.01977,0.02535
2010,Rural regions,Very seldom,0.07717,598,5732,0.07026,0.08408
2010,Rural regions,Seldom,0.20658,1547,5732,0.19609,0.21706
2010,Rural regions,Sometimes,0.33340,2491,5732,0.32120,0.34561
2010,Rural regions,Often,0.12601,934,5732,0.11742,0.13461
2010,Rural regions,Very often,0.02139,162,5732,0.01765,0.02514
2011,Urban regions,Very seldom,0.09494,1614,13297,0.08996,0.09992
2011,Urban regions,Seldom,0.18712,3317,13297,0.18050,0.19375
2011,Urban regions,Sometimes,0.31794,5527,13297,0.31002,0.32586
2011,Urban regions,Often,0.13057,2286,13297,0.12484,0.13630
2011,Urban regions,Very often,0.03090,553,13297,0.02796,0.03384
2011,Rural regions,Very seldom,0.09439,898,7353,0.08771,0.10108
2011,Rural regions,Seldom,0.20196,1992,7353,0.19278,0.21114
2011,Rural regions,Sometimes,0.30834,2920,7353,0.29779,0.31890
2011,Rural regions,Often,0.12927,1250,7353,0.12160,0.13694
2011,Rural regions,Very often,0.02950,293,7353,0.02563,0.03337
2012,Urban regions,Very seldom,0.08884,1519,13011,0.08395,0.09373
2012,Urban regions,Seldom,0.21326,3574,13011,0.20622,0.22030
2012,Urban regions,Sometimes,0.31533,5328,13011,0.30734,0.32331
2012,Urban regions,Often,0.12078,2119,13011,0.11518,0.12638
2012,Urban regions,Very often,0.02832,471,13011,0.02547,0.03117
2012,Rural regions,Very seldom,0.08566,907,7426,0.07929,0.09202
2012,Rural regions,Seldom,0.21439,2025,7426,0.20505,0.22372
2012,Rural regions,Sometimes,0.31235,3028,7426,0.30181,0.32289
2012,Rural regions,Often,0.13009,1196,7426,0.12244,0.13774
2012,Rural regions,Very often,0.02842,270,7426,0.02464,0.03219
2013,Urban regions,Very seldom,0.08164,1585,16246,0.07743,0.08585
2013,Urban regions,Seldom,0.20734,4238,16246,0.20110,0.21357
2013,Urban regions,Sometimes,0.30362,6584,16246,0.29655,0.31069
2013,Urban regions,Often,0.12941,3057,16246,0.12425,0.13458
2013,Urban regions,Very often,0.02891,782,16246,0.02634,0.03149
2013,Rural regions,Very seldom,0.08558,975,9364,0.07991,0.09124
2013,Rural regions,Seldom,0.22491,2516,9364,0.21645,0.23337
2013,Rural regions,Sometimes,0.33056,3829,9364,0.32103,0.34009
2013,Rural regions,Often,0.13344,1642,9364,0.12655,0.14033
2013,Rural regions,Very often,0.03046,402,9364,0.02698,0.03395
2014,Urban regions,Very seldom,0.09430,1892,17586,0.08998,0.09862
2014,Urban regions,Seldom,0.22525,4494,17586,0.21907,0.23142
2014,Urban regions,Sometimes,0.32888,6959,17586,0.32194,0.33583
2014,Urban regions,Often,0.15034,3335,17586,0.14505,0.15562
2014,Urban regions,Very often,0.03637,906,17586,0.03360,0.03914
2014,Rural regions,Very seldom,0.10952,1132,9433,0.10322,0.11583
2014,Rural regions,Seldom,0.22935,2414,9433,0.22087,0.23783
2014,Rural regions,Sometimes,0.33480,3771,9433,0.32528,0.34432
2014,Rural regions,Often,0.14359,1702,9433,0.13652,0.15067
2014,Rural regions,Very often,0.03278,414,9433,0.02919,0.03637
2015,Urban regions,Very seldom,0.10221,1792,16136,0.09754,0.10688
2015,Urban regions,Seldom,0.22460,4280,16136,0.21816,0.23104
2015,Urban regions,Sometimes,0.32097,6434,16136,0.31376,0.32817
2015,Urban regions,Often,0.13674,2901,16136,0.13144,0.14204
2015,Urban regions,Very often,0.03260,729,16136,0.02986,0.03534
2015,Rural regions,Very seldom,0.08451,873,8850,0.07872,0.09031
2015,Rural regions,Seldom,0.23227,2449,8850,0.22347,0.24107
2015,Rural regions,Sometimes,0.33567,3562,8850,0.32583,0.34551
2015,Rural regions,Often,0.14480,1585,8850,0.13747,0.15213
2015,Rural regions,Very often,0.03665,381,8850,0.03273,0.04056
2016,Urban regions,Very seldom,0.10273,1865,15622,0.09797,0.10749
2016,Urban regions,Seldom,0.22222,4088,15622,0.21570,0.22874
2016,Urban regions,Sometimes,0.32215,6143,15622,0.31482,0.32947
2016,Urban regions,Often,0.14540,2775,15622,0.13988,0.15093
2016,Urban regions,Very often,0.03608,751,15622,0.03315,0.03900
2016,Rural regions,Very seldom,0.09180,924,8491,0.08566,0.09794
2016,Rural regions,Seldom,0.22300,2284,8491,0.21415,0.23185
2016,Rural regions,Sometimes,0.35175,3505,8491,0.34160,0.36191
2016,Rural regions,Often,0.13791,1405,8491,0.13058,0.14525
2016,Rural regions,Very often,0.03531,373,8491,0.03139,0.03924
2017,Urban regions,Very seldom,0.09943,1971,17025,0.09494,0.10393
2017,Urban regions,Seldom,0.22899,4594,17025,0.22268,0.23530
2017,Urban regions,Sometimes,0.32253,6843,17025,0.31550,0.32955
2017,Urban regions,Often,0.13991,2868,17025,0.13470,0.14512
2017,Urban regions,Very often,0.03575,749,17025,0.03297,0.03854
2017,Rural regions,Very seldom,0.09194,1011,9357,0.08609,0.09780
2017,Rural regions,Seldom,0.23379,2637,9357,0.22521,0.24236
2017,Rural regions,Sometimes,0.33933,3780,9357,0.32973,0.34892
2017,Rural regions,Often,0.13574,1550,9357,0.12880,0.14268
2017,Rural regions,Very often,0.03386,379,9357,0.03020,0.03753
2018,Urban regions,Very seldom,0.10125,1956,16583,0.09665,0.10584
2018,Urban regions,Seldom,0.22512,4444,16583,0.21876,0.23148
2018,Urban regions,Sometimes,0.33038,6504,16583,0.32322,0.33754
2018,Urban regions,Often,0.13913,2897,16583,0.13387,0.14440
2018,Urban regions,Very often,0.03644,782,16583,0.03359,0.03929
2018,Rural regions,Very seldom,0.09463,998,8954,0.08856,0.10069
2018,Rural regions,Seldom,0.25589,2608,8954,0.24686,0.26493
2018,Rural regions,Sometimes,0.32334,3544,8954,0.31365,0.33303
2018,Rural regions,Often,0.13024,1440,8954,0.12327,0.13721
2018,Rural regions,Very often,0.03327,364,8954,0.02956,0.03699
2019,Urban regions,Very seldom,0.10475,2046,16346,0.10006,0.10945
2019,Urban regions,Seldom,0.24327,4587,16346,0.23669,0.24985
2019,Urban regions,Sometimes,0.31606,6306,16346,0.30893,0.32318
2019,Urban regions,Often,0.13222,2695,16346,0.12702,0.13741
2019,Urban regions,Very often,0.03164,712,16346,0.02895,0.03432
2019,Rural regions,Very seldom,0.10036,1039,8792,0.09408,0.10664
2019,Rural regions,Seldom,0.23657,2554,8792,0.22768,0.24545
2019,Rural regions,Sometimes,0.33054,3453,8792,0.32070,0.34037
2019,Rural regions,Often,0.13544,1402,8792,0.12829,0.14259
2019,Rural regions,Very often,0.02889,344,8792,0.02539,0.03239
2020,Urban regions,Very seldom,0.09696,2203,16985,0.09251,0.10141
2020,Urban regions,Seldom,0.22660,4622,16985,0.22030,0.23289
