year,age_gr,bula_h,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,30-45 y.,Brandenburg,Sometimes,0.41046,88,182,0.33879,0.48212
2007,30-45 y.,Brandenburg,Often,0.26711,59,182,0.20265,0.33157
2007,30-45 y.,Mecklenburg-Western Pomerania,Sometimes,0.42583,63,63,0.30274,0.54891
2007,30-45 y.,Saxony,Seldom,0.12313,54,339,0.08810,0.15816
2007,30-45 y.,Saxony,Sometimes,0.44967,189,339,0.39663,0.50270
2007,30-45 y.,Saxony,Often,0.30862,96,339,0.25938,0.35787
2007,30-45 y.,Saxony-Anhalt,Sometimes,0.39472,93,141,0.31376,0.47569
2007,30-45 y.,Saxony-Anhalt,Often,0.25170,48,141,0.17981,0.32359
2007,30-45 y.,Thuringa,Sometimes,0.57183,121,183,0.49994,0.64372
2007,30-45 y.,Thuringa,Often,0.22549,62,183,0.16478,0.28621
2007,46-65 y.,Schleswig-Holstein,Very seldom,0.15569,40,188,0.10372,0.20765
2007,46-65 y.,Schleswig-Holstein,Seldom,0.20428,52,188,0.14650,0.26207
2007,46-65 y.,Schleswig-Holstein,Sometimes,0.46593,96,188,0.39443,0.53743
2007,46-65 y.,Hamburg,Seldom,0.32119,31,77,0.21621,0.42617
2007,46-65 y.,Hamburg,Sometimes,0.45102,46,77,0.33915,0.56289
2007,46-65 y.,Lower Saxony,Very seldom,0.11483,57,581,0.08888,0.14077
2007,46-65 y.,Lower Saxony,Seldom,0.21571,129,581,0.18223,0.24918
2007,46-65 y.,Lower Saxony,Sometimes,0.42142,257,581,0.38123,0.46160
2007,46-65 y.,Lower Saxony,Often,0.17745,105,581,0.14636,0.20855
2007,46-65 y.,Lower Saxony,Very often,0.05652,33,581,0.03773,0.07532
2007,46-65 y.,North Rhine-Westphalia,Very seldom,0.10424,161,1413,0.08830,0.12017
2007,46-65 y.,North Rhine-Westphalia,Seldom,0.23200,339,1413,0.20998,0.25402
