year,sampreg,plh0184,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,Very seldom,0.08903,1660,15456,0.08454,0.09352
2007,West,Seldom,0.17994,3467,15456,0.17388,0.18600
2007,West,Sometimes,0.33913,6342,15456,0.33167,0.34659
2007,West,Often,0.16816,3108,15456,0.16226,0.17405
2007,West,Very often,0.04709,879,15456,0.04375,0.05043
2007,East,Very seldom,0.07559,415,4998,0.06826,0.08292
2007,East,Seldom,0.17850,1034,4998,0.16789,0.18912
2007,East,Sometimes,0.36857,2170,4998,0.35519,0.38195
2007,East,Often,0.19430,1093,4998,0.18333,0.20527
2007,East,Very often,0.05600,286,4998,0.04962,0.06237
2008,West,Very seldom,0.08709,1526,14503,0.08251,0.09168
2008,West,Seldom,0.20246,3641,14503,0.19592,0.20900
2008,West,Sometimes,0.34689,6071,14503,0.33914,0.35464
2008,West,Often,0.15487,2625,14503,0.14898,0.16076
2008,West,Very often,0.03702,640,14503,0.03395,0.04009
2008,East,Very seldom,0.07679,415,4763,0.06923,0.08435
2008,East,Seldom,0.19261,1078,4763,0.18141,0.20381
2008,East,Sometimes,0.39726,2152,4763,0.38337,0.41116
2008,East,Often,0.16970,908,4763,0.15903,0.18036
2008,East,Very often,0.03752,210,4763,0.03212,0.04292
2009,West,Very seldom,0.08927,1434,13425,0.08445,0.09409
2009,West,Seldom,0.20708,3468,13425,0.20022,0.21393
2009,West,Sometimes,0.34352,5482,13425,0.33549,0.35156
2009,West,Often,0.15641,2458,13425,0.15027,0.16256
2009,West,Very often,0.03619,583,13425,0.03303,0.03935
2009,East,Very seldom,0.08459,455,4526,0.07648,0.09269
2009,East,Seldom,0.21557,1116,4526,0.20359,0.22756
2009,East,Sometimes,0.36886,1940,4526,0.35480,0.38292
2009,East,Often,0.16801,865,4526,0.15712,0.17891
2009,East,Very often,0.02606,150,4526,0.02142,0.03071
2010,West,Very seldom,0.08248,1373,12483,0.07765,0.08730
2010,West,Seldom,0.19756,3293,12483,0.19057,0.20454
2010,West,Sometimes,0.32170,5302,12483,0.31351,0.32990
2010,West,Often,0.12780,2129,12483,0.12194,0.13365
2010,West,Very often,0.02147,386,12483,0.01893,0.02401
2010,East,Very seldom,0.08724,420,4107,0.07861,0.09587
2010,East,Seldom,0.20710,1055,4107,0.19470,0.21949
2010,East,Sometimes,0.35047,1869,4107,0.33587,0.36506
2010,East,Often,0.13015,653,4107,0.11986,0.14044
2010,East,Very often,0.02555,110,4107,0.02072,0.03038
2011,West,Very seldom,0.09413,1904,15765,0.08957,0.09869
2011,West,Seldom,0.18988,4051,15765,0.18375,0.19600
2011,West,Sometimes,0.31284,6448,15765,0.30561,0.32008
2011,West,Often,0.12869,2708,15765,0.12347,0.13392
2011,West,Very often,0.03003,654,15765,0.02737,0.03269
2011,East,Very seldom,0.09770,608,4885,0.08937,0.10602
2011,East,Seldom,0.20164,1258,4885,0.19038,0.21289
2011,East,Sometimes,0.32401,1999,4885,0.31088,0.33713
2011,East,Often,0.13693,828,4885,0.12728,0.14657
2011,East,Very often,0.03238,192,4885,0.02741,0.03734
2012,West,Very seldom,0.08707,1858,15602,0.08264,0.09149
2012,West,Seldom,0.21404,4285,15602,0.20761,0.22048
2012,West,Sometimes,0.31146,6360,15602,0.30419,0.31873
2012,West,Often,0.12047,2518,15602,0.11537,0.12558
2012,West,Very often,0.02903,581,15602,0.02640,0.03167
2012,East,Very seldom,0.09131,568,4835,0.08319,0.09943
2012,East,Seldom,0.21167,1314,4835,0.20015,0.22318
2012,East,Sometimes,0.32814,1996,4835,0.31490,0.34137
2012,East,Often,0.13972,797,4835,0.12995,0.14950
2012,East,Very often,0.02512,160,4835,0.02071,0.02954
2013,West,Very seldom,0.08166,1969,19889,0.07785,0.08546
2013,West,Seldom,0.21039,5228,19889,0.20473,0.21606
2013,West,Sometimes,0.30540,8059,19889,0.29900,0.31180
2013,West,Often,0.12794,3720,19889,0.12330,0.13258
2013,West,Very often,0.02781,913,19889,0.02552,0.03009
2013,East,Very seldom,0.08890,591,5721,0.08153,0.09628
2013,East,Seldom,0.22568,1526,5721,0.21484,0.23651
2013,East,Sometimes,0.34544,2354,5721,0.33312,0.35776
2013,East,Often,0.14388,979,5721,0.13478,0.15297
2013,East,Very often,0.03702,271,5721,0.03213,0.04192
2014,West,Very seldom,0.09962,2401,21443,0.09561,0.10363
2014,West,Seldom,0.22546,5447,21443,0.21987,0.23106
2014,West,Sometimes,0.33103,8509,21443,0.32473,0.33733
2014,West,Often,0.14566,4016,21443,0.14094,0.15038
2014,West,Very often,0.03474,1070,21443,0.03229,0.03719
2014,East,Very seldom,0.09724,623,5576,0.08946,0.10502
2014,East,Seldom,0.23177,1461,5576,0.22069,0.24284
2014,East,Sometimes,0.32965,2221,5576,0.31731,0.34199
2014,East,Often,0.15997,1021,5576,0.15035,0.16959
2014,East,Very often,0.03745,250,5576,0.03247,0.04244
2015,West,Very seldom,0.10074,2158,19743,0.09654,0.10494
2015,West,Seldom,0.22733,5299,19743,0.22149,0.23318
2015,West,Sometimes,0.32194,7858,19743,0.31542,0.32845
2015,West,Often,0.13512,3527,19743,0.13035,0.13989
2015,West,Very often,0.03300,901,19743,0.03051,0.03549
2015,East,Very seldom,0.07667,507,5243,0.06947,0.08387
2015,East,Seldom,0.22578,1430,5243,0.21446,0.23710
2015,East,Sometimes,0.34338,2138,5243,0.33052,0.35623
2015,East,Often,0.15919,959,5243,0.14929,0.16910
2015,East,Very often,0.03812,209,5243,0.03294,0.04330
2016,West,Very seldom,0.09973,2234,19092,0.09548,0.10398
2016,West,Seldom,0.22285,5031,19092,0.21695,0.22875
2016,West,Sometimes,0.32853,7595,19092,0.32186,0.33519
2016,West,Often,0.14364,3345,19092,0.13866,0.14861
2016,West,Very often,0.03469,887,19092,0.03209,0.03728
2016,East,Very seldom,0.09691,555,5021,0.08873,0.10509
2016,East,Seldom,0.22066,1341,5021,0.20919,0.23213
2016,East,Sometimes,0.34625,2053,5021,0.33309,0.35941
2016,East,Often,0.14003,835,5021,0.13043,0.14963
2016,East,Very often,0.04127,237,5021,0.03577,0.04678
2017,West,Very seldom,0.09874,2396,20808,0.09469,0.10279
2017,West,Seldom,0.22809,5626,20808,0.22239,0.23379
2017,West,Sometimes,0.32783,8409,20808,0.32146,0.33421
2017,West,Often,0.13740,3480,20808,0.13272,0.14207
2017,West,Very often,0.03524,897,20808,0.03274,0.03775
2017,East,Very seldom,0.08908,586,5574,0.08160,0.09656
2017,East,Seldom,0.24214,1605,5574,0.23089,0.25339
2017,East,Sometimes,0.32760,2214,5574,0.31527,0.33992
2017,East,Often,0.14443,938,5574,0.13520,0.15365
2017,East,Very often,0.03478,231,5574,0.02997,0.03959
2018,West,Very seldom,0.10067,2333,20064,0.09650,0.10483
2018,West,Seldom,0.23083,5417,20064,0.22500,0.23666
2018,West,Sometimes,0.32793,7926,20064,0.32143,0.33443
2018,West,Often,0.13870,3473,20064,0.13391,0.14348
2018,West,Very often,0.03547,915,20064,0.03291,0.03802
2018,East,Very seldom,0.09201,621,5473,0.08436,0.09967
2018,East,Seldom,0.25345,1635,5473,0.24193,0.26498
2018,East,Sometimes,0.32940,2122,5473,0.31695,0.34185
2018,East,Often,0.12509,864,5473,0.11633,0.13386
2018,East,Very often,0.03538,231,5473,0.03048,0.04027
2019,West,Very seldom,0.10404,2487,20077,0.09982,0.10827
2019,West,Seldom,0.24185,5676,20077,0.23593,0.24778
2019,West,Sometimes,0.31675,7742,20077,0.31031,0.32318
2019,West,Often,0.13351,3301,20077,0.12880,0.13821
2019,West,Very often,0.03121,871,20077,0.02881,0.03362
2019,East,Very seldom,0.10224,664,5538,0.09426,0.11022
2019,East,Seldom,0.23640,1590,5538,0.22521,0.24759
2019,East,Sometimes,0.33481,2180,5538,0.32238,0.34724
2019,East,Often,0.13420,888,5538,0.12522,0.14318
2019,East,Very often,0.03136,216,5538,0.02677,0.03595
2020,West,Very seldom,0.09476,2600,20308,0.09073,0.09879
2020,West,Seldom,0.22445,5533,20308,0.21871,0.23019
2020,West,Sometimes,0.33624,8004,20308,0.32974,0.34273
2020,West,Often,0.13513,3340,20308,0.13043,0.13983
2020,West,Very often,0.03366,831,20308,0.03118,0.03614
2020,East,Very seldom,0.07821,608,5310,0.07099,0.08543
2020,East,Seldom,0.23559,1475,5310,0.22418,0.24701
2020,East,Sometimes,0.34623,2136,5310,0.33343,0.35903
2020,East,Often,0.14165,891,5310,0.13227,0.15103
2020,East,Very often,0.03382,200,5310,0.02896,0.03868
