year,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.64922,3546,5757,0.63689,0.66155
1984,West,No,0.33250,2211,5757,0.32033,0.34467
1985,West,Yes,0.65090,3248,5165,0.63790,0.66391
1985,West,No,0.32895,1917,5165,0.31614,0.34177
1986,West,Yes,0.65899,3155,4923,0.64574,0.67223
1986,West,No,0.31775,1768,4923,0.30474,0.33076
1987,West,Yes,0.66201,3144,4862,0.64872,0.67531
1987,West,No,0.31582,1718,4862,0.30275,0.32888
1988,West,Yes,0.67113,3048,4660,0.65764,0.68462
1988,West,No,0.30502,1612,4660,0.29180,0.31824
1989,West,Yes,0.67221,2977,4538,0.65855,0.68587
1989,West,No,0.30249,1561,4538,0.28912,0.31585
1990,West,Yes,0.67439,2942,4474,0.66066,0.68812
1990,West,No,0.29840,1532,4474,0.28499,0.31181
1990,East,Yes,0.37233,893,893,0.34061,0.40406
1991,West,Yes,0.69861,3093,4618,0.68537,0.71184
1991,West,No,0.29368,1525,4618,0.28055,0.30682
1991,East,Yes,0.38680,837,1939,0.36511,0.40848
1991,East,No,0.58553,1102,1939,0.56359,0.60746
1992,West,Yes,0.70426,3110,4582,0.69104,0.71747
1992,West,No,0.27961,1472,4582,0.26661,0.29261
1992,East,Yes,0.40355,835,1850,0.38119,0.42592
1992,East,No,0.53348,1015,1850,0.51074,0.55622
1993,West,Yes,0.69642,3109,4575,0.68310,0.70975
1993,West,No,0.27463,1466,4575,0.26170,0.28757
1993,East,Yes,0.40510,809,1786,0.38232,0.42787
1993,East,No,0.52561,977,1786,0.50244,0.54877
1994,West,Yes,0.69794,3113,4506,0.68453,0.71135
1994,West,No,0.26784,1393,4506,0.25491,0.28077
1994,East,Yes,0.40928,811,1762,0.38632,0.43225
1994,East,No,0.51871,951,1762,0.49537,0.54205
1995,West,Yes,0.70803,3319,4725,0.69506,0.72099
1995,West,No,0.25457,1406,4725,0.24215,0.26700
1995,East,Yes,0.42339,820,1722,0.40005,0.44674
1995,East,No,0.49866,902,1722,0.47503,0.52228
1996,West,Yes,0.71927,3320,4653,0.70635,0.73218
1996,West,No,0.24723,1333,4653,0.23483,0.25963
1996,East,Yes,0.44413,864,1731,0.42072,0.46755
1996,East,No,0.48177,867,1731,0.45822,0.50531
1997,West,Yes,0.72644,3326,4580,0.71353,0.73935
1997,West,No,0.23551,1254,4580,0.22322,0.24780
1997,East,Yes,0.45195,875,1718,0.42841,0.47549
1997,East,No,0.47504,843,1718,0.45142,0.49866
1998,West,Yes,0.75609,4054,5429,0.74467,0.76752
1998,West,No,0.23769,1375,5429,0.22637,0.24902
1998,East,Yes,0.50356,1031,1933,0.48126,0.52585
1998,East,No,0.47942,902,1933,0.45714,0.50170
1999,West,Yes,0.75862,3905,5164,0.74695,0.77029
1999,West,No,0.22982,1259,5164,0.21835,0.24130
1999,East,Yes,0.51790,1036,1893,0.49538,0.54041
1999,East,No,0.45841,857,1893,0.43596,0.48086
2000,West,Yes,0.76109,7602,9764,0.75263,0.76955
2000,West,No,0.22545,2162,9764,0.21716,0.23374
2000,East,Yes,0.50409,1617,3016,0.48624,0.52194
2000,East,No,0.47137,1399,3016,0.45356,0.48919
2001,West,Yes,0.76662,6883,8714,0.75774,0.77550
2001,West,No,0.21644,1831,8714,0.20780,0.22509
2001,East,Yes,0.51093,1514,2779,0.49234,0.52951
2001,East,No,0.46259,1265,2779,0.44405,0.48113
2002,West,Yes,0.76761,7455,9201,0.75898,0.77624
2002,West,No,0.21067,1746,9201,0.20234,0.21901
