"hgeqpter","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja","1995","1","3850","0.611906018711474","0.600391835691536","0.623420201731412"
"Ja","1995","2","3146","0.72323805850935","0.710561512411365","0.735914604607335"
"Ja","1995","3","2168","0.781140823663246","0.766154108446402","0.796127538880091"
"Ja","1995","4","1367","0.806580092883049","0.788042677337797","0.825117508428302"
"Ja","1995","5","740","0.907523298608082","0.887670739580006","0.927375857636158"
"Nein","1995","1","3031","0.388093981288526","0.376579798268588","0.399608164308464"
"Nein","1995","2","1639","0.27676194149065","0.264085395392665","0.289438487588635"
"Nein","1995","3","756","0.218859176336754","0.203872461119909","0.233845891553598"
"Nein","1995","4","377","0.193419907116951","0.174882491571698","0.211957322662203"
"Nein","1995","5","78","0.0924767013919184","0.0726241423638425","0.112329260419994"
"Ja","1996","1","3569","0.628453178063827","0.61638515232408","0.640521203803573"
"Ja","1996","2","3179","0.716815030424695","0.704035936737587","0.729594124111803"
"Ja","1996","3","2212","0.769098041713494","0.754149826229213","0.784046257197774"
"Ja","1996","4","1474","0.832584765520052","0.815516591770407","0.849652939269697"
"Ja","1996","5","853","0.900892299026401","0.881891300400849","0.919893297651953"
"Nein","1996","1","2590","0.371546821936173","0.359478796196427","0.38361484767592"
"Nein","1996","2","1596","0.283184969575305","0.270405875888197","0.295964063262413"
"Nein","1996","3","841","0.230901958286506","0.215953742802226","0.245850173770787"
"Nein","1996","4","364","0.167415234479948","0.150347060730303","0.184483408229593"
"Nein","1996","5","97","0.0991077009735989","0.0801067023480466","0.118108699599151"
"Ja","1997","1","3456","0.646510631022891","0.634188521595484","0.658832740450297"
"Ja","1997","2","3089","0.709595013942889","0.696564268275723","0.722625759610056"
"Ja","1997","3","2340","0.783436754348249","0.769084365222626","0.797789143473872"
"Ja","1997","4","1543","0.844789560710119","0.828421248519053","0.861157872901186"
"Ja","1997","5","853","0.908376780652159","0.890021933564693","0.926731627739625"
"Nein","1997","1","2326","0.353489368977109","0.341167259549702","0.365811478404516"
"Nein","1997","2","1573","0.29040498605711","0.277374240389944","0.303435731724277"
"Nein","1997","3","824","0.216563245651752","0.202210856526128","0.230915634777375"
"Nein","1997","4","337","0.15521043928988","0.138842127098814","0.171578751480947"
"Nein","1997","5","96","0.0916232193478411","0.0732683722603753","0.109978066435307"
"Ja","1998","1","3998","0.658618791888639","0.646997225135867","0.670240358641411"
"Ja","1998","2","3603","0.723469952627367","0.71123263646784","0.735707268786894"
"Ja","1998","3","2699","0.784968026315533","0.771509916061912","0.798426136569154"
"Ja","1998","4","1975","0.847400803598511","0.832953720475928","0.861847886721095"
"Ja","1998","5","1054","0.921413496728386","0.905901402247494","0.936925591209278"
"Nein","1998","1","2397","0.341381208111361","0.329759641358589","0.353002774864133"
"Nein","1998","2","1529","0.276530047372633","0.264292731213106","0.28876736353216"
"Nein","1998","3","881","0.215031973684467","0.201573863430846","0.228490083938088"
"Nein","1998","4","405","0.152599196401489","0.138152113278905","0.167046279524072"
"Nein","1998","5","102","0.0785865032716141","0.0630744087907221","0.0940985977525061"
"Ja","1999","1","3229","0.653743690467809","0.640800981676975","0.666686399258644"
"Ja","1999","2","3687","0.732356293718421","0.720371258641598","0.744341328795245"
"Ja","1999","3","2830","0.81452884378221","0.801881309202447","0.827176378361973"
"Ja","1999","4","1987","0.833707649371878","0.818851287844854","0.848564010898901"
"Ja","1999","5","1166","0.884086317429639","0.866797316806774","0.901375318052503"
"Nein","1999","1","1962","0.346256309532191","0.333313600741356","0.359199018323025"
"Nein","1999","2","1555","0.267643706281579","0.255658671204755","0.279628741358402"
"Nein","1999","3","798","0.18547115621779","0.172823621638027","0.198118690797553"
"Nein","1999","4","426","0.166292350628122","0.151435989101099","0.181148712155146"
"Nein","1999","5","151","0.115913682570361","0.0986246819474966","0.133202683193226"
"Ja","2000","1","5432","0.6481425189496","0.63801241034935","0.658272627549849"
"Ja","2000","2","6304","0.73522218758755","0.725912867701365","0.744531507473736"
"Ja","2000","3","5292","0.796388477288742","0.786718130826518","0.806058823750965"
"Ja","2000","4","3926","0.836596858031049","0.826033294569724","0.847160421492373"
"Ja","2000","5","2601","0.896803621602196","0.885687352158963","0.907919891045428"
"Nein","2000","1","3105","0.3518574810504","0.341727372450151","0.36198758965065"
"Nein","2000","2","2325","0.26477781241245","0.255468492526264","0.274087132298635"
"Nein","2000","3","1369","0.203611522711258","0.193941176249035","0.213281869173482"
"Nein","2000","4","780","0.163403141968951","0.152839578507627","0.173966705430276"
"Nein","2000","5","276","0.103196378397804","0.0920801089545717","0.114312647841037"
"Ja","2001","1","4677","0.654934333641556","0.643906780637755","0.665961886645356"
"Ja","2001","2","5418","0.734447671833528","0.724466198366979","0.744429145300078"
