year,regtyp,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Yes,0.65208,2561,4122,0.63754,0.66662
1985,Urban regions,West,No,0.32870,1561,4122,0.31435,0.34304
1985,Rural regions,West,Yes,0.64692,687,1043,0.61790,0.67594
1985,Rural regions,West,No,0.32982,356,1043,0.30127,0.35837
1986,Urban regions,West,Yes,0.66068,2498,3934,0.64588,0.67548
1986,Urban regions,West,No,0.31743,1436,3934,0.30288,0.33198
1986,Rural regions,West,Yes,0.65312,657,989,0.62344,0.68280
1986,Rural regions,West,No,0.31884,332,989,0.28978,0.34790
1987,Urban regions,West,Yes,0.65998,2480,3884,0.64508,0.67488
1987,Urban regions,West,No,0.31857,1404,3884,0.30391,0.33322
1987,Rural regions,West,Yes,0.66915,664,978,0.63965,0.69866
1987,Rural regions,West,No,0.30616,314,978,0.27726,0.33506
1988,Urban regions,West,Yes,0.67037,2417,3738,0.65530,0.68544
1988,Urban regions,West,No,0.30731,1321,3738,0.29252,0.32211
1988,Rural regions,West,Yes,0.67386,631,922,0.64358,0.70413
1988,Rural regions,West,No,0.29677,291,922,0.26726,0.32627
1989,Urban regions,West,Yes,0.67723,2385,3660,0.66208,0.69238
1989,Urban regions,West,No,0.30050,1275,3660,0.28564,0.31535
1989,Rural regions,West,Yes,0.65366,592,878,0.62217,0.68515
1989,Rural regions,West,No,0.30982,286,878,0.27921,0.34042
1990,Urban regions,West,Yes,0.68003,2344,3582,0.66475,0.69531
1990,Urban regions,West,No,0.29549,1238,3582,0.28055,0.31044
1990,Urban regions,East,Yes,0.40417,338,338,0.35178,0.45657
1990,Rural regions,West,Yes,0.65394,598,892,0.62271,0.68518
1990,Rural regions,West,No,0.30892,294,892,0.27858,0.33926
1990,Rural regions,East,Yes,0.35412,539,539,0.31371,0.39453
1991,Urban regions,West,Yes,0.69997,2448,3683,0.68517,0.71477
1991,Urban regions,West,No,0.29229,1235,3683,0.27760,0.30698
1991,Urban regions,East,Yes,0.43892,316,640,0.40044,0.47739
1991,Urban regions,East,No,0.51588,324,640,0.47713,0.55462
1991,Rural regions,West,Yes,0.69403,644,933,0.66444,0.72362
1991,Rural regions,West,No,0.29834,289,933,0.26897,0.32772
1991,Rural regions,East,Yes,0.36011,506,1256,0.33355,0.38667
1991,Rural regions,East,No,0.62169,750,1256,0.59486,0.64852
1992,Urban regions,West,Yes,0.70532,2459,3653,0.69054,0.72011
1992,Urban regions,West,No,0.27972,1194,3653,0.26516,0.29428
1992,Urban regions,East,Yes,0.45690,328,627,0.41787,0.49592
1992,Urban regions,East,No,0.44382,299,627,0.40490,0.48274
1992,Rural regions,West,Yes,0.70103,647,923,0.67148,0.73058
1992,Rural regions,West,No,0.27921,276,923,0.25026,0.30817
1992,Rural regions,East,Yes,0.37288,488,1175,0.34522,0.40055
1992,Rural regions,East,No,0.58840,687,1175,0.56025,0.61655
1993,Urban regions,West,Yes,0.69906,2460,3638,0.68415,0.71396
1993,Urban regions,West,No,0.27353,1178,3638,0.25904,0.28802
1993,Urban regions,East,Yes,0.46799,325,611,0.42839,0.50759
1993,Urban regions,East,No,0.42474,286,611,0.38552,0.46397
1993,Rural regions,West,Yes,0.68723,649,937,0.65753,0.71694
1993,Rural regions,West,No,0.27848,288,937,0.24976,0.30720
1993,Rural regions,East,Yes,0.36878,484,1175,0.34118,0.39638
1993,Rural regions,East,No,0.58385,691,1175,0.55566,0.61205
1994,Urban regions,West,Yes,0.69983,2446,3563,0.68478,0.71488
1994,Urban regions,West,No,0.26705,1117,3563,0.25252,0.28158
1994,Urban regions,East,Yes,0.46541,331,617,0.42602,0.50480
1994,Urban regions,East,No,0.43808,286,617,0.39890,0.47726
1994,Rural regions,West,Yes,0.69144,667,943,0.66195,0.72094
1994,Rural regions,West,No,0.27055,276,943,0.24219,0.29892
1994,Rural regions,East,Yes,0.37687,480,1145,0.34879,0.40496
1994,Rural regions,East,No,0.56527,665,1145,0.53655,0.59400
1995,Urban regions,West,Yes,0.70728,2601,3724,0.69267,0.72190
1995,Urban regions,West,No,0.25582,1123,3724,0.24181,0.26984
1995,Urban regions,East,Yes,0.47837,312,581,0.43771,0.51902
1995,Urban regions,East,No,0.42723,269,581,0.38697,0.46749
1995,Rural regions,West,Yes,0.71061,718,1001,0.68250,0.73872
1995,Rural regions,West,No,0.25022,283,1001,0.22338,0.27707
1995,Rural regions,East,Yes,0.39372,508,1141,0.36536,0.42208
1995,Rural regions,East,No,0.53721,633,1141,0.50826,0.56615
1996,Urban regions,West,Yes,0.71488,2587,3656,0.70024,0.72952
1996,Urban regions,West,No,0.25055,1069,3656,0.23650,0.26460
1996,Urban regions,East,Yes,0.50560,337,594,0.46535,0.54584
1996,Urban regions,East,No,0.40344,257,594,0.36395,0.44292
1996,Rural regions,West,Yes,0.73458,733,997,0.70716,0.76200
1996,Rural regions,West,No,0.23565,264,997,0.20930,0.26201
1996,Rural regions,East,Yes,0.40935,527,1137,0.38076,0.43795
1996,Rural regions,East,No,0.52609,610,1137,0.49705,0.55513
1997,Urban regions,West,Yes,0.72441,2588,3594,0.70980,0.73902
1997,Urban regions,West,No,0.23872,1006,3594,0.22478,0.25266
1997,Urban regions,East,Yes,0.49677,334,588,0.45632,0.53721
