,Unnamed: 0,year,quintil_oecd_hh,sampreg,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,West,Yes,0.47421,528,5736,0.45544,0.49706
1,1,1984,1st Quintile,West,No,0.52579,645,5736,0.49694,0.55638
2,2,1984,2nd Quintile,West,Yes,0.60885,663,5736,0.58755,0.6306
3,3,1984,2nd Quintile,West,No,0.39115,514,5736,0.36619,0.41507
4,4,1984,3rd Quintile,West,Yes,0.68261,733,5736,0.66527,0.70384
5,5,1984,3rd Quintile,West,No,0.31739,420,5736,0.29602,0.3332
6,6,1984,4th Quintile,West,Yes,0.74217,798,5736,0.72328,0.76051
7,7,1984,4th Quintile,West,No,0.25783,379,5736,0.24092,0.27702
8,8,1984,5th Quintile,West,Yes,0.80408,817,5736,0.78914,0.82211
9,9,1984,5th Quintile,West,No,0.19592,239,5736,0.18221,0.2075
10,10,1985,1st Quintile,West,Yes,0.47826,479,5158,0.45562,0.50495
11,11,1985,1st Quintile,West,No,0.52174,579,5158,0.48704,0.55231
12,12,1985,2nd Quintile,West,Yes,0.60419,606,5158,0.57678,0.62843
13,13,1985,2nd Quintile,West,No,0.39581,435,5158,0.37234,0.42137
14,14,1985,3rd Quintile,West,Yes,0.68945,680,5158,0.66625,0.71045
15,15,1985,3rd Quintile,West,No,0.31055,371,5158,0.28565,0.33434
16,16,1985,4th Quintile,West,Yes,0.74927,731,5158,0.72814,0.77484
17,17,1985,4th Quintile,West,No,0.25073,317,5158,0.23192,0.2685
18,18,1985,5th Quintile,West,Yes,0.80351,750,5158,0.78525,0.82185
19,19,1985,5th Quintile,West,No,0.19649,210,5158,0.18031,0.21248
20,20,1986,1st Quintile,West,Yes,0.48504,451,4919,0.45731,0.51026
21,21,1986,1st Quintile,West,No,0.51496,512,4919,0.48552,0.54797
22,22,1986,2nd Quintile,West,Yes,0.65292,618,4919,0.6272,0.6824
23,23,1986,2nd Quintile,West,No,0.34708,386,4919,0.32448,0.37177
24,24,1986,3rd Quintile,West,Yes,0.68081,649,4919,0.66187,0.7049
25,25,1986,3rd Quintile,West,No,0.31919,363,4919,0.29416,0.34161
26,26,1986,4th Quintile,West,Yes,0.72609,679,4919,0.70199,0.74911
27,27,1986,4th Quintile,West,No,0.27391,326,4919,0.2546,0.29813
28,28,1986,5th Quintile,West,Yes,0.82908,756,4919,0.80489,0.85489
29,29,1986,5th Quintile,West,No,0.17092,179,4919,0.15781,0.18822
30,30,1987,1st Quintile,West,Yes,0.50314,451,4860,0.47629,0.53139
31,31,1987,1st Quintile,West,No,0.49686,468,4860,0.46628,0.52561
32,32,1987,2nd Quintile,West,Yes,0.62305,588,4860,0.59769,0.65482
33,33,1987,2nd Quintile,West,No,0.37695,404,4860,0.3474,0.40349
34,34,1987,3rd Quintile,West,Yes,0.6787,638,4860,0.65045,0.70582
35,35,1987,3rd Quintile,West,No,0.3213,360,4860,0.29612,0.34582
36,36,1987,4th Quintile,West,Yes,0.77004,723,4860,0.74036,0.79623
37,37,1987,4th Quintile,West,No,0.22996,292,4860,0.2109,0.24706
38,38,1987,5th Quintile,West,Yes,0.8089,744,4860,0.78807,0.83263
39,39,1987,5th Quintile,West,No,0.1911,192,4860,0.17253,0.20644
40,40,1988,1st Quintile,West,Yes,0.52465,456,4658,0.4944,0.55299
41,41,1988,1st Quintile,West,No,0.47535,448,4658,0.44638,0.50505
42,42,1988,2nd Quintile,West,Yes,0.66062,578,4658,0.62774,0.69046
43,43,1988,2nd Quintile,West,No,0.33938,365,4658,0.31165,0.36799
44,44,1988,3rd Quintile,West,Yes,0.70936,640,4658,0.68059,0.74034
45,45,1988,3rd Quintile,West,No,0.29064,327,4658,0.26518,0.31595
46,46,1988,4th Quintile,West,Yes,0.73073,671,4658,0.70561,0.75959
47,47,1988,4th Quintile,West,No,0.26927,291,4658,0.24821,0.291
48,48,1988,5th Quintile,West,Yes,0.81046,703,4658,0.78933,0.83178
49,49,1988,5th Quintile,West,No,0.18954,179,4658,0.17498,0.20427
50,50,1989,1st Quintile,West,Yes,0.53302,440,4537,0.49252,0.56314
51,51,1989,1st Quintile,West,No,0.46698,434,4537,0.429,0.50151
52,52,1989,2nd Quintile,West,Yes,0.66002,587,4537,0.63057,0.69074
53,53,1989,2nd Quintile,West,No,0.33998,369,4537,0.3145,0.37067
54,54,1989,3rd Quintile,West,Yes,0.70592,625,4537,0.67867,0.73138
55,55,1989,3rd Quintile,West,No,0.29408,311,4537,0.26723,0.31743
56,56,1989,4th Quintile,West,Yes,0.73266,648,4537,0.70491,0.76195
57,57,1989,4th Quintile,West,No,0.26734,285,4537,0.24961,0.287
58,58,1989,5th Quintile,West,Yes,0.81213,676,4537,0.78822,0.83414
59,59,1989,5th Quintile,West,No,0.18787,162,4537,0.17243,0.20507
60,60,1990,1st Quintile,East,Yes,1.0,893,5327,0.96268,1.03204
61,61,1990,2nd Quintile,West,Yes,0.55816,577,5327,0.52783,0.58874
62,62,1990,2nd Quintile,West,No,0.44184,535,5327,0.41199,0.47126
63,63,1990,3rd Quintile,West,Yes,0.70121,747,5327,0.67121,0.72805
64,64,1990,3rd Quintile,West,No,0.29879,407,5327,0.27629,0.3219
65,65,1990,4th Quintile,West,Yes,0.7199,770,5327,0.69471,0.74807
66,66,1990,4th Quintile,West,No,0.2801,352,5327,0.26069,0.30154
67,67,1990,5th Quintile,West,Yes,0.80393,831,5327,0.78191,0.82898
68,68,1990,5th Quintile,West,No,0.19607,215,5327,0.17887,0.21219
69,69,1991,1st Quintile,West,Yes,1.0,36,6531,0.82324,1.24031
70,70,1991,1st Quintile,East,Yes,0.3978,837,6531,0.38339,0.41069
71,71,1991,1st Quintile,East,No,0.6022,1102,6531,0.58225,0.62067
72,72,1991,2nd Quintile,West,Yes,0.54599,587,6531,0.5175,0.5745
73,73,1991,2nd Quintile,West,No,0.45401,540,6531,0.42434,0.48129
74,74,1991,3rd Quintile,West,Yes,0.69346,765,6531,0.66626,0.71809
75,75,1991,3rd Quintile,West,No,0.30654,419,6531,0.28257,0.32967
76,76,1991,4th Quintile,West,Yes,0.75485,848,6531,0.72823,0.78432
77,77,1991,4th Quintile,West,No,0.24515,338,6531,0.22794,0.26307
78,78,1991,5th Quintile,West,Yes,0.8256,857,6531,0.80005,0.84927
79,79,1991,5th Quintile,West,No,0.1744,202,6531,0.15705,0.18778
80,80,1992,1st Quintile,West,Yes,0.50254,274,6412,0.46203,0.5383
81,81,1992,1st Quintile,West,No,0.49746,288,6412,0.44826,0.54079
82,82,1992,1st Quintile,East,Yes,0.37201,296,6412,0.349,0.39503
83,83,1992,1st Quintile,East,No,0.62799,485,6412,0.60265,0.65709
84,84,1992,2nd Quintile,West,Yes,0.65876,533,6412,0.6226,0.6974
85,85,1992,2nd Quintile,West,No,0.34124,333,6412,0.30343,0.37017
86,86,1992,2nd Quintile,East,Yes,0.42783,267,6412,0.40712,0.45487
87,87,1992,2nd Quintile,East,No,0.57217,329,6412,0.53932,0.60625
88,88,1992,3rd Quintile,West,Yes,0.73058,666,6412,0.69696,0.76483
89,89,1992,3rd Quintile,West,No,0.26942,333,6412,0.24561,0.29472
90,90,1992,3rd Quintile,East,Yes,0.54831,164,6412,0.50322,0.59157
91,91,1992,3rd Quintile,East,No,0.45169,133,6412,0.41277,0.49843
92,92,1992,4th Quintile,West,Yes,0.73707,792,6412,0.70647,0.76906
93,93,1992,4th Quintile,West,No,0.26293,336,6412,0.24209,0.2851
94,94,1992,4th Quintile,East,Yes,0.58278,71,6412,0.53916,0.63153
95,95,1992,4th Quintile,East,No,0.41722,50,6412,0.37138,0.46535
96,96,1992,5th Quintile,West,Yes,0.83786,843,6412,0.80529,0.86711
97,97,1992,5th Quintile,West,No,0.16214,182,6412,0.14544,0.18065
98,98,1992,5th Quintile,East,Yes,1.0,37,6412,0.87869,1.161
99,99,1993,1st Quintile,West,Yes,0.54279,352,6332,0.50674,0.57693
100,100,1993,1st Quintile,West,No,0.45721,321,6332,0.4122,0.50132
101,101,1993,1st Quintile,East,Yes,0.36631,210,6332,0.34048,0.38963
102,102,1993,1st Quintile,East,No,0.63369,366,6332,0.59885,0.67298
103,103,1993,2nd Quintile,West,Yes,0.63656,515,6332,0.60103,0.68314
104,104,1993,2nd Quintile,West,No,0.36344,340,6332,0.32131,0.39367
105,105,1993,2nd Quintile,East,Yes,0.4154,260,6332,0.38936,0.44158
106,106,1993,2nd Quintile,East,No,0.5846,343,6332,0.55097,0.62181
107,107,1993,3rd Quintile,West,Yes,0.73399,640,6332,0.69387,0.76677
108,108,1993,3rd Quintile,West,No,0.26601,327,6332,0.24063,0.29009
109,109,1993,3rd Quintile,East,Yes,0.52884,189,6332,0.49193,0.56977
110,110,1993,3rd Quintile,East,No,0.47116,164,6332,0.43251,0.51301
111,111,1993,4th Quintile,West,Yes,0.75864,771,6332,0.73074,0.78471
112,112,1993,4th Quintile,West,No,0.24136,301,6332,0.2233,0.25864
113,113,1993,4th Quintile,East,Yes,0.56558,111,6332,0.51583,0.61722
114,114,1993,4th Quintile,East,No,0.43442,77,6332,0.39144,0.4889
115,115,1993,5th Quintile,West,Yes,0.83839,830,6332,0.81196,0.86766
116,116,1993,5th Quintile,West,No,0.16161,176,6332,0.142,0.17741
117,117,1993,5th Quintile,East,Yes,1.0,39,6332,0.88029,1.17175
118,118,1994,1st Quintile,West,Yes,0.54047,403,6263,0.50165,0.58125
119,119,1994,1st Quintile,West,No,0.45953,371,6263,0.41688,0.50158
120,120,1994,1st Quintile,East,Yes,0.38976,194,6263,0.35923,0.41965
121,121,1994,1st Quintile,East,No,0.61024,305,6263,0.57362,0.64949
122,122,1994,2nd Quintile,West,Yes,0.67325,517,6263,0.63135,0.71357
