year,bula_h,rentown,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Owner,Yes,0.71011,73,73,0.60531,0.81491
1984,Schleswig-Holstein,Tenant,Yes,0.68434,63,96,0.59088,0.77780
1984,Schleswig-Holstein,Tenant,No,0.31566,33,96,0.22220,0.40912
1984,Hamburg,Tenant,Yes,0.69817,92,143,0.62267,0.77367
1984,Hamburg,Tenant,No,0.30183,51,143,0.22633,0.37733
1984,Lower Saxony,Owner,Yes,0.70095,185,253,0.64442,0.75748
1984,Lower Saxony,Owner,No,0.29905,68,253,0.24252,0.35558
1984,Lower Saxony,Tenant,Yes,0.55739,176,332,0.50388,0.61090
1984,Lower Saxony,Tenant,No,0.44261,156,332,0.38910,0.49612
1984,Bremen,Tenant,Yes,0.86487,47,47,0.76607,0.96366
1984,North Rhine-Westphalia,Owner,Yes,0.76767,342,436,0.72798,0.80735
1984,North Rhine-Westphalia,Owner,No,0.23233,94,436,0.19265,0.27202
1984,North Rhine-Westphalia,Tenant,Yes,0.53632,537,1131,0.50725,0.56540
1984,North Rhine-Westphalia,Tenant,No,0.46368,594,1131,0.43460,0.49275
1984,Hesse,Owner,Yes,0.69303,121,165,0.62244,0.76362
1984,Hesse,Owner,No,0.30697,44,165,0.23638,0.37756
1984,Hesse,Tenant,Yes,0.54828,200,408,0.49993,0.59663
1984,Hesse,Tenant,No,0.45172,208,408,0.40337,0.50007
1984,"Rhineland-Palatinate, Saarland",Owner,Yes,0.74304,147,195,0.68155,0.80453
1984,"Rhineland-Palatinate, Saarland",Owner,No,0.25696,48,195,0.19547,0.31845
1984,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.49264,87,190,0.42137,0.56392
1984,"Rhineland-Palatinate, Saarland",Tenant,No,0.50736,103,190,0.43608,0.57863
1984,Baden-Wuerttemberg,Owner,Yes,0.77260,293,377,0.73023,0.81497
1984,Baden-Wuerttemberg,Owner,No,0.22740,84,377,0.18503,0.26977
1984,Baden-Wuerttemberg,Tenant,Yes,0.57913,321,661,0.54146,0.61679
1984,Baden-Wuerttemberg,Tenant,No,0.42087,340,661,0.38321,0.45854
1984,Bavaria,Owner,Yes,0.85403,337,391,0.81899,0.88908
1984,Bavaria,Owner,No,0.14597,54,391,0.11092,0.18101
1984,Bavaria,Tenant,Yes,0.61807,324,565,0.57797,0.65817
1984,Bavaria,Tenant,No,0.38193,241,565,0.34183,0.42203
1984,Berlin,Tenant,Yes,0.78518,154,205,0.72882,0.84154
1984,Berlin,Tenant,No,0.21482,51,205,0.15846,0.27118
1985,Schleswig-Holstein,Owner,Yes,0.69851,64,64,0.58519,0.81183
1985,Schleswig-Holstein,Tenant,Yes,0.64198,56,90,0.54238,0.74158
1985,Schleswig-Holstein,Tenant,No,0.35802,34,90,0.25842,0.45762
1985,Hamburg,Tenant,Yes,0.70771,90,138,0.63155,0.78387
1985,Hamburg,Tenant,No,0.29229,48,138,0.21613,0.36845
1985,Lower Saxony,Owner,Yes,0.70794,171,230,0.64904,0.76683
1985,Lower Saxony,Owner,No,0.29206,59,230,0.23317,0.35096
1985,Lower Saxony,Tenant,Yes,0.55963,153,285,0.50189,0.61736
1985,Lower Saxony,Tenant,No,0.44037,132,285,0.38264,0.49811
1985,Bremen,Tenant,Yes,0.83823,40,40,0.72265,0.95380
1985,North Rhine-Westphalia,Owner,Yes,0.78171,325,407,0.74153,0.82189
1985,North Rhine-Westphalia,Owner,No,0.21829,82,407,0.17811,0.25847
1985,North Rhine-Westphalia,Tenant,Yes,0.53228,487,999,0.50133,0.56324
1985,North Rhine-Westphalia,Tenant,No,0.46772,512,999,0.43676,0.49867
1985,Hesse,Owner,Yes,0.68054,117,160,0.60806,0.75301
1985,Hesse,Owner,No,0.31946,43,160,0.24699,0.39194
1985,Hesse,Tenant,Yes,0.55380,179,358,0.50223,0.60537
1985,Hesse,Tenant,No,0.44620,179,358,0.39463,0.49777
1985,"Rhineland-Palatinate, Saarland",Owner,Yes,0.73596,136,180,0.67138,0.80054
1985,"Rhineland-Palatinate, Saarland",Owner,No,0.26404,44,180,0.19946,0.32862
1985,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.55982,83,165,0.48385,0.63580
1985,"Rhineland-Palatinate, Saarland",Tenant,No,0.44018,82,165,0.36420,0.51615
1985,Baden-Wuerttemberg,Owner,Yes,0.74727,261,344,0.70128,0.79326
1985,Baden-Wuerttemberg,Owner,No,0.25273,83,344,0.20674,0.29872
1985,Baden-Wuerttemberg,Tenant,Yes,0.60039,292,578,0.56043,0.64036
1985,Baden-Wuerttemberg,Tenant,No,0.39961,286,578,0.35964,0.43957
1985,Bavaria,Owner,Yes,0.85709,316,367,0.82123,0.89294
1985,Bavaria,Owner,No,0.14291,51,367,0.10706,0.17877
1985,Bavaria,Tenant,Yes,0.63786,294,492,0.59535,0.68037
1985,Bavaria,Tenant,No,0.36214,198,492,0.31963,0.40465
1985,Berlin,Tenant,Yes,0.76547,138,184,0.70408,0.82686
1985,Berlin,Tenant,No,0.23453,46,184,0.17314,0.29592
1986,Schleswig-Holstein,Owner,Yes,0.73172,61,61,0.61961,0.84383
1986,Schleswig-Holstein,Tenant,Yes,0.69500,49,49,0.56475,0.82525
1986,Hamburg,Tenant,Yes,0.69883,80,122,0.61709,0.78058
1986,Hamburg,Tenant,No,0.30117,42,122,0.21942,0.38291
1986,Lower Saxony,Owner,Yes,0.73145,180,236,0.67479,0.78812
1986,Lower Saxony,Owner,No,0.26855,56,236,0.21188,0.32521
1986,Lower Saxony,Tenant,Yes,0.55130,142,274,0.49231,0.61030
1986,Lower Saxony,Tenant,No,0.44870,132,274,0.38970,0.50769
1986,Bremen,Tenant,Yes,0.92157,42,42,0.83927,1.00386
1986,North Rhine-Westphalia,Owner,Yes,0.77820,324,405,0.73769,0.81871
1986,North Rhine-Westphalia,Owner,No,0.22180,81,405,0.18129,0.26231
1986,North Rhine-Westphalia,Tenant,Yes,0.55313,479,935,0.52125,0.58502
1986,North Rhine-Westphalia,Tenant,No,0.44687,456,935,0.41498,0.47875
1986,Hesse,Owner,Yes,0.70646,110,148,0.63284,0.78007
1986,Hesse,Owner,No,0.29354,38,148,0.21993,0.36716
1986,Hesse,Tenant,Yes,0.58885,173,335,0.53608,0.64162
1986,Hesse,Tenant,No,0.41115,162,335,0.35838,0.46392
1986,"Rhineland-Palatinate, Saarland",Owner,Yes,0.75976,137,178,0.69681,0.82270
1986,"Rhineland-Palatinate, Saarland",Owner,No,0.24024,41,178,0.17730,0.30319
1986,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.53475,82,168,0.45910,0.61040
1986,"Rhineland-Palatinate, Saarland",Tenant,No,0.46525,86,168,0.38960,0.54090
1986,Baden-Wuerttemberg,Owner,Yes,0.75853,260,341,0.71304,0.80402
1986,Baden-Wuerttemberg,Owner,No,0.24147,81,341,0.19598,0.28696
1986,Baden-Wuerttemberg,Tenant,Yes,0.61456,279,537,0.57335,0.65576
1986,Baden-Wuerttemberg,Tenant,No,0.38544,258,537,0.34424,0.42665
1986,Bavaria,Owner,Yes,0.85802,307,357,0.82177,0.89428
1986,Bavaria,Owner,No,0.14198,50,357,0.10572,0.17823
1986,Bavaria,Tenant,Yes,0.62576,267,449,0.58095,0.67057
1986,Bavaria,Tenant,No,0.37424,182,449,0.32943,0.41905
1986,Berlin,Tenant,Yes,0.77973,137,181,0.71918,0.84027
1986,Berlin,Tenant,No,0.22027,44,181,0.15973,0.28082
1987,Schleswig-Holstein,Owner,Yes,0.72618,63,63,0.61519,0.83718
1987,Schleswig-Holstein,Tenant,Yes,0.71779,50,50,0.59177,0.84382
1987,Hamburg,Tenant,Yes,0.68786,70,104,0.59838,0.77735
1987,Hamburg,Tenant,No,0.31214,34,104,0.22265,0.40162
1987,Lower Saxony,Owner,Yes,0.74344,175,228,0.68662,0.80025
1987,Lower Saxony,Owner,No,0.25656,53,228,0.19975,0.31338
1987,Lower Saxony,Tenant,Yes,0.57280,151,279,0.51465,0.63095
1987,Lower Saxony,Tenant,No,0.42720,128,279,0.36905,0.48535
1987,Bremen,Tenant,Yes,0.94248,43,43,0.87206,1.01290
1987,North Rhine-Westphalia,Owner,Yes,0.78557,329,409,0.74575,0.82540
1987,North Rhine-Westphalia,Owner,No,0.21443,80,409,0.17460,0.25425
1987,North Rhine-Westphalia,Tenant,Yes,0.56280,466,916,0.53066,0.59495
1987,North Rhine-Westphalia,Tenant,No,0.43720,450,916,0.40505,0.46934
1987,Hesse,Owner,Yes,0.73689,115,151,0.66642,0.80736
1987,Hesse,Owner,No,0.26311,36,151,0.19264,0.33358
1987,Hesse,Tenant,Yes,0.58413,172,323,0.53029,0.63796
1987,Hesse,Tenant,No,0.41587,151,323,0.36204,0.46971
1987,"Rhineland-Palatinate, Saarland",Owner,Yes,0.70435,131,182,0.63786,0.77083
1987,"Rhineland-Palatinate, Saarland",Owner,No,0.29565,51,182,0.22917,0.36214
1987,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.52958,83,163,0.45272,0.60644
1987,"Rhineland-Palatinate, Saarland",Tenant,No,0.47042,80,163,0.39356,0.54728
1987,Baden-Wuerttemberg,Owner,Yes,0.74893,253,337,0.70256,0.79530
1987,Baden-Wuerttemberg,Owner,No,0.25107,84,337,0.20470,0.29744
1987,Baden-Wuerttemberg,Tenant,Yes,0.63191,294,533,0.59093,0.67290
1987,Baden-Wuerttemberg,Tenant,No,0.36809,239,533,0.32710,0.40907
1987,Bavaria,Owner,Yes,0.85520,300,350,0.81828,0.89212
1987,Bavaria,Owner,No,0.14480,50,350,0.10788,0.18172
1987,Bavaria,Tenant,Yes,0.61341,262,449,0.56832,0.65850
1987,Bavaria,Tenant,No,0.38659,187,449,0.34150,0.43168
1987,Berlin,Tenant,Yes,0.80555,141,181,0.74774,0.86337
