year,bula_h,regtyp,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Urban regions,Yes,0.63336,55,86,0.53092,0.73581
1985,Schleswig-Holstein,Urban regions,No,0.35188,31,86,0.25035,0.45340
1985,Schleswig-Holstein,Rural regions,Yes,0.66350,65,65,0.54774,0.77927
1985,Hamburg,Urban regions,Yes,0.71617,102,154,0.64473,0.78761
1985,Hamburg,Urban regions,No,0.28142,52,154,0.21016,0.35267
1985,Lower Saxony,Urban regions,Yes,0.62501,154,245,0.56426,0.68575
1985,Lower Saxony,Urban regions,No,0.36966,91,245,0.30909,0.43023
1985,Lower Saxony,Rural regions,Yes,0.61909,170,270,0.56106,0.67712
1985,Lower Saxony,Rural regions,No,0.36915,100,270,0.31149,0.42682
1985,Bremen,Urban regions,Yes,0.85615,54,54,0.76167,0.95063
1985,North Rhine-Westphalia,Urban regions,Yes,0.60073,788,1372,0.57480,0.62665
1985,North Rhine-Westphalia,Urban regions,No,0.38436,584,1372,0.35861,0.41011
1985,Hesse,Urban regions,Yes,0.60145,257,450,0.55617,0.64674
1985,Hesse,Urban regions,No,0.36410,193,450,0.31959,0.40861
1985,Hesse,Rural regions,Yes,0.51351,39,39,0.35459,0.67243
1985,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.64828,178,283,0.59255,0.70402
1985,"Rhineland-Palatinate, Saarland",Urban regions,No,0.32768,105,283,0.27290,0.38246
1985,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.62977,41,41,0.48013,0.77942
1985,Baden-Wuerttemberg,Urban regions,Yes,0.63955,469,792,0.60609,0.67301
1985,Baden-Wuerttemberg,Urban regions,No,0.33201,323,792,0.29919,0.36483
1985,Baden-Wuerttemberg,Rural regions,Yes,0.73684,84,130,0.66085,0.81283
1985,Baden-Wuerttemberg,Rural regions,No,0.25449,46,130,0.17933,0.32966
1985,Bavaria,Urban regions,Yes,0.76333,349,473,0.72499,0.80168
1985,Bavaria,Urban regions,No,0.20804,124,473,0.17142,0.24466
1985,Bavaria,Rural regions,Yes,0.65861,261,386,0.61125,0.70598
1985,Bavaria,Rural regions,No,0.30391,125,386,0.25797,0.34986
1985,Berlin,Urban regions,Yes,0.78033,155,202,0.72310,0.83757
1985,Berlin,Urban regions,No,0.21893,47,202,0.16176,0.27609
1986,Schleswig-Holstein,Urban regions,Yes,0.67256,51,51,0.54248,0.80264
1986,Schleswig-Holstein,Rural regions,Yes,0.69967,59,59,0.58170,0.81765
1986,Hamburg,Urban regions,Yes,0.71111,94,140,0.63576,0.78646
1986,Hamburg,Urban regions,No,0.28634,46,140,0.21119,0.36149
1986,Lower Saxony,Urban regions,Yes,0.61813,157,251,0.55790,0.67836
1986,Lower Saxony,Urban regions,No,0.37205,94,251,0.31214,0.43197
1986,Lower Saxony,Rural regions,Yes,0.63467,165,259,0.57591,0.69343
1986,Lower Saxony,Rural regions,No,0.35115,94,259,0.29290,0.40940
1986,Bremen,Urban regions,Yes,0.91511,54,54,0.84007,0.99015
1986,North Rhine-Westphalia,Urban regions,Yes,0.61491,781,1309,0.58854,0.64128
1986,North Rhine-Westphalia,Urban regions,No,0.37022,528,1309,0.34405,0.39639
1986,Hesse,Urban regions,Yes,0.61703,243,416,0.57026,0.66380
1986,Hesse,Urban regions,No,0.33389,173,416,0.28851,0.37926
1986,Hesse,Rural regions,Yes,0.53570,40,40,0.37917,0.69222
1986,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.63285,177,284,0.57669,0.68901
1986,"Rhineland-Palatinate, Saarland",Urban regions,No,0.33872,107,284,0.28358,0.39386
1986,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.64025,42,42,0.49334,0.78716
1986,Baden-Wuerttemberg,Urban regions,Yes,0.65664,457,750,0.62263,0.69064
1986,Baden-Wuerttemberg,Urban regions,No,0.31532,293,750,0.28204,0.34859
1986,Baden-Wuerttemberg,Rural regions,Yes,0.73243,82,129,0.65574,0.80913
1986,Baden-Wuerttemberg,Rural regions,No,0.25889,47,129,0.18300,0.33477
1986,Bavaria,Urban regions,Yes,0.75293,331,450,0.71303,0.79282
1986,Bavaria,Urban regions,No,0.21792,119,450,0.17973,0.25610
1986,Bavaria,Rural regions,Yes,0.65151,244,357,0.60201,0.70101
1986,Bavaria,Rural regions,No,0.30678,113,357,0.25887,0.35468
1986,Berlin,Urban regions,Yes,0.79196,153,197,0.73513,0.84879
1986,Berlin,Urban regions,No,0.19847,44,197,0.14263,0.25431
1987,Schleswig-Holstein,Urban regions,Yes,0.62907,48,48,0.49096,0.76717
1987,Schleswig-Holstein,Rural regions,Yes,0.75825,65,65,0.65335,0.86314
1987,Hamburg,Urban regions,Yes,0.70551,86,125,0.62528,0.78574
1987,Hamburg,Urban regions,No,0.29158,39,125,0.21159,0.37158
1987,Lower Saxony,Urban regions,Yes,0.62051,159,252,0.56048,0.68054
1987,Lower Saxony,Urban regions,No,0.37355,93,252,0.31370,0.43340
1987,Lower Saxony,Rural regions,Yes,0.66033,167,255,0.60209,0.71857
1987,Lower Saxony,Rural regions,No,0.32586,88,255,0.26821,0.38350
1987,Bremen,Urban regions,Yes,0.93604,55,55,0.87077,1.00130
1987,North Rhine-Westphalia,Urban regions,Yes,0.61939,771,1295,0.59293,0.64584
1987,North Rhine-Westphalia,Urban regions,No,0.36322,524,1295,0.33702,0.38943
1987,Hesse,Urban regions,Yes,0.62743,249,411,0.58063,0.67423
1987,Hesse,Urban regions,No,0.32323,162,411,0.27795,0.36850
