,Unnamed: 0,year,quintil_oecd_hh,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,1st Quintile,Yes,0.47421,528,5736,0.45394,0.49659
1,1,1984,1st Quintile,No,0.52579,645,5736,0.49882,0.5555
2,2,1984,2nd Quintile,Yes,0.60885,663,5736,0.58778,0.62781
3,3,1984,2nd Quintile,No,0.39115,514,5736,0.36874,0.41508
4,4,1984,3rd Quintile,Yes,0.68261,733,5736,0.66453,0.69971
5,5,1984,3rd Quintile,No,0.31739,420,5736,0.29633,0.33481
6,6,1984,4th Quintile,Yes,0.74217,798,5736,0.72379,0.76118
7,7,1984,4th Quintile,No,0.25783,379,5736,0.23821,0.27562
8,8,1984,5th Quintile,Yes,0.80408,817,5736,0.78583,0.82426
9,9,1984,5th Quintile,No,0.19592,239,5736,0.1835,0.20798
10,10,1985,1st Quintile,Yes,0.47826,479,5158,0.45186,0.49929
11,11,1985,1st Quintile,No,0.52174,579,5158,0.49386,0.55398
12,12,1985,2nd Quintile,Yes,0.60419,606,5158,0.58217,0.63266
13,13,1985,2nd Quintile,No,0.39581,435,5158,0.36983,0.41961
14,14,1985,3rd Quintile,Yes,0.68945,680,5158,0.66066,0.71388
15,15,1985,3rd Quintile,No,0.31055,371,5158,0.28891,0.32915
16,16,1985,4th Quintile,Yes,0.74927,731,5158,0.72801,0.77049
17,17,1985,4th Quintile,No,0.25073,317,5158,0.22903,0.26916
18,18,1985,5th Quintile,Yes,0.80351,750,5158,0.78425,0.82221
19,19,1985,5th Quintile,No,0.19649,210,5158,0.18004,0.21462
20,20,1986,1st Quintile,Yes,0.48504,451,4919,0.45798,0.51128
21,21,1986,1st Quintile,No,0.51496,512,4919,0.48299,0.54685
22,22,1986,2nd Quintile,Yes,0.65292,618,4919,0.62188,0.68087
23,23,1986,2nd Quintile,No,0.34708,386,4919,0.32202,0.37145
24,24,1986,3rd Quintile,Yes,0.68081,649,4919,0.65067,0.70696
25,25,1986,3rd Quintile,No,0.31919,363,4919,0.29418,0.34267
26,26,1986,4th Quintile,Yes,0.72609,679,4919,0.70376,0.75102
27,27,1986,4th Quintile,No,0.27391,326,4919,0.25314,0.29697
28,28,1986,5th Quintile,Yes,0.82908,756,4919,0.80597,0.85413
29,29,1986,5th Quintile,No,0.17092,179,4919,0.15613,0.18743
30,30,1987,1st Quintile,Yes,0.50314,451,4860,0.47663,0.53078
31,31,1987,1st Quintile,No,0.49686,468,4860,0.46337,0.52965
32,32,1987,2nd Quintile,Yes,0.62305,588,4860,0.59387,0.6499
33,33,1987,2nd Quintile,No,0.37695,404,4860,0.35327,0.40235
34,34,1987,3rd Quintile,Yes,0.6787,638,4860,0.65236,0.70669
35,35,1987,3rd Quintile,No,0.3213,360,4860,0.29675,0.3414
36,36,1987,4th Quintile,Yes,0.77004,723,4860,0.74142,0.79616
37,37,1987,4th Quintile,No,0.22996,292,4860,0.21069,0.24656
38,38,1987,5th Quintile,Yes,0.8089,744,4860,0.78969,0.83275
39,39,1987,5th Quintile,No,0.1911,192,4860,0.17666,0.20806
40,40,1988,1st Quintile,Yes,0.52465,456,4658,0.49618,0.55575
41,41,1988,1st Quintile,No,0.47535,448,4658,0.44255,0.51037
42,42,1988,2nd Quintile,Yes,0.66062,578,4658,0.62277,0.68712
43,43,1988,2nd Quintile,No,0.33938,365,4658,0.3113,0.3698
44,44,1988,3rd Quintile,Yes,0.70936,640,4658,0.68459,0.7402
45,45,1988,3rd Quintile,No,0.29064,327,4658,0.2669,0.31335
46,46,1988,4th Quintile,Yes,0.73073,671,4658,0.70418,0.75817
47,47,1988,4th Quintile,No,0.26927,291,4658,0.24824,0.28946
48,48,1988,5th Quintile,Yes,0.81046,703,4658,0.78756,0.8354
49,49,1988,5th Quintile,No,0.18954,179,4658,0.17499,0.20601
50,50,1989,1st Quintile,Yes,0.53302,440,4537,0.49983,0.56679
51,51,1989,1st Quintile,No,0.46698,434,4537,0.43193,0.49717
52,52,1989,2nd Quintile,Yes,0.66002,587,4537,0.63189,0.688
53,53,1989,2nd Quintile,No,0.33998,369,4537,0.31183,0.36857
54,54,1989,3rd Quintile,Yes,0.70592,625,4537,0.68172,0.73353
55,55,1989,3rd Quintile,No,0.29408,311,4537,0.27056,0.32024
