year,quintil_oecd_hh,rentown,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Owner,Yes,0.033001596110361395,156,5842,0.03293192176412085,0.03307127045660194
1984,1st Quintile,Owner,No,0.02479037620864043,101,5842,0.024729732870490462,0.0248510195467904
1984,1st Quintile,Tenant,Yes,0.06136600343329319,372,5842,0.06127239723412042,0.06145960963246596
1984,1st Quintile,Tenant,No,0.079839710523862,544,5842,0.07973399621578411,0.07994542483193989
1984,2nd Quintile,Owner,Yes,0.05241382506474771,261,5842,0.052326904040215005,0.05250074608928042
1984,2nd Quintile,Owner,No,0.022510186701419455,104,5842,0.022452332058165644,0.022568041344673266
1984,2nd Quintile,Tenant,Yes,0.06903195844887712,402,5842,0.06893308378162441,0.06913083311612983
1984,2nd Quintile,Tenant,No,0.055511921800667594,410,5842,0.055422615125145354,0.05560122847618983
1984,3rd Quintile,Owner,Yes,0.05949243997154325,302,5842,0.05940018185434476,0.05958469808874174
1984,3rd Quintile,Owner,No,0.018615524856542047,88,5842,0.018562807966011383,0.01866824174707271
1984,3rd Quintile,Tenant,Yes,0.07705603595227355,431,5842,0.07695202392766778,0.07716004797687931
1984,3rd Quintile,Tenant,No,0.04487518109756968,332,5842,0.044794434222571136,0.04495592797256823
1984,4th Quintile,Owner,Yes,0.07064659353420435,365,5842,0.07054665600413774,0.07074653106427096
1984,4th Quintile,Owner,No,0.014040810583757743,69,5842,0.013994920578107905,0.01408670058940758
1984,4th Quintile,Tenant,Yes,0.07867386342621899,433,5842,0.07856885733659033,0.07877886951584764
1984,4th Quintile,Tenant,No,0.03783426187756379,310,5842,0.037759846938902754,0.03790867681622483
1984,5th Quintile,Owner,Yes,0.09355134949014386,460,5842,0.09343777280661483,0.09366492617367289
1984,5th Quintile,Owner,No,0.01256305975289366,59,5842,0.01251961923951004,0.012606500266277281
1984,5th Quintile,Tenant,Yes,0.06750516790379421,357,5842,0.0674073126203952,0.06760302318719322
1984,5th Quintile,Tenant,No,0.02668013326162594,180,5842,0.026617281950395952,0.02674298457285593
1985,1st Quintile,Owner,Yes,0.03367257619437984,146,5265,0.033602976115485,0.03374217627327468
1985,1st Quintile,Owner,No,0.02360741205207791,91,5265,0.02354883252859888,0.02366599157555694
1985,1st Quintile,Tenant,Yes,0.06280554643069212,333,5265,0.06271193621164671,0.06289915664973754
1985,1st Quintile,Tenant,No,0.08164135697241041,488,5265,0.08153570668727358,0.08174700725754724
1985,2nd Quintile,Owner,Yes,0.044285041348305895,215,5265,0.044205662987482804,0.04436441970912899
1985,2nd Quintile,Owner,No,0.022855692595815075,97,5265,0.022798031093458057,0.022913354098172092
1985,2nd Quintile,Tenant,Yes,0.07475177383696587,391,5265,0.0746503011198955,0.07485324655403623
1985,2nd Quintile,Tenant,No,0.055125144653722216,338,5265,0.05503708612513145,0.05521320318231298
1985,3rd Quintile,Owner,Yes,0.06216621528498764,293,5265,0.06207305097788286,0.06225937959209242
1985,3rd Quintile,Owner,No,0.017204315819789186,77,5265,0.017154144014187335,0.017254487625391036
1985,3rd Quintile,Tenant,Yes,0.07582973604559066,387,5265,0.07572759385333284,0.07593187823784849
1985,3rd Quintile,Tenant,No,0.04495408489857026,294,5265,0.044874137172861685,0.04503403262427883
1985,4th Quintile,Owner,Yes,0.07230109784011769,349,5265,0.07220117025905762,0.07240102542117777
1985,4th Quintile,Owner,No,0.016118659954270285,73,5265,0.016070070140334364,0.016167249768206205
1985,4th Quintile,Tenant,Yes,0.07828981587451421,382,5265,0.07818616827786073,0.07839346347116768
1985,4th Quintile,Tenant,No,0.03427270119621088,244,5265,0.034202505444573275,0.03434289694784848
1985,5th Quintile,Owner,Yes,0.09378195530192596,432,5265,0.09366947268755774,0.09389443791629418
1985,5th Quintile,Owner,No,0.013403926011379338,53,5265,0.013359555430964922,0.013448296591793755
1985,5th Quintile,Tenant,Yes,0.06701547300972484,318,5265,0.06691899370353743,0.06711195231591224
1985,5th Quintile,Tenant,No,0.02591747467854966,157,5265,0.02585616858762334,0.02597878076947598
1986,1st Quintile,Owner,Yes,0.030602545025597193,135,5030,0.030536441776401684,0.030668648274792702
1986,1st Quintile,Owner,No,0.021194091605185816,79,5030,0.021138814054520408,0.021249369155851225
1986,1st Quintile,Tenant,Yes,0.06621616613387432,316,5030,0.06612073319723949,0.06631159907050915
1986,1st Quintile,Tenant,No,0.0812202778982883,432,5030,0.08111543692767625,0.08132511886890034
1986,2nd Quintile,Owner,Yes,0.05103550661949753,232,5030,0.050951045994012754,0.05111996724498231
1986,2nd Quintile,Owner,No,0.02423840268677045,104,5030,0.024179380274447958,0.02429742509909294
1986,2nd Quintile,Tenant,Yes,0.07911659537343235,386,5030,0.07901300265854562,0.07922018808831909
1986,2nd Quintile,Tenant,No,0.04494760911893974,282,5030,0.04486809211789853,0.04502712611998095
1986,3rd Quintile,Owner,Yes,0.060824989558119796,284,5030,0.06073326040533922,0.060916718710900375
1986,3rd Quintile,Owner,No,0.014136740462995555,62,5030,0.01409143233903713,0.014182048586953981
1986,3rd Quintile,Tenant,Yes,0.07614047964462005,364,5030,0.07603868993625582,0.07624226935298428
1986,3rd Quintile,Tenant,No,0.05011722451055828,301,5030,0.05003348669858544,0.050200962322531115
1986,4th Quintile,Owner,Yes,0.06680006437503884,315,5030,0.06670424156838252,0.06689588718169516
1986,4th Quintile,Owner,No,0.017428285722969724,78,5030,0.0173780627333759,0.017478508712563547
1986,4th Quintile,Tenant,Yes,0.07832859494919722,364,5030,0.07822547532500457,0.07843171457338988
1986,4th Quintile,Tenant,No,0.037231608678404686,247,5030,0.03715894624983168,0.03730427110697769
1986,5th Quintile,Owner,Yes,0.10014937017975493,458,5030,0.10003415693168569,0.10026458342782418
1986,5th Quintile,Owner,No,0.010997426879885173,49,5030,0.010957401326145224,0.011037452433625122
1986,5th Quintile,Tenant,Yes,0.06601591731548377,298,5030,0.06592061857402819,0.06611121605693936
1986,5th Quintile,Tenant,No,0.02325810326138622,130,5030,0.023200257685074464,0.023315948837697976
1987,1st Quintile,Owner,Yes,0.03294300765843083,135,4970,0.032874901997623586,0.03301111331923807
1987,1st Quintile,Owner,No,0.023384999590807202,83,4970,0.02332733543593455,0.023442663745679854
1987,1st Quintile,Tenant,Yes,0.06717751999587797,316,4970,0.06708200159612546,0.06727303839563048
1987,1st Quintile,Tenant,No,0.07548588694266112,385,4970,0.07538508585772384,0.0755866880275984
1987,2nd Quintile,Owner,Yes,0.04425199510858785,212,4970,0.04417352329665722,0.04433046692051848
1987,2nd Quintile,Owner,No,0.01914821102992544,88,4970,0.019095918295789435,0.019200503764061443
1987,2nd Quintile,Tenant,Yes,0.08006437640308398,376,4970,0.0799608207209236,0.08016793208524435
1987,2nd Quintile,Tenant,No,0.05558666244713068,315,4970,0.05549923618553827,0.05567408870872309
1987,3rd Quintile,Owner,Yes,0.06170345859311705,284,4970,0.06161164639939226,0.06179527078684184
1987,3rd Quintile,Owner,No,0.015999660467737226,76,4970,0.015951783287966332,0.01604753764750812
1987,3rd Quintile,Tenant,Yes,0.0735663739360387,354,4970,0.07346675947652981,0.07366598839554758
1987,3rd Quintile,Tenant,No,0.04803864410963998,284,4970,0.047957045908875943,0.04812024231040402
1987,4th Quintile,Owner,Yes,0.07327481508696221,338,4970,0.07317538257727901,0.0733742475966454
1987,4th Quintile,Owner,No,0.015935374145321993,76,4970,0.015887591686372257,0.015983156604271728
1987,4th Quintile,Tenant,Yes,0.08153286753837889,385,4970,0.0814284499349861,0.08163728514177168
1987,4th Quintile,Tenant,No,0.03029512452831729,216,4970,0.03022972393122569,0.030360525125408887
1987,5th Quintile,Owner,Yes,0.09447880887496019,443,4970,0.09436720171252262,0.09459041603739775
1987,5th Quintile,Owner,No,0.013871165843044361,59,4970,0.013826538722734821,0.013915792963353902
1987,5th Quintile,Tenant,Yes,0.06860381746418491,301,4970,0.06850736420194692,0.0687002707264229
1987,5th Quintile,Tenant,No,0.02465723023579219,133,4970,0.024598056861869798,0.024716403609714582
1988,1st Quintile,Owner,Yes,0.03370108835726752,136,4767,0.033632671094446176,0.03376950562008886
1988,1st Quintile,Owner,No,0.01843813059621495,66,4767,0.018387126474926598,0.0184891347175033
1988,1st Quintile,Tenant,Yes,0.06934539105056284,320,4767,0.06924907668816446,0.06944170541296121
1988,1st Quintile,Tenant,No,0.07492598645671472,382,4767,0.07482617222637641,0.07502580068705303
1988,2nd Quintile,Owner,Yes,0.04706498406880796,205,4767,0.046984692750679145,0.04714527538693677
1988,2nd Quintile,Owner,No,0.01999479858960291,87,4767,0.01994172717128351,0.020047870007922308
1988,2nd Quintile,Tenant,Yes,0.08487117580928183,373,4767,0.08476551614808443,0.08497683547047923
1988,2nd Quintile,Tenant,No,0.0477847136335424,278,4767,0.04770384128498385,0.047865585982100944
1988,3rd Quintile,Owner,Yes,0.05996369131655924,271,4767,0.059873678473098525,0.06005370416001995
1988,3rd Quintile,Owner,No,0.016745209459327268,72,4767,0.0166965613109948,0.016793857607659734
1988,3rd Quintile,Tenant,Yes,0.08179423528242749,369,4767,0.08169033437448787,0.08189813619036711
1988,3rd Quintile,Tenant,No,0.041335500695924024,255,4767,0.04126002920824639,0.04141097218360166
1988,4th Quintile,Owner,Yes,0.07582906837955557,337,4767,0.07572870344649471,0.07592943331261642
1988,4th Quintile,Owner,No,0.015894633443692824,70,4767,0.015847216446746578,0.01594205044063907
1988,4th Quintile,Tenant,Yes,0.07112822604663212,334,4767,0.07103077492128422,0.07122567717198001
1988,4th Quintile,Tenant,No,0.03825892872216385,221,4767,0.03818620376550396,0.038331653678823734
1988,5th Quintile,Owner,Yes,0.0964955054063394,416,4767,0.09638355989403544,0.09660745091864337
1988,5th Quintile,Owner,No,0.014316815741017744,56,4767,0.014271777659929605,0.014361853822105882
1988,5th Quintile,Tenant,Yes,0.06796651905645043,287,4767,0.06787109645382657,0.0680619416590743
1988,5th Quintile,Tenant,No,0.02414539788791494,123,4767,0.024087201272544576,0.0242035945032853
1989,1st Quintile,Owner,Yes,0.033426848063398074,127,4647,0.03335911928141188,0.03349457684538427
1989,1st Quintile,Owner,No,0.019917926586622094,69,4647,0.019865281059999317,0.01997057211324487
1989,1st Quintile,Tenant,Yes,0.07082168901572042,311,4647,0.07072503033575712,0.07091834769568371
1989,1st Quintile,Tenant,No,0.07188137912892308,364,4647,0.0717840555364788,0.07197870272136735
1989,2nd Quintile,Owner,Yes,0.04915978128090084,216,4647,0.049078317055851896,0.04924124550594978
1989,2nd Quintile,Owner,No,0.018608239842477906,78,4647,0.018557320587687658,0.018659159097268153
1989,2nd Quintile,Tenant,Yes,0.08232813060822951,371,4647,0.08222456250454972,0.0824316987119093
1989,2nd Quintile,Tenant,No,0.04912173819480874,291,4647,0.04904030386801626,0.04920317252160121
1989,3rd Quintile,Owner,Yes,0.06259375192419954,276,4647,0.062502479916869,0.06268502393153008
1989,3rd Quintile,Owner,No,0.017900043127496486,74,4647,0.017850084203904146,0.017950002051088827
1989,3rd Quintile,Tenant,Yes,0.07947703419419622,349,4647,0.07937511726537287,0.07957895112301956
1989,3rd Quintile,Tenant,No,0.04128518436088197,237,4647,0.0412102208321981,0.041360147889565844
1989,4th Quintile,Owner,Yes,0.07325658918210608,317,4647,0.07315841183596725,0.07335476652824491
1989,4th Quintile,Owner,No,0.016442924965068672,69,4647,0.01639500709465062,0.016490842835486724
1989,4th Quintile,Tenant,Yes,0.07404914134126632,331,4647,0.0739504765569775,0.07414780612555513
1989,4th Quintile,Tenant,No,0.037307937648428165,216,4647,0.037236528721896214,0.037379346574960115
1989,5th Quintile,Owner,Yes,0.09971967282506904,408,4647,0.09960677450220369,0.09983257114793438
1989,5th Quintile,Owner,No,0.012414873693361892,48,4647,0.012373151550011386,0.012456595836712398
1989,5th Quintile,Tenant,Yes,0.06467230098013613,268,4647,0.06457962882938403,0.06476497313088822
1989,5th Quintile,Tenant,No,0.025614813036708827,114,4647,0.025555285334418185,0.02567434073899947
1990,1st Quintile,Owner,Yes,0.020434980778582586,251,6742,0.02038410223370131,0.020485859323463862
1990,1st Quintile,Tenant,Yes,0.06729466560613848,656,6742,0.06720457210148471,0.06738475911079224
1990,2nd Quintile,Owner,Yes,0.04613417795612767,196,6742,0.04605874068521894,0.0462096152270364
1990,2nd Quintile,Owner,No,0.0241658786598881,95,6742,0.02411065563059066,0.02422110168918554
1990,2nd Quintile,Tenant,Yes,0.07983404065451585,381,6742,0.07973657354916752,0.07993150775986418
1990,2nd Quintile,Tenant,No,0.07555077761451792,440,6742,0.07545574078677432,0.07564581444226152
1990,3rd Quintile,Owner,Yes,0.06087881555648252,293,6742,0.0607928301304905,0.060964800982474546
1990,3rd Quintile,Owner,No,0.01691662922691701,84,6742,0.016870254323123394,0.016963004130710623
1990,3rd Quintile,Tenant,Yes,0.09967429034450986,454,6742,0.09956656389820571,0.09978201679081401
1990,3rd Quintile,Tenant,No,0.05149480046003003,323,6742,0.05141532510454393,0.05157427581551613
1990,4th Quintile,Owner,Yes,0.08273230397041209,379,6742,0.08263323981520937,0.08283136812561481
1990,4th Quintile,Owner,No,0.019063716807047215,88,6742,0.019014540589693964,0.019112893024400467
1990,4th Quintile,Tenant,Yes,0.08134272005166161,391,6742,0.08124441699156608,0.08144102311175715
1990,4th Quintile,Tenant,No,0.04477582264314688,264,6742,0.04470145134343134,0.044850193942862424
1990,5th Quintile,Owner,Yes,0.1080706720439151,492,6742,0.10795902426709007,0.10818231982074013
1990,5th Quintile,Owner,No,0.016355394940862925,74,6742,0.01630978278954925,0.0164010070921766
1990,5th Quintile,Tenant,Yes,0.07659648297536702,339,6742,0.07650084483828307,0.07669212111245097
1990,5th Quintile,Tenant,No,0.02868382970987716,141,6742,0.028623805036083007,0.028743854383671316
1991,1st Quintile,Owner,Yes,0.019939715059930623,242,6628,0.019893302246030704,0.019986127873830542
1991,1st Quintile,Owner,No,0.03232875325407543,341,6628,0.03227002995762928,0.03238747655052158
1991,1st Quintile,Tenant,Yes,0.060793032290711535,631,6628,0.060713698247911195,0.060872366333511875
1991,1st Quintile,Tenant,No,0.08402553844415367,787,6628,0.08393343001730857,0.08411764687099876
1991,2nd Quintile,Owner,Yes,0.039631934144468514,196,6628,0.039567161217980304,0.039696707070956724
1991,2nd Quintile,Owner,No,0.017373115965208356,85,6628,0.017329736398431685,0.017416495531985026
1991,2nd Quintile,Tenant,Yes,0.06936437101941605,391,6628,0.06928001616230063,0.06944872587653146
1991,2nd Quintile,Tenant,No,0.07326188242335793,455,6628,0.07317537177236805,0.07334839307434782
1991,3rd Quintile,Owner,Yes,0.05777121636956643,324,6628,0.05769375485761472,0.057848677881518144
1991,3rd Quintile,Owner,No,0.014780342727920838,73,6628,0.014740278127408043,0.014820407328433633
1991,3rd Quintile,Tenant,Yes,0.08165225090715098,441,6628,0.08156133503822238,0.08174316677607957
1991,3rd Quintile,Tenant,No,0.04685041707277254,346,6628,0.04678025711935478,0.046920577026190305
1991,4th Quintile,Owner,Yes,0.08235541678808592,448,6628,0.08226414525034043,0.08244668832583141
1991,4th Quintile,Owner,No,0.011077566967619636,63,6628,0.011042816925395115,0.011112317009844157
1991,4th Quintile,Tenant,Yes,0.06930234566443078,399,6628,0.06921802572089211,0.06938666560796944
1991,4th Quintile,Tenant,No,0.0381861675697215,275,6628,0.03812253923214464,0.03824979590729836
1991,5th Quintile,Owner,Yes,0.09594560330830328,497,6628,0.09584782064756632,0.09604338596904023
1991,5th Quintile,Owner,No,0.010323134854346565,54,6628,0.010289576199864167,0.010356693508828963
1991,5th Quintile,Tenant,Yes,0.07025164311847054,360,6628,0.07016679094265062,0.07033649529429047
1991,5th Quintile,Tenant,No,0.02478555205028891,148,6628,0.024733934024314938,0.024837170076262884
1992,1st Quintile,Owner,Yes,0.022217187145429355,143,6601,0.022168222684762755,0.022266151606095956
1992,1st Quintile,Owner,No,0.025709450240660684,181,6601,0.025656872020689957,0.02576202846063141
1992,1st Quintile,Tenant,Yes,0.06428223980553478,427,6601,0.06420076315339837,0.0643637164576712
1992,1st Quintile,Tenant,No,0.08351234183071822,592,6601,0.08342043371114789,0.08360424995028855
1992,2nd Quintile,Owner,Yes,0.044544753429210875,280,6601,0.044476217438752415,0.044613289419669334
1992,2nd Quintile,Owner,No,0.021485231336502986,169,6601,0.021437062190301604,0.021533400482704367
1992,2nd Quintile,Tenant,Yes,0.07532892168765871,520,6601,0.07524124386598631,0.07541659950933112
1992,2nd Quintile,Tenant,No,0.05814139048722312,493,6601,0.05806364936563641,0.05821913160880982
1992,3rd Quintile,Owner,Yes,0.056223267896278836,321,6601,0.056146742089938265,0.05629979370261941
1992,3rd Quintile,Owner,No,0.013343118117444803,102,6601,0.013305000391877276,0.01338123584301233
1992,3rd Quintile,Tenant,Yes,0.08455481348173077,509,6601,0.0844623861150919,0.08464724084836965
1992,3rd Quintile,Tenant,No,0.04484276216375648,364,6601,0.04477400802403275,0.04491151630348021
1992,4th Quintile,Owner,Yes,0.0752954626253017,422,6601,0.0752078026919096,0.07538312255869381
1992,4th Quintile,Owner,No,0.012915900203048489,83,6601,0.01287838954720793,0.012953410858889047
1992,4th Quintile,Tenant,Yes,0.07262760192531761,441,6601,0.0725413848723214,0.07271381897831383
1992,4th Quintile,Tenant,No,0.04192896493021813,303,6601,0.04186238073346001,0.04199554912697625
1992,5th Quintile,Owner,Yes,0.1072042196608413,541,6601,0.10710144235160163,0.10730699697008098
1992,5th Quintile,Owner,No,0.011537750253970702,61,6601,0.011502272521871793,0.01157322798606961
1992,5th Quintile,Tenant,Yes,0.06190929431686221,339,6601,0.06182923431748424,0.061989354316240176
1992,5th Quintile,Tenant,No,0.022395328462290268,139,6601,0.02234617256916439,0.022444484355416145
1993,1st Quintile,Owner,Yes,0.027213157180505064,137,6567,0.02715915558393763,0.027267158777072496
1993,1st Quintile,Owner,No,0.024215245179872162,147,6567,0.024164226438479174,0.02426626392126515
1993,1st Quintile,Tenant,Yes,0.06758131326699181,425,6567,0.06749799752071524,0.06766462901326838
1993,1st Quintile,Tenant,No,0.07801209622998587,540,6567,0.07792308355009406,0.07810110890987768
1993,2nd Quintile,Owner,Yes,0.04095574261649395,262,6567,0.04088996395710244,0.04102152127588546
1993,2nd Quintile,Owner,No,0.021411577795386848,171,6567,0.021363534513909932,0.021459621076863764
1993,2nd Quintile,Tenant,Yes,0.07463875046824771,513,6567,0.0745515244344123,0.07472597650208311
1993,2nd Quintile,Tenant,No,0.06458783385819387,512,6567,0.0645062535845509,0.06466941413183686
1993,3rd Quintile,Owner,Yes,0.0623083808192082,339,6567,0.06222815548389935,0.062388606154517044
1993,3rd Quintile,Owner,No,0.017547768815342618,125,6567,0.01750419004570251,0.017591347584982726
1993,3rd Quintile,Tenant,Yes,0.07644872412935289,490,6567,0.07636053320021809,0.07653691505848768
1993,3rd Quintile,Tenant,No,0.041473081541212986,366,6567,0.04140690659444641,0.04153925648797956
1993,4th Quintile,Owner,Yes,0.07776374090242463,434,6567,0.07767485805485087,0.07785262374999839
1993,4th Quintile,Owner,No,0.013096469653515826,88,6567,0.013058736529525092,0.01313420277750656
1993,4th Quintile,Tenant,Yes,0.07221249284372486,448,6567,0.07212658383262828,0.07229840185482143
1993,4th Quintile,Tenant,No,0.03888450583323192,290,6567,0.03882034287597734,0.0389486687904865
1993,5th Quintile,Owner,Yes,0.10324943377245198,523,6567,0.10314844154288913,0.10335042600201483
1993,5th Quintile,Owner,No,0.010355612708978312,58,6567,0.010322012980037551,0.010389212437919073
1993,5th Quintile,Tenant,Yes,0.06419730554189439,346,6567,0.06411595530221355,0.06427865578157523
1993,5th Quintile,Tenant,No,0.02384676684298406,144,6567,0.02379612820194811,0.023897405484020008
1994,1st Quintile,Owner,Yes,0.02504605644110568,128,6488,0.024994380001364155,0.025097732880847205
1994,1st Quintile,Owner,No,0.022039216917142918,133,6488,0.021990666869869873,0.022087766964415962
1994,1st Quintile,Tenant,Yes,0.07288296644766021,469,6488,0.07279700352788057,0.07296892936743984
1994,1st Quintile,Tenant,No,0.07770983674875402,543,6488,0.07762130426584728,0.07779836923166077
1994,2nd Quintile,Owner,Yes,0.04564056998295811,268,6488,0.04557155198268282,0.0457095879832334
1994,2nd Quintile,Owner,No,0.018603755385397127,142,6488,0.018559071249521584,0.01864843952127267
1994,2nd Quintile,Tenant,Yes,0.07642650888912618,491,6488,0.07633864941530007,0.07651436836295229
1994,2nd Quintile,Tenant,No,0.060405224351465454,463,6488,0.060326440282856296,0.06048400842007461
1994,3rd Quintile,Owner,Yes,0.06508020422853283,361,6488,0.06499863196963739,0.06516177648742828
1994,3rd Quintile,Owner,No,0.019005248419839218,145,6488,0.01896009392636537,0.019050402913313065
1994,3rd Quintile,Tenant,Yes,0.0720471080840941,470,6488,0.07196160099953722,0.072132615168651
1994,3rd Quintile,Tenant,No,0.04372531024085335,343,6488,0.04365768814328508,0.04379293233842162
1994,4th Quintile,Owner,Yes,0.07398281291147214,400,6488,0.07389625519289181,0.07406937063005248
