year,rentown,sampreg,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1993,Tenant,West,No,0.37552,1193,6360,0,0.35592,0,0.39488
1993,Tenant,East,Yes,0.46312,592,6360,0,0.44115,0,0.48381
1993,Tenant,East,No,0.53688,660,6360,0,0.51619,0,0.56217
1994,Owner,West,Yes,0.84624,1481,6265,0,0.82328,0,0.86887
1994,Owner,West,No,0.15376,272,6265,0,0.14376,0,0.16557
1994,Owner,East,Yes,0.37207,225,6265,0,0.35088,0,0.39820
1994,Owner,East,No,0.62793,314,6265,0,0.59125,0,0.67064
1994,Tenant,West,Yes,0.62958,1631,6265,0,0.60962,0,0.64979
1994,Tenant,West,No,0.37042,1119,6265,0,0.34923,0,0.39176
1994,Tenant,East,Yes,0.46768,586,6265,0,0.44790,0,0.49029
1994,Tenant,East,No,0.53232,637,6265,0,0.50899,0,0.55794
1995,Owner,West,Yes,0.85581,1517,6447,0,0.83058,0,0.87995
1995,Owner,West,No,0.14419,260,6447,0,0.13437,0,0.15353
1995,Owner,East,Yes,0.40311,236,6447,0,0.37615,0,0.43642
1995,Owner,East,No,0.59689,302,6447,0,0.55407,0,0.63916
1995,Tenant,West,Yes,0.64403,1802,6447,0,0.61926,0,0.66406
1995,Tenant,West,No,0.35597,1146,6447,0,0.33394,0,0.37544
1995,Tenant,East,Yes,0.48209,584,6447,0,0.46061,0,0.50470
1995,Tenant,East,No,0.51791,600,6447,0,0.49092,0,0.54328
1996,Owner,West,Yes,0.85659,1523,6384,0,0.83195,0,0.88191
1996,Owner,West,No,0.14341,260,6384,0,0.13244,0,0.15332
1996,Owner,East,Yes,0.41969,257,6384,0,0.39169,0,0.44694
1996,Owner,East,No,0.58031,303,6384,0,0.53909,0,0.61342
1996,Tenant,West,Yes,0.65719,1797,6384,0,0.63293,0,0.68212
1996,Tenant,West,No,0.34281,1073,6384,0,0.32455,0,0.36260
1996,Tenant,East,Yes,0.50401,607,6384,0,0.48009,0,0.52629
