"hgeqpter","year","quintil","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","1995","2","Staedtischer Raum","2115","0.75016638704702","0.734899750323789","0.765433023770251"
"Ja","1995","2","Laendlicher Raum","1031","0.66686124550386","0.64442937518817","0.68929311581955"
"Ja","1995","3","Staedtischer Raum","1491","0.803139788044325","0.78554095629954","0.820738619789109"
"Ja","1995","3","Laendlicher Raum","677","0.728569866353952","0.70048323977859","0.756656492929313"
"Ja","1995","4","Staedtischer Raum","1023","0.81717730480064","0.795977793757875","0.838376815843404"
"Ja","1995","4","Laendlicher Raum","344","0.775687018930328","0.737854947927609","0.813519089933048"
"Ja","1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","1995","2","Staedtischer Raum","974","0.24983361295298","0.234566976229749","0.265100249676211"
"Nein","1995","2","Laendlicher Raum","665","0.33313875449614","0.31070688418045","0.35557062481183"
"Nein","1995","3","Staedtischer Raum","470","0.196860211955675","0.179261380210891","0.21445904370046"
"Nein","1995","3","Laendlicher Raum","286","0.271430133646048","0.243343507070687","0.29951676022141"
"Nein","1995","4","Staedtischer Raum","254","0.18282269519936","0.161623184156596","0.204022206242125"
"Nein","1995","4","Laendlicher Raum","123","0.224312981069672","0.186480910066952","0.262145052072391"
"Nein","1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","1996","2","Staedtischer Raum","2051","0.735288123665933","0.719453426561779","0.751122820770086"
"Ja","1996","2","Laendlicher Raum","1128","0.682648475596016","0.661104452647367","0.704192498544664"
"Ja","1996","3","Staedtischer Raum","1590","0.808305422284453","0.791244830356674","0.825366014212231"
"Ja","1996","3","Laendlicher Raum","622","0.668505239405714","0.639444372399531","0.697566106411897"
"Ja","1996","4","Staedtischer Raum","1093","0.83456911786252","0.81480681030253","0.854331425422511"
"Ja","1996","4","Laendlicher Raum","381","0.826459685346021","0.79258006777737","0.860339302914672"
"Ja","1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Nein","1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Nein","1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Nein","1996","2","Staedtischer Raum","931","0.264711876334067","0.248877179229914","0.280546573438221"
"Nein","1996","2","Laendlicher Raum","665","0.317351524403984","0.295807501455336","0.338895547352633"
"Nein","1996","3","Staedtischer Raum","455","0.191694577715547","0.174633985787769","0.208755169643326"
"Nein","1996","3","Laendlicher Raum","386","0.331494760594286","0.302433893588103","0.360555627600469"
"Nein","1996","4","Staedtischer Raum","265","0.16543088213748","0.14566857457749","0.18519318969747"
"Nein","1996","4","Laendlicher Raum","99","0.173540314653979","0.139660697085328","0.20741993222263"
"Nein","1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Nein","1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
"Ja","1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","","","",""
"Ja","1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","","","",""
"Ja","1997","2","Staedtischer Raum","1946","0.722702827720198","0.7063134450542","0.739092210386196"
"Ja","1997","2","Laendlicher Raum","1143","0.686303911909117","0.664844999182484","0.70776282463575"
"Ja","1997","3","Staedtischer Raum","1681","0.812626733118803","0.796155615068872","0.829097851168735"
"Ja","1997","3","Laendlicher Raum","659","0.701331328600612","0.673077696898244","0.72958496030298"
"Ja","1997","4","Staedtischer Raum","1131","0.853851205054696","0.834930099010388","0.872772311099004"
"Ja","1997","4","Laendlicher Raum","412","0.818928372574118","0.786479648839894","0.851377096308341"
"Ja","1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","","","",""
"Ja","1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","","","",""
