"plh0012_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"SPD","1984","Schleswig-Holstein","145","0.546020090402349","0.485031199363286","0.607008981441412"
"SPD","1984","Hamburg","93","0.500795664888111","0.42650351584618","0.575087813930043"
"SPD","1984","Niedersachsen","331","0.474096885816063","0.436202785836189","0.511990985795937"
"SPD","1984","Bremen","42","0.553278674653075","0.440006682325319","0.666550666980832"
"SPD","1984","Nordrhein-Westfalen","954","0.486397936014497","0.463295249283524","0.509500622745469"
"SPD","1984","Hessen","378","0.513931890432763","0.476058308580597","0.551805472284929"
"SPD","1984","Rheinland-Pfalz,Saarland","235","0.502513006412482","0.456110100268277","0.548915912556688"
"SPD","1984","Baden-Wuerttemberg","474","0.383274189982857","0.353725905568171","0.412822474397543"
"SPD","1984","Bayern","414","0.329213184594086","0.301642543642041","0.35678382554613"
"SPD","1984","Saarland","","","",""
"SPD","1984","Berlin","110","0.552682979409191","0.483600596489036","0.621765362329346"
"SPD","1984","Brandenburg","","","",""
"SPD","1984","Mecklenburg-Vorpommern","","","",""
"SPD","1984","Sachsen","","","",""
"SPD","1984","Sachsen-Anhalt","","","",""
"SPD","1984","Thueringen","","","",""
"CDU","1984","Schleswig-Holstein","73","0.312316527464158","0.255546397899045","0.369086657029271"
"CDU","1984","Hamburg","49","0.332386220726815","0.262392735597165","0.402379705856465"
"CDU","1984","Niedersachsen","242","0.396536540819568","0.359412754020307","0.433660327618829"
"CDU","1984","Bremen","","","",""
"CDU","1984","Nordrhein-Westfalen","554","0.369073732648466","0.346768892237028","0.391378573059903"
"CDU","1984","Hessen","155","0.295639605835864","0.261060496460019","0.330218715211709"
"CDU","1984","Rheinland-Pfalz,Saarland","152","0.367068219104889","0.322334757586718","0.411801680623061"
"CDU","1984","Baden-Wuerttemberg","359","0.436257840511506","0.406117836804899","0.466397844218113"
"CDU","1984","Bayern","43","0.0455459351953961","0.0333133479594522","0.05777852243134"
"CDU","1984","Saarland","","","",""
"CDU","1984","Berlin","42","0.242214883848746","0.182690487260042","0.30173928043745"
"CDU","1984","Brandenburg","","","",""
"CDU","1984","Mecklenburg-Vorpommern","","","",""
"CDU","1984","Sachsen","","","",""
"CDU","1984","Sachsen-Anhalt","","","",""
"CDU","1984","Thueringen","","","",""
"CSU","1984","Schleswig-Holstein","","","",""
"CSU","1984","Hamburg","","","",""
"CSU","1984","Niedersachsen","","","",""
"CSU","1984","Bremen","","","",""
"CSU","1984","Nordrhein-Westfalen","","","",""
"CSU","1984","Hessen","","","",""
"CSU","1984","Rheinland-Pfalz,Saarland","","","",""
"CSU","1984","Baden-Wuerttemberg","","","",""
"CSU","1984","Bayern","263","0.266940087096286","0.240986784632551","0.292893389560021"
"CSU","1984","Saarland","","","",""
"CSU","1984","Berlin","","","",""
"CSU","1984","Brandenburg","","","",""
"CSU","1984","Mecklenburg-Vorpommern","","","",""
"CSU","1984","Sachsen","","","",""
"CSU","1984","Sachsen-Anhalt","","","",""
"CSU","1984","Thueringen","","","",""
"FDP","1984","Schleswig-Holstein","","","",""
"FDP","1984","Hamburg","","","",""
"FDP","1984","Niedersachsen","","","",""
"FDP","1984","Bremen","","","",""
"FDP","1984","Nordrhein-Westfalen","47","0.0277524015428733","0.0201597761659397","0.0353450269198069"
"FDP","1984","Hessen","","","",""
"FDP","1984","Rheinland-Pfalz,Saarland","","","",""
"FDP","1984","Baden-Wuerttemberg","39","0.0461705170049847","0.0334164362812098","0.0589245977287595"
"FDP","1984","Bayern","","","",""
"FDP","1984","Saarland","","","",""
"FDP","1984","Berlin","","","",""
"FDP","1984","Brandenburg","","","",""
"FDP","1984","Mecklenburg-Vorpommern","","","",""
"FDP","1984","Sachsen","","","",""
"FDP","1984","Sachsen-Anhalt","","","",""
"FDP","1984","Thueringen","","","",""
"Buendnis90/Gruene","1984","Schleswig-Holstein","","","",""
"Buendnis90/Gruene","1984","Hamburg","","","",""
"Buendnis90/Gruene","1984","Niedersachsen","41","0.0475963233155035","0.0314385165989517","0.0637541300320553"
"Buendnis90/Gruene","1984","Bremen","","","",""
"Buendnis90/Gruene","1984","Nordrhein-Westfalen","116","0.0522534179346057","0.0419671765312574","0.062539659337954"
"Buendnis90/Gruene","1984","Hessen","65","0.0944230103486767","0.0722646999055344","0.116581320791819"
"Buendnis90/Gruene","1984","Rheinland-Pfalz,Saarland","","","",""
"Buendnis90/Gruene","1984","Baden-Wuerttemberg","70","0.0630427259139136","0.0482717630361092","0.077813688791718"
"Buendnis90/Gruene","1984","Bayern","61","0.0464155155178772","0.0340723324301901","0.0587586986055642"
"Buendnis90/Gruene","1984","Saarland","","","",""
"Buendnis90/Gruene","1984","Berlin","","","",""
"Buendnis90/Gruene","1984","Brandenburg","","","",""
"Buendnis90/Gruene","1984","Mecklenburg-Vorpommern","","","",""
"Buendnis90/Gruene","1984","Sachsen","","","",""
"Buendnis90/Gruene","1984","Sachsen-Anhalt","","","",""
"Buendnis90/Gruene","1984","Thueringen","","","",""
"Die Linke","1984","Schleswig-Holstein","","","",""
"Die Linke","1984","Hamburg","","","",""
"Die Linke","1984","Niedersachsen","","","",""
"Die Linke","1984","Bremen","","","",""
"Die Linke","1984","Nordrhein-Westfalen","","","",""
"Die Linke","1984","Hessen","","","",""
"Die Linke","1984","Rheinland-Pfalz,Saarland","","","",""
"Die Linke","1984","Baden-Wuerttemberg","","","",""
"Die Linke","1984","Bayern","","","",""
"Die Linke","1984","Saarland","","","",""
"Die Linke","1984","Berlin","","","",""
"Die Linke","1984","Brandenburg","","","",""
"Die Linke","1984","Mecklenburg-Vorpommern","","","",""
"Die Linke","1984","Sachsen","","","",""
"Die Linke","1984","Sachsen-Anhalt","","","",""
"Die Linke","1984","Thueringen","","","",""
"NPD/Republikaner/Die Rechte","1984","Schleswig-Holstein","","","",""
"NPD/Republikaner/Die Rechte","1984","Hamburg","","","",""
"NPD/Republikaner/Die Rechte","1984","Niedersachsen","","","",""
"NPD/Republikaner/Die Rechte","1984","Bremen","","","",""
"NPD/Republikaner/Die Rechte","1984","Nordrhein-Westfalen","","","",""
"NPD/Republikaner/Die Rechte","1984","Hessen","","","",""
"NPD/Republikaner/Die Rechte","1984","Rheinland-Pfalz,Saarland","","","",""
"NPD/Republikaner/Die Rechte","1984","Baden-Wuerttemberg","","","",""
"NPD/Republikaner/Die Rechte","1984","Bayern","","","",""
"NPD/Republikaner/Die Rechte","1984","Saarland","","","",""
"NPD/Republikaner/Die Rechte","1984","Berlin","","","",""
"NPD/Republikaner/Die Rechte","1984","Brandenburg","","","",""
"NPD/Republikaner/Die Rechte","1984","Mecklenburg-Vorpommern","","","",""
"NPD/Republikaner/Die Rechte","1984","Sachsen","","","",""
"NPD/Republikaner/Die Rechte","1984","Sachsen-Anhalt","","","",""
