"plh0012_h","year","n","percent","lower_confidence","upper_confidence"
"SPD","1984","3176","0.452616786317312","0.440459127701676","0.464774444932947"
"CDU","1984","1694","0.308126497218763","0.296848895546508","0.319404098891018"
"CSU","1984","284","0.0518940768711747","0.046476236515751","0.0573119172265985"
"FDP","1984","181","0.0312133449339889","0.0269659454667437","0.0354607444012341"
"Buendnis90/Gruene","1984","431","0.0576642186721009","0.0519705141505583","0.0633579231936434"
"Die Linke","1984","","","",""
"NPD/Republikaner/Die Rechte","1984","","","",""
"Andere","1984","40","0.00614602705650739","0.00423706453744224","0.00805498957557254"
"SPD/Buendnis90/Gruene","1984","","","",""
"SPD/CDU","1984","","","",""
"SPD/FDP","1984","","","",""
"SPD/DVU(Rep/NPD)","1984","","","",""
"CDU/CSU","1984","633","0.0923390489301534","0.0852678443375897","0.0994102535227171"
"CDU/FDP","1984","","","",""
"CDU/Buendnis90/Gruene","1984","","","",""
"Buendnis90/Gruene/Die Linke","1984","","","",""
"SPD/Die Linke","1984","","","",""
"Gruene/DVU(Rep/NPD)","1984","","","",""
"Die Linke /DVU(Rep/NPD)","1984","","","",""
"CDU/Die Linke","1984","","","",""
"CDU/DVU(Rep/NPD)","1984","","","",""
"CSU/FDP","1984","","","",""
"Gruene/FDP","1984","","","",""
"FDP/Die Linke","1984","","","",""
"FDP/NPD","1984","","","",""
"Piratenpartei","1984","","","",""
"AfD","1984","","","",""
"CDU+/oder CSU/AfD","1984","","","",""
"SPD/AfD","1984","","","",""
"SPD","1985","2809","0.448057360985961","0.435233739561115","0.460880982410808"
"CDU","1985","1500","0.297925963002838","0.286132467667026","0.309719458338651"
"CSU","1985","291","0.0605667935450226","0.0544157733617824","0.0667178137282627"
"FDP","1985","198","0.0389217129390548","0.0339343351975794","0.0439090906805303"
"Buendnis90/Gruene","1985","409","0.0614801730876106","0.0552859595371554","0.0676743866380659"
"Die Linke","1985","","","",""
"NPD/Republikaner/Die Rechte","1985","","","",""
"Andere","1985","36","0.00691499132356504","0.00477808275750826","0.00905189988962182"
"SPD/Buendnis90/Gruene","1985","","","",""
"SPD/CDU","1985","","","",""
"SPD/FDP","1985","","","",""
"SPD/DVU(Rep/NPD)","1985","","","",""
"CDU/CSU","1985","534","0.0861330051159469","0.0788982605306909","0.093367749701203"
"CDU/FDP","1985","","","",""
"CDU/Buendnis90/Gruene","1985","","","",""
"Buendnis90/Gruene/Die Linke","1985","","","",""
"SPD/Die Linke","1985","","","",""
"Gruene/DVU(Rep/NPD)","1985","","","",""
"Die Linke /DVU(Rep/NPD)","1985","","","",""
"CDU/Die Linke","1985","","","",""
"CDU/DVU(Rep/NPD)","1985","","","",""
"CSU/FDP","1985","","","",""
"Gruene/FDP","1985","","","",""
"FDP/Die Linke","1985","","","",""
"FDP/NPD","1985","","","",""
"Piratenpartei","1985","","","",""
"AfD","1985","","","",""
"CDU+/oder CSU/AfD","1985","","","",""
"SPD/AfD","1985","","","",""
"SPD","1986","2691","0.455374751981624","0.44218821369656","0.468561290266689"
"CDU","1986","1414","0.294667652587111","0.282596171083119","0.306739134091103"
"CSU","1986","284","0.0614470485303042","0.0550882166288166","0.0678058804317918"
"FDP","1986","170","0.0348798878477047","0.0300216847820127","0.0397380909133966"
"Buendnis90/Gruene","1986","385","0.0623826119641329","0.0559787487844372","0.0687864751438286"
"Die Linke","1986","","","",""
"NPD/Republikaner/Die Rechte","1986","","","",""
