"plh0012_h","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"SPD","1984","16-34 Jahre alt","1053","0.452948215469697","0.431658152807998","0.474238278131395"
"SPD","1984","35-65 Jahre alt","1804","0.464752496808399","0.448364219277352","0.481140774339447"
"SPD","1984","66 und älter","319","0.416542191829342","0.381967620746065","0.451116762912619"
"CDU","1984","16-34 Jahre alt","383","0.220043928737896","0.20232537743649","0.237762480039303"
"CDU","1984","35-65 Jahre alt","1020","0.332100139671235","0.31662497337696","0.347575305965509"
"CDU","1984","66 und älter","291","0.373499415894062","0.339573758052008","0.407425073736116"
"CSU","1984","16-34 Jahre alt","58","0.0343862357593414","0.0265927367281252","0.0421797347905577"
"CSU","1984","35-65 Jahre alt","174","0.0576134213566351","0.0499570762910535","0.0652697664222166"
"CSU","1984","66 und älter","52","0.0620916974087373","0.0451670538715737","0.079016340945901"
"FDP","1984","16-34 Jahre alt","38","0.0191487181951472","0.0132872032107331","0.0250102331795612"
"FDP","1984","35-65 Jahre alt","112","0.0341473440889577","0.028180028265456","0.0401146599124594"
"FDP","1984","66 und älter","31","0.0411921339780343","0.0272542927196316","0.0551299752364371"
"Buendnis90/Gruene","1984","16-34 Jahre alt","332","0.158665687954606","0.143039096653333","0.174292279255879"
"Buendnis90/Gruene","1984","35-65 Jahre alt","92","0.0216138349424047","0.0168356144570105","0.0263920554277988"
"Buendnis90/Gruene","1984","66 und älter","","","",""
"Die Linke","1984","16-34 Jahre alt","","","",""
"Die Linke","1984","35-65 Jahre alt","","","",""
"Die Linke","1984","66 und älter","","","",""
"NPD/Republikaner/Die Rechte","1984","16-34 Jahre alt","","","",""
"NPD/Republikaner/Die Rechte","1984","35-65 Jahre alt","","","",""
"NPD/Republikaner/Die Rechte","1984","66 und älter","","","",""
"Andere","1984","16-34 Jahre alt","","","",""
"Andere","1984","35-65 Jahre alt","","","",""
"Andere","1984","66 und älter","","","",""
"SPD/Buendnis90/Gruene","1984","16-34 Jahre alt","","","",""
"SPD/Buendnis90/Gruene","1984","35-65 Jahre alt","","","",""
"SPD/Buendnis90/Gruene","1984","66 und älter","","","",""
"SPD/CDU","1984","16-34 Jahre alt","","","",""
"SPD/CDU","1984","35-65 Jahre alt","","","",""
"SPD/CDU","1984","66 und älter","","","",""
"SPD/FDP","1984","16-34 Jahre alt","","","",""
"SPD/FDP","1984","35-65 Jahre alt","","","",""
"SPD/FDP","1984","66 und älter","","","",""
"SPD/DVU(Rep/NPD)","1984","16-34 Jahre alt","","","",""
"SPD/DVU(Rep/NPD)","1984","35-65 Jahre alt","","","",""
"SPD/DVU(Rep/NPD)","1984","66 und älter","","","",""
"CDU/CSU","1984","16-34 Jahre alt","217","0.105163739927997","0.092043455744211","0.118284024111783"
"CDU/CSU","1984","35-65 Jahre alt","341","0.0860585215946612","0.0768433961080918","0.0952736470812306"
"CDU/CSU","1984","66 und älter","75","0.0909970755137666","0.0708264701815637","0.11116768084597"
"CDU/FDP","1984","16-34 Jahre alt","","","",""
"CDU/FDP","1984","35-65 Jahre alt","","","",""
"CDU/FDP","1984","66 und älter","","","",""
"CDU/Buendnis90/Gruene","1984","16-34 Jahre alt","","","",""
"CDU/Buendnis90/Gruene","1984","35-65 Jahre alt","","","",""
"CDU/Buendnis90/Gruene","1984","66 und älter","","","",""
"Buendnis90/Gruene/Die Linke","1984","16-34 Jahre alt","","","",""
"Buendnis90/Gruene/Die Linke","1984","35-65 Jahre alt","","","",""
"Buendnis90/Gruene/Die Linke","1984","66 und älter","","","",""
"SPD/Die Linke","1984","16-34 Jahre alt","","","",""
"SPD/Die Linke","1984","35-65 Jahre alt","","","",""
"SPD/Die Linke","1984","66 und älter","","","",""
"Gruene/DVU(Rep/NPD)","1984","16-34 Jahre alt","","","",""
"Gruene/DVU(Rep/NPD)","1984","35-65 Jahre alt","","","",""
"Gruene/DVU(Rep/NPD)","1984","66 und älter","","","",""
"Die Linke /DVU(Rep/NPD)","1984","16-34 Jahre alt","","","",""
"Die Linke /DVU(Rep/NPD)","1984","35-65 Jahre alt","","","",""
"Die Linke /DVU(Rep/NPD)","1984","66 und älter","","","",""
"CDU/Die Linke","1984","16-34 Jahre alt","","","",""
"CDU/Die Linke","1984","35-65 Jahre alt","","","",""
"CDU/Die Linke","1984","66 und älter","","","",""
"CDU/DVU(Rep/NPD)","1984","16-34 Jahre alt","","","",""
"CDU/DVU(Rep/NPD)","1984","35-65 Jahre alt","","","",""
"CDU/DVU(Rep/NPD)","1984","66 und älter","","","",""
"CSU/FDP","1984","16-34 Jahre alt","","","",""
"CSU/FDP","1984","35-65 Jahre alt","","","",""
"CSU/FDP","1984","66 und älter","","","",""
"Gruene/FDP","1984","16-34 Jahre alt","","","",""
"Gruene/FDP","1984","35-65 Jahre alt","","","",""
"Gruene/FDP","1984","66 und älter","","","",""
"FDP/Die Linke","1984","16-34 Jahre alt","","","",""
"FDP/Die Linke","1984","35-65 Jahre alt","","","",""
"FDP/Die Linke","1984","66 und älter","","","",""
"FDP/NPD","1984","16-34 Jahre alt","","","",""
"FDP/NPD","1984","35-65 Jahre alt","","","",""
"FDP/NPD","1984","66 und älter","","","",""
"Piratenpartei","1984","16-34 Jahre alt","","","",""
"Piratenpartei","1984","35-65 Jahre alt","","","",""
"Piratenpartei","1984","66 und älter","","","",""
"AfD","1984","16-34 Jahre alt","","","",""
"AfD","1984","35-65 Jahre alt","","","",""
"AfD","1984","66 und älter","","","",""
"CDU+/oder CSU/AfD","1984","16-34 Jahre alt","","","",""
"CDU+/oder CSU/AfD","1984","35-65 Jahre alt","","","",""
"CDU+/oder CSU/AfD","1984","66 und älter","","","",""
"SPD/AfD","1984","16-34 Jahre alt","","","",""
"SPD/AfD","1984","35-65 Jahre alt","","","",""
"SPD/AfD","1984","66 und älter","","","",""
"SPD","1985","16-34 Jahre alt","926","0.452942743220207","0.430308640584021","0.475576845856394"
"SPD","1985","35-65 Jahre alt","1611","0.460693226129042","0.443519375334792","0.477867076923291"
"SPD","1985","66 und älter","272","0.404311246238269","0.367479397783053","0.441143094693486"
"CDU","1985","16-34 Jahre alt","340","0.211137577515074","0.192580540337159","0.229694614692989"
"CDU","1985","35-65 Jahre alt","901","0.31596929504512","0.299951450532024","0.331987139558216"
"CDU","1985","66 und älter","259","0.377011640896689","0.340639132773137","0.41338414902024"
"CSU","1985","16-34 Jahre alt","64","0.0416176109622892","0.0325366204572569","0.0506986014673214"
"CSU","1985","35-65 Jahre alt","164","0.0596612130159141","0.0515004258945807","0.0678220001372474"
"CSU","1985","66 und älter","63","0.0918024410686366","0.0701317289154749","0.113473153221798"
"FDP","1985","16-34 Jahre alt","46","0.025595546377798","0.0184146763083547","0.0327764164472414"
"FDP","1985","35-65 Jahre alt","116","0.0392422592128459","0.032552233580301","0.0459322848453908"
"FDP","1985","66 und älter","36","0.0581276584652704","0.0405668971510239","0.075688419779517"
"Buendnis90/Gruene","1985","16-34 Jahre alt","301","0.164565202838503","0.147705476498053","0.181424929178953"
"Buendnis90/Gruene","1985","35-65 Jahre alt","104","0.0273587458214975","0.0217383323007571","0.0329791593422379"
"Buendnis90/Gruene","1985","66 und älter","","","",""
"Die Linke","1985","16-34 Jahre alt","","","",""
"Die Linke","1985","35-65 Jahre alt","","","",""
"Die Linke","1985","66 und älter","","","",""
"NPD/Republikaner/Die Rechte","1985","16-34 Jahre alt","","","",""
"NPD/Republikaner/Die Rechte","1985","35-65 Jahre alt","","","",""
"NPD/Republikaner/Die Rechte","1985","66 und älter","","","",""
"Andere","1985","16-34 Jahre alt","","","",""
"Andere","1985","35-65 Jahre alt","","","",""
"Andere","1985","66 und älter","","","",""
"SPD/Buendnis90/Gruene","1985","16-34 Jahre alt","","","",""
"SPD/Buendnis90/Gruene","1985","35-65 Jahre alt","","","",""
"SPD/Buendnis90/Gruene","1985","66 und älter","","","",""
"SPD/CDU","1985","16-34 Jahre alt","","","",""
"SPD/CDU","1985","35-65 Jahre alt","","","",""
"SPD/CDU","1985","66 und älter","","","",""
"SPD/FDP","1985","16-34 Jahre alt","","","",""
"SPD/FDP","1985","35-65 Jahre alt","","","",""
"SPD/FDP","1985","66 und älter","","","",""
"SPD/DVU(Rep/NPD)","1985","16-34 Jahre alt","","","",""
"SPD/DVU(Rep/NPD)","1985","35-65 Jahre alt","","","",""
"SPD/DVU(Rep/NPD)","1985","66 und älter","","","",""
"CDU/CSU","1985","16-34 Jahre alt","168","0.0959290969135753","0.0825384468695146","0.109319746957636"
"CDU/CSU","1985","35-65 Jahre alt","321","0.0904447695333776","0.0805626500495784","0.100326889017177"
"CDU/CSU","1985","66 und älter","45","0.0589199972781923","0.0412473937178134","0.0765926008385713"
"CDU/FDP","1985","16-34 Jahre alt","","","",""
"CDU/FDP","1985","35-65 Jahre alt","","","",""
"CDU/FDP","1985","66 und älter","","","",""
"CDU/Buendnis90/Gruene","1985","16-34 Jahre alt","","","",""
"CDU/Buendnis90/Gruene","1985","35-65 Jahre alt","","","",""
"CDU/Buendnis90/Gruene","1985","66 und älter","","","",""
"Buendnis90/Gruene/Die Linke","1985","16-34 Jahre alt","","","",""
