"plh0012_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"SPD","1984","Westdeutschland, alte Bundeslaender","3176","0.452616786317312","0.440459127701676","0.464774444932947"
"SPD","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Westdeutschland, alte Bundeslaender","1694","0.308126497218763","0.296848895546508","0.319404098891018"
"CDU","1984","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Westdeutschland, alte Bundeslaender","284","0.0518940768711747","0.046476236515751","0.0573119172265985"
"CSU","1984","Ostdeutschland, neue Bundeslaender","","","",""
"FDP","1984","Westdeutschland, alte Bundeslaender","181","0.0312133449339889","0.0269659454667437","0.0354607444012341"
"FDP","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Buendnis90/Gruene","1984","Westdeutschland, alte Bundeslaender","431","0.0576642186721009","0.0519705141505583","0.0633579231936434"
"Buendnis90/Gruene","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Die Linke","1984","Westdeutschland, alte Bundeslaender","","","",""
"Die Linke","1984","Ostdeutschland, neue Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","Westdeutschland, alte Bundeslaender","","","",""
"NPD/Republikaner/Die Rechte","1984","Ostdeutschland, neue Bundeslaender","","","",""
"Andere","1984","Westdeutschland, alte Bundeslaender","40","0.00614602705650739","0.00423706453744224","0.00805498957557254"
"Andere","1984","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","Westdeutschland, alte Bundeslaender","","","",""
"SPD/Buendnis90/Gruene","1984","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/CDU","1984","Westdeutschland, alte Bundeslaender","","","",""
"SPD/CDU","1984","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/FDP","1984","Westdeutschland, alte Bundeslaender","","","",""
"SPD/FDP","1984","Ostdeutschland, neue Bundeslaender","","","",""
"SPD/DVU(Rep/NPD)","1984","Westdeutschland, alte Bundeslaender","","","",""
