"plh0012_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"SPD","1984","(noch) kein Abschluss","275","0.56184826287053","0.511428777186781","0.612267748554278"
"SPD","1984","Hauptschulabschluss","2107","0.510637637697702","0.495000954530223","0.526274320865181"
"SPD","1984","Realschulabschluss","404","0.348049827934238","0.319835549670025","0.376264106198451"
"SPD","1984","(Fach-)Abitur","187","0.313156622440466","0.272787085382905","0.353526159498026"
"SPD","1984","AkademikerInnen","180","0.31745654164044","0.276898205776006","0.358014877504875"
"CDU","1984","(noch) kein Abschluss","","","",""
"CDU","1984","Hauptschulabschluss","1041","0.297938555243178","0.283632369517229","0.312244740969126"
"CDU","1984","Realschulabschluss","365","0.35950854682206","0.331086698944414","0.387930394699707"
"CDU","1984","(Fach-)Abitur","115","0.290761698518499","0.251233338128356","0.330290058908641"
"CDU","1984","AkademikerInnen","147","0.331672735746514","0.290650218307309","0.37269525318572"
"CSU","1984","(noch) kein Abschluss","","","",""
"CSU","1984","Hauptschulabschluss","205","0.0587733256479115","0.0514161658421449","0.0661304854536782"
"CSU","1984","Realschulabschluss","53","0.051504033197221","0.0384128350809458","0.0645952313134962"
"CSU","1984","(Fach-)Abitur","","","",""
"CSU","1984","AkademikerInnen","","","",""
"FDP","1984","(noch) kein Abschluss","","","",""
"FDP","1984","Hauptschulabschluss","76","0.0211209848982127","0.0166232429415878","0.0256187268548376"
"FDP","1984","Realschulabschluss","37","0.0378954862615637","0.0265859212976032","0.0492050512255241"
"FDP","1984","(Fach-)Abitur","","","",""
"FDP","1984","AkademikerInnen","44","0.0891692782047458","0.0643379875444409","0.114000568865051"
"Buendnis90/Gruene","1984","(noch) kein Abschluss","33","0.151386342221287","0.114963403974569","0.187809280468004"
"Buendnis90/Gruene","1984","Hauptschulabschluss","107","0.0202402596237515","0.0158353117073078","0.0246452075401951"
"Buendnis90/Gruene","1984","Realschulabschluss","104","0.0844748987871413","0.0680031390277649","0.100946658546518"
"Buendnis90/Gruene","1984","(Fach-)Abitur","124","0.229959278697809","0.193330163651969","0.266588393743648"
"Buendnis90/Gruene","1984","AkademikerInnen","61","0.115328877806701","0.0874976227591426","0.143160132854259"
"Die Linke","1984","(noch) kein Abschluss","","","",""
"Die Linke","1984","Hauptschulabschluss","","","",""
"Die Linke","1984","Realschulabschluss","","","",""
"Die Linke","1984","(Fach-)Abitur","","","",""
"Die Linke","1984","AkademikerInnen","","","",""
"NPD/Republikaner/Die Rechte","1984","(noch) kein Abschluss","","","",""
"NPD/Republikaner/Die Rechte","1984","Hauptschulabschluss","","","",""
"NPD/Republikaner/Die Rechte","1984","Realschulabschluss","","","",""
"NPD/Republikaner/Die Rechte","1984","(Fach-)Abitur","","","",""
"NPD/Republikaner/Die Rechte","1984","AkademikerInnen","","","",""
"Andere","1984","(noch) kein Abschluss","","","",""
"Andere","1984","Hauptschulabschluss","","","",""
"Andere","1984","Realschulabschluss","","","",""
"Andere","1984","(Fach-)Abitur","","","",""
"Andere","1984","AkademikerInnen","","","",""
"SPD/Buendnis90/Gruene","1984","(noch) kein Abschluss","","","",""
"SPD/Buendnis90/Gruene","1984","Hauptschulabschluss","","","",""
"SPD/Buendnis90/Gruene","1984","Realschulabschluss","","","",""
