"plh0012_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"SPD","1984","Schleswig-Holstein","Westdeutschland, alte Bundeslaender","145","0.546020090402349","0.485031199363286","0.607008981441412"
"SPD","1984","Schleswig-Holstein","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Hamburg","Westdeutschland, alte Bundeslaender","93","0.500795664888111","0.42650351584618","0.575087813930043"
"SPD","1984","Hamburg","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Niedersachsen","Westdeutschland, alte Bundeslaender","331","0.474096885816063","0.436202785836189","0.511990985795937"
"SPD","1984","Niedersachsen","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Bremen","Westdeutschland, alte Bundeslaender","42","0.553278674653075","0.440006682325319","0.666550666980832"
"SPD","1984","Bremen","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Nordrhein-Westfalen","Westdeutschland, alte Bundeslaender","954","0.486397936014497","0.463295249283524","0.509500622745469"
"SPD","1984","Nordrhein-Westfalen","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Hessen","Westdeutschland, alte Bundeslaender","378","0.513931890432763","0.476058308580597","0.551805472284929"
"SPD","1984","Hessen","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Rheinland-Pfalz,Saarland","Westdeutschland, alte Bundeslaender","235","0.502513006412482","0.456110100268277","0.548915912556688"
"SPD","1984","Rheinland-Pfalz,Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Baden-Wuerttemberg","Westdeutschland, alte Bundeslaender","474","0.383274189982857","0.353725905568171","0.412822474397543"
"SPD","1984","Baden-Wuerttemberg","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Bayern","Westdeutschland, alte Bundeslaender","414","0.329213184594086","0.301642543642041","0.35678382554613"
"SPD","1984","Bayern","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Saarland","Westdeutschland, alte Bundeslaender","","","",""
"SPD","1984","Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Berlin","Westdeutschland, alte Bundeslaender","110","0.552682979409191","0.483600596489036","0.621765362329346"
"SPD","1984","Berlin","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Brandenburg","Westdeutschland, alte Bundeslaender","","","",""
"SPD","1984","Brandenburg","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Mecklenburg-Vorpommern","Westdeutschland, alte Bundeslaender","","","",""
"SPD","1984","Mecklenburg-Vorpommern","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Sachsen","Westdeutschland, alte Bundeslaender","","","",""
"SPD","1984","Sachsen","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Sachsen-Anhalt","Westdeutschland, alte Bundeslaender","","","",""
"SPD","1984","Sachsen-Anhalt","Ostdeutschland, neue Bundeslaender","","","",""
"SPD","1984","Thueringen","Westdeutschland, alte Bundeslaender","","","",""
"SPD","1984","Thueringen","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Schleswig-Holstein","Westdeutschland, alte Bundeslaender","73","0.312316527464158","0.255546397899045","0.369086657029271"
"CDU","1984","Schleswig-Holstein","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Hamburg","Westdeutschland, alte Bundeslaender","49","0.332386220726815","0.262392735597165","0.402379705856465"
"CDU","1984","Hamburg","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Niedersachsen","Westdeutschland, alte Bundeslaender","242","0.396536540819568","0.359412754020307","0.433660327618829"
"CDU","1984","Niedersachsen","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Bremen","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","Bremen","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Nordrhein-Westfalen","Westdeutschland, alte Bundeslaender","554","0.369073732648466","0.346768892237028","0.391378573059903"
"CDU","1984","Nordrhein-Westfalen","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Hessen","Westdeutschland, alte Bundeslaender","155","0.295639605835864","0.261060496460019","0.330218715211709"
"CDU","1984","Hessen","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Rheinland-Pfalz,Saarland","Westdeutschland, alte Bundeslaender","152","0.367068219104889","0.322334757586718","0.411801680623061"
"CDU","1984","Rheinland-Pfalz,Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Baden-Wuerttemberg","Westdeutschland, alte Bundeslaender","359","0.436257840511506","0.406117836804899","0.466397844218113"
"CDU","1984","Baden-Wuerttemberg","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Bayern","Westdeutschland, alte Bundeslaender","43","0.0455459351953961","0.0333133479594522","0.05777852243134"
"CDU","1984","Bayern","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Saarland","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Berlin","Westdeutschland, alte Bundeslaender","42","0.242214883848746","0.182690487260042","0.30173928043745"
"CDU","1984","Berlin","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Brandenburg","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","Brandenburg","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Mecklenburg-Vorpommern","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","Mecklenburg-Vorpommern","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Sachsen","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","Sachsen","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Sachsen-Anhalt","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","Sachsen-Anhalt","Ostdeutschland, neue Bundeslaender","","","",""
"CDU","1984","Thueringen","Westdeutschland, alte Bundeslaender","","","",""
"CDU","1984","Thueringen","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Schleswig-Holstein","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Schleswig-Holstein","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Hamburg","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Hamburg","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Niedersachsen","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Niedersachsen","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Bremen","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Bremen","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Nordrhein-Westfalen","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Nordrhein-Westfalen","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Hessen","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Hessen","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Rheinland-Pfalz,Saarland","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Rheinland-Pfalz,Saarland","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Baden-Wuerttemberg","Westdeutschland, alte Bundeslaender","","","",""
"CSU","1984","Baden-Wuerttemberg","Ostdeutschland, neue Bundeslaender","","","",""
"CSU","1984","Bayern","Westdeutschland, alte Bundeslaender","263","0.266940087096286","0.240986784632551","0.292893389560021"
"CSU","1984","Bayern","Ostdeutschland, neue Bundeslaender","","","",""
