"plh0012_h","year","sex","n","percent","lower_confidence","upper_confidence"
"SPD","1984","maennlich","1669","0.455355505538567","0.438428344689163","0.472282666387971"
"SPD","1984","weiblich","1507","0.449991391235304","0.432518063080837","0.467464719389771"
"CDU","1984","maennlich","807","0.289780108268749","0.274360158205691","0.305200058331806"
"CDU","1984","weiblich","887","0.325713739805788","0.309253771995121","0.342173707616454"
"CSU","1984","maennlich","142","0.051350913310047","0.043848877225239","0.058852949394855"
"CSU","1984","weiblich","142","0.052414765129775","0.0445872349377757","0.0602422953217742"
"FDP","1984","maennlich","104","0.0355069617487447","0.0292168469603888","0.0417970765371006"
"FDP","1984","weiblich","77","0.0270973916146422","0.0213946037770505","0.0328001794522338"
"Buendnis90/Gruene","1984","maennlich","219","0.0583654352371988","0.0503970315757633","0.0663338388986342"
"Buendnis90/Gruene","1984","weiblich","212","0.0569920174084071","0.0488495976637152","0.065134437153099"
"Die Linke","1984","maennlich","","","",""
"Die Linke","1984","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1984","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1984","weiblich","","","",""
"Andere","1984","maennlich","","","",""
"Andere","1984","weiblich","","","",""
"SPD/Buendnis90/Gruene","1984","maennlich","","","",""
"SPD/Buendnis90/Gruene","1984","weiblich","","","",""
"SPD/CDU","1984","maennlich","","","",""
"SPD/CDU","1984","weiblich","","","",""
"SPD/FDP","1984","maennlich","","","",""
"SPD/FDP","1984","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1984","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1984","weiblich","","","",""
"CDU/CSU","1984","maennlich","357","0.101607091286668","0.0913376354092164","0.11187654716412"
"CDU/CSU","1984","weiblich","276","0.0834545044197898","0.0737406700995242","0.0931683387400554"
"CDU/FDP","1984","maennlich","","","",""
"CDU/FDP","1984","weiblich","","","",""
"CDU/Buendnis90/Gruene","1984","maennlich","","","",""
"CDU/Buendnis90/Gruene","1984","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1984","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1984","weiblich","","","",""
