"plh0012_h","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"SPD","1984","16-34 Jahre alt","maennlich","552","0.449517851729666","0.420187853035806","0.478847850423527"
"SPD","1984","16-34 Jahre alt","weiblich","501","0.456725632831416","0.425774692283384","0.487676573379449"
"SPD","1984","35-65 Jahre alt","maennlich","984","0.468580720580491","0.446107311114282","0.4910541300467"
"SPD","1984","35-65 Jahre alt","weiblich","820","0.460781506327782","0.436831736741417","0.484731275914147"
"SPD","1984","66 und älter","maennlich","133","0.415647418343085","0.362149200085432","0.469145636600739"
"SPD","1984","66 und älter","weiblich","186","0.417086708995059","0.371780518474747","0.462392899515371"
"CDU","1984","16-34 Jahre alt","maennlich","194","0.215118381226922","0.190890926438694","0.23934583601515"
"CDU","1984","16-34 Jahre alt","weiblich","189","0.225467799235014","0.199502187873074","0.251433410596954"
"CDU","1984","35-65 Jahre alt","maennlich","499","0.313747652506998","0.292850348162157","0.33464495685184"
"CDU","1984","35-65 Jahre alt","weiblich","521","0.351137049779815","0.328202709789379","0.374071389770251"
"CDU","1984","66 und älter","maennlich","114","0.35450681751546","0.302579317252076","0.406434317778844"
"CDU","1984","66 und älter","weiblich","177","0.38505742023546","0.340345592451468","0.429769248019452"
"CSU","1984","16-34 Jahre alt","maennlich","30","0.034078497433839","0.0233811010635386","0.0447758938041394"
"CSU","1984","16-34 Jahre alt","weiblich","","","",""
"CSU","1984","35-65 Jahre alt","maennlich","90","0.058294009397189","0.0477421806632739","0.0688458381311041"
"CSU","1984","35-65 Jahre alt","weiblich","84","0.0569074520112786","0.0457764782996459","0.0680384257229112"
"CSU","1984","66 und älter","maennlich","","","",""
"CSU","1984","66 und älter","weiblich","30","0.0628718394791772","0.0405684961173018","0.0851751828410525"
"FDP","1984","16-34 Jahre alt","maennlich","","","",""
"FDP","1984","16-34 Jahre alt","weiblich","","","",""
"FDP","1984","35-65 Jahre alt","maennlich","63","0.0375379059561405","0.0289776856525775","0.0460981262597036"
"FDP","1984","35-65 Jahre alt","weiblich","49","0.0306303373254865","0.0223510675927225","0.0389096070582505"
"FDP","1984","66 und älter","maennlich","","","",""
"FDP","1984","66 und älter","weiblich","","","",""
"Buendnis90/Gruene","1984","16-34 Jahre alt","maennlich","169","0.151344318049244","0.130213526099918","0.17247510999857"
"Buendnis90/Gruene","1984","16-34 Jahre alt","weiblich","163","0.166727768797334","0.143568013071457","0.18988752452321"
"Buendnis90/Gruene","1984","35-65 Jahre alt","maennlich","47","0.0205479803959132","0.0141589602422984","0.026937000549528"
"Buendnis90/Gruene","1984","35-65 Jahre alt","weiblich","45","0.0227194386139288","0.0155599853520164","0.0298788918758412"
"Buendnis90/Gruene","1984","66 und älter","maennlich","","","",""
"Buendnis90/Gruene","1984","66 und älter","weiblich","","","",""
"Die Linke","1984","16-34 Jahre alt","maennlich","","","",""
"Die Linke","1984","16-34 Jahre alt","weiblich","","","",""
"Die Linke","1984","35-65 Jahre alt","maennlich","","","",""
"Die Linke","1984","35-65 Jahre alt","weiblich","","","",""
"Die Linke","1984","66 und älter","maennlich","","","",""
"Die Linke","1984","66 und älter","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1984","16-34 Jahre alt","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1984","16-34 Jahre alt","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1984","35-65 Jahre alt","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1984","35-65 Jahre alt","weiblich","","","",""
"NPD/Republikaner/Die Rechte","1984","66 und älter","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1984","66 und älter","weiblich","","","",""
"Andere","1984","16-34 Jahre alt","maennlich","","","",""
"Andere","1984","16-34 Jahre alt","weiblich","","","",""
"Andere","1984","35-65 Jahre alt","maennlich","","","",""
"Andere","1984","35-65 Jahre alt","weiblich","","","",""
"Andere","1984","66 und älter","maennlich","","","",""
"Andere","1984","66 und älter","weiblich","","","",""
"SPD/Buendnis90/Gruene","1984","16-34 Jahre alt","maennlich","","","",""
"SPD/Buendnis90/Gruene","1984","16-34 Jahre alt","weiblich","","","",""
"SPD/Buendnis90/Gruene","1984","35-65 Jahre alt","maennlich","","","",""
"SPD/Buendnis90/Gruene","1984","35-65 Jahre alt","weiblich","","","",""
"SPD/Buendnis90/Gruene","1984","66 und älter","maennlich","","","",""
"SPD/Buendnis90/Gruene","1984","66 und älter","weiblich","","","",""
"SPD/CDU","1984","16-34 Jahre alt","maennlich","","","",""
"SPD/CDU","1984","16-34 Jahre alt","weiblich","","","",""
"SPD/CDU","1984","35-65 Jahre alt","maennlich","","","",""
"SPD/CDU","1984","35-65 Jahre alt","weiblich","","","",""
"SPD/CDU","1984","66 und älter","maennlich","","","",""
"SPD/CDU","1984","66 und älter","weiblich","","","",""
"SPD/FDP","1984","16-34 Jahre alt","maennlich","","","",""
"SPD/FDP","1984","16-34 Jahre alt","weiblich","","","",""
"SPD/FDP","1984","35-65 Jahre alt","maennlich","","","",""
"SPD/FDP","1984","35-65 Jahre alt","weiblich","","","",""
"SPD/FDP","1984","66 und älter","maennlich","","","",""
"SPD/FDP","1984","66 und älter","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1984","16-34 Jahre alt","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1984","16-34 Jahre alt","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1984","35-65 Jahre alt","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1984","35-65 Jahre alt","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1984","66 und älter","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1984","66 und älter","weiblich","","","",""
"CDU/CSU","1984","16-34 Jahre alt","maennlich","125","0.117099921436779","0.0981415498349964","0.136058293038561"
"CDU/CSU","1984","16-34 Jahre alt","weiblich","92","0.0920199619846376","0.0740595735220448","0.10998035044723"
"CDU/CSU","1984","35-65 Jahre alt","maennlich","200","0.0959572328598877","0.0826927155911611","0.109221750128614"
"CDU/CSU","1984","35-65 Jahre alt","weiblich","141","0.0757906557266429","0.0630742481283046","0.0885070633249812"
"CDU/CSU","1984","66 und älter","maennlich","32","0.0908436481533231","0.059647148831889","0.122040147474757"
"CDU/CSU","1984","66 und älter","weiblich","43","0.0910904442073359","0.064651802623544","0.117529085791128"
"CDU/FDP","1984","16-34 Jahre alt","maennlich","","","",""
"CDU/FDP","1984","16-34 Jahre alt","weiblich","","","",""
"CDU/FDP","1984","35-65 Jahre alt","maennlich","","","",""
"CDU/FDP","1984","35-65 Jahre alt","weiblich","","","",""
"CDU/FDP","1984","66 und älter","maennlich","","","",""
"CDU/FDP","1984","66 und älter","weiblich","","","",""
"CDU/Buendnis90/Gruene","1984","16-34 Jahre alt","maennlich","","","",""
"CDU/Buendnis90/Gruene","1984","16-34 Jahre alt","weiblich","","","",""
"CDU/Buendnis90/Gruene","1984","35-65 Jahre alt","maennlich","","","",""
"CDU/Buendnis90/Gruene","1984","35-65 Jahre alt","weiblich","","","",""
"CDU/Buendnis90/Gruene","1984","66 und älter","maennlich","","","",""
"CDU/Buendnis90/Gruene","1984","66 und älter","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1984","16-34 Jahre alt","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1984","16-34 Jahre alt","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1984","35-65 Jahre alt","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1984","35-65 Jahre alt","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1984","66 und älter","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1984","66 und älter","weiblich","","","",""
