"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1998","Laendlicher Raum","450.79","406.5","6536","445.06","456.52"
"1998","Staedtischer Raum","456.92","403.83","11899","452.67","461.17"
"1999","Laendlicher Raum","","","","",""
"1999","Staedtischer Raum","","","","",""
"2000","Laendlicher Raum","442.5","403.83","10981","438","447"
"2000","Staedtischer Raum","465.49","438.5","20351","462.01","468.97"
"2001","Laendlicher Raum","449.72","427.67","9842","445.02","454.42"
"2001","Staedtischer Raum","465.99","441","18526","462.31","469.67"
"2002","Laendlicher Raum","","","","",""
"2002","Staedtischer Raum","","","","",""
"2003","Laendlicher Raum","484.78","426.67","9488","478.91","490.65"
"2003","Staedtischer Raum","493.87","433.17","18733","489.21","498.53"
"2004","Laendlicher Raum","","","","",""
"2004","Staedtischer Raum","","","","",""
"2005","Laendlicher Raum","477.12","431.67","8835","471.24","483"
"2005","Staedtischer Raum","490.98","431.67","17472","486.54","495.42"
"2006","Laendlicher Raum","","","","",""
"2006","Staedtischer Raum","","","","",""
"2007","Laendlicher Raum","467.95","431.67","8942","462.13","473.77"
"2007","Staedtischer Raum","501.84","431.67","17039","497.01","506.67"
"2008","Laendlicher Raum","","","","",""
"2008","Staedtischer Raum","","","","",""
"2009","Laendlicher Raum","","","","",""
"2009","Staedtischer Raum","","","","",""
"2010","Laendlicher Raum","","","","",""
"2010","Staedtischer Raum","","","","",""
"2011","Laendlicher Raum","461.01","395","9430","455.12","466.9"
"2011","Staedtischer Raum","503.22","431.67","16999","498.24","508.2"
"2012","Laendlicher Raum","","","","",""
"2012","Staedtischer Raum","","","","",""
"2013","Laendlicher Raum","463.16","431.67","10350","456.85","469.47"
"2013","Staedtischer Raum","497.41","431.67","21484","492.82","502"
"2014","Laendlicher Raum","","","","",""
"2014","Staedtischer Raum","","","","",""
"2015","Laendlicher Raum","","","","",""
"2015","Staedtischer Raum","","","","",""
"2016","Laendlicher Raum","470.94","429.17","12622","465.81","476.07"
"2016","Staedtischer Raum","504.63","431.67","23735","500.59","508.67"
"2017","Laendlicher Raum","","","","",""
"2017","Staedtischer Raum","","","","",""
"2018","Laendlicher Raum","477.22","426.67","15343","471.53","482.91"
"2018","Staedtischer Raum","514.45","431.67","30974","510","518.9"
"2019","Laendlicher Raum","","","","",""
"2019","Staedtischer Raum","","","","",""
"2020","Laendlicher Raum","513.93","431.67","15125","507.3","520.56"
"2020","Staedtischer Raum","536.32","432.67","32928","531.94","540.7"
