"year","hhtyp","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1998","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","388.21","356.67","1458","379.35","397.07"
"1998","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","421.74","403.83","2840","414.94","428.54"
"1998","1-Pers.- Haushalt","Laendlicher Raum","223.26","203.5","480","213.58","232.94"
"1998","1-Pers.- Haushalt","Staedtischer Raum","254.1","218","1169","245.87","262.33"
"1998","Alleinerziehende","Laendlicher Raum","379.66","320.33","361","356.3","403.02"
"1998","Alleinerziehende","Staedtischer Raum","389.71","356.67","734","376.83","402.59"
"1998","Paar mit Kind(ern)","Laendlicher Raum","543.19","508.5","3880","535.77","550.61"
"1998","Paar mit Kind(ern)","Staedtischer Raum","558.76","504.67","6528","553.01","564.51"
"1998","Sonstige","Laendlicher Raum","492.86","403.83","357","464.87","520.85"
"1998","Sonstige","Staedtischer Raum","531.58","485.5","628","513.04","550.12"
"1999","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"1999","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"1999","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"1999","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"1999","Alleinerziehende","Laendlicher Raum","","","","",""
"1999","Alleinerziehende","Staedtischer Raum","","","","",""
"1999","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"1999","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"1999","Sonstige","Laendlicher Raum","","","","",""
"1999","Sonstige","Staedtischer Raum","","","","",""
"2000","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","393.38","356.67","2626","386.51","400.25"
"2000","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","426.48","403.83","5202","420.84","432.12"
"2000","1-Pers.- Haushalt","Laendlicher Raum","230.09","220.5","970","222.78","237.4"
"2000","1-Pers.- Haushalt","Staedtischer Raum","254.34","220.5","2222","248.37","260.31"
"2000","Alleinerziehende","Laendlicher Raum","369.66","332.83","637","358.13","381.19"
"2000","Alleinerziehende","Staedtischer Raum","398.03","332.83","1229","386","410.06"
"2000","Paar mit Kind(ern)","Laendlicher Raum","536.55","498.17","6290","530.45","542.65"
"2000","Paar mit Kind(ern)","Staedtischer Raum","574.53","506","10972","569.86","579.2"
"2000","Sonstige","Laendlicher Raum","475.85","425.5","458","451.06","500.64"
"2000","Sonstige","Staedtischer Raum","527.42","485.5","726","508.93","545.91"
"2001","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","396.68","356.67","2406","389.63","403.73"
"2001","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","428.26","403.83","4678","422.37","434.15"
"2001","1-Pers.- Haushalt","Laendlicher Raum","237.51","220.5","852","226.61","248.41"
"2001","1-Pers.- Haushalt","Staedtischer Raum","253.63","216.67","2018","247.62","259.64"
"2001","Alleinerziehende","Laendlicher Raum","369.73","332.83","602","355.81","383.65"
"2001","Alleinerziehende","Staedtischer Raum","383.68","332.83","1133","373.11","394.25"
"2001","Paar mit Kind(ern)","Laendlicher Raum","547.43","498.5","5625","541.31","553.55"
"2001","Paar mit Kind(ern)","Staedtischer Raum","580.84","498.5","10002","575.84","585.84"
"2001","Sonstige","Laendlicher Raum","525.26","425.5","357","492.63","557.89"
"2001","Sonstige","Staedtischer Raum","536.02","498.5","695","515.87","556.17"
"2002","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2002","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2002","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2002","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2002","Alleinerziehende","Laendlicher Raum","","","","",""
"2002","Alleinerziehende","Staedtischer Raum","","","","",""
"2002","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2002","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2002","Sonstige","Laendlicher Raum","","","","",""
"2002","Sonstige","Staedtischer Raum","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","435.7","395","2498","426.77","444.63"
"2003","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","469.14","433.17","5000","462.19","476.09"
"2003","1-Pers.- Haushalt","Laendlicher Raum","258.59","208.33","839","248.61","268.57"
"2003","1-Pers.- Haushalt","Staedtischer Raum","268.32","215.83","2008","261.95","274.69"
"2003","Alleinerziehende","Laendlicher Raum","407.81","348.33","600","389.38","426.24"
"2003","Alleinerziehende","Staedtischer Raum","403.24","395","1127","390.53","415.95"
"2003","Paar mit Kind(ern)","Laendlicher Raum","589.08","517.5","5251","580.99","597.17"
"2003","Paar mit Kind(ern)","Staedtischer Raum","615.86","540.83","10049","609.06","622.66"
"2003","Sonstige","Laendlicher Raum","610.08","475","300","570.88","649.28"
"2003","Sonstige","Staedtischer Raum","559","510","549","533.57","584.43"
"2004","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2004","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2004","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2004","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2004","Alleinerziehende","Laendlicher Raum","","","","",""
"2004","Alleinerziehende","Staedtischer Raum","","","","",""
"2004","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2004","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2004","Sonstige","Laendlicher Raum","","","","",""
"2004","Sonstige","Staedtischer Raum","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","434.82","395","2378","425.78","443.86"
"2005","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","461.89","431.67","4880","455.04","468.74"
"2005","1-Pers.- Haushalt","Laendlicher Raum","265.61","208.33","860","255.87","275.35"
"2005","1-Pers.- Haushalt","Staedtischer Raum","276.92","218.33","2003","269.71","284.13"
"2005","Alleinerziehende","Laendlicher Raum","378.04","338.33","590","361","395.08"
"2005","Alleinerziehende","Staedtischer Raum","408.74","395","1121","397.14","420.34"
"2005","Paar mit Kind(ern)","Laendlicher Raum","582.03","510","4728","573.61","590.45"
"2005","Paar mit Kind(ern)","Staedtischer Raum","617.91","592.5","9005","611.58","624.24"
"2005","Sonstige","Laendlicher Raum","538.14","455","279","509.27","567.01"
"2005","Sonstige","Staedtischer Raum","513.2","426.67","463","483.06","543.34"
"2006","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2006","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2006","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2006","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2006","Alleinerziehende","Laendlicher Raum","","","","",""
"2006","Alleinerziehende","Staedtischer Raum","","","","",""
"2006","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2006","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2006","Sonstige","Laendlicher Raum","","","","",""
"2006","Sonstige","Staedtischer Raum","","","","",""
"2007","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","439.54","395","2546","431.03","448.05"
"2007","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","490.63","431.67","5012","482.7","498.56"
"2007","1-Pers.- Haushalt","Laendlicher Raum","259.36","208.33","972","250.23","268.49"
"2007","1-Pers.- Haushalt","Staedtischer Raum","276.87","234.17","2080","269.86","283.88"
"2007","Alleinerziehende","Laendlicher Raum","380.2","348.33","645","366.63","393.77"
"2007","Alleinerziehende","Staedtischer Raum","396.2","348.33","1098","383.86","408.54"
"2007","Paar mit Kind(ern)","Laendlicher Raum","579.07","490","4536","570.25","587.89"
"2007","Paar mit Kind(ern)","Staedtischer Raum","626.59","556.67","8493","619.62","633.56"
"2007","Sonstige","Laendlicher Raum","550.15","416.67","243","517.54","582.76"
"2007","Sonstige","Staedtischer Raum","580.99","475","356","539.91","622.07"
"2008","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2008","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2008","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2008","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2008","Alleinerziehende","Laendlicher Raum","","","","",""
"2008","Alleinerziehende","Staedtischer Raum","","","","",""
"2008","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2008","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2008","Sonstige","Laendlicher Raum","","","","",""
"2008","Sonstige","Staedtischer Raum","","","","",""
"2009","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2009","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2009","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2009","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2009","Alleinerziehende","Laendlicher Raum","","","","",""
"2009","Alleinerziehende","Staedtischer Raum","","","","",""
"2009","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2009","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2009","Sonstige","Laendlicher Raum","","","","",""
"2009","Sonstige","Staedtischer Raum","","","","",""
"2010","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2010","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2010","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2010","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2010","Alleinerziehende","Laendlicher Raum","","","","",""
"2010","Alleinerziehende","Staedtischer Raum","","","","",""
"2010","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2010","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2010","Sonstige","Laendlicher Raum","","","","",""
"2010","Sonstige","Staedtischer Raum","","","","",""
"2011","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","449.14","426.67","3156","440.89","457.39"
"2011","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","494.55","431.67","5426","486.93","502.17"
"2011","1-Pers.- Haushalt","Laendlicher Raum","259.43","208.33","1113","250.66","268.2"
"2011","1-Pers.- Haushalt","Staedtischer Raum","293.95","247.5","2335","285.82","302.08"
"2011","Alleinerziehende","Laendlicher Raum","403.27","395","666","388.92","417.62"
"2011","Alleinerziehende","Staedtischer Raum","417.81","395","1229","405.24","430.38"
"2011","Paar mit Kind(ern)","Laendlicher Raum","584.84","499.17","4263","575.14","594.54"
"2011","Paar mit Kind(ern)","Staedtischer Raum","654.88","592.5","7677","646.89","662.87"
"2011","Sonstige","Laendlicher Raum","543.97","490","232","511.34","576.6"
"2011","Sonstige","Staedtischer Raum","589.98","556.67","332","560.28","619.68"
"2012","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","","","","",""
"2012","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","","","","",""
"2012","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"2012","1-Pers.- Haushalt","Staedtischer Raum","","","","",""
"2012","Alleinerziehende","Laendlicher Raum","","","","",""
"2012","Alleinerziehende","Staedtischer Raum","","","","",""
"2012","Paar mit Kind(ern)","Laendlicher Raum","","","","",""
"2012","Paar mit Kind(ern)","Staedtischer Raum","","","","",""
"2012","Sonstige","Laendlicher Raum","","","","",""
"2012","Sonstige","Staedtischer Raum","","","","",""
"2013","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","474.18","431.67","3200","463.71","484.65"
"2013","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","499.92","431.67","5644","490.95","508.89"
"2013","1-Pers.- Haushalt","Laendlicher Raum","260.66","214.5","1133","251.63","269.69"
"2013","1-Pers.- Haushalt","Staedtischer Raum","287.99","245","2427","280.72","295.26"
"2013","Alleinerziehende","Laendlicher Raum","422.44","395","776","405.29","439.59"
"2013","Alleinerziehende","Staedtischer Raum","437.36","395","1644","424.42","450.3"
"2013","Paar mit Kind(ern)","Laendlicher Raum","571.28","490","4753","561.51","581.05"
