"year","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1998","387.57","332.83","7275","153","221","511","663","1109.33","382.44","392.7","0","2660.67","358","398.666656494141"
"1999","","","","","","","","","","","","","",""
"2000","390.36","332.83","12743","153","221","511","663","1109.33","386.28","394.44","20","3323.67","358","398.666656494141"
"2001","391.33","332.83","11516","156","221","511","663","1109.33","387.04","395.62","0","3323.67","358","398.666656494141"
"2002","","","","","","","","","","","","","",""
"2003","416.98","385","11565","173.33","216.67","500","758.33","1300","411.78","422.18","0","4333.33","400","433.333343505859"
"2004","","","","","","","","","","","","","",""
"2005","416.05","395","11027","173.33","216.67","500","750","1300","410.92","421.18","25","4333.33","400","433.333343505859"
"2006","","","","","","","","","","","","","",""
"2007","418.05","355","11182","173.33","216.67","500","780","1300","412.71","423.39","20","3466.67","400","400"
"2008","","","","","","","","","","","","","",""
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","418.69","357.5","11855","173.33","216.67","500","736.67","1500","413.41","423.97","0","4333.33","400","400"
"2012","","","","","","","","","","","","","",""
"2013","418.46","359.83","13440","173.33","216.67","500","700","1500","413.09","423.83","0","5200","400","433.333343505859"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","423.23","385","14124","173.33","216.67","500","740","1500","418.42","428.04","4.33","5200","433.333343505859","433.333343505859"
"2017","","","","","","","","","","","","","",""
"2018","430.9","399.5","17404","173.33","238.33","520","780","1300","425.98","435.82","4.33","8692.67","433.333343505859","433.333343505859"
"2019","","","","","","","","","","","","","",""
"2020","449.64","399.5","18809","200","250","563.33","800","1516.67","444.43","454.85","1","8666.67","433.333343505859","433.333343505859"
