"year","hhtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1998","(Ehe-)Paar ohne Kind(er)","411.37","403.83","2149","212","286","511","663","1023","403.7","419.04","0","1772.33","358","398.666656494141"
"1998","1-Pers.- Haushalt","245.93","218","1649","112.67","153","307","409","716","239.42","252.44","41","1772.33","221","221"
"1998","Alleinerziehende","369.07","332.83","444","205","256","442","554.67","888.33","352.45","385.69","51","1772.33","333.666656494141","358"
"1998","Paar mit Kind(ern)","536.58","508.5","2771","264.33","358","663","818","1278","528.09","545.07","102","2660.67","511","511"
"1998","Sonstige","481.94","403.83","262","221","307","614","869","1109.33","452.61","511.27","77","1125","409","442"
"1999","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"1999","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"1999","Alleinerziehende","","","","","","","","","","","","","",""
"1999","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"1999","Sonstige","","","","","","","","","","","","","",""
"2000","(Ehe-)Paar ohne Kind(er)","416.22","392.17","3914","205","264.33","511","663","1109.33","409.97","422.47","65","2214.33","358","398.666656494141"
"2000","1-Pers.- Haushalt","247.52","220.5","3192","112.67","156","307","409","767","242.79","252.25","20","1330.33","221","221"
"2000","Alleinerziehende","371.41","332.83","746","205","256","442","562","888.33","358.32","384.5","41","2214.33","333.666656494141","333.666656494141"
"2000","Paar mit Kind(ern)","547.59","506","4566","307","409","663","888.33","1330.33","540.53","554.65","102","3323.67","511","511"
"2000","Sonstige","465.83","422","325","221","307","598","775.67","1109.33","438.38","493.28","51","1885","409","442"
"2001","(Ehe-)Paar ohne Kind(er)","418.4","393.83","3542","221","286","511","663","1109.33","411.93","424.87","51","3068","358","398.666656494141"
"2001","1-Pers.- Haushalt","249.17","220.5","2870","112.67","156","307","409","767","243.85","254.49","0","3323.67","221","221"
"2001","Alleinerziehende","361.97","332.83","694","199.33","230","442","554.67","888.33","349.29","374.65","51","1330.33","333.666656494141","333.666656494141"
"2001","Paar mit Kind(ern)","554.68","498.5","4128","307","409","663","888.33","1278","547.4","561.96","72","2660.67","511","511"
"2001","Sonstige","482.64","425.5","282","205","307","663","775.67","1125","451.25","514.03","43.33","1790","442","511"
"2002","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"2002","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"2002","Alleinerziehende","","","","","","","","","","","","","",""
"2002","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"2002","Sonstige","","","","","","","","","","","","","",""
"2003","(Ehe-)Paar ohne Kind(er)","458.32","433.17","3749","216.67","300","520","780","1300","450.51","466.13","40","2166.67","433.333343505859","433.333343505859"
"2003","1-Pers.- Haushalt","265.39","215.83","2843","130","173.33","303.33","433.33","866.67","260.02","270.76","0","1733.33","216.66667175293","216.66667175293"
"2003","Alleinerziehende","387.89","348.33","693","200","250","433.33","650","1083.33","372.07","403.71","43.33","1500","346.666656494141","400"
"2003","Paar mit Kind(ern)","587.71","517.5","4050","300","400","700","953.33","1500","578.11","597.31","80","4333.33","520","580"
"2003","Sonstige","518.98","416.67","230","200","303.33","650","866.67","1300","478.39","559.57","60","2000","450","600"
"2004","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"2004","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"2004","Alleinerziehende","","","","","","","","","","","","","",""
"2004","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"2004","Sonstige","","","","","","","","","","","","","",""
"2005","(Ehe-)Paar ohne Kind(er)","453.14","431.67","3629","216.67","300","520","700","1200","445.38","460.9","30","2600","433.333343505859","433.333343505859"
"2005","1-Pers.- Haushalt","273.4","213.33","2855","130","180","346.67","433.33","866.67","267.57","279.23","25","2166.67","216.66667175293","216.66667175293"
"2005","Alleinerziehende","383.46","343.33","685","200","250","450","650","866.67","368.7","398.22","80","1733.33","346.666656494141","400"
"2005","Paar mit Kind(ern)","589.47","512.5","3654","300","400","700","866.67","1516.67","579.87","599.07","50","4333.33","520","600"
"2005","Sonstige","484.79","426.67","204","216.67","303.33","600","866.67","1200","445.64","523.94","100","1733.33","433.333343505859","520"
"2006","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"2006","1-Pers.- Haushalt","","","","","","","","","","","","","",""
"2006","Alleinerziehende","","","","","","","","","","","","","",""
"2006","Paar mit Kind(ern)","","","","","","","","","","","","","",""
"2006","Sonstige","","","","","","","","","","","","","",""
"2007","(Ehe-)Paar ohne Kind(er)","473.81","431.67","3779","216.67","303.33","600","800","1400","465.3","482.32","50","3250","433.333343505859","433.333343505859"
"2007","1-Pers.- Haushalt","270.89","208.33","3040","120","173.33","346.67","433.33","866.67","265.31","276.47","20","2000","216.66667175293","216.66667175293"
"2007","Alleinerziehende","376.26","338.33","697","200","238.33","433.33","640","1083.33","361.88","390.64","60","1733.33","346.666656494141","390"
"2007","Paar mit Kind(ern)","592.62","495","3494","300","400","736.67","1000","1516.67","582.21","603.03","100","3466.67","520","550"
"2007","Sonstige","514.44","416.67","172","216.67","303.33","650","900","1300","465.12","563.76","50","2166.67","433.333343505859","520"
"2008","(Ehe-)Paar ohne Kind(er)","","","","","","","","","","","","","",""
"2008","1-Pers.- Haushalt","","","","","","","","","","","","","",""
