year,migback,ple0018,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.21274,3836,15653,0.20633,0.21916
2009,No migration background,No,0.64422,11817,15653,0.63672,0.65172
2009,Direct migration background,Yes,0.21260,352,1659,0.19291,0.23230
2009,Direct migration background,No,0.76338,1307,1659,0.74292,0.78384
2009,Indirect migration background,Yes,0.02553,33,706,0.01389,0.03717
2009,Indirect migration background,No,0.50423,673,706,0.46732,0.54114
2011,No migration background,Yes,0.21271,4662,17940,0.20673,0.21870
2011,No migration background,No,0.57910,13278,17940,0.57187,0.58632
2011,Direct migration background,Yes,0.19823,461,2015,0.18082,0.21564
2011,Direct migration background,No,0.63109,1554,2015,0.61002,0.65216
2011,Indirect migration background,Yes,0.02128,45,790,0.01121,0.03134
2011,Indirect migration background,No,0.37836,745,790,0.34451,0.41220
2013,No migration background,Yes,0.24471,4940,16436,0.23814,0.25128
2013,No migration background,No,0.54680,11496,16436,0.53919,0.55441
2013,Direct migration background,Yes,0.12751,417,1730,0.11179,0.14323
2013,Direct migration background,No,0.37583,1313,1730,0.35300,0.39866
2013,Indirect migration background,Yes,0.02710,61,700,0.01506,0.03914
2013,Indirect migration background,No,0.21500,639,700,0.18455,0.24546
2015,No migration background,Yes,0.25753,5112,19063,0.25132,0.26374
2015,No migration background,No,0.60273,13951,19063,0.59578,0.60968
2015,Direct migration background,Yes,0.16764,720,4415,0.15662,0.17866
2015,Direct migration background,No,0.66859,3695,4415,0.65470,0.68248
2015,Indirect migration background,Yes,0.03055,111,1562,0.02201,0.03909
2015,Indirect migration background,No,0.45144,1451,1562,0.42676,0.47613
2017,No migration background,Yes,0.25724,5490,20158,0.25121,0.26328
2017,No migration background,No,0.60287,14668,20158,0.59612,0.60963
2017,Direct migration background,Yes,0.18714,790,4754,0.17606,0.19823
2017,Direct migration background,No,0.71709,3964,4754,0.70429,0.72990
2017,Indirect migration background,Yes,0.03738,132,1637,0.02819,0.04658
2017,Indirect migration background,No,0.46998,1505,1637,0.44580,0.49417
2019,No migration background,Yes,0.26078,5709,20183,0.25473,0.26684
2019,No migration background,No,0.59794,14474,20183,0.59118,0.60471
2019,Direct migration background,Yes,0.19708,753,3963,0.18469,0.20946
2019,Direct migration background,No,0.70284,3210,3963,0.68861,0.71707
2019,Indirect migration background,Yes,0.05390,174,1579,0.04276,0.06505
2019,Indirect migration background,No,0.45934,1405,1579,0.43475,0.48393
2021,No migration background,Yes,0.25943,3816,13109,0.25192,0.26693
2021,No migration background,No,0.58848,9293,13109,0.58006,0.59691
2021,Direct migration background,Yes,0.21062,728,5120,0.19945,0.22179
2021,Direct migration background,No,0.71145,4392,5120,0.69904,0.72386
2021,Indirect migration background,Yes,0.04341,100,935,0.03034,0.05647
2021,Indirect migration background,No,0.43270,835,935,0.40092,0.46447
