year,sampreg,ple0018,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.18897,2961,13477,0.18236,0.19558
2009,West,No,0.64888,10516,13477,0.64082,0.65694
2009,East,Yes,0.23804,1260,4541,0.22565,0.25043
2009,East,No,0.63139,3281,4541,0.61736,0.64543
2011,West,Yes,0.18683,3697,15840,0.18076,0.19290
2011,West,No,0.57351,12143,15840,0.56580,0.58121
2011,East,Yes,0.24353,1471,4905,0.23152,0.25555
2011,East,No,0.55408,3434,4905,0.54017,0.56799
2013,West,Yes,0.19820,3843,14414,0.19169,0.20471
2013,West,No,0.49847,10571,14414,0.49031,0.50663
2013,East,Yes,0.28048,1575,4452,0.26728,0.29367
2013,East,No,0.50031,2877,4452,0.48562,0.51500
2015,West,Yes,0.21300,4284,19787,0.20730,0.21871
2015,West,No,0.60798,15503,19787,0.60117,0.61478
2015,East,Yes,0.29108,1659,5253,0.27880,0.30337
2015,East,No,0.55412,3594,5253,0.54068,0.56757
2017,West,Yes,0.21744,4677,20959,0.21186,0.22303
2017,West,No,0.61482,16282,20959,0.60823,0.62141
2017,East,Yes,0.27628,1735,5590,0.26456,0.28801
2017,East,No,0.56617,3855,5590,0.55318,0.57917
2019,West,Yes,0.22162,4872,20103,0.21588,0.22736
2019,West,No,0.60755,15231,20103,0.60080,0.61430
2019,East,Yes,0.28281,1751,5546,0.27095,0.29466
2019,East,No,0.55855,3795,5546,0.54548,0.57162
2021,West,Yes,0.22536,3476,15317,0.21874,0.23198
2021,West,No,0.59699,11841,15317,0.58923,0.60476
2021,East,Yes,0.26684,1168,3847,0.25286,0.28082
2021,East,No,0.55956,2679,3847,0.54388,0.57525
