"year","hhtyp","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","369.54","0","524","255.3","483.78"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","289.55","0","1926","237.16","341.94"
"1985","1-Pers.- Haushalt","Laendlicher Raum","258.01","0","184","121.56","394.46"
"1985","1-Pers.- Haushalt","Staedtischer Raum","351.49","0","956","273.47","429.51"
"1985","Alleinerziehende","Laendlicher Raum","1240.92","153.5","152","1007.11","1474.73"
"1985","Alleinerziehende","Staedtischer Raum","1425.29","230","596","1252.39","1598.19"
"1985","Paar mit Kind(ern)","Laendlicher Raum","1616.27","899.5","1989","1517.16","1715.38"
"1985","Paar mit Kind(ern)","Staedtischer Raum","1352.11","730","7350","1303.24","1400.98"
"1985","Sonstige","Laendlicher Raum","1492.38","869","291","1191.39","1793.37"
"1985","Sonstige","Staedtischer Raum","1225.7","204.5","630","1008.56","1442.84"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","328.35","0","480","220.29","436.41"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","348.58","0","1930","284.55","412.61"
"1986","1-Pers.- Haushalt","Laendlicher Raum","457.66","0","171","245.76","669.56"
"1986","1-Pers.- Haushalt","Staedtischer Raum","412.79","0","908","317.9","507.68"
"1986","Alleinerziehende","Laendlicher Raum","1150.45","153.5","151","918.59","1382.31"
"1986","Alleinerziehende","Staedtischer Raum","1611.93","230","561","1426.4","1797.46"
"1986","Paar mit Kind(ern)","Laendlicher Raum","1591.18","918.5","1898","1489.88","1692.48"
"1986","Paar mit Kind(ern)","Staedtischer Raum","1335.75","724","6901","1284.84","1386.66"
"1986","Sonstige","Laendlicher Raum","1325.93","767","298","1055.07","1596.79"
"1986","Sonstige","Staedtischer Raum","886.95","184","596","700.85","1073.05"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","241.59","0","494","138.38","344.8"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","330.76","0","1890","262.31","399.21"
"1987","1-Pers.- Haushalt","Laendlicher Raum","438.93","0","170","214.9","662.96"
"1987","1-Pers.- Haushalt","Staedtischer Raum","371.96","0","908","290.9","453.02"
"1987","Alleinerziehende","Laendlicher Raum","1733.79","707.5","167","1400.63","2066.95"
"1987","Alleinerziehende","Staedtischer Raum","1646.41","337.5","538","1387.98","1904.84"
"1987","Paar mit Kind(ern)","Laendlicher Raum","1644.39","882","1831","1539.52","1749.26"
"1987","Paar mit Kind(ern)","Staedtischer Raum","1464.47","730","6701","1406.88","1522.06"
"1987","Sonstige","Laendlicher Raum","1908.5","894.5","277","1588.85","2228.15"
"1987","Sonstige","Staedtischer Raum","1160.08","153.5","666","985.57","1334.59"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","334.03","0","470","198.27","469.79"
"1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","329.84","0","1866","266.31","393.37"
"1988","1-Pers.- Haushalt","Laendlicher Raum","315.32","0","170","172.47","458.17"
"1988","1-Pers.- Haushalt","Staedtischer Raum","378.59","0","867","287.49","469.69"
"1988","Alleinerziehende","Laendlicher Raum","1860.19","874","162","1454.12","2266.26"
"1988","Alleinerziehende","Staedtischer Raum","1551.63","276","542","1355.87","1747.39"
"1988","Paar mit Kind(ern)","Laendlicher Raum","1697.3","869","1720","1571.27","1823.33"
"1988","Paar mit Kind(ern)","Staedtischer Raum","1407.43","733","6390","1353.19","1461.67"
"1988","Sonstige","Laendlicher Raum","1674.89","828","235","1297.02","2052.76"
