"year","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","1028.7","291.5","16176","0","0","920","3200","8878","997.11","1060.29","0","19215","688","736"
"1985","1015.5","299","14598","0","0","920","2827","9173","981.78","1049.22","0","29911","716","736"
"1986","1014.23","296.5","13894","0","0","920","3170","9151","979.56","1048.9","0","19867","591","736"
"1987","1083.44","304","13642","0","0","920","3190","10129","1045.14","1121.74","0","28095","614","736"
"1988","1057.33","306","13013","0","0","920","3272","9387","1018.72","1095.94","0","22266","593","736"
"1989","1131.66","301","12594","0","0","920","3390","11780","1089.24","1174.08","0","21469","464","736"
"1990","1124.28","294.5","12433","0","0","920","3375","11136","1081.19","1167.37","0","31911","307","614"
"1991","1113.18","304","12427","0","0","1104","3645","9748","1072.33","1154.03","0","30371","307","479"
"1992","1331.18","301","17842","0","0","1534","4111","10185","1292.47","1369.89","0","31112","736","736"
"1993","1510.77","423","17528","0","0","1718","4602","12271","1465.79","1555.75","0","33370","736","859"
"1994","1677.35","423","17138","0","0","1841","5200","14553","1625.94","1728.76","0","36322","736","859"
"1995","1738.82","426","17712","0","0","1871","5369","15557","1686.58","1791.06","0","38664","859","859"
"1996","1928.97","425.5","17339","0","0","2147","6012","15952","1871.93","1986.01","0","39267","859","859"
"1997","2577.26","1225.5","17007","0","0","3375","7056","17793","2515.15","2639.37","0","42053","2057","2454"
"1998","2685.91","1344","18756","0","0","3829","7127","18511","2626.89","2744.93","0","48716","1957","2454"
"1999","2685.3","1341","17988","0","0","3865","7056","17615","2625.61","2744.99","0","38131","2147","2454"
"2000","2781.15","1518.5","31807","0","0","3786","7663","17670","2735.82","2826.48","0","39208","1679","2147"
"2001","2889.21","1649","28728","0","0","4295","7660","17511","2840.67","2937.75","0","61355","1841","2270"
"2002","3020.56","1653","30116","0","0","4500","8240","18612","2974.42","3066.7","0","43764","1848","2160"
"2003","3300.56","1847.5","28792","0","0","5048","8880","19200","3250.13","3350.99","0","40572","2290","2500"
"2004","3398.78","1847.5","27931","0","0","5400","9099","18876","3345.79","3451.77","0","43273","2375","2500"
"2005","3431.95","1847.5","26706","0","0","5404","9216","20220","3376.49","3487.41","0","42000","2200","2464"
"2006","3557.78","1847.5","28668","0","0","5448","9696","21324","3501.31","3614.25","0","47076","1848","2191"
"2007","3593.4","1847.5","26618","0","0","5289","9720","22826","3532.87","3653.93","0","48420","1848","1914"
"2008","3359.31","1847.5","24877","0","0","4800","9000","21805","3299.63","3418.99","0","39180","1848","1848"
"2009","3200.19","1847.5","23221","0","0","4596","8579","21000","3139.6","3260.78","0","51016","1848","1848"
"2010","3426.6","1966","37468","0","0","4868","9322","22080","3364.87","3488.33","0","53600","3936","3936"
"2011","3525.36","2013","44001","0","0","4416","9600","23849","3464.44","3586.28","0","101700","4416","4416"
"2012","3437.95","2152.5","42406","0","0","4416","9276","24340","3379.62","3496.28","0","63616","4416","4416"
"2013","3478.93","2156","47665","0","0","4416","9437","24162","3421.5","3536.36","0","61701","4416","4416"
"2014","3562.98","2203.5","41507","0","0","4440","9649","24900","3500.41","3625.55","0","48862","4416","4416"
"2015","3463.19","2013","41052","0","0","4416","9479","25843","3400.34","3526.04","0","57400","4416","4416"
"2016","3526.07","2166","36790","0","0","4560","9600","25194","3458.39","3593.75","0","62220","4416","4416"
"2017","3599.8","2157","44647","0","0","4608","9684","27684","3517.95","3681.65","0","71886","4536","4560"
"2018","3637.63","2206.5","46486","0","0","4656","9960","26791","3541.9","3733.36","0","135312","4608","4608"
"2019","3754.98","2226","47513","0","0","4656","10152","28848","3664.25","3845.71","0","125269","4608","4632"
"2020","3797.27","2302","46550","0","0","4896","10296","26589","3710.24","3884.3","0","116415","4560","4656"
