"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Ostdeutschland","","","","",""
"1984","Westdeutschland","1028.7","291.5","16176","997.11","1060.29"
"1985","Ostdeutschland","","","","",""
"1985","Westdeutschland","1015.5","299","14598","981.78","1049.22"
"1986","Ostdeutschland","","","","",""
"1986","Westdeutschland","1014.23","296.5","13894","979.56","1048.9"
"1987","Ostdeutschland","","","","",""
"1987","Westdeutschland","1083.44","304","13642","1045.14","1121.74"
"1988","Ostdeutschland","","","","",""
"1988","Westdeutschland","1057.33","306","13013","1018.72","1095.94"
"1989","Ostdeutschland","","","","",""
"1989","Westdeutschland","1131.66","301","12594","1089.24","1174.08"
"1990","Ostdeutschland","","","","",""
"1990","Westdeutschland","1124.28","294.5","12433","1081.19","1167.37"
"1991","Ostdeutschland","","","","",""
"1991","Westdeutschland","1113.18","304","12427","1072.33","1154.03"
"1992","Ostdeutschland","1761.76","797","5401","1694.27","1829.25"
"1992","Westdeutschland","1225.76","301","12441","1178.84","1272.68"
"1993","Ostdeutschland","2578.4","1215","5167","2481.22","2675.58"
"1993","Westdeutschland","1247.98","423","12361","1200.3","1295.66"
"1994","Ostdeutschland","2777.93","1034","5032","2666.45","2889.41"
"1994","Westdeutschland","1412.23","423","12106","1357.43","1467.03"
"1995","Ostdeutschland","2570.58","853","4861","2453.19","2687.97"
"1995","Westdeutschland","1546.86","426","12851","1490.66","1603.06"
"1996","Ostdeutschland","2957.32","843.5","4797","2827.98","3086.66"
"1996","Westdeutschland","1694.59","424.5","12542","1634.02","1755.16"
"1997","Ostdeutschland","3523.74","1907","4683","3385.67","3661.81"
"1997","Westdeutschland","2362.55","1225.5","12324","2295.32","2429.78"
"1998","Ostdeutschland","3444.66","1728","4934","3317.26","3572.06"
"1998","Westdeutschland","2514.34","1339.5","13822","2448.83","2579.85"
"1999","Ostdeutschland","3528.58","2000","4771","3398.78","3658.38"
"1999","Westdeutschland","2499.51","1341","13217","2433.6","2565.42"
"2000","Ostdeutschland","3603.39","1508.5","7357","3493.48","3713.3"
"2000","Westdeutschland","2597.7","1518.5","24450","2549.26","2646.14"
"2001","Ostdeutschland","3707.3","1626","6738","3589.48","3825.12"
"2001","Westdeutschland","2709.7","1649","21990","2658.01","2761.39"
"2002","Ostdeutschland","3813.06","1799","6704","3698.52","3927.6"
"2002","Westdeutschland","2847.36","1612.5","23412","2798.23","2896.49"
"2003","Ostdeutschland","4161.41","1914","6547","4038.86","4283.96"
"2003","Westdeutschland","3112.15","1847.5","22245","3058.08","3166.22"
"2004","Ostdeutschland","4140.71","2011.5","6378","4014.13","4267.29"
"2004","Westdeutschland","3237.24","1847.5","21553","3179.93","3294.55"
"2005","Ostdeutschland","4104.43","1866","6151","3976.89","4231.97"
"2005","Westdeutschland","3284.61","1847.5","20555","3223.67","3345.55"
"2006","Ostdeutschland","4065.79","1847.5","6540","3932.54","4199.04"
"2006","Westdeutschland","3447.82","1847.5","22128","3386.27","3509.37"
"2007","Ostdeutschland","3875.68","1847.5","6124","3737.67","4013.69"
"2007","Westdeutschland","3532.22","1847.5","20494","3465.35","3599.09"
"2008","Ostdeutschland","3720.18","1847.5","5821","3584.72","3855.64"
"2008","Westdeutschland","3281.59","1847.5","19056","3215.64","3347.54"
"2009","Ostdeutschland","3627.71","1847.5","5582","3492.97","3762.45"
"2009","Westdeutschland","3105.54","1847.5","17639","3038.18","3172.9"
"2010","Ostdeutschland","3604.06","1914","7930","3463.52","3744.6"
"2010","Westdeutschland","3389.32","1965.5","29538","3320.71","3457.93"
"2011","Ostdeutschland","3717.9","1986","9146","3573.46","3862.34"
"2011","Westdeutschland","3485.39","2013","34855","3418.48","3552.3"
"2012","Ostdeutschland","3579.03","1750","8870","3442.55","3715.51"
"2012","Westdeutschland","3409.14","2157","33536","3344.83","3473.45"
"2013","Ostdeutschland","3428.26","1103","8836","3285.04","3571.48"
"2013","Westdeutschland","3489.24","2194.5","38829","3426.72","3551.76"
"2014","Ostdeutschland","3430.29","1542","8022","3286.29","3574.29"
"2014","Westdeutschland","3589.98","2203.5","33485","3520.52","3659.44"
"2015","Ostdeutschland","3509.79","1102","7723","3360.04","3659.54"
"2015","Westdeutschland","3453.71","2148.5","33329","3384.51","3522.91"
"2016","Ostdeutschland","3338.54","1538.5","7155","3187.98","3489.1"
"2016","Westdeutschland","3563.7","2205","29635","3487.98","3639.42"
"2017","Ostdeutschland","3450.57","1379.5","8649","3272.41","3628.73"
"2017","Westdeutschland","3629.24","2204","35998","3537.23","3721.25"
"2018","Ostdeutschland","3465.1","1166.5","8973","3276.27","3653.93"
"2018","Westdeutschland","3671.9","2206.5","37513","3562.34","3781.46"
"2019","Ostdeutschland","3615.47","1199.5","9360","3422.91","3808.03"
"2019","Westdeutschland","3781.39","2279.5","38057","3678.64","3884.14"
"2020","Ostdeutschland","3736.47","1750","8794","3531.78","3941.16"
"2020","Westdeutschland","3809.32","2320.5","37756","3713.19","3905.45"
