"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","Laendlicher Raum","1180.95","291.5","3140","0","0","1483","3375","11254","1105.61","1256.29","0","14173","736","920"
"1985","Staedtischer Raum","","","","","","","","","","","","","",""
"1986","Laendlicher Raum","","","","","","","","","","","","","",""
"1986","Staedtischer Raum","","","","","","","","","","","","","",""
"1987","Laendlicher Raum","","","","","","","","","","","","","",""
"1987","Staedtischer Raum","","","","","","","","","","","","","",""
"1988","Laendlicher Raum","","","","","","","","","","","","","",""
"1988","Staedtischer Raum","","","","","","","","","","","","","",""
"1989","Laendlicher Raum","","","","","","","","","","","","","",""
"1989","Staedtischer Raum","1060.5","296.5","9981","0","0","920","3190","11345","1015.02","1105.98","0","21469","307","614"
"1990","Laendlicher Raum","","","","","","","","","","","","","",""
"1990","Staedtischer Raum","1098.9","294.5","9839","0","0","920","3302","11473","1050.14","1147.66","0","31911","307","454"
"1991","Laendlicher Raum","","","","","","","","","","","","","",""
"1991","Staedtischer Raum","1042.2","304","9774","0","0","1104","3477","9203","997.86","1086.54","0","30371","307","368"
"1992","Laendlicher Raum","1640.95","487","6141","0","0","2384","4890","11283","1570.02","1711.88","0","28837","982","1104"
"1992","Staedtischer Raum","","","","","","","","","","","","","",""
"1993","Laendlicher Raum","1903.12","585.5","6119","0","0","2577","5645","13222","1820.04","1986.2","0","27857","1125","1227"
"1993","Staedtischer Raum","","","","","","","","","","","","","",""
"1994","Laendlicher Raum","2005.11","483","5997","0","0","2577","6565","14553","1910.54","2099.68","0","36322","920","1227"
"1994","Staedtischer Raum","","","","","","","","","","","","","",""
"1995","Laendlicher Raum","2139.24","558","6204","0","0","2659","6528","16320","2041.02","2237.46","0","38664","859","1094"
"1995","Staedtischer Raum","","","","","","","","","","","","","",""
"1996","Laendlicher Raum","2354.07","734.5","6074","0","0","3068","7314","18998","2249.31","2458.83","0","32181","1092","1227"
"1996","Staedtischer Raum","","","","","","","","","","","","","",""
"1997","Laendlicher Raum","3111.74","1196.5","5973","0","0","4295","8434","19605","2999.4","3224.08","0","38551","2454","2454"
"1997","Staedtischer Raum","","","","","","","","","","","","","",""
"1998","Laendlicher Raum","3174.88","1676","6619","0","0","4597","8222","20020","3071.75","3278.01","0","31972","2577","2700"
"1998","Staedtischer Raum","","","","","","","","","","","","","",""
"1999","Laendlicher Raum","3220.93","2132","6371","0","0","4571","8661","18100","3112.94","3328.92","0","38131","2700","2700"
"1999","Staedtischer Raum","","","","","","","","","","","","","",""
"2000","Laendlicher Raum","","","","","","","","","","","","","",""
