"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1999","Laendlicher Raum","Ostdeutschland","3743.88","2449.5","3228","0","0","5512","10430","20390","3578.97","3908.79","0","33599","2700","2700"
"1999","Laendlicher Raum","Westdeutschland","2907.59","1493","3143","0","0","4540","7011","16678","2770.35","3044.83","0","38131","2556","2700"
"1999","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"1999","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2000","Laendlicher Raum","Ostdeutschland","3742.75","1631","5019","0","0","5752","10695","21640","3607.4","3878.1","0","39208","2683","3068"
"2000","Laendlicher Raum","Westdeutschland","2903.47","1509.5","6130","0","0","4049","7567","17505","2804.65","3002.29","0","27303","2454","2700"
"2000","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2000","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2001","Laendlicher Raum","Ostdeutschland","3915.64","1955.5","4564","0","0","5871","10574","20304","3767.31","4063.97","0","40530","3063","3313"
"2001","Laendlicher Raum","Westdeutschland","2984.47","1646.5","5412","0","0","4591","7778","17363","2877.79","3091.15","0","61355","2205","2807"
"2001","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2001","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2002","Laendlicher Raum","Ostdeutschland","3908.13","1847.5","4521","0","0","6020","11100","20636","3767.64","4048.62","0","32287","2566","3020"
"2002","Laendlicher Raum","Westdeutschland","3372.27","1847.5","5602","0","0","5072","8987","18612","3269.44","3475.1","0","43764","2500","3000"
"2002","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2002","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2003","Laendlicher Raum","Ostdeutschland","4294.45","2392","4413","0","0","6769","11563","20016","4144.83","4444.07","0","40572","3081","3600"
"2003","Laendlicher Raum","Westdeutschland","3465.39","1994","5227","0","0","5400","8892","18407","3353.3","3577.48","0","31404","2772","3600"
"2003","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2003","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2004","Laendlicher Raum","Ostdeutschland","4207.47","2225","4261","0","0","6590","11248","19778","4051.65","4363.29","0","29056","2788","3600"
"2004","Laendlicher Raum","Westdeutschland","3590.02","1847.5","5105","0","0","5544","9224","19992","3470.79","3709.25","0","36840","2800","3600"
"2004","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2004","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2005","Laendlicher Raum","Ostdeutschland","4220.59","2399.5","4100","0","0","6744","11052","21411","4061.13","4380.05","0","40786","2827","3600"
"2005","Laendlicher Raum","Westdeutschland","3703.2","1847.5","4854","0","0","5544","9755","20786","3572.28","3834.12","0","34036","2600","3600"
"2005","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2005","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2006","Laendlicher Raum","Ostdeutschland","4216.23","1847.5","4391","0","0","6496","11446","28248","4045.55","4386.91","0","40800","2460","3025"
"2006","Laendlicher Raum","Westdeutschland","3711.42","1847.5","5462","0","0","5544","9900","21220","3582.04","3840.8","0","40364","2400","3060"
"2006","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2007","Laendlicher Raum","Ostdeutschland","3906.23","1847.5","4102","0","0","5565","10955","24912","3738.65","4073.81","0","37230","1872","2500"
"2007","Laendlicher Raum","Westdeutschland","3736.68","1847.5","5061","0","0","5775","10250","19920","3604.05","3869.31","0","37255","2160","2806"
"2007","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2007","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2008","Laendlicher Raum","Ostdeutschland","3888.49","1847.5","3867","0","0","5496","11436","25577","3715.01","4061.97","0","35736","1848","2248"
"2008","Laendlicher Raum","Westdeutschland","3376.69","1847.5","4696","0","0","4920","8670","21057","3246.63","3506.75","0","29883","1848","2340"
"2008","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2008","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2009","Laendlicher Raum","Ostdeutschland","3723.25","1847.5","3722","0","0","5565","10896","22916","3552.09","3894.41","0","31266","1848","1848"
"2009","Laendlicher Raum","Westdeutschland","3113.12","1847.5","4460","0","0","4396","8040","19404","2980.53","3245.71","0","30144","1848","1920"
"2009","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2009","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2010","Laendlicher Raum","Ostdeutschland","3515.7","1966","5197","0","0","5496","10055","19596","3346.45","3684.95","0","40656","3936","4152"
"2010","Laendlicher Raum","Westdeutschland","3346.43","1929.5","7945","0","0","5162","8802","20500","3218.92","3473.94","0","36516","4348","4696"
"2010","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2010","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2011","Laendlicher Raum","Ostdeutschland","3562.62","2155","5936","0","0","5268","10320","22343","3390.64","3734.6","0","75159","4319","4416"
"2011","Laendlicher Raum","Westdeutschland","3407.09","1968.5","9885","0","0","4416","9280","21600","3289.43","3524.75","0","39221","4416","4416"
"2011","Staedtischer Raum","Ostdeutschland","4008.75","1956","3210","0","0","5460","11616","27024","3748.11","4269.39","0","52280","4344","4416"
"2011","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2012","Laendlicher Raum","Ostdeutschland","3377.34","1831.5","5795","0","0","4820","9668","21360","3221.6","3533.08","0","35859","3960","4416"
"2012","Laendlicher Raum","Westdeutschland","3410.66","2154","9660","0","0","4440","9402","22992","3296.09","3525.23","0","50208","4416","4416"
"2012","Staedtischer Raum","Ostdeutschland","3960.96","1567.5","3075","0","0","5062","12088","29616","3699.21","4222.71","0","63616","3792","4416"
"2012","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2013","Laendlicher Raum","Ostdeutschland","3321.5","1115","5702","0","0","4500","9552","21663","3149.39","3493.61","0","61701","4008","4416"
"2013","Laendlicher Raum","Westdeutschland","","","","","","","","","","","","","",""
"2013","Staedtischer Raum","Ostdeutschland","3638.22","651.5","3134","0","0","4416","11256","25080","3383.59","3892.85","0","53672","4368","4416"
"2013","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2014","Laendlicher Raum","Ostdeutschland","3281.23","1668.5","5192","0","0","4416","9216","21936","3103.98","3458.48","0","45744","3212","4211"
"2014","Laendlicher Raum","Westdeutschland","3345.98","2010","9172","0","0","4416","9115","23611","3215.53","3476.43","0","48000","4416","4416"
"2014","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2014","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2015","Laendlicher Raum","Ostdeutschland","3381.1","1102","4945","0","0","4416","9248","29172","3195.5","3566.7","0","57400","2400","3701"
"2015","Laendlicher Raum","Westdeutschland","3240.88","1494","9179","0","0","4416","8640","23856","3117.19","3364.57","0","34800","4416","4416"
"2015","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2015","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2016","Laendlicher Raum","Ostdeutschland","3173.11","1812","4616","0","0","4512","8836","25524","2989.84","3356.38","0","39792","2280","3368"
"2016","Laendlicher Raum","Westdeutschland","3314.51","2034","8166","0","0","4560","9216","24228","3177.65","3451.37","0","41772","4416","4416"
"2016","Staedtischer Raum","Ostdeutschland","","","","","","","","","","","","","",""
"2016","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2017","Laendlicher Raum","Ostdeutschland","3308.23","1610","5574","0","0","4560","8980","25314","3091.53","3524.93","0","46668","3408","4320"
"2017","Laendlicher Raum","Westdeutschland","3152.69","1525.5","9617","0","0","4560","8832","22560","2991.78","3313.6","0","59792","4448","4560"
"2017","Staedtischer Raum","Ostdeutschland","3707.96","1140.5","3075","0","0","4680","10850","30132","3397.18","4018.74","0","53712","4315","4560"
"2017","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2018","Laendlicher Raum","Ostdeutschland","3421.04","1656","5639","0","0","4608","9528","23640","3193.95","3648.13","0","46511","4000","4440"
"2018","Laendlicher Raum","Westdeutschland","3146.5","1152.5","9713","0","0","4608","9000","22550","2937.27","3355.73","0","135312","4608","4608"
"2018","Staedtischer Raum","Ostdeutschland","3543.92","564","3334","0","0","4656","10008","25260","3211.79","3876.05","0","59023","4560","4608"
"2018","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2019","Laendlicher Raum","Ostdeutschland","3577.28","1691","5877","0","0","4656","10073","29693","3344.5","3810.06","0","69237","2448","3768"
"2019","Laendlicher Raum","Westdeutschland","3404.23","2072","9618","0","0","4656","9660","23628","3211.01","3597.45","0","67894","4608","4650"
"2019","Staedtischer Raum","Ostdeutschland","3562.69","564","3367","0","0","4656","11576","27960","3219.74","3905.64","0","62880","4128","4560"
"2019","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
"2020","Laendlicher Raum","Ostdeutschland","3732.4","2130","5528","0","0","4896","9900","29268","3480.27","3984.53","0","110943","2448","3480"
"2020","Laendlicher Raum","Westdeutschland","3559.16","2279.5","9668","0","0","4896","9840","23981","3379.08","3739.24","0","75360","4656","4798"
"2020","Staedtischer Raum","Ostdeutschland","3743.89","1199.5","3266","0","0","4896","10248","27662","3395.32","4092.46","0","104400","2484","4560"
"2020","Staedtischer Raum","Westdeutschland","","","","","","","","","","","","","",""
