"year","hhtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","(Ehe-)Paar ohne Kind(er)","294.82","0","2702","248.49","341.15"
"1984","1-Pers.- Haushalt","348.47","0","1288","273.03","423.91"
"1984","Alleinerziehende","1499.8","624","828","1350.92","1648.68"
"1984","Paar mit Kind(ern)","1399.77","726","10356","1359.19","1440.35"
"1984","Sonstige","1318.09","192","1002","1151.31","1484.87"
"1985","(Ehe-)Paar ohne Kind(er)","308.82","0","2450","260.94","356.7"
"1985","1-Pers.- Haushalt","334.19","0","1140","265.22","403.16"
"1985","Alleinerziehende","1379.86","230","748","1234.05","1525.67"
"1985","Paar mit Kind(ern)","1420.67","753","9339","1376.78","1464.56"
"1985","Sonstige","1327.4","271.5","921","1150.41","1504.39"
"1986","(Ehe-)Paar ohne Kind(er)","344.13","0","2410","288.55","399.71"
"1986","1-Pers.- Haushalt","421.14","0","1079","334.63","507.65"
"1986","Alleinerziehende","1497.06","230","712","1342.27","1651.85"
"1986","Paar mit Kind(ern)","1402.34","724","8799","1356.82","1447.86"
"1986","Sonstige","1067.21","184","894","912.45","1221.97"
"1987","(Ehe-)Paar ohne Kind(er)","310.48","0","2384","252.18","368.78"
"1987","1-Pers.- Haushalt","383.84","0","1078","307.11","460.57"
"1987","Alleinerziehende","1670.17","598.5","705","1458.12","1882.22"
"1987","Paar mit Kind(ern)","1511.27","731","8532","1460.76","1561.78"
"1987","Sonstige","1428.76","153.5","943","1271.53","1585.99"
"1988","(Ehe-)Paar ohne Kind(er)","330.78","0","2336","273.19","388.37"
"1988","1-Pers.- Haushalt","367.32","0","1037","287.7","446.94"
"1988","Alleinerziehende","1634.79","398.5","704","1457.43","1812.15"
"1988","Paar mit Kind(ern)","1481.75","733","8110","1431.33","1532.17"
"1988","Sonstige","1403.14","281.5","826","1203.25","1603.03"
"1989","(Ehe-)Paar ohne Kind(er)","367.5","0","2316","301.19","433.81"
"1989","1-Pers.- Haushalt","399.22","0","1040","309.34","489.1"
"1989","Alleinerziehende","1543.18","230","660","1355.87","1730.49"
"1989","Paar mit Kind(ern)","1598.56","730","7743","1542.64","1654.48"
"1989","Sonstige","1685.34","521.5","835","1473.91","1896.77"
"1990","(Ehe-)Paar ohne Kind(er)","311.36","0","2368","255.76","366.96"
"1990","1-Pers.- Haushalt","255.09","0","1001","186.32","323.86"
"1990","Alleinerziehende","1712.81","153.5","640","1501.25","1924.37"
"1990","Paar mit Kind(ern)","1623.17","726","7526","1563.89","1682.45"
"1990","Sonstige","1766.5","639.5","898","1585.8","1947.2"
"1991","(Ehe-)Paar ohne Kind(er)","283.25","0","2396","227.43","339.07"
"1991","1-Pers.- Haushalt","287.17","0","1003","212.15","362.19"
"1991","Alleinerziehende","1642.26","337.5","659","1444.77","1839.75"
"1991","Paar mit Kind(ern)","1639.78","749.5","7467","1584.04","1695.52"
"1991","Sonstige","1577.92","361","902","1409.57","1746.27"
"1992","(Ehe-)Paar ohne Kind(er)","400.96","0","3390","342.03","459.89"
"1992","1-Pers.- Haushalt","345.85","0","1302","274.93","416.77"
"1992","Alleinerziehende","1921.64","455","957","1712.15","2131.13"
"1992","Paar mit Kind(ern)","1937.08","978","10961","1885.44","1988.72"
"1992","Sonstige","1671","598.5","1232","1524.52","1817.48"
"1993","(Ehe-)Paar ohne Kind(er)","495.39","0","3448","425.05","565.73"
"1993","1-Pers.- Haushalt","402.05","0","1362","326.53","477.57"
"1993","Alleinerziehende","2312.1","580","918","2076.83","2547.37"
"1993","Paar mit Kind(ern)","2166.37","1101","10565","2107.09","2225.65"
"1993","Sonstige","2075.52","889.5","1235","1867.35","2283.69"
"1994","(Ehe-)Paar ohne Kind(er)","618.97","0","3538","531.1","706.84"
"1994","1-Pers.- Haushalt","480.15","0","1362","379.84","580.46"
"1994","Alleinerziehende","2620.72","685.5","882","2345.27","2896.17"
"1994","Paar mit Kind(ern)","2413.7","1211.5","10166","2345.04","2482.36"
"1994","Sonstige","2172.59","417","1190","1963.23","2381.95"
"1995","(Ehe-)Paar ohne Kind(er)","616.15","0","3654","534.88","697.42"
"1995","1-Pers.- Haushalt","472.39","0","1404","385.81","558.97"
"1995","Alleinerziehende","2580.05","721","942","2320.35","2839.75"
"1995","Paar mit Kind(ern)","2472.71","1222","10523","2403.82","2541.6"
"1995","Sonstige","3129.6","828.5","1189","2854.55","3404.65"
"1996","(Ehe-)Paar ohne Kind(er)","1060.08","0","3682","946.06","1174.1"
"1996","1-Pers.- Haushalt","492.56","0","1433","393.49","591.63"
"1996","Alleinerziehende","2482.45","1033","959","2248.24","2716.66"
"1996","Paar mit Kind(ern)","2579.42","1222","10157","2506.2","2652.64"
"1996","Sonstige","3941.23","1135","1108","3625.46","4257"
"1997","(Ehe-)Paar ohne Kind(er)","1180.48","0","3758","1061.27","1299.69"
"1997","1-Pers.- Haushalt","629","0","1402","518.84","739.16"
"1997","Alleinerziehende","3699.51","2362","967","3421.44","3977.58"
"1997","Paar mit Kind(ern)","3661.92","2426.5","9806","3582.62","3741.22"
"1997","Sonstige","4211.53","2173","1074","3907.33","4515.73"
"1998","(Ehe-)Paar ohne Kind(er)","1109.08","0","4358","1007.04","1211.12"
"1998","1-Pers.- Haushalt","624.89","0","1706","527.34","722.44"
"1998","Alleinerziehende","3890.1","2452.5","1105","3618.78","4161.42"
"1998","Paar mit Kind(ern)","3987.28","2694.5","10582","3909.21","4065.35"
"1998","Sonstige","3827.97","2577","1005","3542.86","4113.08"
"1999","(Ehe-)Paar ohne Kind(er)","987.91","0","4312","893.59","1082.23"
"1999","1-Pers.- Haushalt","632.33","0","1638","529.88","734.78"
"1999","Alleinerziehende","4098.14","2681.5","1115","3838.06","4358.22"
"1999","Paar mit Kind(ern)","4070.32","2696.5","10257","3990.82","4149.82"
"1999","Sonstige","3798.88","2689.5","666","3468.9","4128.86"
"2000","(Ehe-)Paar ohne Kind(er)","923.01","0","7936","858.1","987.92"
"2000","1-Pers.- Haushalt","607.64","0","3260","533.36","681.92"
"2000","Alleinerziehende","4396.11","3006.5","1911","4177.49","4614.73"
"2000","Paar mit Kind(ern)","4345.78","3066","17502","4285.58","4405.98"
"2000","Sonstige","3665.39","2303","1198","3399.88","3930.9"
"2001","(Ehe-)Paar ohne Kind(er)","1049.66","0","7178","978.17","1121.15"
"2001","1-Pers.- Haushalt","686.15","0","2926","601.1","771.2"
"2001","Alleinerziehende","4529.53","3112","1761","4299.9","4759.16"
"2001","Paar mit Kind(ern)","4479.21","3307.5","15798","4415.03","4543.39"
"2001","Sonstige","3938.83","2427","1065","3665.17","4212.49"
"2002","(Ehe-)Paar ohne Kind(er)","1042.95","0","7804","980.35","1105.55"
"2002","1-Pers.- Haushalt","714.09","0","2938","634.62","793.56"
"2002","Alleinerziehende","4682.38","3126","1770","4457.65","4907.11"
"2002","Paar mit Kind(ern)","4767.55","3418.5","16586","4706.58","4828.52"
"2002","Sonstige","3688.04","2480","1018","3399.44","3976.64"
"2003","(Ehe-)Paar ohne Kind(er)","1056.01","0","7636","994.59","1117.43"
"2003","1-Pers.- Haushalt","769.36","0","2919","690.95","847.77"
"2003","Alleinerziehende","5050.79","3695","1742","4837.74","5263.84"
"2003","Paar mit Kind(ern)","5276.27","3695","15626","5207.94","5344.6"
"2003","Sonstige","4789.37","3648","869","4433.47","5145.27"
"2004","(Ehe-)Paar ohne Kind(er)","1129.42","0","7638","1063.08","1195.76"
"2004","1-Pers.- Haushalt","856.45","0","2861","772.12","940.78"
"2004","Alleinerziehende","5112.56","3690","1686","4895.48","5329.64"
"2004","Paar mit Kind(ern)","5497.57","3938","14947","5424.94","5570.2"
"2004","Sonstige","3935.74","2804","799","3584.82","4286.66"
"2005","(Ehe-)Paar ohne Kind(er)","1077.85","0","7384","1012.17","1143.53"
"2005","1-Pers.- Haushalt","978.79","0","2913","888.84","1068.74"
"2005","Alleinerziehende","5617.49","3685.5","1736","5366.82","5868.16"
"2005","Paar mit Kind(ern)","5460.08","3796","13924","5383.67","5536.49"
"2005","Sonstige","4556.49","2484.5","749","4154.64","4958.34"
"2006","(Ehe-)Paar ohne Kind(er)","1085.05","0","8316","1018.33","1151.77"
"2006","1-Pers.- Haushalt","1057.76","0","3300","962.22","1153.3"
"2006","Alleinerziehende","6253.42","3694","1924","6005.07","6501.77"
"2006","Paar mit Kind(ern)","5712.93","3895.5","14388","5632.47","5793.39"
"2006","Sonstige","5001.97","3691.5","740","4622.13","5381.81"
"2007","(Ehe-)Paar ohne Kind(er)","1153.71","0","7752","1078.46","1228.96"
"2007","1-Pers.- Haushalt","1039.98","0","3121","945.67","1134.29"
"2007","Alleinerziehende","7062.11","4397","1774","6756.35","7367.87"
"2007","Paar mit Kind(ern)","5619.66","3779","13347","5534.94","5704.38"
"2007","Sonstige","5779.76","3540","624","5316.22","6243.3"
"2008","(Ehe-)Paar ohne Kind(er)","1000.25","0","7468","934.06","1066.44"
"2008","1-Pers.- Haushalt","1137.47","0","2997","1036.18","1238.76"
"2008","Alleinerziehende","6631.49","3719","1714","6330.72","6932.26"
"2008","Paar mit Kind(ern)","5297.41","3695","12161","5213.93","5380.89"
"2008","Sonstige","5659.23","4200","537","5059.66","6258.8"
"2009","(Ehe-)Paar ohne Kind(er)","864.43","0","7100","804.73","924.13"
"2009","1-Pers.- Haushalt","1022.73","0","2860","924.1","1121.36"
"2009","Alleinerziehende","6144.26","3684","1589","5843.2","6445.32"
"2009","Paar mit Kind(ern)","5322.86","3695","11228","5233.12","5412.6"
"2009","Sonstige","3738.16","2097.5","444","3316.21","4160.11"
"2010","(Ehe-)Paar ohne Kind(er)","977.13","0","6744","914.52","1039.74"
"2010","1-Pers.- Haushalt","1094.94","0","2711","993.24","1196.64"
"2010","Alleinerziehende","6758.18","4414","4747","6578.13","6938.23"
"2010","Paar mit Kind(ern)","5657.04","3959","22667","5578","5736.08"
"2010","Sonstige","4356.86","2640","599","3840.65","4873.07"
"2011","(Ehe-)Paar ohne Kind(er)","973.94","0","8748","909.43","1038.45"
"2011","1-Pers.- Haushalt","1211.73","0","3551","1103.15","1320.31"
"2011","Alleinerziehende","6917.84","4404","5866","6751.77","7083.91"
"2011","Paar mit Kind(ern)","5783.2","4412","25054","5702.86","5863.54"
"2011","Sonstige","5362.61","2986","782","4830.25","5894.97"
"2012","(Ehe-)Paar ohne Kind(er)","927.3","0","8900","862.39","992.21"
"2012","1-Pers.- Haushalt","1159.29","0","3683","1063.26","1255.32"
"2012","Alleinerziehende","6823.28","4404","5593","6648.35","6998.21"
"2012","Paar mit Kind(ern)","5626.79","4412","23464","5550.88","5702.7"
"2012","Sonstige","7355.31","4734","766","6814.69","7895.93"
"2013","(Ehe-)Paar ohne Kind(er)","922","0","9278","854.79","989.21"
"2013","1-Pers.- Haushalt","1262.06","0","3844","1156.28","1367.84"
"2013","Alleinerziehende","6782.35","4412","5802","6610.45","6954.25"
"2013","Paar mit Kind(ern)","5737.45","4414","26921","5661.9","5813"
"2013","Sonstige","5892.94","3929.5","1820","5546.42","6239.46"
"2014","(Ehe-)Paar ohne Kind(er)","1002.29","0","8726","934.29","1070.29"
"2014","1-Pers.- Haushalt","1363.43","0","3566","1255.44","1471.42"
"2014","Alleinerziehende","6875.57","4398.5","4688","6673.36","7077.78"
"2014","Paar mit Kind(ern)","5783.33","4412","23106","5699.89","5866.77"
"2014","Sonstige","6538.61","4408","1421","6140.39","6936.83"
"2015","(Ehe-)Paar ohne Kind(er)","928.51","0","8752","861.76","995.26"
"2015","1-Pers.- Haushalt","1322.28","0","3627","1207.72","1436.84"
"2015","Alleinerziehende","6948.03","4412","4428","6735.55","7160.51"
"2015","Paar mit Kind(ern)","5651.9","4410","22783","5568.55","5735.25"
"2015","Sonstige","6243.03","3916","1462","5812.59","6673.47"
"2016","(Ehe-)Paar ohne Kind(er)","894.42","0","8194","826.11","962.73"
"2016","1-Pers.- Haushalt","1269.16","0","3388","1153.72","1384.6"
"2016","Alleinerziehende","6931.68","4417","3929","6704.67","7158.69"
"2016","Paar mit Kind(ern)","5835.74","4410.5","20159","5745.23","5926.25"
"2016","Sonstige","6245.41","2964","1120","5698.87","6791.95"
"2017","(Ehe-)Paar ohne Kind(er)","877.12","0","9314","813.49","940.75"
"2017","1-Pers.- Haushalt","1326.49","0","4112","1212.12","1440.86"
"2017","Alleinerziehende","6874.23","4548","4453","6638.12","7110.34"
"2017","Paar mit Kind(ern)","5943.84","4559.5","25029","5827.68","6060"
"2017","Sonstige","7534.27","3713.5","1739","6995.78","8072.76"
"2018","(Ehe-)Paar ohne Kind(er)","989.25","0","9237","919.73","1058.77"
"2018","1-Pers.- Haushalt","1322.88","0","4453","1206.32","1439.44"
"2018","Alleinerziehende","6674.88","4548","4613","6423.51","6926.25"
"2018","Paar mit Kind(ern)","6100.73","4602","26276","5961.06","6240.4"
"2018","Sonstige","6667.04","3752","1907","6119.39","7214.69"
"2019","(Ehe-)Paar ohne Kind(er)","1031.86","0","10319","965.87","1097.85"
"2019","1-Pers.- Haushalt","1291.73","0","4639","1184.78","1398.68"
"2019","Alleinerziehende","6993.41","4650","4286","6734.83","7251.99"
"2019","Paar mit Kind(ern)","6250.02","4655","26573","6117.98","6382.06"
"2019","Sonstige","6822.07","3884","1696","6238.62","7405.52"
"2020","(Ehe-)Paar ohne Kind(er)","1061.96","0","10265","996.18","1127.74"
"2020","1-Pers.- Haushalt","1341.95","0","5129","1227.95","1455.95"
