year,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,Very good,0.11372,2125,13290,0.10832,0.11911
1992,Good,0.31993,5518,13290,0.31200,0.32786
1992,Satisfactory,0.25083,3727,13290,0.24346,0.25820
1992,Poor,0.09997,1429,13290,0.09487,0.10507
1992,Bad,0.03803,491,13290,0.03478,0.04128
1994,Very good,0.07258,1340,12847,0.06809,0.07707
1994,Good,0.31092,5222,12847,0.30291,0.31892
1994,Satisfactory,0.27644,4070,12847,0.26870,0.28417
1994,Poor,0.12402,1750,12847,0.11832,0.12972
1994,Bad,0.03618,465,12847,0.03295,0.03941
1995,Very good,0.06734,1303,13243,0.06307,0.07160
1995,Good,0.31551,5459,13243,0.30760,0.32343
1995,Satisfactory,0.27776,4220,13243,0.27014,0.28539
1995,Poor,0.12274,1789,13243,0.11715,0.12833
1995,Bad,0.03495,472,13243,0.03182,0.03807
1996,Very good,0.06890,1288,13021,0.06455,0.07325
1996,Good,0.30861,5236,13021,0.30068,0.31655
1996,Satisfactory,0.28881,4352,13021,0.28103,0.29660
1996,Poor,0.11881,1691,13021,0.11326,0.12437
1996,Bad,0.03473,454,13021,0.03158,0.03787
1997,Very good,0.06875,1172,12810,0.06436,0.07313
1997,Good,0.31538,5430,12810,0.30733,0.32342
1997,Satisfactory,0.28775,4160,12810,0.27991,0.29559
1997,Poor,0.11559,1595,12810,0.11005,0.12113
1997,Bad,0.03517,453,12810,0.03198,0.03836
1998,Very good,0.08135,1474,14206,0.07686,0.08585
1998,Good,0.32841,6097,14206,0.32069,0.33614
1998,Satisfactory,0.26632,4392,14206,0.25905,0.27359
1998,Poor,0.11142,1729,14206,0.10624,0.11659
1998,Bad,0.03609,514,14206,0.03302,0.03916
1999,Very good,0.07407,1297,13644,0.06967,0.07846
1999,Good,0.32128,5687,13644,0.31344,0.32911
1999,Satisfactory,0.27773,4460,13644,0.27021,0.28524
1999,Poor,0.11580,1708,13644,0.11043,0.12117
1999,Bad,0.03624,492,13644,0.03310,0.03938
2000,Very good,0.09055,2673,24066,0.08692,0.09417
2000,Good,0.31563,9752,24066,0.30975,0.32150
2000,Satisfactory,0.27789,7807,24066,0.27223,0.28355
2000,Poor,0.10906,2988,24066,0.10512,0.11300
2000,Bad,0.03300,846,24066,0.03074,0.03525
2001,Very good,0.09001,2419,21890,0.08621,0.09380
2001,Good,0.31471,8800,21890,0.30856,0.32087
2001,Satisfactory,0.27652,7138,21890,0.27060,0.28245
2001,Poor,0.11317,2759,21890,0.10897,0.11736
2001,Bad,0.03301,774,21890,0.03065,0.03538
2002,Very good,0.07681,2346,22984,0.07337,0.08025
2002,Good,0.31601,9462,22984,0.31000,0.32202
2002,Satisfactory,0.28677,7527,22984,0.28092,0.29262
2002,Poor,0.11537,2889,22984,0.11124,0.11950
2002,Bad,0.03427,760,22984,0.03192,0.03662
2003,Very good,0.07672,2243,22127,0.07321,0.08022
2003,Good,0.32741,9271,22127,0.32123,0.33360
2003,Satisfactory,0.27371,7019,22127,0.26784,0.27959
2003,Poor,0.11714,2831,22127,0.11291,0.12138
2003,Bad,0.03584,763,22127,0.03339,0.03829
2004,Very good,0.08157,2197,21571,0.07791,0.08522
2004,Good,0.31756,8952,21571,0.31134,0.32377
2004,Satisfactory,0.26906,6785,21571,0.26314,0.27498
2004,Poor,0.12691,2832,21571,0.12247,0.13135
2004,Bad,0.03922,805,21571,0.03663,0.04181
2005,Very good,0.07408,1945,20628,0.07050,0.07765
2005,Good,0.31554,8305,20628,0.30919,0.32188
2005,Satisfactory,0.28085,6764,20628,0.27472,0.28698
2005,Poor,0.12831,2834,20628,0.12374,0.13287
2005,Bad,0.03786,780,20628,0.03525,0.04046
2006,Very good,0.07924,2114,22235,0.07569,0.08279
2006,Good,0.31894,8972,22235,0.31281,0.32506
2006,Satisfactory,0.28223,7304,22235,0.27632,0.28815
2006,Poor,0.12043,2951,22235,0.11615,0.12471
2006,Bad,0.04055,894,22235,0.03795,0.04314
2007,Very good,0.07407,1873,20798,0.07051,0.07763
2007,Good,0.32253,8431,20798,0.31618,0.32889
2007,Satisfactory,0.28651,6869,20798,0.28037,0.29266
2007,Poor,0.12589,2847,20798,0.12138,0.13039
2007,Bad,0.03605,778,20798,0.03351,0.03858
2008,Very good,0.07835,1795,19542,0.07458,0.08212
2008,Good,0.32476,7835,19542,0.31819,0.33132
2008,Satisfactory,0.28411,6405,19542,0.27778,0.29043
2008,Poor,0.12677,2778,19542,0.12210,0.13143
2008,Bad,0.03513,729,19542,0.03255,0.03772
2009,Very good,0.07375,1560,18212,0.06996,0.07755
2009,Good,0.31690,7146,18212,0.31014,0.32366
2009,Satisfactory,0.29965,6262,18212,0.29299,0.30630
2009,Poor,0.12512,2553,18212,0.12031,0.12992
2009,Bad,0.03552,691,18212,0.03283,0.03820
2010,Very good,0.08315,2975,24306,0.07968,0.08662
2010,Good,0.31579,9928,24306,0.30994,0.32163
2010,Satisfactory,0.28548,7450,24306,0.27980,0.29116
2010,Poor,0.12859,3124,24306,0.12438,0.13280
2010,Bad,0.03815,829,24306,0.03574,0.04056
2011,Very good,0.08791,3308,28868,0.08465,0.09118
2011,Good,0.32054,11791,28868,0.31516,0.32592
2011,Satisfactory,0.27504,8877,28868,0.26989,0.28019
2011,Poor,0.12770,3851,28868,0.12385,0.13155
2011,Bad,0.03629,1041,28868,0.03413,0.03845
2012,Very good,0.08663,3059,28140,0.08335,0.08992
2012,Good,0.32502,11651,28140,0.31955,0.33049
2012,Satisfactory,0.28311,8846,28140,0.27784,0.28837
2012,Poor,0.12121,3628,28140,0.11740,0.12502
2012,Bad,0.03297,956,28140,0.03089,0.03506
2013,Very good,0.09202,3987,31155,0.08881,0.09523
2013,Good,0.31622,12486,31155,0.31105,0.32138
2013,Satisfactory,0.27941,9450,31155,0.27443,0.28440
2013,Poor,0.12602,4141,31155,0.12233,0.12970
2013,Bad,0.03669,1091,31155,0.03460,0.03878
2014,Very good,0.08768,3040,27627,0.08435,0.09102
2014,Good,0.31836,11117,27627,0.31286,0.32385
2014,Satisfactory,0.28006,8688,27627,0.27476,0.28535
2014,Poor,0.13210,3841,27627,0.12810,0.13609
2014,Bad,0.03356,941,27627,0.03144,0.03569
2015,Very good,0.08864,3228,27304,0.08527,0.09202
2015,Good,0.32073,11016,27304,0.31520,0.32627
2015,Satisfactory,0.27817,8459,27304,0.27286,0.28349
2015,Poor,0.12936,3717,27304,0.12538,0.13334
2015,Bad,0.03532,884,27304,0.03313,0.03751
