year,age_gr,bula_h,m11126,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,17-29 y.,Lower Saxony,Very good,0.28383,83,265,0.22945,0.33822
1992,17-29 y.,Lower Saxony,Good,0.44976,126,265,0.38975,0.50977
1992,17-29 y.,Lower Saxony,Satisfactory,0.23566,56,265,0.18446,0.28685
1992,17-29 y.,North Rhine-Westphalia,Very good,0.31748,241,686,0.28262,0.35234
1992,17-29 y.,North Rhine-Westphalia,Good,0.47901,344,686,0.44160,0.51642
1992,17-29 y.,North Rhine-Westphalia,Satisfactory,0.16034,101,686,0.13286,0.18781
1992,17-29 y.,Hesse,Very good,0.33008,90,246,0.27120,0.38896
1992,17-29 y.,Hesse,Good,0.47965,125,246,0.41710,0.54221
1992,17-29 y.,Hesse,Satisfactory,0.13063,31,246,0.08843,0.17282
1992,17-29 y.,"Rhineland-Palatinate, Saarland",Very good,0.22923,44,165,0.16489,0.29356
1992,17-29 y.,"Rhineland-Palatinate, Saarland",Good,0.52086,85,165,0.44440,0.59731
1992,17-29 y.,"Rhineland-Palatinate, Saarland",Satisfactory,0.20479,36,165,0.14303,0.26656
1992,17-29 y.,Baden-Wuerttemberg,Very good,0.26708,174,517,0.22890,0.30525
1992,17-29 y.,Baden-Wuerttemberg,Good,0.51416,258,517,0.47103,0.55728
1992,17-29 y.,Baden-Wuerttemberg,Satisfactory,0.16565,85,517,0.13358,0.19773
1992,17-29 y.,Bavaria,Very good,0.31809,162,464,0.27567,0.36051
1992,17-29 y.,Bavaria,Good,0.51540,239,464,0.46988,0.56093
1992,17-29 y.,Bavaria,Satisfactory,0.12315,63,464,0.09322,0.15309
1992,17-29 y.,Berlin,Very good,0.21696,41,122,0.14352,0.29041
1992,17-29 y.,Berlin,Good,0.55900,81,122,0.47054,0.64747
1992,17-29 y.,Brandenburg,Very good,0.32385,52,122,0.24047,0.40723
1992,17-29 y.,Brandenburg,Good,0.50338,70,122,0.41429,0.59247
1992,17-29 y.,Mecklenburg-Western Pomerania,Very good,0.31669,34,83,0.21600,0.41738
1992,17-29 y.,Mecklenburg-Western Pomerania,Good,0.54371,49,83,0.43590,0.65152
1992,17-29 y.,Saxony,Very good,0.35877,89,217,0.29480,0.42273
1992,17-29 y.,Saxony,Good,0.51517,128,217,0.44852,0.58182
1992,17-29 y.,Saxony-Anhalt,Very good,0.38430,69,156,0.30772,0.46088
1992,17-29 y.,Saxony-Anhalt,Good,0.43249,87,156,0.35449,0.51048
1992,17-29 y.,Thuringa,Very good,0.35349,61,150,0.27673,0.43025
1992,17-29 y.,Thuringa,Good,0.47802,89,150,0.39782,0.55823
1992,30-45 y.,Schleswig-Holstein,Good,0.47437,40,40,0.31765,0.63109
1992,30-45 y.,Lower Saxony,Very good,0.20026,47,221,0.14738,0.25314
1992,30-45 y.,Lower Saxony,Good,0.44129,112,221,0.37568,0.50690
1992,30-45 y.,Lower Saxony,Satisfactory,0.20993,62,221,0.15612,0.26375
1992,30-45 y.,North Rhine-Westphalia,Very good,0.15695,142,818,0.13201,0.18190
1992,30-45 y.,North Rhine-Westphalia,Good,0.47692,385,818,0.44267,0.51117
1992,30-45 y.,North Rhine-Westphalia,Satisfactory,0.26273,216,818,0.23255,0.29291
1992,30-45 y.,North Rhine-Westphalia,Poor,0.08143,75,818,0.06268,0.10019
1992,30-45 y.,Hesse,Very good,0.15986,48,263,0.11549,0.20424
1992,30-45 y.,Hesse,Good,0.48517,146,263,0.42465,0.54568
1992,30-45 y.,Hesse,Satisfactory,0.29128,69,263,0.23626,0.34629
1992,30-45 y.,"Rhineland-Palatinate, Saarland",Good,0.52797,104,146,0.44671,0.60923
1992,30-45 y.,"Rhineland-Palatinate, Saarland",Satisfactory,0.23973,42,146,0.17024,0.30922
1992,30-45 y.,Baden-Wuerttemberg,Very good,0.15861,73,513,0.12697,0.19025
1992,30-45 y.,Baden-Wuerttemberg,Good,0.48067,246,513,0.43739,0.52395
1992,30-45 y.,Baden-Wuerttemberg,Satisfactory,0.25627,139,513,0.21846,0.29409
1992,30-45 y.,Baden-Wuerttemberg,Poor,0.07644,55,513,0.05342,0.09945
1992,30-45 y.,Bavaria,Very good,0.15968,77,476,0.12674,0.19262
1992,30-45 y.,Bavaria,Good,0.51543,242,476,0.47049,0.56038
1992,30-45 y.,Bavaria,Satisfactory,0.23429,121,476,0.19620,0.27238
1992,30-45 y.,Bavaria,Poor,0.07186,36,476,0.04863,0.09508
1992,30-45 y.,Berlin,Very good,0.18044,38,179,0.12394,0.23693
1992,30-45 y.,Berlin,Good,0.47518,94,179,0.40182,0.54854
1992,30-45 y.,Berlin,Satisfactory,0.24538,47,179,0.18216,0.30860
1992,30-45 y.,Brandenburg,Very good,0.16731,45,233,0.11928,0.21534
1992,30-45 y.,Brandenburg,Good,0.55120,133,233,0.48719,0.61520
1992,30-45 y.,Brandenburg,Satisfactory,0.21677,55,233,0.16375,0.26979
1992,30-45 y.,Mecklenburg-Western Pomerania,Good,0.65021,97,97,0.55480,0.74561
1992,30-45 y.,Saxony,Very good,0.12054,51,395,0.08839,0.15269
1992,30-45 y.,Saxony,Good,0.64473,259,395,0.59748,0.69199
1992,30-45 y.,Saxony,Satisfactory,0.19180,85,395,0.15292,0.23068
1992,30-45 y.,Saxony-Anhalt,Very good,0.17893,42,252,0.13151,0.22635
1992,30-45 y.,Saxony-Anhalt,Good,0.50782,148,252,0.44597,0.56967
1992,30-45 y.,Saxony-Anhalt,Satisfactory,0.22775,62,252,0.17586,0.27963
1992,30-45 y.,Thuringa,Very good,0.15923,38,220,0.11077,0.20769
1992,30-45 y.,Thuringa,Good,0.59701,140,220,0.53204,0.66197
1992,30-45 y.,Thuringa,Satisfactory,0.16983,42,220,0.12010,0.21956
1992,46-65 y.,Schleswig-Holstein,Good,0.36853,31,31,0.19590,0.54115
1992,46-65 y.,Lower Saxony,Good,0.31622,103,282,0.26185,0.37059
1992,46-65 y.,Lower Saxony,Satisfactory,0.41238,127,282,0.35483,0.46994
1992,46-65 y.,Lower Saxony,Poor,0.12828,52,282,0.08918,0.16737
1992,46-65 y.,North Rhine-Westphalia,Very good,0.06977,50,721,0.05116,0.08838
1992,46-65 y.,North Rhine-Westphalia,Good,0.34123,243,721,0.30660,0.37587
1992,46-65 y.,North Rhine-Westphalia,Satisfactory,0.38471,264,721,0.34917,0.42024
1992,46-65 y.,North Rhine-Westphalia,Poor,0.15613,126,721,0.12962,0.18264
1992,46-65 y.,North Rhine-Westphalia,Bad,0.04441,38,721,0.02936,0.05946
1992,46-65 y.,Hesse,Good,0.37332,100,254,0.31371,0.43292
1992,46-65 y.,Hesse,Satisfactory,0.33667,103,254,0.27843,0.39490
1992,46-65 y.,Hesse,Poor,0.16778,51,254,0.12173,0.21382
1992,46-65 y.,"Rhineland-Palatinate, Saarland",Good,0.23791,45,166,0.17294,0.30288
1992,46-65 y.,"Rhineland-Palatinate, Saarland",Satisfactory,0.42919,82,166,0.35367,0.50471
1992,46-65 y.,"Rhineland-Palatinate, Saarland",Poor,0.21011,39,166,0.14795,0.27227
1992,46-65 y.,Baden-Wuerttemberg,Good,0.31548,177,500,0.27470,0.35625
1992,46-65 y.,Baden-Wuerttemberg,Satisfactory,0.38438,193,500,0.34170,0.42706
1992,46-65 y.,Baden-Wuerttemberg,Poor,0.17725,99,500,0.14374,0.21075
1992,46-65 y.,Baden-Wuerttemberg,Bad,0.06150,31,500,0.04042,0.08258
1992,46-65 y.,Bavaria,Good,0.28902,142,414,0.24530,0.33274
1992,46-65 y.,Bavaria,Satisfactory,0.45684,207,414,0.40880,0.50488
1992,46-65 y.,Bavaria,Poor,0.13011,65,414,0.09767,0.16256
1992,46-65 y.,Berlin,Good,0.26247,61,176,0.19728,0.32766
1992,46-65 y.,Berlin,Satisfactory,0.40817,71,176,0.33535,0.48099
1992,46-65 y.,Berlin,Poor,0.22082,44,176,0.15936,0.28228
1992,46-65 y.,Brandenburg,Good,0.32842,68,160,0.25542,0.40141
1992,46-65 y.,Brandenburg,Satisfactory,0.48290,92,160,0.40522,0.56057
1992,46-65 y.,Mecklenburg-Western Pomerania,Good,0.38437,52,116,0.29546,0.47328
1992,46-65 y.,Mecklenburg-Western Pomerania,Satisfactory,0.43735,64,116,0.34669,0.52802
1992,46-65 y.,Saxony,Good,0.30571,121,346,0.25710,0.35433
1992,46-65 y.,Saxony,Satisfactory,0.46869,174,346,0.41604,0.52135
1992,46-65 y.,Saxony,Poor,0.14396,51,346,0.10692,0.18101
1992,46-65 y.,Saxony-Anhalt,Good,0.36554,83,167,0.29228,0.43880
1992,46-65 y.,Saxony-Anhalt,Satisfactory,0.35561,84,167,0.28279,0.42844
1992,46-65 y.,Thuringa,Good,0.44497,90,166,0.36914,0.52080
1992,46-65 y.,Thuringa,Satisfactory,0.36960,76,166,0.29594,0.44325
1992,66 and older,Lower Saxony,Satisfactory,0.42675,48,79,0.31698,0.53652
1992,66 and older,Lower Saxony,Poor,0.28381,31,79,0.18376,0.38386
1992,66 and older,North Rhine-Westphalia,Good,0.18299,44,222,0.13201,0.23397
1992,66 and older,North Rhine-Westphalia,Satisfactory,0.44214,113,222,0.37666,0.50762
1992,66 and older,North Rhine-Westphalia,Poor,0.27342,65,222,0.21465,0.33218
1992,66 and older,Hesse,Satisfactory,0.30684,40,40,0.16210,0.45159
1992,66 and older,"Rhineland-Palatinate, Saarland",Satisfactory,0.44790,48,48,0.30573,0.59007
1992,66 and older,Baden-Wuerttemberg,Good,0.22589,35,144,0.15735,0.29442
1992,66 and older,Baden-Wuerttemberg,Satisfactory,0.42485,70,144,0.34383,0.50587
1992,66 and older,Baden-Wuerttemberg,Poor,0.22427,39,144,0.15590,0.29263
1992,66 and older,Bavaria,Good,0.20354,44,169,0.14265,0.26442
1992,66 and older,Bavaria,Satisfactory,0.41441,83,169,0.33992,0.48891
1992,66 and older,Bavaria,Poor,0.22731,42,169,0.16394,0.29068
1992,66 and older,Saxony,Satisfactory,0.51111,64,64,0.38768,0.63455
1992,66 and older,Saxony-Anhalt,Satisfactory,0.41065,39,39,0.25423,0.56706
