year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,7.42157,7.38358,7.45957,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000,12111.00000
1985,7.23346,7.19515,7.27177,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000,10986.00000
1986,7.30302,7.26637,7.33966,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,8.00000,8.00000,10548.00000
1987,7.10169,7.06403,7.13935,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,8.00000,10418.00000
1988,7.01058,6.97133,7.04983,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,9928.00000
1989,7.06376,7.02444,7.10307,6.00000,8.00000,8.00000,3.00000,10.00000,8.00000,7.00000,8.00000,9631.00000
1990,7.11458,7.08329,7.14587,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,8.00000,13819.00000
1991,7.07018,7.03863,7.10173,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,8.00000,13453.00000
1992,7.01218,6.98134,7.04301,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,13227.00000
1993,6.97082,6.93852,7.00313,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,13037.00000
1994,6.89900,6.86667,6.93134,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,12802.00000
1995,6.87644,6.84453,6.90834,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,13215.00000
1996,6.91389,6.88258,6.94521,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,13029.00000
1997,6.79270,6.76080,6.82460,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,12802.00000
1998,6.96095,6.93102,6.99088,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,14201.00000
1999,7.00033,6.96976,7.03091,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,13644.00000
2000,7.10496,7.08220,7.12773,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,24044.00000
2001,7.12119,7.09776,7.14462,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,8.00000,21870.00000
2002,6.92381,6.90058,6.94705,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,22981.00000
2003,6.87682,6.85276,6.90089,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,22123.00000
2004,6.67204,6.64682,6.69725,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000,21558.00000
2005,6.84555,6.81983,6.87126,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,20634.00000
2006,6.78782,6.76323,6.81240,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,21896.00000
2007,6.84863,6.82356,6.87370,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,20461.00000
2008,6.87997,6.85420,6.90574,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,19275.00000
2009,6.81040,6.78348,6.83731,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,17963.00000
2010,7.02461,7.00187,7.04734,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,23927.00000
2011,6.97370,6.95172,6.99569,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,25777.00000
2012,7.08491,7.06380,7.10602,6.00000,7.00000,8.00000,3.00000,10.00000,7.00000,7.00000,7.00000,26387.00000
2013,7.17251,7.15252,7.19249,6.00000,8.00000,8.00000,3.00000,10.00000,8.00000,8.00000,8.00000,30556.00000
2014,7.16283,7.14188,7.18379,6.00000,8.00000,8.00000,3.00000,10.00000,8.00000,8.00000,8.00000,26988.00000
2015,7.27255,7.25144,7.29365,6.00000,8.00000,8.00000,3.00000,10.00000,8.00000,8.00000,8.00000,26728.00000
2016,7.26867,7.24790,7.28944,7.00000,8.00000,8.00000,5.50000,9.50000,8.00000,8.00000,8.00000,27117.00000
2017,7.26838,7.24904,7.28772,7.00000,8.00000,8.00000,5.50000,9.50000,8.00000,8.00000,8.00000,30468.00000
2018,7.35483,7.33520,7.37447,7.00000,8.00000,8.00000,5.50000,9.50000,8.00000,8.00000,8.00000,29165.00000
2019,7.43794,7.41835,7.45753,7.00000,8.00000,8.00000,5.50000,9.50000,8.00000,8.00000,8.00000,29008.00000
2020,7.46014,7.44109,7.47920,7.00000,8.00000,8.00000,5.50000,9.50000,8.00000,8.00000,8.00000,29345.00000
2021,7.40670,7.38268,7.43072,7.00000,8.00000,8.00000,5.50000,9.50000,8.00000,8.00000,8.00000,19491.00000
2022,7.28690,7.26707,7.30673,7.00000,8.00000,8.00000,5.50000,9.50000,8.00000,8.00000,8.00000,27705.00000
