year,pgisced97,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Pre-primary Level,male,,,,,,,,,,,,
1984,Pre-primary Level,female,,,,,,,,,,,,
1984,Primary Level,male,,,,,,,,,,,,
1984,Primary Level,female,,,,,,,,,,,,
1984,Lower Secondary Level,male,,,,,,,,,,,,
1984,Lower Secondary Level,female,,,,,,,,,,,,
1984,Upper Secondary Level,male,,,,,,,,,,,,
1984,Upper Secondary Level,female,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1984,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1984,First Stage of Tertiary Education,male,,,,,,,,,,,,
1984,First Stage of Tertiary Education,female,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1984,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1985,Pre-primary Level,male,,,,,,,,,,,,
1985,Pre-primary Level,female,,,,,,,,,,,,
1985,Primary Level,male,,,,,,,,,,,,
1985,Primary Level,female,,,,,,,,,,,,
1985,Lower Secondary Level,male,,,,,,,,,,,,
1985,Lower Secondary Level,female,,,,,,,,,,,,
1985,Upper Secondary Level,male,,,,,,,,,,,,
1985,Upper Secondary Level,female,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1985,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1985,First Stage of Tertiary Education,male,,,,,,,,,,,,
1985,First Stage of Tertiary Education,female,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1985,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1986,Pre-primary Level,male,,,,,,,,,,,,
1986,Pre-primary Level,female,,,,,,,,,,,,
1986,Primary Level,male,,,,,,,,,,,,
1986,Primary Level,female,,,,,,,,,,,,
1986,Lower Secondary Level,male,,,,,,,,,,,,
1986,Lower Secondary Level,female,,,,,,,,,,,,
1986,Upper Secondary Level,male,,,,,,,,,,,,
1986,Upper Secondary Level,female,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1986,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1986,First Stage of Tertiary Education,male,,,,,,,,,,,,
1986,First Stage of Tertiary Education,female,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1986,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1987,Pre-primary Level,male,,,,,,,,,,,,
1987,Pre-primary Level,female,,,,,,,,,,,,
1987,Primary Level,male,,,,,,,,,,,,
1987,Primary Level,female,,,,,,,,,,,,
1987,Lower Secondary Level,male,,,,,,,,,,,,
1987,Lower Secondary Level,female,,,,,,,,,,,,
1987,Upper Secondary Level,male,,,,,,,,,,,,
1987,Upper Secondary Level,female,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1987,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1987,First Stage of Tertiary Education,male,,,,,,,,,,,,
1987,First Stage of Tertiary Education,female,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1987,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1988,Pre-primary Level,male,,,,,,,,,,,,
1988,Pre-primary Level,female,,,,,,,,,,,,
1988,Primary Level,male,,,,,,,,,,,,
1988,Primary Level,female,,,,,,,,,,,,
1988,Lower Secondary Level,male,,,,,,,,,,,,
1988,Lower Secondary Level,female,,,,,,,,,,,,
1988,Upper Secondary Level,male,,,,,,,,,,,,
1988,Upper Secondary Level,female,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1988,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1988,First Stage of Tertiary Education,male,,,,,,,,,,,,
1988,First Stage of Tertiary Education,female,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1988,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1989,Pre-primary Level,male,,,,,,,,,,,,
1989,Pre-primary Level,female,,,,,,,,,,,,
1989,Primary Level,male,,,,,,,,,,,,
1989,Primary Level,female,,,,,,,,,,,,
1989,Lower Secondary Level,male,,,,,,,,,,,,
1989,Lower Secondary Level,female,,,,,,,,,,,,
1989,Upper Secondary Level,male,,,,,,,,,,,,
1989,Upper Secondary Level,female,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1989,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1989,First Stage of Tertiary Education,male,,,,,,,,,,,,
1989,First Stage of Tertiary Education,female,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1989,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1990,Pre-primary Level,male,,,,,,,,,,,,
1990,Pre-primary Level,female,,,,,,,,,,,,
1990,Primary Level,male,,,,,,,,,,,,
1990,Primary Level,female,,,,,,,,,,,,
1990,Lower Secondary Level,male,,,,,,,,,,,,
1990,Lower Secondary Level,female,38,6.72680,5.67052,7.78307,4.74811,8.00000,10.00000,0.00000,10.00000,8.00000,6.00000,9.00000
1990,Upper Secondary Level,male,438,7.55244,7.29079,7.81410,6.00000,8.00000,10.00000,0.00000,10.00000,8.00000,8.00000,9.00000
1990,Upper Secondary Level,female,434,7.58569,7.32388,7.84751,6.00000,8.00000,10.00000,0.00000,10.00000,8.00000,8.00000,9.00000
1990,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1990,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1990,First Stage of Tertiary Education,male,67,7.92122,7.26928,8.57315,6.54457,9.00000,10.00000,1.36141,10.00000,9.00000,8.00000,10.00000
1990,First Stage of Tertiary Education,female,,,,,,,,,,,,
1990,Second Stage of Tertiary Education,male,153,7.22860,6.83279,7.62441,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
1990,Second Stage of Tertiary Education,female,279,7.66754,7.38883,7.94626,7.00000,8.00000,10.00000,2.50000,10.00000,8.00000,8.00000,8.00000
1991,Pre-primary Level,male,,,,,,,,,,,,
1991,Pre-primary Level,female,,,,,,,,,,,,
1991,Primary Level,male,,,,,,,,,,,,
1991,Primary Level,female,,,,,,,,,,,,
1991,Lower Secondary Level,male,,,,,,,,,,,,
1991,Lower Secondary Level,female,,,,,,,,,,,,
1991,Upper Secondary Level,male,,,,,,,,,,,,
1991,Upper Secondary Level,female,,,,,,,,,,,,
1991,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1991,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1991,First Stage of Tertiary Education,male,,,,,,,,,,,,
1991,First Stage of Tertiary Education,female,,,,,,,,,,,,
1991,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1991,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1992,Pre-primary Level,male,,,,,,,,,,,,
1992,Pre-primary Level,female,,,,,,,,,,,,
1992,Primary Level,male,,,,,,,,,,,,
1992,Primary Level,female,,,,,,,,,,,,
1992,Lower Secondary Level,male,,,,,,,,,,,,
1992,Lower Secondary Level,female,,,,,,,,,,,,
1992,Upper Secondary Level,male,,,,,,,,,,,,
1992,Upper Secondary Level,female,,,,,,,,,,,,
1992,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1992,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1992,First Stage of Tertiary Education,male,,,,,,,,,,,,
1992,First Stage of Tertiary Education,female,,,,,,,,,,,,
1992,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1992,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1993,Pre-primary Level,male,,,,,,,,,,,,
1993,Pre-primary Level,female,,,,,,,,,,,,
1993,Primary Level,male,,,,,,,,,,,,
1993,Primary Level,female,,,,,,,,,,,,
1993,Lower Secondary Level,male,,,,,,,,,,,,
1993,Lower Secondary Level,female,,,,,,,,,,,,
1993,Upper Secondary Level,male,,,,,,,,,,,,
1993,Upper Secondary Level,female,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1993,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1993,First Stage of Tertiary Education,male,,,,,,,,,,,,
1993,First Stage of Tertiary Education,female,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1993,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1994,Pre-primary Level,male,,,,,,,,,,,,
1994,Pre-primary Level,female,,,,,,,,,,,,
1994,Primary Level,male,,,,,,,,,,,,
1994,Primary Level,female,,,,,,,,,,,,
1994,Lower Secondary Level,male,,,,,,,,,,,,
1994,Lower Secondary Level,female,,,,,,,,,,,,
1994,Upper Secondary Level,male,,,,,,,,,,,,
1994,Upper Secondary Level,female,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1994,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1994,First Stage of Tertiary Education,male,,,,,,,,,,,,
1994,First Stage of Tertiary Education,female,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1994,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1995,Pre-primary Level,male,,,,,,,,,,,,
1995,Pre-primary Level,female,,,,,,,,,,,,
1995,Primary Level,male,,,,,,,,,,,,
1995,Primary Level,female,,,,,,,,,,,,
1995,Lower Secondary Level,male,,,,,,,,,,,,
1995,Lower Secondary Level,female,,,,,,,,,,,,
1995,Upper Secondary Level,male,,,,,,,,,,,,
1995,Upper Secondary Level,female,,,,,,,,,,,,
1995,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1995,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1995,First Stage of Tertiary Education,male,,,,,,,,,,,,
1995,First Stage of Tertiary Education,female,,,,,,,,,,,,
1995,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1995,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1996,Pre-primary Level,male,,,,,,,,,,,,
1996,Pre-primary Level,female,,,,,,,,,,,,
1996,Primary Level,male,,,,,,,,,,,,
1996,Primary Level,female,,,,,,,,,,,,
1996,Lower Secondary Level,male,,,,,,,,,,,,
1996,Lower Secondary Level,female,,,,,,,,,,,,
1996,Upper Secondary Level,male,,,,,,,,,,,,
1996,Upper Secondary Level,female,,,,,,,,,,,,
1996,Post-secondary Non-tertiary Level,male,,,,,,,,,,,,
1996,Post-secondary Non-tertiary Level,female,,,,,,,,,,,,
1996,First Stage of Tertiary Education,male,,,,,,,,,,,,
1996,First Stage of Tertiary Education,female,,,,,,,,,,,,
1996,Second Stage of Tertiary Education,male,,,,,,,,,,,,
1996,Second Stage of Tertiary Education,female,,,,,,,,,,,,
1997,Pre-primary Level,male,,,,,,,,,,,,
1997,Pre-primary Level,female,,,,,,,,,,,,
1997,Primary Level,male,49,5.59813,4.93523,6.26102,4.00000,5.00000,8.00000,0.00000,10.00000,5.00000,4.00000,7.00000
1997,Primary Level,female,81,6.20213,5.74783,6.65643,5.00000,6.00000,7.32590,1.51115,10.00000,6.00000,5.00000,7.00000
1997,Lower Secondary Level,male,212,6.46483,6.13301,6.79666,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1997,Lower Secondary Level,female,331,6.19179,5.92459,6.45898,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,6.00000,7.00000
1997,Upper Secondary Level,male,878,6.43943,6.27203,6.60683,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1997,Upper Secondary Level,female,926,6.42228,6.25436,6.59020,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1997,Post-secondary Non-tertiary Level,male,71,6.32769,5.80848,6.84691,5.00000,7.00000,8.00000,2.00000,10.00000,7.00000,6.00000,8.00000
1997,Post-secondary Non-tertiary Level,female,84,6.60947,6.05210,7.16683,5.05311,7.00000,8.00000,0.63278,10.00000,7.00000,6.00000,8.00000
1997,First Stage of Tertiary Education,male,145,6.24992,5.86331,6.63653,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1997,First Stage of Tertiary Education,female,102,6.53358,6.09787,6.96929,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
1997,Second Stage of Tertiary Education,male,238,6.50337,6.25676,6.74999,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1997,Second Stage of Tertiary Education,female,240,6.46643,6.16167,6.77118,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1998,Pre-primary Level,male,,,,,,,,,,,,
1998,Pre-primary Level,female,,,,,,,,,,,,
1998,Primary Level,male,38,5.87470,4.91413,6.83526,3.00000,6.00000,8.00000,0.00000,10.00000,6.00000,5.00000,8.00000
1998,Primary Level,female,76,5.65181,4.99939,6.30424,5.00000,6.00000,8.00000,0.50000,10.00000,6.00000,5.00000,7.00000
1998,Lower Secondary Level,male,217,6.03363,5.66768,6.39958,4.06310,6.00000,8.00000,0.00000,10.00000,6.00000,5.00000,7.00000
1998,Lower Secondary Level,female,341,6.33209,6.07091,6.59326,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1998,Upper Secondary Level,male,910,6.63079,6.47381,6.78777,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1998,Upper Secondary Level,female,970,6.77851,6.61939,6.93762,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
1998,Post-secondary Non-tertiary Level,male,64,6.54064,5.97526,7.10602,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
1998,Post-secondary Non-tertiary Level,female,100,6.78733,6.32502,7.24964,5.00000,7.00000,9.00000,1.00000,10.00000,7.00000,6.00000,8.00000
1998,First Stage of Tertiary Education,male,159,6.19701,5.82805,6.56597,4.00000,7.00000,8.00000,0.00000,10.00000,7.00000,6.00000,7.00000
1998,First Stage of Tertiary Education,female,105,6.39441,5.85694,6.93188,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,8.00000
1998,Second Stage of Tertiary Education,male,274,6.79614,6.51476,7.07752,5.24356,7.00000,8.00000,1.10890,10.00000,7.00000,7.00000,8.00000
1998,Second Stage of Tertiary Education,female,255,6.81064,6.50173,7.11954,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
1999,Pre-primary Level,male,,,,,,,,,,,,
1999,Pre-primary Level,female,,,,,,,,,,,,
1999,Primary Level,male,48,6.27057,5.54486,6.99628,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,5.00000,8.00000
1999,Primary Level,female,65,6.46574,5.88050,7.05097,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,5.00000,8.00000
1999,Lower Secondary Level,male,191,6.39493,6.04840,6.74146,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1999,Lower Secondary Level,female,341,6.26708,5.97758,6.55658,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1999,Upper Secondary Level,male,915,6.54819,6.38194,6.71443,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1999,Upper Secondary Level,female,980,6.62263,6.46181,6.78345,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
1999,Post-secondary Non-tertiary Level,male,68,6.63494,6.09331,7.17658,5.00000,7.00000,8.00000,1.00000,10.00000,7.00000,5.00000,8.00000
1999,Post-secondary Non-tertiary Level,female,107,6.69730,6.21777,7.17683,5.00000,7.00000,9.00000,1.00000,10.00000,7.00000,6.00000,8.00000
1999,First Stage of Tertiary Education,male,157,6.20792,5.79078,6.62506,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
1999,First Stage of Tertiary Education,female,105,7.17355,6.74257,7.60453,6.00000,8.00000,9.00000,1.50000,10.00000,8.00000,7.00000,8.00000
1999,Second Stage of Tertiary Education,male,273,6.81296,6.55172,7.07419,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
1999,Second Stage of Tertiary Education,female,239,6.65407,6.33381,6.97433,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
2000,Pre-primary Level,male,,,,,,,,,,,,
2000,Pre-primary Level,female,,,,,,,,,,,,
2000,Primary Level,male,34,7.30345,6.52503,8.08187,5.28124,8.00000,9.00000,0.00000,10.00000,8.00000,6.97500,8.00000
2000,Primary Level,female,61,6.76719,6.02397,7.51040,5.00000,7.47322,9.45016,0.00000,10.00000,7.00000,5.97500,8.00000
2000,Lower Secondary Level,male,222,6.35250,5.98108,6.72392,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2000,Lower Secondary Level,female,459,6.20264,5.91930,6.48598,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.00000
2000,Upper Secondary Level,male,1482,6.45056,6.31588,6.58525,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,Upper Secondary Level,female,1674,6.66567,6.53832,6.79302,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,7.02500
2000,Post-secondary Non-tertiary Level,male,145,6.80878,6.41522,7.20234,5.00000,7.00000,8.30031,0.04953,10.00000,7.00000,7.00000,8.00000
2000,Post-secondary Non-tertiary Level,female,218,6.22883,5.84020,6.61746,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2000,First Stage of Tertiary Education,male,315,6.52831,6.23550,6.82113,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,First Stage of Tertiary Education,female,271,6.84384,6.54036,7.14731,5.00000,7.44648,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
2000,Second Stage of Tertiary Education,male,560,6.45477,6.24388,6.66567,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2000,Second Stage of Tertiary Education,female,443,6.55973,6.30067,6.81878,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
2001,Pre-primary Level,male,,,,,,,,,,,,
2001,Pre-primary Level,female,,,,,,,,,,,,
2001,Primary Level,male,,,,,,,,,,,,
2001,Primary Level,female,36,7.67292,7.10536,8.24047,8.00000,8.00000,9.00000,6.50000,10.00000,8.00000,8.00000,8.00000
2001,Lower Secondary Level,male,180,6.17277,5.70632,6.63921,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2001,Lower Secondary Level,female,360,6.50902,6.18860,6.82945,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
2001,Upper Secondary Level,male,1118,6.31986,6.16093,6.47878,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2001,Upper Secondary Level,female,1189,6.46155,6.29930,6.62381,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.02500
2001,Post-secondary Non-tertiary Level,male,111,6.51376,6.02946,6.99805,5.00000,7.00000,8.94012,0.00000,10.00000,7.00000,6.00000,8.00000
2001,Post-secondary Non-tertiary Level,female,169,6.52253,6.10267,6.94238,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,6.00000,8.00000
2001,First Stage of Tertiary Education,male,228,6.77136,6.45054,7.09219,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,8.00000
2001,First Stage of Tertiary Education,female,197,6.67154,6.30164,7.04145,5.00000,7.00000,9.00000,0.00000,10.00000,7.00000,7.00000,8.00000
2001,Second Stage of Tertiary Education,male,422,6.29061,6.03579,6.54544,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2001,Second Stage of Tertiary Education,female,318,6.39012,6.06305,6.71720,5.00000,8.00000,8.00000,0.50000,10.00000,8.00000,7.00000,8.00000
2002,Pre-primary Level,male,,,,,,,,,,,,
2002,Pre-primary Level,female,,,,,,,,,,,,
2002,Primary Level,male,,,,,,,,,,,,
2002,Primary Level,female,,,,,,,,,,,,
2002,Lower Secondary Level,male,144,6.55189,6.13152,6.97226,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2002,Lower Secondary Level,female,276,6.12327,5.76719,6.47936,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2002,Upper Secondary Level,male,969,6.13882,5.96952,6.30812,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,7.00000
2002,Upper Secondary Level,female,1071,6.49703,6.34079,6.65327,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
2002,Post-secondary Non-tertiary Level,male,121,6.83052,6.44141,7.21963,5.00000,7.00000,8.22783,0.15825,10.00000,7.00000,6.97500,8.00000
2002,Post-secondary Non-tertiary Level,female,179,6.52176,6.14105,6.90248,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,6.00000,8.00000
2002,First Stage of Tertiary Education,male,248,6.62523,6.34417,6.90629,5.00000,7.00000,8.00000,0.50000,10.00000,7.00000,7.00000,7.00000
