year,bula_h,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Yes,0.62352,122,196,0.55551,0.69152
1984,Schleswig-Holstein,West,No,0.36970,74,196,0.30194,0.43745
1984,Hamburg,West,No,0.77909,131,131,0.70778,0.85041
1984,Lower Saxony,West,Yes,0.62708,351,579,0.58766,0.66651
1984,Lower Saxony,West,No,0.35753,228,579,0.31846,0.39660
1984,Bremen,West,No,0.81130,61,61,0.71230,0.91031
1984,North Rhine-Westphalia,West,Yes,0.48187,738,1568,0.45713,0.50661
1984,North Rhine-Westphalia,West,No,0.50302,830,1568,0.47826,0.52777
1984,Hesse,West,Yes,0.53459,268,571,0.49364,0.57554
1984,Hesse,West,No,0.44246,303,571,0.40168,0.48323
1984,"Rhineland-Palatinate, Saarland",West,Yes,0.64048,243,386,0.59255,0.68841
1984,"Rhineland-Palatinate, Saarland",West,No,0.33099,143,386,0.28399,0.37800
1984,Baden-Wuerttemberg,West,Yes,0.56184,530,1035,0.53160,0.59208
1984,Baden-Wuerttemberg,West,No,0.41415,505,1035,0.38413,0.44418
1984,Bavaria,West,Yes,0.58323,536,958,0.55200,0.61447
1984,Bavaria,West,No,0.39516,422,958,0.36418,0.42613
1984,Berlin,West,No,0.84204,188,188,0.78977,0.89432
1985,Schleswig-Holstein,West,Yes,0.60182,108,179,0.52991,0.67374
1985,Schleswig-Holstein,West,No,0.39049,71,179,0.31882,0.46216
1985,Hamburg,West,No,0.78769,126,126,0.71600,0.85938
1985,Lower Saxony,West,Yes,0.62912,322,510,0.58715,0.67108
1985,Lower Saxony,West,No,0.35306,188,510,0.31154,0.39458
1985,Bremen,West,No,0.79973,51,51,0.68880,0.91066
1985,North Rhine-Westphalia,West,Yes,0.49427,692,1408,0.46815,0.52040
1985,North Rhine-Westphalia,West,No,0.49070,716,1408,0.46458,0.51682
1985,Hesse,West,Yes,0.55005,252,518,0.50717,0.59293
1985,Hesse,West,No,0.42661,266,518,0.38398,0.46925
1985,"Rhineland-Palatinate, Saarland",West,Yes,0.65329,225,346,0.60307,0.70351
1985,"Rhineland-Palatinate, Saarland",West,No,0.32995,121,346,0.28034,0.37957
1985,Baden-Wuerttemberg,West,Yes,0.56544,477,921,0.53341,0.59747
