year,regtyp,sampreg,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Yes,0.47793,1898,4107,0.46265,0.49321
1985,Urban regions,West,No,0.49878,2209,4107,0.48349,0.51408
1985,Rural regions,West,Yes,0.69196,733,1049,0.66401,0.71992
1985,Rural regions,West,No,0.29255,316,1049,0.26500,0.32009
1986,Urban regions,West,Yes,0.47703,1851,3918,0.46139,0.49268
1986,Urban regions,West,No,0.49710,2067,3918,0.48144,0.51276
1986,Rural regions,West,Yes,0.69936,706,994,0.67084,0.72788
1986,Rural regions,West,No,0.27897,288,994,0.25107,0.30686
1987,Urban regions,West,Yes,0.47798,1840,3877,0.46226,0.49371
1987,Urban regions,West,No,0.49981,2037,3877,0.48407,0.51555
1987,Rural regions,West,Yes,0.69570,692,982,0.66691,0.72449
1987,Rural regions,West,No,0.28432,290,982,0.25609,0.31255
1988,Urban regions,West,Yes,0.49766,1830,3736,0.48162,0.51369
1988,Urban regions,West,No,0.48122,1906,3736,0.46520,0.49724
1988,Rural regions,West,Yes,0.71362,660,929,0.68453,0.74270
1988,Rural regions,West,No,0.26820,269,929,0.23970,0.29671
1989,Urban regions,West,Yes,0.50082,1804,3658,0.48461,0.51702
1989,Urban regions,West,No,0.47639,1854,3658,0.46020,0.49258
1989,Rural regions,West,Yes,0.71200,637,890,0.68223,0.74177
1989,Rural regions,West,No,0.26892,253,890,0.23977,0.29807
1990,Urban regions,West,Yes,0.50510,1801,3578,0.48872,0.52149
1990,Urban regions,West,No,0.46919,1777,3578,0.45283,0.48554
1990,Urban regions,East,Yes,0.26719,221,221,0.20871,0.32566
1990,Rural regions,West,Yes,0.71591,645,904,0.68649,0.74532
1990,Rural regions,West,No,0.26307,259,904,0.23436,0.29179
1990,Rural regions,East,Yes,0.54035,779,779,0.50533,0.57537
1991,Urban regions,West,Yes,0.51752,1850,3685,0.50138,0.53365
1991,Urban regions,West,No,0.47580,1835,3685,0.45967,0.49192
