year,quintil_oecd_hh,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Yes,0.41995,466,1176,0.39173,0.44817
1984,1st Quintile,No,0.55149,710,1176,0.52305,0.57992
1984,2nd Quintile,Yes,0.50834,565,1166,0.47963,0.53705
1984,2nd Quintile,No,0.46302,601,1166,0.43439,0.49165
1984,3rd Quintile,Yes,0.51650,573,1154,0.48765,0.54534
1984,3rd Quintile,No,0.46794,581,1154,0.43914,0.49674
1984,4th Quintile,Yes,0.54892,607,1168,0.52037,0.57747
1984,4th Quintile,No,0.43772,561,1168,0.40925,0.46618
1984,5th Quintile,Yes,0.61421,639,1056,0.58484,0.64358
1984,5th Quintile,No,0.36624,417,1056,0.33717,0.39531
1985,1st Quintile,Yes,0.43784,437,1048,0.40779,0.46789
1985,1st Quintile,No,0.53279,611,1048,0.50257,0.56301
1985,2nd Quintile,Yes,0.49967,519,1048,0.46938,0.52996
1985,2nd Quintile,No,0.47223,529,1048,0.44199,0.50247
1985,3rd Quintile,Yes,0.52251,524,1058,0.49239,0.55262
1985,3rd Quintile,No,0.46262,534,1058,0.43256,0.49268
1985,4th Quintile,Yes,0.57151,574,1033,0.54132,0.60170
1985,4th Quintile,No,0.41193,459,1033,0.38190,0.44196
1985,5th Quintile,Yes,0.60388,575,962,0.57295,0.63480
1985,5th Quintile,No,0.37733,387,962,0.34669,0.40798
1986,1st Quintile,Yes,0.42808,402,966,0.39686,0.45930
1986,1st Quintile,No,0.54334,564,966,0.51191,0.57476
1986,2nd Quintile,Yes,0.52071,507,1003,0.48977,0.55164
1986,2nd Quintile,No,0.45047,496,1003,0.41966,0.48128
1986,3rd Quintile,Yes,0.53838,522,1009,0.50760,0.56915
1986,3rd Quintile,No,0.44540,487,1009,0.41472,0.47608
1986,4th Quintile,Yes,0.53200,531,995,0.50098,0.56302
1986,4th Quintile,No,0.44015,464,995,0.40929,0.47101
1986,5th Quintile,Yes,0.61730,595,935,0.58613,0.64847
1986,5th Quintile,No,0.35954,340,935,0.32877,0.39032
1987,1st Quintile,Yes,0.44498,393,922,0.41289,0.47708
1987,1st Quintile,No,0.52488,529,922,0.49263,0.55713
1987,2nd Quintile,Yes,0.49251,479,990,0.46135,0.52367
1987,2nd Quintile,No,0.48774,511,990,0.45659,0.51890
1987,3rd Quintile,Yes,0.54578,539,1007,0.51501,0.57655
1987,3rd Quintile,No,0.42962,468,1007,0.39903,0.46021
1987,4th Quintile,Yes,0.52779,524,1001,0.49685,0.55873
1987,4th Quintile,No,0.45564,477,1001,0.42477,0.48651
1987,5th Quintile,Yes,0.62027,596,937,0.58918,0.65136
1987,5th Quintile,No,0.36328,341,937,0.33247,0.39409
1988,1st Quintile,Yes,0.42730,368,911,0.39516,0.45944
1988,1st Quintile,No,0.53715,543,911,0.50476,0.56955
1988,2nd Quintile,Yes,0.52118,481,949,0.48938,0.55298
1988,2nd Quintile,No,0.46053,468,949,0.42880,0.49226
1988,3rd Quintile,Yes,0.55205,527,967,0.52069,0.58341
1988,3rd Quintile,No,0.43009,440,967,0.39887,0.46131
1988,4th Quintile,Yes,0.57318,534,960,0.54188,0.60449
1988,4th Quintile,No,0.41033,426,960,0.37920,0.44147
1988,5th Quintile,Yes,0.64996,579,876,0.61835,0.68156
1988,5th Quintile,No,0.33574,297,876,0.30445,0.36703
1989,1st Quintile,Yes,0.43335,361,884,0.40067,0.46604
1989,1st Quintile,No,0.53147,523,884,0.49855,0.56438
