year,bula_h,rentown,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Owner,Yes,0.91036,90,90,0.85101,0.96971
1984,Schleswig-Holstein,Tenant,Yes,0.32233,32,98,0.22932,0.41534
1984,Schleswig-Holstein,Tenant,No,0.67767,66,98,0.58466,0.77068
1984,Hamburg,Tenant,No,0.85284,124,124,0.79023,0.91544
1984,Lower Saxony,Owner,Yes,0.95952,245,245,0.93479,0.98425
1984,Lower Saxony,Tenant,Yes,0.32848,106,325,0.27734,0.37962
1984,Lower Saxony,Tenant,No,0.64551,219,325,0.59342,0.69760
1984,Bremen,Tenant,No,0.93245,54,54,0.86489,1.00002
1984,North Rhine-Westphalia,Owner,Yes,0.88185,392,440,0.85165,0.91204
1984,North Rhine-Westphalia,Owner,No,0.11494,48,440,0.08510,0.14477
1984,North Rhine-Westphalia,Tenant,Yes,0.29141,346,1128,0.26488,0.31794
1984,North Rhine-Westphalia,Tenant,No,0.68782,782,1128,0.66076,0.71487
1984,Hesse,Owner,Yes,0.88182,149,149,0.82981,0.93383
1984,Hesse,Tenant,Yes,0.31514,119,403,0.26972,0.36055
1984,Hesse,Tenant,No,0.65097,284,403,0.60437,0.69757
1984,"Rhineland-Palatinate, Saarland",Owner,Yes,0.90015,180,180,0.85623,0.94407
1984,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.31761,63,189,0.25106,0.38416
1984,"Rhineland-Palatinate, Saarland",Tenant,No,0.63156,126,189,0.56261,0.70052
1984,Baden-Wuerttemberg,Owner,Yes,0.83916,325,380,0.80217,0.87614
1984,Baden-Wuerttemberg,Owner,No,0.15013,55,380,0.11417,0.18610
1984,Baden-Wuerttemberg,Tenant,Yes,0.29961,205,655,0.26450,0.33472
1984,Baden-Wuerttemberg,Tenant,No,0.66381,450,655,0.62760,0.70002
1984,Bavaria,Owner,Yes,0.88018,352,401,0.84835,0.91201
1984,Bavaria,Owner,No,0.11728,49,401,0.08575,0.14882
1984,Bavaria,Tenant,Yes,0.33198,184,557,0.29284,0.37113
1984,Bavaria,Tenant,No,0.63027,373,557,0.59015,0.67040
1984,Berlin,Tenant,No,0.88006,181,181,0.83260,0.92752
1985,Schleswig-Holstein,Owner,Yes,0.91653,80,80,0.85553,0.97752
1985,Schleswig-Holstein,Tenant,No,0.68631,64,64,0.57173,0.80089
1985,Hamburg,Tenant,No,0.85710,120,120,0.79421,0.91998
1985,Lower Saxony,Owner,Yes,0.95407,223,223,0.92653,0.98161
1985,Lower Saxony,Tenant,Yes,0.35365,99,279,0.29745,0.40985
1985,Lower Saxony,Tenant,No,0.61989,180,279,0.56283,0.67695
1985,Bremen,Tenant,No,0.90471,44,44,0.81695,0.99247
1985,North Rhine-Westphalia,Owner,Yes,0.87110,365,410,0.83862,0.90357
1985,North Rhine-Westphalia,Owner,No,0.11933,45,410,0.08791,0.15075
1985,North Rhine-Westphalia,Tenant,Yes,0.31494,327,998,0.28611,0.34377
1985,North Rhine-Westphalia,Tenant,No,0.66743,671,998,0.63819,0.69668
1985,Hesse,Owner,Yes,0.86858,145,145,0.81339,0.92376
1985,Hesse,Tenant,Yes,0.32606,107,356,0.27730,0.37483
1985,Hesse,Tenant,No,0.64207,249,356,0.59220,0.69194
1985,"Rhineland-Palatinate, Saarland",Owner,Yes,0.90286,166,166,0.85767,0.94805
1985,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.35106,59,165,0.27801,0.42411
1985,"Rhineland-Palatinate, Saarland",Tenant,No,0.61702,106,165,0.54262,0.69142
1985,Baden-Wuerttemberg,Owner,Yes,0.83758,294,346,0.79866,0.87650
1985,Baden-Wuerttemberg,Owner,No,0.15023,52,346,0.11253,0.18794
1985,Baden-Wuerttemberg,Tenant,Yes,0.31825,183,575,0.28015,0.35636
1985,Baden-Wuerttemberg,Tenant,No,0.64442,392,575,0.60526,0.68358
1985,Bavaria,Owner,Yes,0.87759,331,376,0.84442,0.91077
1985,Bavaria,Owner,No,0.11456,45,376,0.08233,0.14680
1985,Bavaria,Tenant,Yes,0.33991,160,486,0.29775,0.38206
1985,Bavaria,Tenant,No,0.62060,326,486,0.57742,0.66379
1985,Berlin,Tenant,No,0.89536,164,164,0.84837,0.94235
1986,Schleswig-Holstein,Owner,Yes,0.85888,71,71,0.77732,0.94044
1986,Schleswig-Holstein,Tenant,No,0.58648,48,48,0.44569,0.72727
1986,Hamburg,Tenant,No,0.84125,104,104,0.77067,0.91183
1986,Lower Saxony,Owner,Yes,0.95690,228,228,0.93048,0.98332
1986,Lower Saxony,Tenant,Yes,0.37050,98,267,0.31246,0.42853
1986,Lower Saxony,Tenant,No,0.58724,169,267,0.52807,0.64640
1986,Bremen,Tenant,No,0.84838,41,41,0.73723,0.95953
1986,North Rhine-Westphalia,Owner,Yes,0.87193,363,408,0.83946,0.90440
1986,North Rhine-Westphalia,Owner,No,0.12139,45,408,0.08966,0.15311
1986,North Rhine-Westphalia,Tenant,Yes,0.31612,311,934,0.28628,0.34596
1986,North Rhine-Westphalia,Tenant,No,0.66527,623,934,0.63499,0.69555
1986,Hesse,Owner,Yes,0.86602,134,134,0.80813,0.92391
1986,Hesse,Tenant,Yes,0.34217,104,335,0.29129,0.39305
1986,Hesse,Tenant,No,0.60968,231,335,0.55737,0.66200
1986,"Rhineland-Palatinate, Saarland",Owner,Yes,0.90300,165,165,0.85770,0.94829
1986,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.32899,59,168,0.25773,0.40025
1986,"Rhineland-Palatinate, Saarland",Tenant,No,0.63710,109,168,0.56418,0.71003
1986,Baden-Wuerttemberg,Owner,Yes,0.83242,294,343,0.79284,0.87201
1986,Baden-Wuerttemberg,Owner,No,0.15081,49,343,0.11288,0.18874
1986,Baden-Wuerttemberg,Tenant,Yes,0.33202,175,533,0.29200,0.37204
