year,regtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Yes,0.47793,1898,4107,0.46265,0.49321
1985,Urban regions,No,0.49878,2209,4107,0.48349,0.51408
1985,Rural regions,Yes,0.69196,733,1049,0.66401,0.71992
1985,Rural regions,No,0.29255,316,1049,0.26500,0.32009
1986,Urban regions,Yes,0.47703,1851,3918,0.46139,0.49268
1986,Urban regions,No,0.49710,2067,3918,0.48144,0.51276
1986,Rural regions,Yes,0.69936,706,994,0.67084,0.72788
1986,Rural regions,No,0.27897,288,994,0.25107,0.30686
1987,Urban regions,Yes,0.47798,1840,3877,0.46226,0.49371
1987,Urban regions,No,0.49981,2037,3877,0.48407,0.51555
1987,Rural regions,Yes,0.69570,692,982,0.66691,0.72449
1987,Rural regions,No,0.28432,290,982,0.25609,0.31255
1988,Urban regions,Yes,0.49766,1830,3736,0.48162,0.51369
1988,Urban regions,No,0.48122,1906,3736,0.46520,0.49724
1988,Rural regions,Yes,0.71362,660,929,0.68453,0.74270
1988,Rural regions,No,0.26820,269,929,0.23970,0.29671
1989,Urban regions,Yes,0.50082,1804,3658,0.48461,0.51702
1989,Urban regions,No,0.47639,1854,3658,0.46020,0.49258
1989,Rural regions,Yes,0.71200,637,890,0.68223,0.74177
1989,Rural regions,No,0.26892,253,890,0.23977,0.29807
1990,Urban regions,Yes,0.48141,2022,3799,0.46552,0.49730
1990,Urban regions,No,0.42247,1777,3799,0.40676,0.43818
1990,Rural regions,Yes,0.64521,1424,1683,0.62235,0.66808
1990,Rural regions,No,0.15714,259,1683,0.13975,0.17453
1991,Urban regions,Yes,0.49456,2046,4320,0.47965,0.50947
1991,Urban regions,No,0.49497,2274,4320,0.48006,0.50988
1991,Rural regions,Yes,0.64966,1407,2188,0.62967,0.66966
1991,Rural regions,No,0.33929,781,2188,0.31945,0.35914
1992,Urban regions,Yes,0.49787,2044,4276,0.48288,0.51286
1992,Urban regions,No,0.47804,2232,4276,0.46307,0.49302
1992,Rural regions,Yes,0.64016,1344,2100,0.61962,0.66069
1992,Rural regions,No,0.33628,756,2100,0.31607,0.35649
1993,Urban regions,Yes,0.50336,2068,4243,0.48831,0.51840
1993,Urban regions,No,0.46159,2175,4243,0.44658,0.47659
1993,Rural regions,Yes,0.62376,1330,2113,0.60310,0.64442
1993,Rural regions,No,0.33772,783,2113,0.31755,0.35789
1994,Urban regions,Yes,0.50685,2051,4168,0.49167,0.52203
1994,Urban regions,No,0.45118,2117,4168,0.43607,0.46629
1994,Rural regions,Yes,0.62846,1338,2093,0.60775,0.64916
1994,Rural regions,No,0.32820,755,2093,0.30807,0.34832
1995,Urban regions,Yes,0.49808,2069,4296,0.48312,0.51303
1995,Urban regions,No,0.45633,2227,4296,0.44144,0.47123
1995,Rural regions,Yes,0.63517,1371,2142,0.61478,0.65556
1995,Rural regions,No,0.31536,771,2142,0.29568,0.33504
1996,Urban regions,Yes,0.49888,2052,4242,0.48383,0.51392
1996,Urban regions,No,0.45741,2190,4242,0.44242,0.47241
1996,Rural regions,Yes,0.64074,1388,2138,0.62039,0.66108
1996,Rural regions,No,0.31946,750,2138,0.29969,0.33923
1997,Urban regions,Yes,0.50147,2071,4174,0.48629,0.51664
1997,Urban regions,No,0.45331,2103,4174,0.43820,0.46841
1997,Rural regions,Yes,0.64460,1385,2122,0.62423,0.66497
1997,Rural regions,No,0.31015,737,2122,0.29046,0.32983
1998,Urban regions,Yes,0.49682,2416,4889,0.48280,0.51084
1998,Urban regions,No,0.49465,2473,4889,0.48064,0.50867
1998,Rural regions,Yes,0.64357,1562,2475,0.62470,0.66244
1998,Rural regions,No,0.34865,913,2475,0.32987,0.36743
1999,Urban regions,Yes,0.49578,2338,4656,0.48142,0.51014
1999,Urban regions,No,0.48772,2318,4656,0.47336,0.50208
