"pgoeffd","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"ja","1984","16-34 Jahre alt","kein Migrationshintergrund","494","0.24282137750071","0.224029259777067","0.261613495224353"
"ja","1984","16-34 Jahre alt","direkter Migrationshintergrund","73","0.113842489497066","0.0926392552382661","0.135045723755866"
"ja","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"ja","1984","35-65 Jahre alt","kein Migrationshintergrund","757","0.275660871467391","0.258917281501281","0.292404461433501"
"ja","1984","35-65 Jahre alt","direkter Migrationshintergrund","169","0.159557496619996","0.140510937477863","0.178604055762129"
"ja","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"ja","1984","66 und älter","kein Migrationshintergrund","","","",""
"ja","1984","66 und älter","direkter Migrationshintergrund","","","",""
"ja","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"nein","1984","16-34 Jahre alt","kein Migrationshintergrund","1506","0.75717862249929","0.738386504775647","0.775970740222933"
"nein","1984","16-34 Jahre alt","direkter Migrationshintergrund","789","0.886157510502934","0.864954276244134","0.907360744761734"
"nein","1984","16-34 Jahre alt","indirekter Migrationshintergrund","46","0.757334040362487","0.640815620152872","0.873852460572103"
"nein","1984","35-65 Jahre alt","kein Migrationshintergrund","1979","0.724339128532609","0.707595538566499","0.74108271849872"
"nein","1984","35-65 Jahre alt","direkter Migrationshintergrund","1251","0.840442503380004","0.821395944237871","0.859489062522137"
"nein","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"nein","1984","66 und älter","kein Migrationshintergrund","43","0.938866838156407","0.868869381051478","1.00886429526133"
"nein","1984","66 und älter","direkter Migrationshintergrund","","","",""
"nein","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"ja","1985","16-34 Jahre alt","kein Migrationshintergrund","442","0.248653168746695","0.228413739149579","0.268892598343811"
"ja","1985","16-34 Jahre alt","direkter Migrationshintergrund","55","0.0952176754097182","0.0728756692066718","0.117559681612765"
"ja","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"ja","1985","35-65 Jahre alt","kein Migrationshintergrund","723","0.292238087127839","0.274214888583509","0.310261285672169"
"ja","1985","35-65 Jahre alt","direkter Migrationshintergrund","141","0.154710732560926","0.134190098874461","0.175231366247391"
"ja","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"ja","1985","66 und älter","kein Migrationshintergrund","","","",""
"ja","1985","66 und älter","direkter Migrationshintergrund","","","",""
"ja","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"nein","1985","16-34 Jahre alt","kein Migrationshintergrund","1310","0.751346831253305","0.731107401656189","0.771586260850421"
"nein","1985","16-34 Jahre alt","direkter Migrationshintergrund","608","0.904782324590282","0.882440318387235","0.927124330793328"
"nein","1985","16-34 Jahre alt","indirekter Migrationshintergrund","44","0.719743515086384","0.59767233730896","0.841814692863808"
"nein","1985","35-65 Jahre alt","kein Migrationshintergrund","1723","0.707761912872161","0.689738714327831","0.725785111416491"
"nein","1985","35-65 Jahre alt","direkter Migrationshintergrund","1052","0.845289267439074","0.824768633752609","0.865809901125539"
"nein","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"nein","1985","66 und älter","kein Migrationshintergrund","30","0.957955937246124","0.887309161043093","1.02860271344915"
"nein","1985","66 und älter","direkter Migrationshintergrund","","","",""
"nein","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"ja","1986","16-34 Jahre alt","kein Migrationshintergrund","426","0.247808599204149","0.227224725563893","0.268392472844406"
"ja","1986","16-34 Jahre alt","direkter Migrationshintergrund","46","0.0984904423122381","0.0746676279444095","0.122313256680067"
