"pgoeffd","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"ja","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"ja","1984","(noch) kein Abschluss","Hamburg","","","",""
"ja","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"ja","1984","(noch) kein Abschluss","Bremen","","","",""
"ja","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"ja","1984","(noch) kein Abschluss","Hessen","","","",""
"ja","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"ja","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"ja","1984","(noch) kein Abschluss","Bayern","","","",""
"ja","1984","(noch) kein Abschluss","Saarland","","","",""
"ja","1984","(noch) kein Abschluss","Berlin","","","",""
"ja","1984","(noch) kein Abschluss","Brandenburg","","","",""
"ja","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"ja","1984","(noch) kein Abschluss","Sachsen","","","",""
"ja","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"ja","1984","(noch) kein Abschluss","Thueringen","","","",""
"ja","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"ja","1984","Hauptschulabschluss","Hamburg","","","",""
"ja","1984","Hauptschulabschluss","Niedersachsen","73","0.203979024934345","0.164588653508841","0.24336939635985"
"ja","1984","Hauptschulabschluss","Bremen","","","",""
"ja","1984","Hauptschulabschluss","Nordrhein-Westfalen","162","0.18224324725685","0.158632993143844","0.205853501369856"
"ja","1984","Hauptschulabschluss","Hessen","75","0.217252798112182","0.177336559151024","0.25716903707334"
"ja","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","49","0.180612172083526","0.137007727524928","0.224216616642124"
"ja","1984","Hauptschulabschluss","Baden-Wuerttemberg","122","0.17370142314882","0.148613412308895","0.198789433988745"
"ja","1984","Hauptschulabschluss","Bayern","103","0.150803420601802","0.125428124068678","0.176178717134926"
"ja","1984","Hauptschulabschluss","Saarland","","","",""
"ja","1984","Hauptschulabschluss","Berlin","39","0.348266929411203","0.268489726514958","0.428044132307447"
"ja","1984","Hauptschulabschluss","Brandenburg","","","",""
"ja","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"ja","1984","Hauptschulabschluss","Sachsen","","","",""
"ja","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"ja","1984","Hauptschulabschluss","Thueringen","","","",""
"ja","1984","Realschulabschluss","Schleswig-Holstein","","","",""
"ja","1984","Realschulabschluss","Hamburg","","","",""
"ja","1984","Realschulabschluss","Niedersachsen","39","0.295514926814163","0.21826086888882","0.372768984739507"
"ja","1984","Realschulabschluss","Bremen","","","",""
"ja","1984","Realschulabschluss","Nordrhein-Westfalen","82","0.303683490950157","0.249530537940501","0.357836443959813"
"ja","1984","Realschulabschluss","Hessen","38","0.297333364527053","0.216881940202731","0.377784788851375"
"ja","1984","Realschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"ja","1984","Realschulabschluss","Baden-Wuerttemberg","37","0.230371711513961","0.166509354840157","0.294234068187764"
"ja","1984","Realschulabschluss","Bayern","69","0.285596294986433","0.227967409161295","0.34322518081157"
"ja","1984","Realschulabschluss","Saarland","","","",""
"ja","1984","Realschulabschluss","Berlin","","","",""
"ja","1984","Realschulabschluss","Brandenburg","","","",""
"ja","1984","Realschulabschluss","Mecklenburg-Vorpommern","","","",""
"ja","1984","Realschulabschluss","Sachsen","","","",""
"ja","1984","Realschulabschluss","Sachsen-Anhalt","","","",""
"ja","1984","Realschulabschluss","Thueringen","","","",""
"ja","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"ja","1984","(Fach-)Abitur","Hamburg","","","",""
"ja","1984","(Fach-)Abitur","Niedersachsen","","","",""
"ja","1984","(Fach-)Abitur","Bremen","","","",""
"ja","1984","(Fach-)Abitur","Nordrhein-Westfalen","33","0.283830075327165","0.206624317730994","0.361035832923336"
"ja","1984","(Fach-)Abitur","Hessen","","","",""
"ja","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"ja","1984","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"ja","1984","(Fach-)Abitur","Bayern","","","",""
"ja","1984","(Fach-)Abitur","Saarland","","","",""
"ja","1984","(Fach-)Abitur","Berlin","","","",""
"ja","1984","(Fach-)Abitur","Brandenburg","","","",""
"ja","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"ja","1984","(Fach-)Abitur","Sachsen","","","",""
"ja","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"ja","1984","(Fach-)Abitur","Thueringen","","","",""
"ja","1984","AkademikerInnen","Schleswig-Holstein","","","",""
"ja","1984","AkademikerInnen","Hamburg","","","",""
"ja","1984","AkademikerInnen","Niedersachsen","36","0.563355085369196","0.440884123408352","0.685826047330039"
"ja","1984","AkademikerInnen","Bremen","","","",""
"ja","1984","AkademikerInnen","Nordrhein-Westfalen","97","0.542063073382966","0.470268772477925","0.613857374288007"
"ja","1984","AkademikerInnen","Hessen","35","0.524702650636295","0.406007504387317","0.643397796885272"
"ja","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"ja","1984","AkademikerInnen","Baden-Wuerttemberg","45","0.429113177499676","0.333528030233435","0.524698324765918"
"ja","1984","AkademikerInnen","Bayern","54","0.488329695094835","0.397365439430946","0.579293950758724"
"ja","1984","AkademikerInnen","Saarland","","","",""
"ja","1984","AkademikerInnen","Berlin","","","",""
"ja","1984","AkademikerInnen","Brandenburg","","","",""
"ja","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"ja","1984","AkademikerInnen","Sachsen","","","",""
"ja","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"ja","1984","AkademikerInnen","Thueringen","","","",""
"nein","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"nein","1984","(noch) kein Abschluss","Hamburg","","","",""
"nein","1984","(noch) kein Abschluss","Niedersachsen","30","0.98956402576962","0.953790998591959","1.02533705294728"
"nein","1984","(noch) kein Abschluss","Bremen","","","",""
