"pgoeffd","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"ja","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","63","0.112561033873448","0.0886649497641391","0.136457117982757"
"ja","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","667","0.185512630097413","0.173696180762831","0.197329079431995"
"ja","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","344","0.296763332150967","0.27058686495729","0.322939799344644"
"ja","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","117","0.30213331489811","0.260171456277943","0.344095173518276"
"ja","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","307","0.507137805688325","0.467784792328847","0.546490819047803"
"ja","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","609","0.887438966126552","0.863542882017243","0.911335050235861"
"nein","1984","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","3490","0.814487369902587","0.802670920568005","0.826303819237169"
"nein","1984","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","Realschulabschluss","Westdeutschland, alte Bundeslaender","826","0.703236667849033","0.677060200655356","0.72941313504271"
"nein","1984","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","343","0.69786668510189","0.655904826481724","0.739828543722057"
"nein","1984","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","AkademikerInnen","Westdeutschland, alte Bundeslaender","313","0.492862194311675","0.453509180952197","0.532215207671153"
"nein","1984","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","47","0.101759484857123","0.0754689146926268","0.12805005502162"
"ja","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","Hauptschulabschluss","Westdeutschland, alte Bundeslaender","606","0.197041307062968","0.183938278070686","0.21014433605525"
"ja","1985","Hauptschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","Realschulabschluss","Westdeutschland, alte Bundeslaender","330","0.301839013522518","0.274536750066754","0.329141276978282"
"ja","1985","Realschulabschluss","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","(Fach-)Abitur","Westdeutschland, alte Bundeslaender","97","0.31263545114791","0.265779274876912","0.359491627418908"
"ja","1985","(Fach-)Abitur","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","AkademikerInnen","Westdeutschland, alte Bundeslaender","283","0.502813574252096","0.461767295376863","0.543859853127329"
"ja","1985","AkademikerInnen","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","(noch) kein Abschluss","Westdeutschland, alte Bundeslaender","461","0.898240515142877","0.87194994497838","0.924531085307373"
"nein","1985","(noch) kein Abschluss","Ostdeutschland, neue Bundeslaender","","","",""
