"pgoeffd","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"ja","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","573","0.229938545315644","0.214660355557379","0.245216735073909"
"ja","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","927","0.261302247262179","0.247967492752162","0.274637001772197"
"ja","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1984","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2341","0.770061454684356","0.754783264926091","0.785339644442621"
"nein","1984","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","3243","0.738697752737821","0.725362998227803","0.752032507247838"
"nein","1984","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","66 und älter","Westdeutschland, alte Bundeslaender","45","0.938953934477454","0.870507608018021","1.00740026093689"
"nein","1984","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","505","0.234377760859839","0.217661890792746","0.251093630926932"
"ja","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","865","0.275661595607043","0.261161209548378","0.290161981665707"
"ja","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1962","0.765622239140161","0.748906369073068","0.782338109207254"
"nein","1985","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2783","0.724338404392957","0.709838018334293","0.738838790451622"
"nein","1985","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","66 und älter","Westdeutschland, alte Bundeslaender","32","0.958052254417269","0.889654785250849","1.02644972358369"
"nein","1985","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
