"pgoeffd","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"ja","1984","Schleswig-Holstein","maennlich","35","0.270973367793919","0.196274565533395","0.345672170054444"
"ja","1984","Schleswig-Holstein","weiblich","","","",""
"ja","1984","Hamburg","maennlich","","","",""
"ja","1984","Hamburg","weiblich","","","",""
"ja","1984","Niedersachsen","maennlich","105","0.275256358775778","0.232842852307667","0.317669865243889"
"ja","1984","Niedersachsen","weiblich","58","0.261519336965177","0.206264993698026","0.316773680232329"
"ja","1984","Bremen","maennlich","","","",""
"ja","1984","Bremen","weiblich","","","",""
"ja","1984","Nordrhein-Westfalen","maennlich","220","0.220671133401084","0.197246759490387","0.244095507311781"
"ja","1984","Nordrhein-Westfalen","weiblich","167","0.314369409240273","0.2777068339766","0.351031984503945"
"ja","1984","Hessen","maennlich","90","0.235399814129344","0.197126387264711","0.273673240993978"
"ja","1984","Hessen","weiblich","77","0.315231807287816","0.260714701112738","0.369748913462894"
"ja","1984","Rheinland-Pfalz,Saarland","maennlich","57","0.217612035163235","0.170122094385166","0.265101975941304"
"ja","1984","Rheinland-Pfalz,Saarland","weiblich","42","0.27352991161355","0.205305869262686","0.341753953964414"
"ja","1984","Baden-Wuerttemberg","maennlich","125","0.184670866828559","0.159404100356419","0.209937633300699"
"ja","1984","Baden-Wuerttemberg","weiblich","109","0.244500628655606","0.208149492283823","0.280851765027388"
"ja","1984","Bayern","maennlich","147","0.22217350877243","0.192520953966313","0.251826063578546"
"ja","1984","Bayern","weiblich","104","0.217903279287575","0.18221475034132","0.253591808233829"
"ja","1984","Saarland","maennlich","","","",""
"ja","1984","Saarland","weiblich","","","",""
"ja","1984","Berlin","maennlich","56","0.434426107619561","0.355625615012019","0.513226600227102"
"ja","1984","Berlin","weiblich","32","0.311159183967468","0.225798159733192","0.396520208201743"
"ja","1984","Brandenburg","maennlich","","","",""
"ja","1984","Brandenburg","weiblich","","","",""
"ja","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"ja","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"ja","1984","Sachsen","maennlich","","","",""
"ja","1984","Sachsen","weiblich","","","",""
"ja","1984","Sachsen-Anhalt","maennlich","","","",""
"ja","1984","Sachsen-Anhalt","weiblich","","","",""
"ja","1984","Thueringen","maennlich","","","",""
"ja","1984","Thueringen","weiblich","","","",""
"nein","1984","Schleswig-Holstein","maennlich","101","0.729026632206081","0.654327829945556","0.803725434466605"
"nein","1984","Schleswig-Holstein","weiblich","72","0.780666517788054","0.695648174407142","0.865684861168965"
"nein","1984","Hamburg","maennlich","76","0.743389101208001","0.659041036528204","0.827737165887797"
"nein","1984","Hamburg","weiblich","52","0.700317687742473","0.596637550725307","0.80399782475964"
"nein","1984","Niedersachsen","maennlich","321","0.724743641224222","0.682330134756111","0.767157147692333"
"nein","1984","Niedersachsen","weiblich","185","0.738480663034823","0.683226319767671","0.793735006301974"
"nein","1984","Bremen","maennlich","","","",""
"nein","1984","Bremen","weiblich","","","",""
"nein","1984","Nordrhein-Westfalen","maennlich","984","0.779328866598916","0.755904492688219","0.802753240509613"
"nein","1984","Nordrhein-Westfalen","weiblich","449","0.685630590759727","0.648968015496055","0.7222931660234"
"nein","1984","Hessen","maennlich","382","0.764600185870656","0.726326759006022","0.802873612735289"
