"pgoeffd","year","migback","n","percent","lower_confidence","upper_confidence"
"ja","1984","kein Migrationshintergrund","1253","0.259675656393508","0.247247252643523","0.272104060143492"
"ja","1984","direkter Migrationshintergrund","242","0.142963779040787","0.128605323309711","0.157322234771863"
"ja","1984","indirekter Migrationshintergrund","","","",""
"nein","1984","kein Migrationshintergrund","3528","0.740324343606492","0.727895939856508","0.752752747356477"
"nein","1984","direkter Migrationshintergrund","2041","0.857036220959213","0.842677765228137","0.871394676690289"
"nein","1984","indirekter Migrationshintergrund","60","0.793963797265847","0.697117547410115","0.89081004712158"
"ja","1985","kein Migrationshintergrund","1166","0.271933502347667","0.258522966538294","0.285344038157041"
"ja","1985","direkter Migrationshintergrund","196","0.133532131763569","0.118065549408192","0.148998714118945"
"ja","1985","indirekter Migrationshintergrund","","","",""
"nein","1985","kein Migrationshintergrund","3063","0.728066497652333","0.714655961842959","0.741477033461706"
"nein","1985","direkter Migrationshintergrund","1662","0.866467868236431","0.851001285881055","0.881934450591808"
"nein","1985","indirekter Migrationshintergrund","53","0.741182703462327","0.632161359256902","0.850204047667753"
"ja","1986","kein Migrationshintergrund","1120","0.277507824731015","0.263601987923845","0.291413661538184"
"ja","1986","direkter Migrationshintergrund","172","0.134966926644947","0.118781421939236","0.151152431350659"
"ja","1986","indirekter Migrationshintergrund","","","",""
"nein","1986","kein Migrationshintergrund","2863","0.722492175268985","0.708586338461815","0.736398012076155"
"nein","1986","direkter Migrationshintergrund","1540","0.865033073355053","0.848847568649341","0.881218578060764"
"nein","1986","indirekter Migrationshintergrund","63","0.660982061955518","0.554556127844557","0.76740799606648"
"ja","1987","kein Migrationshintergrund","1121","0.276683643211956","0.26291444830237","0.290452838121542"
"ja","1987","direkter Migrationshintergrund","186","0.141400767969574","0.12494369293007","0.157857843009079"
"ja","1987","indirekter Migrationshintergrund","","","",""
"nein","1987","kein Migrationshintergrund","2934","0.723316356788044","0.709547161878458","0.73708555169763"
"nein","1987","direkter Migrationshintergrund","1536","0.858599232030426","0.842142156990921","0.87505630706993"
