"pgoeffd","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"ja","1984","kein Migrationshintergrund","maennlich","738","0.249244659399","0.233576257576678","0.264913061221322"
"ja","1984","kein Migrationshintergrund","weiblich","515","0.276444728264695","0.25608132350993","0.296808133019461"
"ja","1984","direkter Migrationshintergrund","maennlich","124","0.105021356125489","0.0895784048732203","0.120464307377758"
"ja","1984","direkter Migrationshintergrund","weiblich","118","0.213421396653079","0.184462969881977","0.24237982342418"
"ja","1984","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1984","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1984","kein Migrationshintergrund","maennlich","2190","0.750755340601","0.735086938778678","0.766423742423322"
"nein","1984","kein Migrationshintergrund","weiblich","1338","0.723555271735305","0.703191866980539","0.74391867649007"
"nein","1984","direkter Migrationshintergrund","maennlich","1390","0.894978643874511","0.879535692622242","0.91042159512678"
"nein","1984","direkter Migrationshintergrund","weiblich","651","0.786578603346921","0.75762017657582","0.815537030118023"
"nein","1984","indirekter Migrationshintergrund","maennlich","30","0.756077276890676","0.613804013998267","0.898350539783084"
"nein","1984","indirekter Migrationshintergrund","weiblich","30","0.827195465368448","0.696200458572993","0.958190472163903"
"ja","1985","kein Migrationshintergrund","maennlich","686","0.262253957806163","0.245304166850565","0.27920374876176"
"ja","1985","kein Migrationshintergrund","weiblich","480","0.287149087464798","0.265265697993787","0.30903247693581"
"ja","1985","direkter Migrationshintergrund","maennlich","100","0.0942044809421853","0.0779913933604021","0.110417568523969"
"ja","1985","direkter Migrationshintergrund","weiblich","96","0.209354583580829","0.177094937271037","0.241614229890621"
"ja","1985","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1985","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1985","kein Migrationshintergrund","maennlich","1901","0.737746042193837","0.72079625123824","0.754695833149435"
"nein","1985","kein Migrationshintergrund","weiblich","1162","0.712850912535201","0.69096752306419","0.734734302006213"
"nein","1985","direkter Migrationshintergrund","maennlich","1147","0.905795519057815","0.889582431476032","0.922008606639598"
"nein","1985","direkter Migrationshintergrund","weiblich","515","0.790645416419171","0.758385770109379","0.822905062728963"
"nein","1985","indirekter Migrationshintergrund","maennlich","","","",""
"nein","1985","indirekter Migrationshintergrund","weiblich","","","",""
"ja","1986","kein Migrationshintergrund","maennlich","658","0.267847931945765","0.250269665792296","0.285426198099234"
"ja","1986","kein Migrationshintergrund","weiblich","462","0.293025208377246","0.270329784145743","0.315720632608748"
"ja","1986","direkter Migrationshintergrund","maennlich","90","0.100280961677136","0.0830547662499488","0.117507157104322"
"ja","1986","direkter Migrationshintergrund","weiblich","82","0.203313738050392","0.169493577269107","0.237133898831677"
"ja","1986","indirekter Migrationshintergrund","maennlich","","","",""
"ja","1986","indirekter Migrationshintergrund","weiblich","","","",""
"nein","1986","kein Migrationshintergrund","maennlich","1780","0.732152068054235","0.714573801900765","0.749730334207704"
