"pgoeffd","year","sampreg","n","percent","lower_confidence","upper_confidence"
"ja","1984","Westdeutschland, alte Bundeslaender","1502","0.24649403840976","0.236491288072603","0.256496788746917"
"ja","1984","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1984","Westdeutschland, alte Bundeslaender","5629","0.75350596159024","0.743503211253083","0.763508711927397"
"nein","1984","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1985","Westdeutschland, alte Bundeslaender","1371","0.256882717507069","0.245962231447614","0.267803203566525"
"ja","1985","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1985","Westdeutschland, alte Bundeslaender","4778","0.743117282492931","0.732196796433475","0.754037768552386"
"nein","1985","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1986","Westdeutschland, alte Bundeslaender","1305","0.26205750467539","0.250711783282755","0.273403226068026"
"ja","1986","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1986","Westdeutschland, alte Bundeslaender","4466","0.73794249532461","0.726596773931974","0.749288216717245"
"nein","1986","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1987","Westdeutschland, alte Bundeslaender","1321","0.261295591281139","0.250044053947132","0.272547128615146"
"ja","1987","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1987","Westdeutschland, alte Bundeslaender","4536","0.738704408718861","0.727452871384854","0.749955946052868"
"nein","1987","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1988","Westdeutschland, alte Bundeslaender","1256","0.256729467324333","0.245419946507372","0.268038988141294"
"ja","1988","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1988","Westdeutschland, alte Bundeslaender","4475","0.743270532675667","0.731961011858706","0.754580053492628"
"nein","1988","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1989","Westdeutschland, alte Bundeslaender","1258","0.250480125390155","0.239369320344868","0.261590930435442"
"ja","1989","Ostdeutschland, neue Bundeslaender","","","",""
"nein","1989","Westdeutschland, alte Bundeslaender","4584","0.749519874609845","0.738409069564558","0.760630679655132"
"nein","1989","Ostdeutschland, neue Bundeslaender","","","",""
"ja","1990","Westdeutschland, alte Bundeslaender","1225","0.251843622709787","0.240509149513848","0.263178095905725"
"ja","1990","Ostdeutschland, neue Bundeslaender","1111","0.334670177268809","0.318655168746307","0.350685185791312"
"nein","1990","Westdeutschland, alte Bundeslaender","4409","0.748156377290213","0.736821904094275","0.759490850486152"
"nein","1990","Ostdeutschland, neue Bundeslaender","2224","0.665329822731191","0.649314814208688","0.681344831253693"
