"pgoeffd","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"ja","1984","16-34 Jahre alt","maennlich","285","0.201594085399926","0.182409862315383","0.220778308484469"
"ja","1984","16-34 Jahre alt","weiblich","288","0.268077362826097","0.243362786372495","0.2927919392797"
"ja","1984","35-65 Jahre alt","maennlich","582","0.254571673438774","0.238346303858825","0.270797043018722"
"ja","1984","35-65 Jahre alt","weiblich","345","0.273961193975934","0.250607613972984","0.297314773978885"
"ja","1984","66 und älter","maennlich","","","",""
"ja","1984","66 und älter","weiblich","","","",""
"nein","1984","16-34 Jahre alt","maennlich","1395","0.798405914600074","0.779221691515531","0.817590137684617"
"nein","1984","16-34 Jahre alt","weiblich","946","0.731922637173903","0.707208060720301","0.756637213627505"
"nein","1984","35-65 Jahre alt","maennlich","2187","0.745428326561226","0.729202956981277","0.761653696141175"
"nein","1984","35-65 Jahre alt","weiblich","1056","0.726038806024066","0.702685226021115","0.749392386027016"
"nein","1984","66 und älter","maennlich","","","",""
"nein","1984","66 und älter","weiblich","","","",""
"ja","1985","16-34 Jahre alt","maennlich","254","0.208735767757366","0.187649714038356","0.229821821476376"
"ja","1985","16-34 Jahre alt","weiblich","251","0.267397302773965","0.240497803914411","0.294296801633519"
"ja","1985","35-65 Jahre alt","maennlich","538","0.265813728036039","0.24821293480102","0.283414521271058"
"ja","1985","35-65 Jahre alt","weiblich","327","0.294302474924291","0.268813336141909","0.319791613706673"
"ja","1985","66 und älter","maennlich","","","",""
"ja","1985","66 und älter","weiblich","","","",""
"nein","1985","16-34 Jahre alt","maennlich","1173","0.791264232242634","0.770178178523624","0.812350285961644"
"nein","1985","16-34 Jahre alt","weiblich","789","0.732602697226036","0.705703198366482","0.75950219608559"
"nein","1985","35-65 Jahre alt","maennlich","1882","0.734186271963961","0.716585478728942","0.75178706519898"
"nein","1985","35-65 Jahre alt","weiblich","901","0.705697525075709","0.680208386293327","0.731186663858091"
"nein","1985","66 und älter","maennlich","","","",""
"nein","1985","66 und älter","weiblich","","","",""
"ja","1986","16-34 Jahre alt","maennlich","247","0.21167404602731","0.190113851446958","0.233234240607661"
"ja","1986","16-34 Jahre alt","weiblich","235","0.265676815672766","0.237937926762119","0.293415704583414"
"ja","1986","35-65 Jahre alt","maennlich","509","0.272633644459227","0.254237505880515","0.291029783037939"
"ja","1986","35-65 Jahre alt","weiblich","313","0.303007865323716","0.276400818631415","0.329614912016018"
"ja","1986","66 und älter","maennlich","","","",""
"ja","1986","66 und älter","weiblich","","","",""
