"pgoeffd","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"ja","1984","Westdeutschland, alte Bundeslaender","maennlich","867","0.232417305416911","0.220044979206475","0.244789631627347"
"ja","1984","Westdeutschland, alte Bundeslaender","weiblich","635","0.269426055034635","0.252546946038722","0.286305164030548"
"ja","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"ja","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"nein","1984","Westdeutschland, alte Bundeslaender","maennlich","3610","0.767582694583089","0.755210368372653","0.779955020793525"
"nein","1984","Westdeutschland, alte Bundeslaender","weiblich","2019","0.730573944965365","0.713694835969452","0.747453053961278"
"nein","1984","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"nein","1984","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"ja","1985","Westdeutschland, alte Bundeslaender","maennlich","792","0.242781434438364","0.229267575906313","0.256295292970415"
"ja","1985","Westdeutschland, alte Bundeslaender","weiblich","579","0.27949865011244","0.261086795886493","0.297910504338387"
"ja","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"ja","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"nein","1985","Westdeutschland, alte Bundeslaender","maennlich","3075","0.757218565561636","0.743704707029585","0.770732424093687"
"nein","1985","Westdeutschland, alte Bundeslaender","weiblich","1703","0.72050134988756","0.702089495661613","0.738913204113507"
"nein","1985","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"nein","1985","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"ja","1986","Westdeutschland, alte Bundeslaender","maennlich","756","0.248232973516005","0.23420708837202","0.26225885865999"
"ja","1986","Westdeutschland, alte Bundeslaender","weiblich","549","0.284669379143551","0.265492049601364","0.303846708685738"
"ja","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"ja","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"nein","1986","Westdeutschland, alte Bundeslaender","maennlich","2888","0.751767026483995","0.73774114134001","0.76579291162798"
"nein","1986","Westdeutschland, alte Bundeslaender","weiblich","1578","0.715330620856449","0.696153291314262","0.734507950398636"
"nein","1986","Ostdeutschland, neue Bundeslaender","maennlich","","","",""
"nein","1986","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
